"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JSWSTEEL","EQ","01-Jan-2024","880.25","880.25","884.80","875.00","875.00","877.60","879.71","7,78,184","68,45,78,312.10","57,542","2,73,498","35.15"
"JSWSTEEL","EQ","02-Jan-2024","877.60","883.85","883.85","859.10","870.95","870.20","869.37","16,15,515","1,40,44,74,130.70","73,833","7,10,101","43.96"
"JSWSTEEL","EQ","03-Jan-2024","870.20","870.00","870.00","836.00","837.40","837.65","842.52","39,83,411","3,35,61,17,960.20","1,25,227","16,28,416","40.88"
"JSWSTEEL","EQ","04-Jan-2024","837.65","840.25","843.80","835.00","836.20","837.10","838.83","18,78,399","1,57,56,59,710.40","1,06,847","7,74,064","41.21"
"JSWSTEEL","EQ","05-Jan-2024","837.10","838.95","845.80","827.20","828.40","829.40","834.53","20,60,548","1,71,95,94,615.45","1,22,467","7,61,881","36.97"
"JSWSTEEL","EQ","08-Jan-2024","829.40","835.75","836.65","820.70","822.00","821.95","826.62","11,07,367","91,53,74,515.90","70,045","3,91,038","35.31"
"JSWSTEEL","EQ","09-Jan-2024","821.95","828.50","831.95","819.25","820.85","821.40","825.84","14,58,862","1,20,47,88,245.95","60,370","6,99,045","47.92"
"JSWSTEEL","EQ","10-Jan-2024","821.40","823.85","831.35","811.20","830.25","829.80","823.23","12,65,739","1,04,19,89,466.35","57,579","5,03,758","39.80"
"JSWSTEEL","EQ","11-Jan-2024","829.80","834.80","836.75","820.10","822.50","822.05","825.82","12,05,504","99,55,23,642.45","58,838","5,67,317","47.06"
"JSWSTEEL","EQ","12-Jan-2024","822.05","824.50","830.80","821.25","826.95","825.80","825.55","13,26,357","1,09,49,72,161.00","78,390","5,35,439","40.37"
"JSWSTEEL","EQ","15-Jan-2024","825.80","827.70","830.50","820.00","826.50","825.15","826.43","14,97,605","1,23,76,70,779.30","57,942","7,24,969","48.41"
"JSWSTEEL","EQ","16-Jan-2024","825.15","827.65","839.50","819.35","832.45","832.30","830.82","19,20,936","1,59,59,49,941.80","77,140","6,20,209","32.29"
"JSWSTEEL","EQ","17-Jan-2024","832.30","830.00","830.00","810.05","810.25","812.65","818.05","14,33,551","1,17,27,12,362.20","69,151","6,57,068","45.83"
"JSWSTEEL","EQ","18-Jan-2024","812.65","812.50","814.50","792.60","804.55","803.65","802.28","19,91,900","1,59,80,56,277.65","1,03,831","8,47,859","42.57"
"JSWSTEEL","EQ","19-Jan-2024","803.65","805.25","820.70","805.25","818.25","816.65","815.03","13,58,166","1,10,69,40,829.70","93,175","5,48,186","40.36"
"JSWSTEEL","EQ","20-Jan-2024","816.65","822.00","822.80","806.20","806.70","808.20","811.79","5,06,539","41,12,04,966.35","25,396","1,76,279","34.80"
"JSWSTEEL","EQ","23-Jan-2024","808.20","808.25","816.00","788.45","788.45","790.40","798.01","15,33,222","1,22,35,20,813.00","79,792","7,84,222","51.15"
"JSWSTEEL","EQ","24-Jan-2024","790.40","795.00","814.00","784.00","809.10","812.20","800.54","14,90,515","1,19,32,16,657.15","86,219","4,46,124","29.93"
"JSWSTEEL","EQ","25-Jan-2024","812.20","815.00","821.00","792.80","818.50","815.70","811.44","32,40,065","2,62,91,27,120.60","99,924","12,29,929","37.96"
"JSWSTEEL","EQ","29-Jan-2024","815.70","819.05","823.60","804.00","812.60","811.70","813.06","15,74,830","1,28,04,27,983.50","66,276","5,09,502","32.35"
"JSWSTEEL","EQ","30-Jan-2024","811.70","818.00","829.35","810.15","812.00","812.00","821.34","18,92,910","1,55,47,27,992.70","91,157","7,24,875","38.29"
"JSWSTEEL","EQ","31-Jan-2024","812.00","812.00","822.00","808.05","816.00","818.65","815.66","19,54,023","1,59,38,19,325.45","79,567","11,18,467","57.24"
"JSWSTEEL","EQ","01-Feb-2024","818.65","822.00","822.00","800.10","803.20","801.70","807.93","22,87,350","1,84,80,07,563.45","1,23,594","10,33,397","45.18"
"JSWSTEEL","EQ","02-Feb-2024","801.70","809.25","826.30","805.10","823.30","823.55","817.18","28,71,131","2,34,62,41,541.80","1,62,444","12,64,227","44.03"
"JSWSTEEL","EQ","05-Feb-2024","823.55","824.15","834.00","811.00","812.85","814.65","821.31","20,56,107","1,68,87,05,310.30","84,150","7,65,409","37.23"
"JSWSTEEL","EQ","06-Feb-2024","814.65","814.65","820.75","805.10","819.00","818.75","812.79","15,47,506","1,25,77,97,223.60","68,087","7,66,164","49.51"
"JSWSTEEL","EQ","07-Feb-2024","818.75","827.40","842.90","823.00","836.50","836.60","834.71","36,47,454","3,04,45,70,216.35","1,14,765","15,46,969","42.41"
"JSWSTEEL","EQ","08-Feb-2024","836.60","841.45","841.45","818.00","822.00","822.10","827.81","22,94,805","1,89,96,58,963.80","1,17,829","6,45,231","28.12"
"JSWSTEEL","EQ","09-Feb-2024","822.10","824.90","825.00","800.45","811.80","811.75","810.33","13,96,058","1,13,12,63,341.15","80,900","2,84,572","20.38"
"JSWSTEEL","EQ","12-Feb-2024","811.75","818.00","819.60","802.45","808.25","811.50","811.17","14,08,603","1,14,26,22,242.90","62,996","5,56,747","39.52"
"JSWSTEEL","EQ","13-Feb-2024","811.50","812.95","814.70","790.55","813.00","812.65","805.41","16,75,844","1,34,97,43,968.30","67,142","4,63,732","27.67"
"JSWSTEEL","EQ","14-Feb-2024","812.65","798.00","815.80","796.55","813.40","813.25","805.17","15,46,826","1,24,54,56,241.05","75,235","5,82,372","37.65"
"JSWSTEEL","EQ","15-Feb-2024","813.25","818.00","820.75","805.60","811.10","812.35","813.23","14,82,200","1,20,53,76,518.20","98,730","6,18,517","41.73"
"JSWSTEEL","EQ","16-Feb-2024","812.35","818.15","824.40","813.50","818.50","819.95","819.94","17,74,587","1,45,50,49,088.25","81,715","9,51,923","53.64"
"JSWSTEEL","EQ","19-Feb-2024","819.95","825.95","825.95","814.00","819.00","820.20","820.45","8,29,517","68,05,81,199.70","44,166","3,28,540","39.61"
