"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","01-Jan-2016","720.05","720.00","729.85","711.25","728.00","727.25","721.82","6,22,438","44,92,86,067.80","9,458","3,58,207","57.55"
"KOTAKBANK","EQ","04-Jan-2016","727.25","727.00","727.00","703.85","704.70","705.30","710.25","12,22,447","86,82,45,956.60","23,149","7,55,455","61.80"
"KOTAKBANK","EQ","05-Jan-2016","705.30","708.10","712.80","705.00","705.35","707.75","709.41","6,89,842","48,93,77,720.95","12,975","3,86,323","56.00"
"KOTAKBANK","EQ","06-Jan-2016","707.75","704.00","711.00","697.00","703.90","703.60","704.94","6,01,664","42,41,39,433.55","14,026","2,07,975","34.57"
"KOTAKBANK","EQ","07-Jan-2016","703.60","697.50","703.00","689.15","693.95","691.65","695.64","6,32,696","44,01,30,082.05","15,240","2,44,129","38.59"
"KOTAKBANK","EQ","08-Jan-2016","691.65","694.20","704.00","693.55","695.00","695.10","698.63","4,46,029","31,16,11,194.95","9,487","1,92,884","43.24"
"KOTAKBANK","EQ","11-Jan-2016","695.10","690.00","704.75","681.00","701.50","700.85","694.14","5,77,659","40,09,78,333.25","17,480","2,13,417","36.95"
"KOTAKBANK","EQ","12-Jan-2016","700.85","699.90","700.70","684.55","693.30","692.00","690.17","8,34,020","57,56,19,034.90","23,947","4,20,395","50.41"
"KOTAKBANK","EQ","13-Jan-2016","692.00","698.05","700.65","682.25","689.65","689.15","691.13","6,73,206","46,52,72,673.90","14,884","2,32,180","34.49"
"KOTAKBANK","EQ","14-Jan-2016","689.15","682.00","690.95","673.00","679.90","684.10","682.28","8,90,445","60,75,35,682.55","19,379","3,90,150","43.82"
"KOTAKBANK","EQ","15-Jan-2016","684.10","679.40","689.10","671.00","671.90","675.60","681.15","10,88,741","74,15,95,129.60","22,206","7,00,598","64.35"
"KOTAKBANK","EQ","18-Jan-2016","675.60","676.00","686.80","663.10","667.10","667.40","675.67","22,06,808","1,49,10,69,762.30","36,684","6,16,396","27.93"
"KOTAKBANK","EQ","19-Jan-2016","667.40","670.05","676.00","663.55","668.00","668.70","669.53","11,05,205","73,99,72,239.80","25,074","5,20,542","47.10"
"KOTAKBANK","EQ","20-Jan-2016","668.70","660.00","700.00","652.60","662.00","662.65","659.66","7,10,377","46,86,04,359.95","19,101","3,20,252","45.08"
"KOTAKBANK","EQ","21-Jan-2016","662.65","671.50","677.15","651.00","660.15","660.85","661.42","8,50,780","56,27,18,685.30","20,813","3,41,636","40.16"
"KOTAKBANK","EQ","22-Jan-2016","660.85","671.00","689.00","664.20","680.30","683.05","681.96","10,01,784","68,31,78,022.25","23,795","5,42,476","54.15"
"KOTAKBANK","EQ","25-Jan-2016","683.05","685.00","685.00","674.50","680.00","681.00","680.11","7,06,865","48,07,48,083.40","19,280","1,97,221","27.90"
"KOTAKBANK","EQ","27-Jan-2016","681.00","680.00","682.40","666.35","674.00","674.60","674.13","6,55,762","44,20,67,158.40","22,088","2,50,670","38.23"
"KOTAKBANK","EQ","28-Jan-2016","674.60","675.00","680.00","660.25","664.50","663.25","667.94","14,68,731","98,10,29,839.00","17,704","8,67,942","59.09"
"KOTAKBANK","EQ","29-Jan-2016","663.25","664.50","686.00","664.50","683.15","683.60","673.11","16,45,577","1,10,76,59,562.50","14,116","12,11,615","73.63"
"KOTAKBANK","EQ","01-Feb-2016","683.60","683.15","691.00","679.50","687.90","687.70","687.64","5,92,570","40,74,74,376.30","9,373","2,37,803","40.13"
"KOTAKBANK","EQ","02-Feb-2016","687.70","687.00","691.00","671.50","674.45","677.15","684.76","6,01,307","41,17,53,494.85","12,282","2,00,062","33.27"
"KOTAKBANK","EQ","03-Feb-2016","677.15","672.00","672.00","661.70","664.00","665.55","666.51","12,07,032","80,45,01,605.70","21,029","7,82,326","64.81"
"KOTAKBANK","EQ","04-Feb-2016","665.55","670.40","680.80","668.65","677.10","676.25","676.16","4,82,546","32,62,79,449.95","12,154","1,43,393","29.72"
"KOTAKBANK","EQ","05-Feb-2016","676.25","677.00","697.30","675.45","693.00","692.00","690.12","18,68,377","1,28,94,11,190.25","22,535","13,42,143","71.83"
"KOTAKBANK","EQ","08-Feb-2016","692.00","694.75","694.75","670.30","671.00","673.10","684.10","5,73,936","39,26,30,059.35","11,449","2,18,459","38.06"
"KOTAKBANK","EQ","09-Feb-2016","673.10","667.95","680.00","662.35","678.10","677.05","670.17","8,97,961","60,17,83,760.45","28,058","2,86,908","31.95"
"KOTAKBANK","EQ","10-Feb-2016","677.05","677.00","679.95","661.15","667.10","667.35","667.33","9,96,355","66,49,01,249.45","27,966","4,55,551","45.72"
"KOTAKBANK","EQ","11-Feb-2016","667.35","667.00","667.00","625.00","630.00","628.95","643.08","15,85,567","1,01,96,53,381.85","44,903","7,92,705","50.00"
"KOTAKBANK","EQ","12-Feb-2016","628.95","630.00","637.00","613.70","620.45","622.00","626.06","13,00,513","81,42,03,037.25","35,114","4,82,492","37.10"
"KOTAKBANK","EQ","15-Feb-2016","622.00","627.00","636.40","622.05","622.05","625.25","629.51","12,76,295","80,34,42,361.50","42,429","7,33,125","57.44"
"KOTAKBANK","EQ","16-Feb-2016","625.25","629.90","630.00","615.00","620.00","620.25","621.18","7,40,669","46,00,89,079.40","20,958","2,86,144","38.63"
"KOTAKBANK","EQ","17-Feb-2016","620.25","619.00","629.90","610.00","626.60","625.30","617.44","9,55,916","59,02,17,773.90","36,633","3,46,920","36.29"
"KOTAKBANK","EQ","18-Feb-2016","625.30","630.00","637.75","624.15","636.95","635.55","631.51","8,49,665","53,65,73,051.30","13,514","3,15,566","37.14"
"KOTAKBANK","EQ","19-Feb-2016","635.55","632.55","639.90","625.30","631.90","631.20","631.50","5,86,848","37,05,93,939.55","11,412","1,31,223","22.36"
"KOTAKBANK","EQ","22-Feb-2016","631.20","634.00","642.20","632.15","639.50","640.20","638.21","4,44,582","28,37,38,748.10","8,718","1,41,013","31.72"
"KOTAKBANK","EQ","23-Feb-2016","640.20","639.00","639.00","620.00","621.05","623.00","625.49","6,35,282","39,73,65,259.60","17,662","2,39,796","37.75"
"KOTAKBANK","EQ","24-Feb-2016","623.00","620.35","629.95","616.50","617.95","618.75","620.67","6,69,471","41,55,18,019.15","10,655","2,68,180","40.06"
