"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","01-Jan-2019","7,465.50","7,449.75","7,494.00","7,395.00","7,476.85","7,476.80","7,443.84","6,25,360","4,65,50,79,100.35","55,211","56,614","9.05"
"MARUTI","EQ","02-Jan-2019","7,476.80","7,445.00","7,460.00","7,244.00","7,269.00","7,267.85","7,338.30","8,91,844","6,54,46,20,434.90","97,563","2,82,890","31.72"
"MARUTI","EQ","03-Jan-2019","7,267.85","7,280.00","7,350.00","7,185.60","7,191.00","7,203.95","7,271.97","7,15,168","5,20,06,78,866.40","86,856","2,16,975","30.34"
"MARUTI","EQ","04-Jan-2019","7,203.95","7,239.00","7,309.00","7,161.20","7,249.95","7,234.50","7,236.84","7,74,445","5,60,45,32,562.90","76,134","1,54,216","19.91"
"MARUTI","EQ","07-Jan-2019","7,234.50","7,310.00","7,407.00","7,300.00","7,376.00","7,362.05","7,360.72","6,87,845","5,06,30,34,150.55","66,024","2,34,828","34.14"
"MARUTI","EQ","08-Jan-2019","7,362.05","7,380.00","7,454.80","7,322.10","7,440.00","7,439.50","7,400.56","5,16,841","3,82,49,10,448.40","59,758","1,46,377","28.32"
"MARUTI","EQ","09-Jan-2019","7,439.50","7,460.50","7,529.00","7,414.00","7,481.00","7,492.90","7,490.62","7,40,580","5,54,74,04,597.15","77,462","2,73,866","36.98"
"MARUTI","EQ","10-Jan-2019","7,492.90","7,500.00","7,511.00","7,360.15","7,367.00","7,391.60","7,444.34","4,52,699","3,37,00,45,089.95","48,105","1,35,341","29.90"
"MARUTI","EQ","11-Jan-2019","7,391.60","7,382.70","7,400.00","7,282.00","7,307.00","7,320.50","7,332.02","4,88,399","3,58,09,50,024.20","52,691","1,47,844","30.27"
"MARUTI","EQ","14-Jan-2019","7,320.50","7,330.00","7,433.35","7,257.00","7,425.00","7,408.70","7,336.79","4,24,152","3,11,19,15,153.25","53,821","87,990","20.74"
"MARUTI","EQ","15-Jan-2019","7,408.70","7,430.00","7,470.00","7,317.00","7,349.00","7,355.15","7,381.23","4,91,196","3,62,56,28,249.45","62,664","1,33,373","27.15"
"MARUTI","EQ","16-Jan-2019","7,355.15","7,349.50","7,384.00","7,291.10","7,304.05","7,310.25","7,329.03","4,24,769","3,11,31,43,898.70","52,831","1,17,708","27.71"
"MARUTI","EQ","17-Jan-2019","7,310.25","7,339.00","7,398.95","7,307.50","7,330.00","7,336.25","7,352.95","4,62,725","3,40,23,92,796.55","58,345","1,43,639","31.04"
"MARUTI","EQ","18-Jan-2019","7,336.25","7,345.00","7,379.95","7,318.00","7,370.00","7,357.95","7,350.76","3,34,555","2,45,92,32,487.00","36,092","1,13,631","33.96"
"MARUTI","EQ","21-Jan-2019","7,357.95","7,358.00","7,380.00","7,161.00","7,188.00","7,208.40","7,266.86","6,54,537","4,75,64,31,916.75","99,182","2,81,325","42.98"
"MARUTI","EQ","22-Jan-2019","7,208.40","7,180.00","7,180.00","7,054.50","7,056.00","7,068.85","7,095.48","8,96,521","6,36,12,44,400.55","1,28,669","3,28,030","36.59"
"MARUTI","EQ","23-Jan-2019","7,068.85","7,050.00","7,132.25","7,025.00","7,044.00","7,045.40","7,065.07","7,02,474","4,96,30,30,699.60","67,947","1,67,068","23.78"
"MARUTI","EQ","24-Jan-2019","7,045.40","7,059.90","7,098.00","7,014.40","7,058.70","7,040.60","7,058.58","5,20,703","3,67,54,24,081.60","58,624","1,36,838","26.28"
"MARUTI","EQ","25-Jan-2019","7,040.60","7,054.00","7,133.00","6,410.00","6,469.90","6,513.40","6,687.48","30,62,762","20,48,21,45,241.70","2,79,196","10,18,169","33.24"
"MARUTI","EQ","28-Jan-2019","6,513.40","6,512.50","6,610.00","6,317.70","6,510.50","6,511.05","6,463.35","23,98,091","15,49,97,07,388.90","2,64,941","-","-"
"MARUTI","EQ","29-Jan-2019","6,511.05","6,480.00","6,619.15","6,447.40","6,520.00","6,526.95","6,538.70","11,01,399","7,20,17,12,458.35","1,24,843","3,74,079","33.96"
"MARUTI","EQ","30-Jan-2019","6,526.95","6,559.00","6,588.00","6,508.00","6,565.00","6,548.25","6,542.56","5,83,773","3,81,93,71,533.70","70,798","2,43,280","41.67"
"MARUTI","EQ","31-Jan-2019","6,548.25","6,575.00","6,660.05","6,460.05","6,635.00","6,641.15","6,548.88","9,26,270","6,06,60,27,944.50","1,10,666","3,94,294","42.57"
"MARUTI","EQ","01-Feb-2019","6,641.15","6,679.00","7,204.00","6,652.55","6,930.00","6,962.30","6,951.19","25,45,419","17,69,36,98,166.80","2,63,029","7,15,227","28.10"
"MARUTI","EQ","04-Feb-2019","6,962.30","6,975.00","7,039.00","6,851.65","7,005.65","6,988.20","6,954.72","6,58,776","4,58,16,05,508.05","76,227","1,34,185","20.37"
"MARUTI","EQ","05-Feb-2019","6,988.20","6,995.00","7,125.00","6,985.40","7,125.00","7,093.60","7,059.63","6,81,498","4,81,11,21,560.20","73,807","2,14,352","31.45"
