"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"M&M","EQ","02-Jan-2017","1,184.70","1,184.50","1,233.00","1,170.25","1,229.50","1,229.80","1,205.01","10,53,264","1,26,91,93,626.65","42,794","3,57,010","33.90"
"M&M","EQ","03-Jan-2017","1,229.80","1,230.00","1,232.25","1,215.00","1,225.00","1,222.55","1,221.65","7,76,511","94,86,27,431.60","25,164","5,18,914","66.83"
"M&M","EQ","04-Jan-2017","1,222.55","1,222.65","1,230.75","1,213.00","1,215.65","1,221.95","1,224.20","5,65,408","69,21,73,305.30","32,525","3,62,511","64.11"
"M&M","EQ","05-Jan-2017","1,221.95","1,224.00","1,235.00","1,207.40","1,234.40","1,227.35","1,218.33","12,54,243","1,52,80,82,409.65","72,222","7,64,683","60.97"
"M&M","EQ","06-Jan-2017","1,227.35","1,239.00","1,239.00","1,217.20","1,224.00","1,220.45","1,225.86","11,27,033","1,38,15,83,284.10","29,011","6,36,861","56.51"
"M&M","EQ","09-Jan-2017","1,220.45","1,219.30","1,223.95","1,201.00","1,201.90","1,204.00","1,205.87","5,21,391","62,87,30,075.90","16,244","3,20,646","61.50"
"M&M","EQ","10-Jan-2017","1,204.00","1,201.00","1,216.60","1,201.00","1,213.65","1,213.50","1,211.79","2,79,060","33,81,62,503.90","12,280","1,03,575","37.12"
"M&M","EQ","11-Jan-2017","1,213.50","1,217.25","1,237.75","1,213.65","1,232.05","1,232.00","1,227.81","7,05,848","86,66,46,901.65","34,441","3,85,706","54.64"
"M&M","EQ","12-Jan-2017","1,232.00","1,235.00","1,235.15","1,210.20","1,212.55","1,213.40","1,218.62","3,27,855","39,95,31,308.15","22,940","1,74,571","53.25"
"M&M","EQ","13-Jan-2017","1,213.40","1,221.80","1,227.00","1,215.65","1,217.70","1,217.85","1,220.01","3,93,794","48,04,30,669.90","12,698","2,20,168","55.91"
"M&M","EQ","16-Jan-2017","1,217.85","1,215.00","1,226.80","1,207.40","1,209.40","1,211.00","1,217.45","4,90,151","59,67,33,183.05","17,396","3,70,606","75.61"
"M&M","EQ","17-Jan-2017","1,211.00","1,210.00","1,214.50","1,200.75","1,203.00","1,204.45","1,208.29","4,78,977","57,87,43,926.30","17,318","3,42,200","71.44"
"M&M","EQ","18-Jan-2017","1,204.45","1,205.10","1,220.40","1,202.30","1,210.95","1,214.60","1,212.74","9,79,188","1,18,75,03,579.30","27,142","7,62,053","77.82"
"M&M","EQ","19-Jan-2017","1,214.60","1,212.00","1,213.65","1,202.75","1,206.55","1,210.80","1,208.48","3,93,929","47,60,57,242.55","20,680","2,40,390","61.02"
