"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NTPC","EQ","01-Jan-2016","146.25","146.30","146.30","144.10","144.80","144.50","144.81","9,06,633","13,12,89,033.20","10,122","3,28,776","36.26"
"NTPC","EQ","04-Jan-2016","144.50","143.25","147.00","142.85","143.80","143.30","144.63","13,83,462","20,00,90,178.75","19,873","4,87,900","35.27"
"NTPC","EQ","05-Jan-2016","143.30","144.70","145.65","142.00","142.25","142.25","143.45","18,19,511","26,10,04,221.35","21,150","10,09,748","55.50"
"NTPC","EQ","06-Jan-2016","142.25","142.00","142.90","140.05","140.90","141.45","141.61","21,29,651","30,15,89,841.00","35,989","11,20,498","52.61"
"NTPC","EQ","07-Jan-2016","141.45","140.90","140.90","137.05","138.20","137.85","138.60","36,64,338","50,78,79,072.00","49,937","23,85,220","65.09"
"NTPC","EQ","08-Jan-2016","137.85","138.20","140.20","137.10","139.40","139.55","139.03","41,66,852","57,93,29,694.55","54,030","30,81,378","73.95"
"NTPC","EQ","11-Jan-2016","139.55","137.25","142.95","137.25","142.05","141.60","141.23","79,96,423","1,12,93,64,938.60","79,135","54,29,399","67.90"
"NTPC","EQ","12-Jan-2016","141.60","143.50","145.90","142.75","145.70","145.20","144.61","44,42,817","64,24,60,950.90","57,800","23,72,875","53.41"
"NTPC","EQ","13-Jan-2016","145.20","145.90","146.95","141.30","144.50","144.25","144.51","52,79,498","76,29,35,327.00","30,223","33,10,740","62.71"
"NTPC","EQ","14-Jan-2016","144.25","142.90","144.60","140.30","143.55","143.20","142.94","21,81,174","31,17,77,512.00","14,855","11,28,611","51.74"
"NTPC","EQ","15-Jan-2016","143.20","143.90","144.50","135.65","136.00","136.45","138.84","48,44,569","67,25,98,976.00","44,774","28,00,794","57.81"
"NTPC","EQ","18-Jan-2016","136.45","135.90","138.55","133.25","136.05","134.60","135.37","59,12,308","80,03,55,885.05","42,177","39,44,734","66.72"
"NTPC","EQ","19-Jan-2016","134.60","135.40","138.15","134.40","135.10","135.15","136.37","27,30,088","37,22,91,008.50","41,716","14,53,415","53.24"
"NTPC","EQ","20-Jan-2016","135.15","134.30","134.80","130.80","132.00","132.20","132.44","40,78,265","54,01,24,982.05","37,899","23,81,105","58.39"
"NTPC","EQ","21-Jan-2016","132.20","132.90","135.30","132.30","134.00","133.00","133.65","30,60,350","40,90,11,791.25","22,631","15,41,990","50.39"
"NTPC","EQ","22-Jan-2016","133.00","135.05","139.30","134.15","138.60","138.15","137.29","34,01,368","46,69,59,069.55","24,969","21,55,065","63.36"
