"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ONGC","EQ","02-Jan-2017","191.35","191.80","193.00","191.35","192.80","192.25","192.30","26,90,448","51,73,73,972.70","22,952","12,80,410","47.59"
"ONGC","EQ","03-Jan-2017","192.25","193.40","193.75","191.15","192.65","192.50","192.27","47,64,310","91,60,57,380.85","37,035","29,90,451","62.77"
"ONGC","EQ","04-Jan-2017","192.50","193.50","196.75","192.10","194.40","194.80","195.23","75,07,779","1,46,57,58,800.75","66,741","40,71,500","54.23"
"ONGC","EQ","05-Jan-2017","194.80","195.30","200.25","195.30","199.55","199.65","198.95","68,31,388","1,35,91,18,396.20","62,827","43,55,245","63.75"
"ONGC","EQ","06-Jan-2017","199.65","200.00","206.95","200.00","202.55","202.55","204.33","83,99,536","1,71,62,75,660.90","1,02,968","44,06,360","52.46"
"ONGC","EQ","09-Jan-2017","202.55","203.95","204.95","197.10","198.20","198.00","200.23","47,83,989","95,78,82,890.60","30,770","28,92,284","60.46"
"ONGC","EQ","10-Jan-2017","198.00","198.90","203.00","197.70","198.00","198.45","199.99","68,65,373","1,37,30,30,608.55","41,057","41,36,942","60.26"
"ONGC","EQ","11-Jan-2017","198.45","198.60","200.00","197.30","197.70","197.65","198.49","36,57,809","72,60,45,152.85","25,854","22,30,058","60.97"
"ONGC","EQ","12-Jan-2017","197.65","198.50","201.70","198.50","199.35","199.55","200.11","71,80,398","1,43,68,69,809.75","48,679","49,12,398","68.41"
"ONGC","EQ","13-Jan-2017","199.55","203.00","203.95","200.05","201.00","201.30","202.18","71,73,268","1,45,02,98,881.30","60,807","38,81,483","54.11"
"ONGC","EQ","16-Jan-2017","201.30","201.00","201.80","198.05","198.40","198.35","199.27","40,70,898","81,11,93,285.50","40,251","25,73,873","63.23"
"ONGC","EQ","17-Jan-2017","198.35","199.00","199.65","193.00","195.20","194.80","195.60","46,31,529","90,59,30,115.60","48,856","25,38,659","54.81"
"ONGC","EQ","18-Jan-2017","194.80","195.50","198.40","193.75","197.85","198.00","195.88","94,44,964","1,85,00,99,442.75","81,405","58,36,479","61.79"
"ONGC","EQ","19-Jan-2017","198.00","197.85","201.45","196.85","201.10","200.85","200.23","1,13,78,619","2,27,82,98,966.45","54,158","73,95,893","65.00"
"ONGC","EQ","20-Jan-2017","200.85","200.85","202.00","195.45","197.50","197.30","198.31","78,34,336","1,55,36,14,854.90","74,709","43,37,124","55.36"
"ONGC","EQ","23-Jan-2017","197.30","197.30","201.80","197.30","199.70","199.90","200.25","53,50,419","1,07,14,13,982.70","28,276","34,03,225","63.61"
"ONGC","EQ","24-Jan-2017","199.90","201.15","202.20","199.35","201.55","201.60","201.29","36,00,754","72,48,09,019.80","43,626","24,80,475","68.89"
"ONGC","EQ","25-Jan-2017","201.60","201.95","205.70","201.95","204.10","204.90","204.42","1,14,13,512","2,33,31,74,058.95","49,147","85,61,246","75.01"
"ONGC","EQ","27-Jan-2017","204.90","206.00","208.00","203.15","204.60","204.50","205.83","50,89,894","1,04,76,60,516.65","45,202","26,71,485","52.49"
"ONGC","EQ","30-Jan-2017","204.50","204.50","205.45","200.80","202.50","201.85","203.23","45,94,038","93,36,60,147.60","26,992","31,12,454","67.75"
"ONGC","EQ","31-Jan-2017","201.85","210.00","211.80","201.00","201.85","202.55","205.08","3,96,69,868","8,13,53,88,636.95","1,13,131","1,56,84,664","39.54"
"ONGC","EQ","01-Feb-2017","202.55","203.00","205.00","199.50","200.25","200.20","202.24","1,12,71,144","2,27,94,67,426.00","66,306","54,80,869","48.63"
"ONGC","EQ","02-Feb-2017","200.20","201.00","204.50","200.40","200.80","200.85","201.87","85,49,969","1,72,60,10,986.55","47,781","48,41,021","56.62"
"ONGC","EQ","03-Feb-2017","200.85","201.70","203.20","200.55","200.95","200.95","201.65","49,40,894","99,63,41,998.60","41,503","30,03,516","60.79"
"ONGC","EQ","06-Feb-2017","200.95","202.80","202.85","198.75","198.85","199.00","200.03","59,26,274","1,18,54,48,337.25","47,768","40,85,486","68.94"
"ONGC","EQ","07-Feb-2017","199.00","198.00","199.50","192.65","193.30","193.30","195.51","1,08,05,646","2,11,26,52,962.90","78,168","61,84,546","57.23"
"ONGC","EQ","08-Feb-2017","193.30","194.00","196.00","192.55","194.60","194.40","194.25","71,06,853","1,38,05,01,004.60","60,895","44,96,740","63.27"
