"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERGRID","EQ","02-Jan-2023","213.70","214.55","215.50","213.00","215.20","215.05","214.54","44,69,546","95,88,81,914.05","45,693","23,11,073","51.71"
"POWERGRID","EQ","03-Jan-2023","215.05","215.25","216.20","214.35","215.40","215.60","215.16","21,54,833","46,36,41,188.85","32,183","10,56,247","49.02"
"POWERGRID","EQ","04-Jan-2023","215.60","215.40","215.40","210.50","211.15","211.05","212.11","74,65,907","1,58,36,22,006.95","57,483","50,37,553","67.47"
"POWERGRID","EQ","05-Jan-2023","211.05","211.90","211.90","206.60","209.00","208.80","208.45","1,59,55,132","3,32,58,08,765.05","87,266","1,12,59,414","70.57"
"POWERGRID","EQ","06-Jan-2023","208.80","208.15","210.30","207.55","208.30","208.10","208.57","86,32,854","1,80,05,62,505.05","61,992","64,24,875","74.42"
"POWERGRID","EQ","09-Jan-2023","208.10","209.20","211.95","204.25","209.10","209.10","206.59","3,93,63,845","8,13,21,43,626.50","1,01,945","3,26,92,599","83.05"
"POWERGRID","EQ","10-Jan-2023","209.10","209.90","212.45","209.00","211.85","211.80","211.00","1,29,36,245","2,72,96,08,651.05","89,691","76,89,306","59.44"
"POWERGRID","EQ","11-Jan-2023","211.80","212.20","213.05","210.10","211.75","211.95","211.70","68,73,271","1,45,50,86,914.05","69,930","42,14,697","61.32"
"POWERGRID","EQ","12-Jan-2023","211.95","213.55","213.90","211.40","213.50","213.50","212.74","1,58,84,667","3,37,93,60,948.65","68,460","1,32,22,190","83.24"
"POWERGRID","EQ","13-Jan-2023","213.50","213.60","215.35","213.30","214.10","214.00","214.26","49,20,184","1,05,42,04,944.35","39,838","31,08,441","63.18"
"POWERGRID","EQ","16-Jan-2023","214.00","215.00","215.90","212.70","215.65","215.65","214.55","62,71,646","1,34,55,78,588.85","47,286","47,23,866","75.32"
"POWERGRID","EQ","17-Jan-2023","215.65","215.65","218.70","214.90","218.25","218.40","217.55","97,50,429","2,12,12,53,336.00","53,564","70,98,413","72.80"
"POWERGRID","EQ","18-Jan-2023","218.40","218.30","220.15","216.40","219.35","219.35","218.47","83,78,527","1,83,04,81,404.30","60,583","57,23,466","68.31"
"POWERGRID","EQ","19-Jan-2023","219.35","218.80","221.25","218.65","221.15","220.75","220.09","86,90,112","1,91,26,26,701.90","51,145","67,95,296","78.20"
"POWERGRID","EQ","20-Jan-2023","220.75","221.00","223.90","221.00","223.35","223.25","223.02","75,84,484","1,69,14,90,031.65","60,139","52,88,196","69.72"
"POWERGRID","EQ","23-Jan-2023","223.25","224.00","228.30","223.55","224.55","225.10","226.33","1,07,95,208","2,44,32,78,542.20","75,864","64,93,361","60.15"
"POWERGRID","EQ","24-Jan-2023","225.10","226.25","226.60","220.50","220.90","220.95","221.98","46,13,170","1,02,40,14,662.05","52,228","28,32,494","61.40"
"POWERGRID","EQ","25-Jan-2023","220.95","220.70","221.25","217.80","218.85","219.40","219.30","43,42,749","95,23,71,457.15","52,017","27,71,723","63.82"
"POWERGRID","EQ","27-Jan-2023","219.40","219.30","221.45","217.00","219.20","219.25","218.62","78,43,953","1,71,48,54,037.65","74,997","53,02,057","67.59"
"POWERGRID","EQ","30-Jan-2023","219.25","218.00","218.85","210.55","212.05","211.85","212.18","1,82,16,133","3,86,51,63,494.05","1,26,127","1,30,63,003","71.71"
"POWERGRID","EQ","31-Jan-2023","211.85","212.60","220.20","212.15","218.00","216.65","217.19","1,57,48,160","3,42,03,15,255.90","99,268","1,07,72,102","68.40"
"POWERGRID","EQ","01-Feb-2023","216.65","225.00","225.00","213.60","216.00","216.55","218.47","1,51,84,777","3,31,74,31,102.75","95,846","92,93,048","61.20"
"POWERGRID","EQ","02-Feb-2023","216.55","216.00","217.10","211.35","212.85","212.70","213.67","96,15,498","2,05,45,16,141.25","65,796","63,98,469","66.54"
"POWERGRID","EQ","03-Feb-2023","212.70","213.20","215.15","210.40","215.00","214.85","212.88","81,11,765","1,72,67,96,213.15","72,107","54,14,530","66.75"
"POWERGRID","EQ","06-Feb-2023","214.85","213.45","217.35","213.05","217.30","217.05","215.71","52,11,151","1,12,40,83,293.95","49,948","35,20,195","67.55"
"POWERGRID","EQ","07-Feb-2023","217.05","218.00","218.20","215.10","217.30","216.85","216.54","75,26,645","1,62,98,23,089.15","45,421","56,05,602","74.48"
"POWERGRID","EQ","08-Feb-2023","216.85","212.85","213.25","210.45","212.40","212.00","212.08","93,24,540","1,97,75,09,225.80","70,236","60,40,884","64.78"
"POWERGRID","EQ","09-Feb-2023","212.00","212.00","213.95","212.00","212.85","212.85","213.03","52,58,312","1,12,01,63,393.35","51,834","36,14,985","68.75"
"POWERGRID","EQ","10-Feb-2023","212.85","211.90","214.45","211.85","213.65","214.10","213.70","81,69,120","1,74,57,21,528.75","55,941","63,64,149","77.90"
"POWERGRID","EQ","13-Feb-2023","214.10","214.10","216.50","214.00","215.85","216.00","215.38","57,82,600","1,24,54,65,401.85","52,741","42,18,386","72.95"
"POWERGRID","EQ","14-Feb-2023","216.00","217.05","217.05","212.75","215.15","215.00","214.13","45,08,011","96,53,08,166.50","55,718","30,36,409","67.36"
"POWERGRID","EQ","15-Feb-2023","215.00","213.25","215.20","213.00","214.40","214.50","213.92","60,80,623","1,30,07,91,588.05","47,980","46,02,467","75.69"
"POWERGRID","EQ","16-Feb-2023","214.50","216.90","216.90","214.00","214.85","214.60","214.70","29,72,337","63,81,60,242.05","36,227","18,50,731","62.27"
"POWERGRID","EQ","17-Feb-2023","214.60","214.00","215.90","213.00","213.55","213.80","214.10","48,68,362","1,04,23,16,063.95","39,272","35,35,578","72.62"
"POWERGRID","EQ","20-Feb-2023","213.80","215.60","217.00","214.20","216.15","215.80","215.80","51,31,438","1,10,73,46,856.95","52,334","23,96,435","46.70"
"POWERGRID","EQ","21-Feb-2023","215.80","217.55","218.75","216.05","217.60","217.20","217.40","50,26,076","1,09,26,80,057.85","57,949","31,75,679","63.18"
"POWERGRID","EQ","22-Feb-2023","217.20","216.00","217.30","213.00","214.95","214.65","214.41","68,46,495","1,46,79,62,129.70","72,069","50,15,813","73.26"
"POWERGRID","EQ","23-Feb-2023","214.65","215.00","215.90","212.60","213.20","213.25","213.97","77,59,406","1,66,03,06,098.80","62,914","55,86,748","72.00"
"POWERGRID","EQ","24-Feb-2023","213.25","212.40","215.40","212.40","214.95","215.05","214.06","73,56,623","1,57,47,36,970.65","42,582","60,90,914","82.79"
"POWERGRID","EQ","27-Feb-2023","215.05","216.45","219.95","214.55","219.70","219.20","216.33","1,33,22,714","2,88,20,92,306.55","86,364","84,82,142","63.67"
"POWERGRID","EQ","28-Feb-2023","219.20","220.60","223.00","218.75","222.00","222.25","221.00","2,74,19,459","6,05,96,14,533.15","1,12,318","2,14,96,667","78.40"
"POWERGRID","EQ","01-Mar-2023","222.25","221.55","222.25","217.40","218.80","218.90","218.68","96,72,064","2,11,51,21,549.70","78,389","61,47,519","63.56"
"POWERGRID","EQ","02-Mar-2023","218.90","218.00","221.00","215.80","220.55","220.35","217.50","5,97,81,419","13,00,22,00,151.65","91,617","5,38,66,510","90.11"
"POWERGRID","EQ","03-Mar-2023","220.35","220.40","225.45","220.40","222.25","222.10","223.68","74,63,902","1,66,95,52,089.65","73,072","29,50,787","39.53"
"POWERGRID","EQ","06-Mar-2023","222.10","224.00","228.80","223.00","227.25","227.15","227.15","1,17,44,968","2,66,78,55,992.10","1,20,152","70,14,676","59.72"
"POWERGRID","EQ","08-Mar-2023","227.15","226.95","228.35","225.70","227.55","228.05","227.19","86,93,622","1,97,51,18,200.55","95,240","57,02,101","65.59"
"POWERGRID","EQ","09-Mar-2023","228.05","229.00","230.45","225.50","226.25","225.80","227.64","1,04,56,240","2,38,02,27,290.05","56,572","75,89,599","72.58"
"POWERGRID","EQ","10-Mar-2023","225.80","222.25","228.15","222.25","226.65","226.55","225.93","72,04,076","1,62,76,32,172.15","86,419","50,26,850","69.78"
"POWERGRID","EQ","13-Mar-2023","226.55","228.05","230.05","225.40","226.55","226.10","227.61","99,07,240","2,25,49,95,182.00","89,340","68,94,672","69.59"
"POWERGRID","EQ","14-Mar-2023","226.10","225.15","227.75","224.00","225.45","225.20","225.85","71,87,554","1,62,33,10,979.55","74,944","43,55,007","60.59"
"POWERGRID","EQ","15-Mar-2023","225.20","226.60","230.05","225.70","228.45","228.30","228.30","91,71,052","2,09,37,25,846.10","1,24,317","65,64,035","71.57"
"POWERGRID","EQ","16-Mar-2023","228.30","229.45","232.90","228.35","231.80","232.15","231.47","1,38,28,363","3,20,08,14,705.10","1,23,712","1,00,59,871","72.75"
"POWERGRID","EQ","17-Mar-2023","232.15","233.95","234.00","228.30","229.40","229.70","231.27","2,52,83,269","5,84,73,70,778.65","1,20,170","1,74,00,015","68.82"
"POWERGRID","EQ","20-Mar-2023","229.70","225.30","229.40","225.30","227.40","227.50","227.08","69,61,059","1,58,07,51,619.60","61,620","43,53,098","62.53"
"POWERGRID","EQ","21-Mar-2023","227.50","227.25","227.70","222.45","223.10","223.15","223.81","84,54,591","1,89,22,40,143.10","63,435","53,21,666","62.94"
"POWERGRID","EQ","22-Mar-2023","223.15","223.00","224.70","220.80","224.05","224.10","222.67","56,92,385","1,26,75,47,358.05","44,556","33,51,176","58.87"
"POWERGRID","EQ","23-Mar-2023","224.10","224.00","224.50","221.25","222.00","222.15","223.00","1,28,18,474","2,85,85,81,143.85","43,985","95,60,681","74.59"
"POWERGRID","EQ","24-Mar-2023","222.15","223.00","224.25","220.80","222.45","222.40","222.56","77,78,750","1,73,12,37,232.25","43,987","55,70,504","71.61"
"POWERGRID","EQ","27-Mar-2023","222.40","222.90","226.25","219.55","219.90","220.10","223.36","1,49,87,800","3,34,76,96,296.30","47,090","1,21,02,694","80.75"
"POWERGRID","EQ","28-Mar-2023","220.10","221.25","223.10","218.70","221.85","222.10","220.97","65,16,875","1,44,00,49,928.30","45,753","42,62,290","65.40"
"POWERGRID","EQ","29-Mar-2023","222.10","222.10","223.70","220.55","223.50","222.45","222.29","1,48,07,444","3,29,15,37,195.35","73,688","1,08,51,469","73.28"
"POWERGRID","EQ","31-Mar-2023","222.45","224.00","226.75","223.00","225.50","225.70","225.28","76,51,544","1,72,37,20,419.35","58,908","53,53,590","69.97"
"POWERGRID","EQ","03-Apr-2023","225.70","227.35","227.35","223.85","224.50","224.60","224.87","57,32,411","1,28,90,72,337.40","62,097","41,19,919","71.87"
"POWERGRID","EQ","05-Apr-2023","224.60","226.60","226.60","223.70","226.00","225.65","224.92","90,14,537","2,02,75,85,083.35","57,789","75,32,162","83.56"
"POWERGRID","EQ","06-Apr-2023","225.65","227.20","227.40","224.65","224.90","225.25","225.75","32,12,157","72,51,48,349.65","34,193","15,52,184","48.32"
"POWERGRID","EQ","10-Apr-2023","225.25","225.20","229.40","225.00","228.90","229.05","228.12","31,09,233","70,92,67,085.55","37,848","13,36,782","42.99"
"POWERGRID","EQ","11-Apr-2023","229.05","228.90","232.00","228.45","231.25","231.35","230.34","38,29,952","88,22,07,265.65","48,167","18,46,095","48.20"
"POWERGRID","EQ","12-Apr-2023","231.35","231.40","231.55","227.05","227.50","227.30","228.32","68,39,097","1,56,15,22,626.25","51,827","49,81,194","72.83"
"POWERGRID","EQ","13-Apr-2023","227.30","227.30","231.65","227.00","231.65","231.20","229.25","85,71,466","1,96,50,44,499.55","52,636","66,49,297","77.57"
