"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","01-Jan-2016","1,014.60","1,009.80","1,018.90","1,008.20","1,013.60","1,015.35","1,015.52","12,38,135","1,25,73,52,825.30","30,701","5,29,539","42.77"
"RELIANCE","EQ","04-Jan-2016","1,015.35","1,005.00","1,013.80","986.70","993.20","995.30","998.91","68,96,571","6,88,90,70,474.95","66,235","49,74,602","72.13"
"RELIANCE","EQ","05-Jan-2016","995.30","1,000.30","1,010.00","997.00","1,005.00","1,005.15","1,003.41","34,16,459","3,42,81,25,271.00","59,935","19,87,804","58.18"
"RELIANCE","EQ","06-Jan-2016","1,005.15","1,007.60","1,038.40","1,000.40","1,029.10","1,032.20","1,028.15","61,16,855","6,28,90,73,420.75","1,60,947","29,12,662","47.62"
"RELIANCE","EQ","07-Jan-2016","1,032.20","1,021.05","1,028.00","1,008.05","1,018.90","1,013.25","1,016.73","45,12,219","4,58,77,00,424.70","1,05,075","24,74,491","54.84"
"RELIANCE","EQ","08-Jan-2016","1,013.25","1,020.00","1,032.90","1,016.70","1,027.40","1,025.75","1,026.11","48,71,839","4,99,90,56,504.30","1,76,664","27,46,938","56.38"
"RELIANCE","EQ","11-Jan-2016","1,025.75","1,015.95","1,060.80","1,011.00","1,054.00","1,051.60","1,047.90","66,32,671","6,95,03,89,024.85","1,35,818","34,86,732","52.57"
"RELIANCE","EQ","12-Jan-2016","1,051.60","1,055.00","1,065.40","1,041.10","1,044.40","1,045.45","1,053.10","53,42,761","5,62,64,65,575.50","1,43,685","30,07,937","56.30"
"RELIANCE","EQ","13-Jan-2016","1,045.45","1,053.10","1,089.75","1,047.20","1,073.20","1,076.85","1,060.93","1,64,12,811","17,41,28,25,595.70","1,76,074","90,71,367","55.27"
"RELIANCE","EQ","14-Jan-2016","1,076.85","1,063.85","1,081.00","1,053.05","1,060.45","1,061.65","1,067.41","63,59,913","6,78,86,22,870.15","1,37,443","32,84,265","51.64"
