"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SRTRANSFIN","EQ","01-Jan-2019","1,239.95","1,244.95","1,246.75","1,219.20","1,232.00","1,229.75","1,230.60","5,45,844","67,17,16,295.00","13,992","28,305","5.19"
"SRTRANSFIN","EQ","02-Jan-2019","1,229.75","1,230.10","1,252.00","1,176.55","1,191.35","1,195.40","1,214.63","15,88,301","1,92,92,02,666.25","48,307","1,98,533","12.50"
"SRTRANSFIN","EQ","03-Jan-2019","1,195.40","1,195.00","1,206.00","1,141.25","1,144.10","1,152.90","1,173.78","15,45,225","1,81,37,53,953.00","43,584","4,64,015","30.03"
"SRTRANSFIN","EQ","04-Jan-2019","1,152.90","1,150.00","1,171.95","1,133.00","1,161.00","1,162.65","1,155.42","16,61,620","1,91,98,72,444.75","48,651","3,91,605","23.57"
"SRTRANSFIN","EQ","07-Jan-2019","1,162.65","1,173.60","1,188.00","1,158.85","1,177.00","1,176.30","1,173.17","9,00,132","1,05,60,07,590.25","34,648","1,58,568","17.62"
"SRTRANSFIN","EQ","08-Jan-2019","1,176.30","1,177.00","1,196.80","1,165.80","1,192.80","1,192.75","1,182.94","7,60,825","90,00,10,161.70","21,829","1,19,790","15.74"
"SRTRANSFIN","EQ","09-Jan-2019","1,192.75","1,192.75","1,217.00","1,188.55","1,215.10","1,209.95","1,199.16","8,34,425","1,00,06,11,419.30","26,763","1,90,999","22.89"
"SRTRANSFIN","EQ","10-Jan-2019","1,209.95","1,208.00","1,220.85","1,180.00","1,184.05","1,186.35","1,197.41","8,76,768","1,04,98,54,163.95","30,903","1,50,808","17.20"
"SRTRANSFIN","EQ","11-Jan-2019","1,186.35","1,197.70","1,197.70","1,171.10","1,187.50","1,189.70","1,183.50","6,73,078","79,65,84,945.40","20,985","66,782","9.92"
"SRTRANSFIN","EQ","14-Jan-2019","1,189.70","1,190.80","1,191.05","1,144.75","1,169.10","1,169.05","1,173.89","5,53,691","64,99,70,662.05","20,206","1,72,308","31.12"
"SRTRANSFIN","EQ","15-Jan-2019","1,169.05","1,171.00","1,192.50","1,165.45","1,183.35","1,188.20","1,180.54","7,77,787","91,82,10,401.70","25,400","3,28,389","42.22"
"SRTRANSFIN","EQ","16-Jan-2019","1,188.20","1,190.00","1,199.70","1,175.00","1,185.55","1,188.20","1,184.95","11,85,014","1,40,41,84,467.60","27,602","6,69,579","56.50"
"SRTRANSFIN","EQ","17-Jan-2019","1,188.20","1,188.00","1,207.60","1,143.00","1,150.00","1,149.50","1,172.79","20,60,773","2,41,68,56,289.50","60,590","8,81,203","42.76"
"SRTRANSFIN","EQ","18-Jan-2019","1,149.50","1,159.00","1,167.40","1,131.35","1,135.00","1,135.80","1,144.76","10,77,840","1,23,38,67,478.45","48,899","4,48,325","41.59"
"SRTRANSFIN","EQ","21-Jan-2019","1,135.80","1,139.00","1,140.75","1,106.90","1,110.50","1,114.70","1,117.66","10,88,957","1,21,70,88,487.75","39,203","2,80,971","25.80"
"SRTRANSFIN","EQ","22-Jan-2019","1,114.70","1,111.00","1,122.60","1,089.10","1,094.00","1,096.15","1,102.00","14,61,298","1,61,03,51,913.20","45,503","4,71,841","32.29"
"SRTRANSFIN","EQ","23-Jan-2019","1,096.15","1,096.00","1,107.00","1,080.05","1,089.25","1,088.05","1,096.65","12,40,765","1,36,06,90,576.45","37,250","5,05,348","40.73"
"SRTRANSFIN","EQ","24-Jan-2019","1,088.05","1,098.80","1,121.00","1,086.10","1,115.60","1,114.55","1,107.26","8,16,136","90,36,70,949.85","34,163","2,09,803","25.71"
"SRTRANSFIN","EQ","25-Jan-2019","1,114.55","1,120.00","1,133.15","1,109.00","1,123.05","1,120.15","1,120.77","11,91,243","1,33,51,04,248.10","41,100","5,16,712","43.38"
"SRTRANSFIN","EQ","28-Jan-2019","1,120.15","1,124.00","1,124.00","1,043.15","1,055.00","1,055.70","1,066.63","23,98,246","2,55,80,31,165.25","75,823","-","-"
"SRTRANSFIN","EQ","29-Jan-2019","1,055.70","1,055.00","1,055.95","995.00","1,025.00","1,026.60","1,021.05","37,52,941","3,83,19,24,013.95","1,37,277","19,69,197","52.47"
"SRTRANSFIN","EQ","30-Jan-2019","1,026.60","1,025.00","1,036.60","1,002.60","1,012.85","1,014.70","1,015.54","17,22,444","1,74,92,12,359.70","62,019","9,42,358","54.71"
"SRTRANSFIN","EQ","31-Jan-2019","1,014.70","1,016.00","1,024.95","991.35","1,017.35","1,015.35","1,011.61","20,21,427","2,04,48,89,238.35","68,481","9,76,078","48.29"
