"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAGLOBAL","EQ","02-Jan-2017","122.00","122.80","124.20","121.35","123.55","123.55","122.85","11,02,178","13,54,06,433.10","6,117","4,28,401","38.87"
"TATAGLOBAL","EQ","03-Jan-2017","123.55","122.80","125.40","122.80","124.75","124.45","124.38","5,80,430","7,21,93,400.75","4,024","1,63,685","28.20"
"TATAGLOBAL","EQ","04-Jan-2017","124.45","125.00","126.05","123.80","124.10","124.45","124.80","6,56,213","8,18,97,703.65","4,883","1,33,402","20.33"
"TATAGLOBAL","EQ","05-Jan-2017","124.45","124.75","125.65","124.55","125.30","125.20","125.15","5,03,565","6,30,23,209.15","3,533","1,52,311","30.25"
"TATAGLOBAL","EQ","06-Jan-2017","125.20","125.40","126.95","124.05","124.50","124.65","125.39","12,55,021","15,73,66,864.15","6,835","5,17,654","41.25"
"TATAGLOBAL","EQ","09-Jan-2017","124.65","124.75","125.50","123.95","124.75","124.75","124.76","4,14,927","5,17,65,127.40","2,052","1,49,458","36.02"
"TATAGLOBAL","EQ","10-Jan-2017","124.75","125.50","125.50","123.80","124.50","124.45","124.37","5,33,212","6,63,16,171.60","7,015","1,68,319","31.57"
"TATAGLOBAL","EQ","11-Jan-2017","124.45","125.00","127.90","124.55","127.65","127.55","126.51","8,39,283","10,61,75,245.00","6,474","3,96,528","47.25"
"TATAGLOBAL","EQ","12-Jan-2017","127.55","128.30","128.40","124.05","124.90","125.15","125.68","14,03,598","17,64,04,945.00","10,494","4,38,003","31.21"
"TATAGLOBAL","EQ","13-Jan-2017","125.15","126.90","130.90","126.65","128.15","128.35","129.05","36,17,760","46,68,88,421.45","22,962","9,06,695","25.06"
"TATAGLOBAL","EQ","16-Jan-2017","128.35","128.20","128.40","127.00","127.60","127.65","127.72","5,38,746","6,88,06,101.05","3,524","1,61,755","30.02"
"TATAGLOBAL","EQ","17-Jan-2017","127.65","128.60","129.40","126.55","127.50","127.60","128.03","8,51,814","10,90,56,981.20","5,528","3,37,040","39.57"
"TATAGLOBAL","EQ","18-Jan-2017","127.60","128.00","130.45","127.70","128.50","128.65","129.03","10,59,940","13,67,67,858.60","6,309","4,55,734","43.00"
"TATAGLOBAL","EQ","19-Jan-2017","128.65","129.80","131.55","129.15","130.25","130.50","130.49","13,08,883","17,08,01,760.15","9,932","3,95,773","30.24"
"TATAGLOBAL","EQ","20-Jan-2017","130.50","130.25","131.35","126.00","126.90","126.40","128.29","9,61,631","12,33,64,022.35","8,023","3,93,642","40.93"
"TATAGLOBAL","EQ","23-Jan-2017","126.40","127.60","128.40","126.60","127.65","127.90","127.67","7,46,313","9,52,82,689.30","4,916","2,36,243","31.65"
"TATAGLOBAL","EQ","24-Jan-2017","127.90","128.80","128.95","126.85","128.50","128.45","127.77","9,96,229","12,72,85,219.00","8,834","2,10,671","21.15"
"TATAGLOBAL","EQ","25-Jan-2017","128.45","129.25","129.25","127.45","128.30","128.35","128.23","9,09,771","11,66,60,227.00","3,968","5,03,525","55.35"
"TATAGLOBAL","EQ","27-Jan-2017","128.35","128.35","129.95","128.35","128.80","129.20","129.32","7,59,876","9,82,69,655.80","5,303","2,50,640","32.98"
"TATAGLOBAL","EQ","30-Jan-2017","129.20","129.10","131.80","128.10","130.25","130.45","130.10","12,56,759","16,35,00,934.35","9,366","3,60,824","28.71"
"TATAGLOBAL","EQ","31-Jan-2017","130.45","130.50","132.00","128.50","128.70","128.85","130.11","16,14,154","21,00,15,925.55","9,157","5,77,552","35.78"
"TATAGLOBAL","EQ","01-Feb-2017","128.85","129.05","130.65","127.35","129.85","130.10","129.36","12,21,969","15,80,77,650.90","7,793","3,06,363","25.07"
