"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","01-Jan-2019","172.70","173.50","174.20","171.30","174.00","173.45","172.71","67,15,543","1,15,98,66,971.20","42,618","10,12,065","15.07"
"TATAMOTORS","EQ","02-Jan-2019","173.45","170.60","171.75","168.00","168.40","168.55","169.85","1,34,10,104","2,27,76,69,120.50","77,641","33,29,142","24.83"
"TATAMOTORS","EQ","03-Jan-2019","168.55","169.00","170.15","165.10","165.70","166.05","167.81","93,21,842","1,56,42,67,952.55","71,994","24,06,742","25.82"
"TATAMOTORS","EQ","04-Jan-2019","166.05","169.00","171.95","168.50","171.15","170.95","170.46","1,76,50,435","3,00,87,77,564.85","1,03,949","24,51,594","13.89"
"TATAMOTORS","EQ","07-Jan-2019","170.95","173.20","178.20","173.20","175.25","175.35","176.27","2,14,38,351","3,77,89,53,045.30","1,36,086","48,49,592","22.62"
"TATAMOTORS","EQ","08-Jan-2019","175.35","176.10","180.50","176.10","179.95","179.95","179.01","2,01,28,985","3,60,33,38,781.30","1,16,893","49,77,251","24.73"
"TATAMOTORS","EQ","09-Jan-2019","179.95","181.50","183.60","180.20","183.55","183.05","182.05","1,74,68,948","3,18,02,37,350.20","1,14,177","30,61,311","17.52"
"TATAMOTORS","EQ","10-Jan-2019","183.05","183.65","186.85","183.55","185.50","185.75","185.74","1,69,61,888","3,15,05,21,337.85","96,659","37,84,379","22.31"
"TATAMOTORS","EQ","11-Jan-2019","185.75","186.55","187.75","179.40","179.80","180.30","182.53","2,59,02,974","4,72,79,45,471.15","1,22,548","56,93,316","21.98"
"TATAMOTORS","EQ","14-Jan-2019","180.30","180.30","198.30","177.45","182.40","182.40","180.72","1,89,35,120","3,42,20,07,613.90","94,255","49,48,479","26.13"
"TATAMOTORS","EQ","15-Jan-2019","182.40","183.30","185.80","181.25","184.90","185.35","183.58","1,35,36,578","2,48,50,39,486.85","73,236","24,46,743","18.08"
"TATAMOTORS","EQ","16-Jan-2019","185.35","186.00","187.35","184.05","185.60","185.45","185.63","1,18,74,245","2,20,42,41,788.40","67,725","16,29,590","13.72"
"TATAMOTORS","EQ","17-Jan-2019","185.45","186.00","187.30","183.40","184.95","184.90","185.18","93,65,756","1,73,43,04,928.40","61,476","17,93,071","19.14"
"TATAMOTORS","EQ","18-Jan-2019","184.90","185.65","185.65","181.30","183.90","183.30","183.40","67,97,621","1,24,66,63,273.55","54,111","12,35,900","18.18"
"TATAMOTORS","EQ","21-Jan-2019","183.30","184.30","184.95","180.65","181.40","181.50","182.21","69,18,258","1,26,05,80,456.95","51,105","15,83,873","22.89"
"TATAMOTORS","EQ","22-Jan-2019","181.50","181.50","181.50","175.95","180.75","180.85","179.19","97,75,717","1,75,17,43,502.15","69,527","15,24,357","15.59"
"TATAMOTORS","EQ","23-Jan-2019","180.85","181.70","182.70","178.55","179.90","180.25","180.41","97,78,926","1,76,42,16,000.40","62,779","15,85,259","16.21"
"TATAMOTORS","EQ","24-Jan-2019","180.25","180.00","180.30","173.70","175.55","175.40","175.75","1,34,61,254","2,36,57,94,416.45","83,379","30,37,314","22.56"
"TATAMOTORS","EQ","25-Jan-2019","175.40","175.95","178.90","171.95","173.30","173.25","176.09","1,21,36,892","2,13,71,57,216.10","80,117","35,31,714","29.10"
"TATAMOTORS","EQ","28-Jan-2019","173.25","173.30","175.35","169.40","172.20","172.30","171.96","81,67,430","1,40,44,35,303.95","56,550","-","-"
"TATAMOTORS","EQ","29-Jan-2019","172.30","172.35","174.90","170.90","174.00","173.60","173.23","61,41,180","1,06,38,29,113.90","47,983","10,43,877","17.00"
"TATAMOTORS","EQ","30-Jan-2019","173.60","174.30","176.75","173.30","174.90","174.60","174.87","77,57,847","1,35,66,30,812.80","63,499","21,60,300","27.85"
"TATAMOTORS","EQ","31-Jan-2019","174.60","175.80","183.90","175.80","179.95","181.20","178.70","2,22,77,646","3,98,10,40,185.60","1,02,976","1,23,60,263","55.48"
"TATAMOTORS","EQ","01-Feb-2019","181.20","182.00","185.90","179.55","182.00","181.65","182.80","1,49,31,422","2,72,94,92,471.30","1,09,454","37,91,177","25.39"
"TATAMOTORS","EQ","04-Feb-2019","181.65","181.00","183.70","178.20","181.20","180.25","180.70","1,18,54,351","2,14,21,07,680.25","74,380","22,37,533","18.88"
"TATAMOTORS","EQ","05-Feb-2019","180.25","180.70","181.15","174.70","176.00","175.80","176.67","1,20,64,426","2,13,14,15,822.65","77,228","24,67,735","20.45"
"TATAMOTORS","EQ","06-Feb-2019","175.80","176.00","179.45","171.90","179.10","178.50","175.68","1,03,34,594","1,81,55,88,584.80","65,918","15,15,052","14.66"
"TATAMOTORS","EQ","07-Feb-2019","178.50","179.00","185.00","178.90","183.20","182.85","182.49","1,61,52,722","2,94,77,57,760.65","1,07,038","26,06,029","16.13"
"TATAMOTORS","EQ","08-Feb-2019","182.85","164.60","164.60","129.00","150.15","150.70","151.25","10,22,56,857","15,46,63,17,393.30","5,50,656","2,05,63,700","20.11"
"TATAMOTORS","EQ","11-Feb-2019","150.70","150.15","153.25","145.85","153.00","152.65","150.22","2,61,61,867","3,92,99,93,774.70","1,48,949","51,81,023","19.80"
"TATAMOTORS","EQ","12-Feb-2019","152.65","152.95","154.40","150.60","152.00","151.80","152.54","1,41,74,912","2,16,23,06,699.70","89,715","34,36,432","24.24"
"TATAMOTORS","EQ","13-Feb-2019","151.80","152.95","156.65","151.50","155.15","155.00","154.33","1,53,40,343","2,36,74,51,305.55","92,166","58,43,988","38.10"
"TATAMOTORS","EQ","14-Feb-2019","155.00","155.95","161.00","153.80","159.45","159.85","157.41","1,63,48,306","2,57,33,75,483.20","1,02,639","36,43,168","22.28"
"TATAMOTORS","EQ","15-Feb-2019","159.85","159.80","162.30","153.15","162.20","161.65","157.95","2,07,05,576","3,27,04,40,371.00","1,17,116","67,98,429","32.83"
