"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","01-Jan-2024","139.60","140.00","140.95","139.05","139.70","139.85","140.16","2,11,86,105","2,96,94,70,656.95","1,87,550","94,35,252","44.54"
"TATASTEEL","EQ","02-Jan-2024","139.85","140.50","140.60","137.05","139.50","139.60","139.16","2,77,64,060","3,86,37,03,836.75","1,67,466","1,12,28,879","40.44"
"TATASTEEL","EQ","03-Jan-2024","139.60","139.50","139.60","134.35","135.00","135.35","136.44","4,51,76,618","6,16,40,41,917.50","2,79,840","2,51,70,203","55.72"
"TATASTEEL","EQ","04-Jan-2024","135.35","136.00","136.35","134.00","134.40","134.25","134.42","4,39,13,498","5,90,26,44,745.45","2,49,740","2,35,66,864","53.67"
"TATASTEEL","EQ","05-Jan-2024","134.25","135.00","135.95","132.85","133.70","133.65","134.34","7,13,30,190","9,58,21,67,218.80","2,48,067","4,35,66,825","61.08"
"TATASTEEL","EQ","08-Jan-2024","133.65","135.30","135.95","131.75","132.30","132.00","133.63","3,95,59,717","5,28,64,69,683.20","2,28,285","1,90,11,288","48.06"
"TATASTEEL","EQ","09-Jan-2024","132.00","133.50","134.80","132.50","133.85","133.65","133.81","3,07,36,868","4,11,30,02,298.90","1,68,721","1,56,76,957","51.00"
"TATASTEEL","EQ","10-Jan-2024","133.65","133.80","134.70","132.10","134.15","134.10","133.72","2,72,13,624","3,63,90,89,609.30","1,75,426","1,13,92,493","41.86"
"TATASTEEL","EQ","11-Jan-2024","134.10","134.85","135.65","134.20","135.10","134.90","135.05","2,31,13,349","3,12,15,21,575.35","1,52,705","1,06,01,792","45.87"
"TATASTEEL","EQ","12-Jan-2024","134.90","135.80","136.25","134.65","135.45","135.30","135.58","3,28,83,921","4,45,85,50,005.35","1,70,543","1,68,25,060","51.17"
"TATASTEEL","EQ","15-Jan-2024","135.30","136.00","136.25","133.95","135.00","134.90","134.79","3,41,58,775","4,60,43,27,884.95","1,77,458","1,74,64,591","51.13"
"TATASTEEL","EQ","16-Jan-2024","134.90","134.70","138.50","134.00","137.25","137.25","136.59","5,63,61,287","7,69,81,43,042.30","2,13,394","2,43,97,180","43.29"
"TATASTEEL","EQ","17-Jan-2024","137.25","135.45","135.75","131.40","131.80","131.65","133.28","5,89,82,971","7,86,10,46,380.15","2,98,756","3,23,93,747","54.92"
"TATASTEEL","EQ","18-Jan-2024","131.65","131.65","132.25","128.20","131.35","131.00","130.47","4,52,73,496","5,90,66,40,975.60","2,67,573","2,00,66,091","44.32"
"TATASTEEL","EQ","19-Jan-2024","131.00","132.60","134.70","131.60","134.10","134.25","133.63","3,26,53,013","4,36,35,34,601.95","1,87,679","1,21,62,380","37.25"
"TATASTEEL","EQ","20-Jan-2024","134.25","134.25","135.20","133.30","133.90","133.95","134.26","1,65,78,179","2,22,57,19,129.05","1,22,378","67,53,550","40.74"
"TATASTEEL","EQ","23-Jan-2024","133.95","134.80","135.20","129.30","130.05","130.10","132.31","3,53,73,970","4,68,04,31,862.50","2,17,517","1,73,20,071","48.96"
"TATASTEEL","EQ","24-Jan-2024","130.10","130.20","135.55","130.10","134.90","135.15","133.35","3,93,40,119","5,24,58,53,350.90","2,16,385","1,57,68,536","40.08"
"TATASTEEL","EQ","25-Jan-2024","135.15","136.50","136.50","132.00","134.15","133.75","134.19","6,13,58,839","8,23,37,55,323.50","3,06,685","2,16,91,073","35.35"
"TATASTEEL","EQ","29-Jan-2024","133.75","134.70","135.40","133.50","135.05","135.00","134.67","2,97,45,400","4,00,56,83,022.65","1,87,551","1,32,76,693","44.63"
"TATASTEEL","EQ","30-Jan-2024","135.00","135.60","137.70","134.50","134.75","134.70","136.17","3,57,04,185","4,86,19,61,220.20","2,45,199","1,67,88,897","47.02"
"TATASTEEL","EQ","31-Jan-2024","134.70","135.00","136.70","134.50","135.95","135.95","135.84","3,60,79,354","4,90,09,53,896.15","2,17,115","2,01,91,325","55.96"
"TATASTEEL","EQ","01-Feb-2024","135.95","136.40","136.75","134.50","134.90","134.80","135.69","3,17,01,793","4,30,15,05,287.60","2,14,127","1,16,58,734","36.78"
"TATASTEEL","EQ","02-Feb-2024","134.80","135.30","139.60","134.80","138.60","138.70","137.64","6,92,96,192","9,53,80,94,505.80","3,53,725","3,30,25,915","47.66"
"TATASTEEL","EQ","05-Feb-2024","138.70","140.00","143.35","139.35","141.60","141.55","141.50","8,07,37,626","11,42,42,81,407.05","3,75,154","3,51,53,051","43.54"
"TATASTEEL","EQ","06-Feb-2024","141.55","143.00","145.10","140.45","144.60","144.65","143.03","5,31,92,936","7,60,80,22,638.70","2,56,507","2,60,10,170","48.90"
"TATASTEEL","EQ","07-Feb-2024","144.65","146.85","147.40","144.05","144.40","144.40","145.61","6,15,17,064","8,95,74,48,815.35","2,92,894","2,89,10,135","47.00"
"TATASTEEL","EQ","08-Feb-2024","144.40","145.30","145.65","143.05","143.80","143.65","144.24","3,89,97,666","5,62,49,77,247.20","2,56,373","1,50,08,275","38.49"
"TATASTEEL","EQ","09-Feb-2024","143.65","144.20","144.45","139.15","141.30","141.30","141.21","3,59,61,925","5,07,80,64,740.80","2,37,401","1,23,83,921","34.44"
"TATASTEEL","EQ","12-Feb-2024","141.30","142.00","142.95","136.65","137.50","137.40","139.16","3,64,77,544","5,07,62,68,769.20","2,19,005","1,63,34,895","44.78"
"TATASTEEL","EQ","13-Feb-2024","137.40","137.75","138.25","134.10","137.80","137.85","136.95","3,91,55,909","5,36,23,27,557.60","2,05,902","1,57,29,075","40.17"
"TATASTEEL","EQ","14-Feb-2024","137.85","137.00","141.50","135.75","141.45","141.20","138.83","2,91,41,690","4,04,58,31,003.05","2,02,721","1,15,98,530","39.80"
"TATASTEEL","EQ","15-Feb-2024","141.20","141.50","143.45","141.00","141.10","141.20","142.05","3,15,87,387","4,48,70,16,479.10","2,01,451","1,41,23,793","44.71"
"TATASTEEL","EQ","16-Feb-2024","141.20","142.05","143.45","141.50","142.25","142.30","142.68","2,23,16,127","3,18,41,04,399.85","1,59,823","93,55,538","41.92"
"TATASTEEL","EQ","19-Feb-2024","142.30","142.95","143.35","141.35","141.80","141.95","142.28","1,69,73,568","2,41,49,47,922.85","1,48,665","70,19,885","41.36"
"TATASTEEL","EQ","20-Feb-2024","141.95","141.95","142.25","140.05","141.15","141.05","140.86","2,42,91,123","3,42,15,58,010.60","1,69,579","1,27,93,248","52.67"
"TATASTEEL","EQ","21-Feb-2024","141.05","141.55","146.20","141.45","144.00","143.90","144.64","8,80,00,833","12,72,80,88,397.95","4,02,755","3,95,88,969","44.99"
"TATASTEEL","EQ","22-Feb-2024","143.90","145.00","146.15","143.50","145.95","145.90","145.05","4,67,28,176","6,77,81,28,561.45","3,01,165","1,47,72,825","31.61"
"TATASTEEL","EQ","23-Feb-2024","145.90","146.40","147.10","145.00","145.40","145.45","146.22","2,84,14,697","4,15,47,98,679.20","2,06,077","1,13,00,157","39.77"
"TATASTEEL","EQ","26-Feb-2024","145.45","145.85","145.95","142.25","142.60","142.65","143.68","2,25,70,277","3,24,28,62,425.45","1,81,967","93,25,653","41.32"
