"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","01-Jan-2016","2,436.85","2,439.00","2,439.00","2,412.25","2,414.10","2,416.40","2,423.73","3,56,131","86,31,64,899.20","15,545","2,46,115","69.11"
"TCS","EQ","04-Jan-2016","2,416.40","2,410.15","2,414.00","2,366.05","2,373.00","2,369.60","2,381.76","9,35,092","2,22,71,61,314.65","72,341","6,15,009","65.77"
"TCS","EQ","05-Jan-2016","2,369.60","2,385.00","2,386.60","2,341.00","2,349.85","2,348.95","2,353.54","13,39,010","3,15,14,08,770.30","97,799","10,37,513","77.48"
"TCS","EQ","06-Jan-2016","2,348.95","2,350.20","2,386.15","2,350.20","2,382.00","2,381.60","2,374.18","13,26,614","3,14,96,26,909.40","43,208","8,52,411","64.25"
"TCS","EQ","07-Jan-2016","2,381.60","2,370.00","2,382.90","2,360.00","2,379.00","2,371.25","2,367.71","15,99,790","3,78,78,36,766.95","29,836","8,77,850","54.87"
"TCS","EQ","08-Jan-2016","2,371.25","2,385.00","2,407.35","2,372.50","2,400.80","2,397.60","2,396.08","9,53,772","2,28,53,13,566.60","29,435","5,96,208","62.51"
"TCS","EQ","11-Jan-2016","2,397.60","2,382.50","2,384.00","2,348.85","2,362.80","2,362.35","2,361.63","14,65,114","3,46,00,58,884.10","52,084","9,27,856","63.33"
"TCS","EQ","12-Jan-2016","2,362.35","2,362.70","2,365.00","2,301.60","2,317.00","2,327.05","2,325.68","17,41,297","4,04,96,98,909.45","78,442","10,22,719","58.73"
"TCS","EQ","13-Jan-2016","2,327.05","2,317.00","2,327.00","2,255.10","2,280.00","2,279.20","2,283.97","23,73,046","5,41,99,74,451.55","1,10,813","10,08,246","42.49"
"TCS","EQ","14-Jan-2016","2,279.20","2,273.00","2,298.90","2,250.00","2,280.05","2,278.80","2,280.21","13,71,026","3,12,62,31,079.50","68,867","8,41,660","61.39"
"TCS","EQ","15-Jan-2016","2,278.80","2,288.85","2,291.70","2,255.00","2,265.25","2,261.10","2,267.74","16,34,704","3,70,70,78,050.30","59,507","13,05,490","79.86"
"TCS","EQ","18-Jan-2016","2,261.10","2,262.00","2,291.90","2,260.00","2,280.00","2,277.65","2,281.48","11,06,961","2,52,55,14,822.00","36,247","8,24,382","74.47"
"TCS","EQ","19-Jan-2016","2,277.65","2,277.00","2,300.00","2,268.30","2,288.00","2,279.30","2,277.26","4,83,955","1,10,20,90,046.45","37,877","3,14,006","64.88"
"TCS","EQ","20-Jan-2016","2,279.30","2,273.80","2,285.00","2,243.00","2,280.00","2,280.10","2,268.32","8,07,977","1,83,27,51,651.50","47,824","5,73,668","71.00"
"TCS","EQ","21-Jan-2016","2,280.10","2,285.00","2,289.90","2,245.75","2,258.00","2,254.50","2,258.77","13,37,768","3,02,17,15,595.60","48,506","9,88,982","73.93"
"TCS","EQ","22-Jan-2016","2,254.50","2,273.00","2,302.05","2,260.00","2,290.00","2,295.75","2,290.27","6,71,589","1,53,81,22,117.00","65,671","4,90,657","73.06"
"TCS","EQ","25-Jan-2016","2,295.75","2,301.90","2,339.00","2,291.50","2,301.70","2,304.65","2,317.64","6,98,780","1,61,95,18,169.25","63,300","4,79,449","68.61"
"TCS","EQ","27-Jan-2016","2,304.65","2,302.00","2,329.95","2,281.90","2,317.00","2,319.75","2,316.74","8,13,493","1,88,46,48,891.50","37,894","5,83,494","71.73"
"TCS","EQ","28-Jan-2016","2,319.75","2,315.50","2,348.90","2,308.05","2,345.00","2,331.20","2,334.21","15,53,330","3,62,57,94,748.85","52,219","10,05,471","64.73"
"TCS","EQ","29-Jan-2016","2,331.20","2,358.70","2,400.00","2,335.05","2,386.10","2,391.30","2,372.42","11,17,872","2,65,20,57,899.65","51,641","8,42,301","75.35"
"TCS","EQ","01-Feb-2016","2,391.30","2,391.10","2,412.95","2,359.00","2,395.35","2,402.70","2,402.94","7,47,637","1,79,65,23,763.20","65,836","5,42,493","72.56"
"TCS","EQ","02-Feb-2016","2,402.70","2,409.00","2,433.00","2,379.70","2,382.00","2,398.10","2,415.55","7,37,794","1,78,21,75,428.50","50,764","4,60,781","62.45"
"TCS","EQ","03-Feb-2016","2,398.10","2,387.50","2,429.90","2,360.30","2,424.80","2,416.30","2,402.39","6,54,346","1,57,19,95,829.55","35,587","4,43,404","67.76"
"TCS","EQ","04-Feb-2016","2,416.30","2,421.90","2,440.00","2,402.00","2,423.00","2,420.05","2,419.99","6,25,023","1,51,25,52,462.75","42,532","3,70,318","59.25"
"TCS","EQ","05-Feb-2016","2,420.05","2,408.10","2,439.95","2,408.10","2,424.00","2,421.95","2,425.99","7,01,498","1,70,18,26,384.10","80,411","4,54,027","64.72"
"TCS","EQ","08-Feb-2016","2,421.95","2,400.00","2,412.05","2,347.00","2,354.30","2,362.95","2,385.01","5,31,829","1,26,84,16,646.80","29,355","3,33,965","62.80"
"TCS","EQ","09-Feb-2016","2,362.95","2,333.60","2,333.60","2,255.60","2,280.70","2,281.40","2,276.64","12,44,805","2,83,39,77,865.55","74,469","7,19,530","57.80"
"TCS","EQ","10-Feb-2016","2,281.40","2,275.00","2,289.90","2,258.10","2,283.00","2,268.80","2,271.48","9,45,366","2,14,73,78,289.90","65,549","6,04,389","63.93"
"TCS","EQ","11-Feb-2016","2,268.80","2,280.00","2,289.00","2,171.65","2,179.35","2,197.95","2,231.27","9,81,204","2,18,93,32,214.90","73,416","5,82,430","59.36"
"TCS","EQ","12-Feb-2016","2,197.95","2,200.00","2,243.40","2,164.00","2,226.30","2,226.60","2,214.47","10,86,284","2,40,55,40,712.65","85,740","6,32,825","58.26"
"TCS","EQ","15-Feb-2016","2,226.60","2,250.00","2,306.85","2,240.00","2,262.00","2,269.15","2,278.07","12,39,856","2,82,44,80,330.05","62,877","8,86,727","71.52"
"TCS","EQ","16-Feb-2016","2,269.15","2,266.00","2,282.00","2,243.00","2,262.50","2,265.55","2,260.28","7,94,351","1,79,54,56,148.95","40,886","4,99,672","62.90"
"TCS","EQ","17-Feb-2016","2,265.55","2,265.00","2,279.65","2,246.40","2,279.65","2,275.55","2,265.30","7,92,589","1,79,54,54,857.90","36,080","5,67,844","71.64"
"TCS","EQ","18-Feb-2016","2,275.55","2,285.00","2,319.75","2,278.00","2,312.10","2,315.85","2,301.08","7,64,570","1,75,93,38,646.95","31,762","5,69,449","74.48"
"TCS","EQ","19-Feb-2016","2,315.85","2,307.35","2,327.00","2,305.45","2,314.90","2,319.65","2,317.45","4,39,506","1,01,85,33,549.05","60,217","3,03,871","69.14"
"TCS","EQ","22-Feb-2016","2,319.65","2,320.25","2,343.00","2,305.00","2,325.00","2,315.90","2,330.06","6,62,442","1,54,35,32,713.85","49,580","4,13,311","62.39"
"TCS","EQ","23-Feb-2016","2,315.90","2,310.25","2,319.90","2,256.75","2,258.10","2,264.00","2,277.26","6,53,426","1,48,80,24,069.40","42,218","4,45,387","68.16"
"TCS","EQ","24-Feb-2016","2,264.00","2,262.45","2,262.45","2,201.20","2,216.00","2,210.95","2,230.36","8,29,664","1,85,04,51,615.05","38,290","5,74,352","69.23"
"TCS","EQ","25-Feb-2016","2,210.95","2,219.80","2,228.00","2,185.65","2,224.20","2,212.85","2,204.85","9,15,278","2,01,80,48,988.10","45,678","6,73,667","73.60"
"TCS","EQ","26-Feb-2016","2,212.85","2,229.70","2,256.90","2,199.60","2,219.90","2,210.50","2,218.03","7,68,768","1,70,51,53,693.50","37,353","5,21,706","67.86"
"TCS","EQ","29-Feb-2016","2,210.50","2,237.00","2,237.00","2,115.00","2,172.00","2,176.80","2,184.95","10,95,859","2,39,43,98,681.65","47,672","6,79,639","62.02"
"TCS","EQ","01-Mar-2016","2,176.80","2,193.00","2,285.10","2,162.00","2,281.00","2,276.65","2,257.79","9,99,880","2,25,75,16,902.50","50,318","6,43,213","64.33"
"TCS","EQ","02-Mar-2016","2,276.65","2,305.00","2,330.00","2,256.25","2,320.10","2,318.85","2,288.84","7,63,743","1,74,80,81,932.10","42,118","4,38,079","57.36"
"TCS","EQ","03-Mar-2016","2,318.85","2,336.00","2,391.00","2,301.00","2,369.40","2,373.15","2,356.33","13,24,142","3,12,01,09,870.55","61,441","7,97,518","60.23"
"TCS","EQ","04-Mar-2016","2,373.15","2,380.00","2,380.00","2,349.55","2,369.85","2,357.55","2,362.52","7,56,483","1,78,72,09,075.40","32,716","4,19,647","55.47"
"TCS","EQ","08-Mar-2016","2,357.55","2,342.10","2,367.00","2,304.20","2,351.00","2,354.30","2,342.85","6,34,076","1,48,55,46,744.90","33,078","3,50,804","55.33"
"TCS","EQ","09-Mar-2016","2,354.30","2,341.00","2,369.40","2,295.15","2,360.00","2,357.25","2,326.68","10,08,892","2,34,73,65,913.20","45,459","6,07,451","60.21"
"TCS","EQ","10-Mar-2016","2,357.25","2,356.05","2,359.85","2,314.95","2,347.00","2,348.30","2,329.26","8,30,833","1,93,52,28,919.75","47,391","5,14,311","61.90"
"TCS","EQ","11-Mar-2016","2,348.30","2,340.00","2,390.85","2,335.00","2,360.00","2,365.25","2,369.33","7,65,264","1,81,31,60,612.10","60,976","3,81,295","49.83"
"TCS","EQ","14-Mar-2016","2,365.25","2,362.00","2,398.00","2,340.00","2,346.10","2,355.00","2,361.38","8,18,371","1,93,24,83,561.60","50,401","5,32,800","65.10"
"TCS","EQ","15-Mar-2016","2,355.00","2,349.05","2,363.50","2,320.10","2,330.25","2,329.90","2,333.27","8,11,678","1,89,38,64,662.90","34,040","5,19,577","64.01"
"TCS","EQ","16-Mar-2016","2,329.90","2,315.00","2,332.00","2,306.90","2,323.55","2,327.05","2,320.16","9,59,123","2,22,53,14,511.30","47,662","6,48,450","67.61"
"TCS","EQ","17-Mar-2016","2,327.05","2,334.00","2,361.80","2,332.00","2,349.00","2,352.05","2,347.85","11,10,544","2,60,73,91,322.65","51,558","8,20,690","73.90"
"TCS","EQ","18-Mar-2016","2,352.05","2,360.00","2,430.00","2,360.00","2,421.40","2,425.85","2,408.60","16,02,035","3,85,86,68,680.50","1,02,942","11,52,246","71.92"
"TCS","EQ","21-Mar-2016","2,425.85","2,426.00","2,454.95","2,420.00","2,449.05","2,446.25","2,434.69","11,68,491","2,84,49,18,942.20","68,915","8,55,867","73.25"
"TCS","EQ","22-Mar-2016","2,446.25","2,442.00","2,485.00","2,436.50","2,470.65","2,473.10","2,456.21","9,75,992","2,39,72,40,026.25","63,517","5,41,794","55.51"
"TCS","EQ","23-Mar-2016","2,473.10","2,487.90","2,487.90","2,457.30","2,479.60","2,473.80","2,473.02","11,39,217","2,81,73,11,940.50","55,908","6,98,388","61.30"
"TCS","EQ","28-Mar-2016","2,473.80","2,491.00","2,517.15","2,461.55","2,476.00","2,473.40","2,478.01","16,60,441","4,11,45,82,547.10","82,490","11,33,446","68.26"
"TCS","EQ","29-Mar-2016","2,473.40","2,478.00","2,486.95","2,455.00","2,462.40","2,469.40","2,472.49","9,19,398","2,27,32,05,293.65","32,196","6,50,064","70.71"
"TCS","EQ","30-Mar-2016","2,469.40","2,470.90","2,505.00","2,460.00","2,490.00","2,489.50","2,490.18","10,68,252","2,66,01,38,879.55","66,443","8,40,002","78.63"
"TCS","EQ","31-Mar-2016","2,489.50","2,478.30","2,550.00","2,472.15","2,530.00","2,520.30","2,510.45","21,81,982","5,47,77,52,815.80","76,600","13,71,053","62.84"
"TCS","EQ","01-Apr-2016","2,520.30","2,505.00","2,520.85","2,434.10","2,458.00","2,453.90","2,467.96","15,20,700","3,75,30,29,123.65","86,567","9,90,990","65.17"
"TCS","EQ","04-Apr-2016","2,453.90","2,456.00","2,488.00","2,447.00","2,476.40","2,471.25","2,462.56","8,76,176","2,15,76,34,013.40","56,839","5,41,245","61.77"
"TCS","EQ","05-Apr-2016","2,471.25","2,470.80","2,484.90","2,442.05","2,460.00","2,462.75","2,459.72","7,45,897","1,83,46,99,992.80","39,144","4,38,819","58.83"
"TCS","EQ","06-Apr-2016","2,462.75","2,470.00","2,489.00","2,459.35","2,481.00","2,481.90","2,477.67","8,81,575","2,18,42,55,309.75","48,213","5,78,096","65.58"
"TCS","EQ","07-Apr-2016","2,481.90","2,480.00","2,484.70","2,457.00","2,466.25","2,470.80","2,470.69","11,95,471","2,95,36,39,685.55","50,556","8,93,942","74.78"
"TCS","EQ","08-Apr-2016","2,470.80","2,466.00","2,473.70","2,427.00","2,432.00","2,432.05","2,438.52","6,99,750","1,70,63,55,354.15","51,781","4,62,455","66.09"
"TCS","EQ","11-Apr-2016","2,432.05","2,433.00","2,517.00","2,413.00","2,506.05","2,506.65","2,456.71","12,00,324","2,94,88,46,493.40","56,962","8,04,709","67.04"
"TCS","EQ","12-Apr-2016","2,506.65","2,498.00","2,525.00","2,488.10","2,520.05","2,518.15","2,502.73","6,51,814","1,63,13,14,698.85","41,843","3,79,191","58.17"
"TCS","EQ","13-Apr-2016","2,518.15","2,530.00","2,545.00","2,512.50","2,528.00","2,526.20","2,524.85","8,00,734","2,02,17,36,752.75","51,204","4,97,799","62.17"
"TCS","EQ","18-Apr-2016","2,526.20","2,453.00","2,553.50","2,440.00","2,522.40","2,519.75","2,495.75","35,60,752","8,88,67,59,956.75","1,85,897","16,83,724","47.29"
"TCS","EQ","20-Apr-2016","2,519.75","2,534.90","2,534.90","2,440.00","2,453.00","2,450.35","2,472.11","32,02,512","7,91,69,58,058.35","1,18,381","16,05,452","50.13"
"TCS","EQ","21-Apr-2016","2,450.35","2,451.00","2,467.40","2,412.20","2,418.20","2,424.40","2,440.23","12,62,862","3,08,16,73,106.25","64,118","6,68,774","52.96"
"TCS","EQ","22-Apr-2016","2,424.40","2,419.00","2,435.40","2,404.20","2,423.40","2,417.05","2,420.24","9,82,063","2,37,68,31,048.35","54,414","5,58,188","56.84"
"TCS","EQ","25-Apr-2016","2,417.05","2,402.30","2,457.05","2,402.30","2,453.00","2,451.25","2,441.63","11,33,827","2,76,83,88,615.85","56,820","7,60,631","67.09"
