"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TECHM","EQ","01-Jan-2020","762.30","766.00","766.80","760.35","761.90","762.10","763.39","7,46,371","56,97,75,063.25","17,126","1,47,395","19.75"
"TECHM","EQ","02-Jan-2020","762.10","762.10","769.15","761.00","766.00","766.05","766.33","11,33,488","86,86,29,849.90","50,776","5,18,229","45.72"
"TECHM","EQ","03-Jan-2020","766.05","766.00","779.90","763.55","775.00","775.10","775.14","21,21,704","1,64,46,07,528.20","54,537","8,81,327","41.54"
"TECHM","EQ","06-Jan-2020","775.10","774.85","778.80","768.15","769.00","770.40","773.70","17,34,439","1,34,19,37,267.05","52,469","8,40,496","48.46"
"TECHM","EQ","07-Jan-2020","770.40","770.00","778.50","760.60","776.65","777.10","770.90","19,37,143","1,49,33,38,619.15","36,396","7,25,429","37.45"
"TECHM","EQ","08-Jan-2020","777.10","770.10","784.90","767.10","768.10","769.80","776.33","25,96,664","2,01,58,73,635.75","56,014","9,81,759","37.81"
"TECHM","EQ","09-Jan-2020","769.80","770.50","776.45","762.20","774.00","773.65","770.18","16,78,891","1,29,30,41,412.05","49,933","6,26,300","37.30"
"TECHM","EQ","10-Jan-2020","773.65","779.00","781.90","772.45","778.95","776.25","776.70","11,05,725","85,88,11,903.65","35,828","5,02,460","45.44"
"TECHM","EQ","13-Jan-2020","776.25","779.90","788.70","775.05","786.00","785.85","784.79","13,93,509","1,09,36,14,874.65","26,980","5,23,121","37.54"
"TECHM","EQ","14-Jan-2020","785.85","785.85","797.80","783.70","796.30","796.25","790.88","16,28,535","1,28,79,71,903.60","53,736","8,30,392","50.99"
"TECHM","EQ","15-Jan-2020","796.25","796.15","803.65","788.50","791.60","795.15","796.05","17,59,644","1,40,07,63,787.10","44,354","7,05,203","40.08"
"TECHM","EQ","16-Jan-2020","795.15","793.00","795.70","781.10","784.00","782.85","785.33","11,10,008","87,17,17,406.85","53,657","4,42,760","39.89"
"TECHM","EQ","17-Jan-2020","782.85","783.50","786.75","775.50","778.05","778.45","780.14","9,89,312","77,18,05,387.35","49,622","4,90,715","49.60"
"TECHM","EQ","20-Jan-2020","778.45","778.50","785.45","774.55","780.00","778.20","779.94","16,20,105","1,26,35,88,653.90","52,213","9,75,138","60.19"
"TECHM","EQ","21-Jan-2020","778.20","777.25","783.40","775.00","779.50","778.90","779.20","9,76,954","76,12,43,503.15","54,605","4,33,814","44.40"
"TECHM","EQ","22-Jan-2020","778.90","780.00","790.45","776.20","778.55","778.75","781.75","11,92,201","93,20,06,704.35","42,351","5,12,037","42.95"
"TECHM","EQ","23-Jan-2020","778.75","777.25","780.45","766.90","769.50","768.95","771.39","20,18,777","1,55,72,60,996.85","82,067","12,89,079","63.85"
"TECHM","EQ","24-Jan-2020","768.95","765.10","788.75","763.30","786.90","787.30","777.05","23,64,265","1,83,71,62,288.25","76,417","13,48,773","57.05"
"TECHM","EQ","27-Jan-2020","787.30","786.00","796.25","779.65","792.10","791.50","790.45","11,75,606","92,92,52,238.20","26,671","3,97,423","33.81"
"TECHM","EQ","28-Jan-2020","791.50","792.50","795.75","784.60","794.70","794.25","791.36","15,06,685","1,19,23,32,300.20","61,577","7,38,077","48.99"
"TECHM","EQ","29-Jan-2020","794.25","796.90","807.20","793.55","803.75","804.15","802.33","25,65,136","2,05,80,91,994.60","1,22,141","11,58,240","45.15"
"TECHM","EQ","30-Jan-2020","804.15","805.60","807.95","784.00","794.50","791.35","792.84","24,93,688","1,97,70,92,054.85","70,718","13,91,962","55.82"
"TECHM","EQ","31-Jan-2020","791.35","796.85","802.50","783.00","800.00","796.60","794.80","30,81,521","2,44,92,07,466.05","62,114","10,77,760","34.97"
"TECHM","EQ","01-Feb-2020","796.60","796.95","812.00","765.70","807.00","807.55","792.93","64,76,968","5,13,57,70,889.55","92,958","30,91,832","47.74"
"TECHM","EQ","03-Feb-2020","807.55","808.00","818.70","790.50","793.20","793.15","807.99","33,83,074","2,73,34,87,456.95","87,563","13,86,323","40.98"
"TECHM","EQ","04-Feb-2020","793.15","794.30","813.00","794.30","811.00","811.10","807.49","17,79,834","1,43,71,97,155.80","54,008","8,68,911","48.82"
"TECHM","EQ","05-Feb-2020","811.10","810.00","816.00","807.00","811.95","814.05","811.94","16,13,898","1,31,03,85,938.20","56,554","8,09,231","50.14"
"TECHM","EQ","06-Feb-2020","814.05","812.70","825.95","810.05","817.00","817.70","819.05","15,53,656","1,27,25,23,744.20","50,057","6,52,671","42.01"
"TECHM","EQ","07-Feb-2020","817.70","817.70","825.45","814.25","822.65","824.45","820.73","13,97,438","1,14,69,21,010.10","47,565","8,26,809","59.17"
"TECHM","EQ","10-Feb-2020","824.45","827.00","827.10","811.50","812.50","813.65","815.58","10,98,971","89,62,98,071.45","36,704","6,03,430","54.91"
"TECHM","EQ","11-Feb-2020","813.65","813.00","821.85","811.05","821.00","819.95","816.48","11,43,705","93,38,17,658.10","39,211","5,42,696","47.45"
"TECHM","EQ","12-Feb-2020","819.95","820.00","826.45","816.80","821.10","821.50","822.35","13,94,424","1,14,67,00,869.60","45,526","6,32,198","45.34"
"TECHM","EQ","13-Feb-2020","821.50","822.80","830.00","814.35","828.00","828.00","820.38","17,37,974","1,42,58,07,711.55","60,849","10,46,146","60.19"
"TECHM","EQ","14-Feb-2020","828.00","827.00","838.00","825.05","833.00","834.15","833.86","21,43,044","1,78,69,93,118.80","61,957","10,68,602","49.86"
"TECHM","EQ","17-Feb-2020","834.15","835.95","837.00","827.45","834.20","833.25","832.46","7,93,328","66,04,16,981.05","23,477","2,75,998","34.79"
"TECHM","EQ","18-Feb-2020","833.25","825.35","840.00","825.35","838.55","838.80","835.87","15,07,814","1,26,03,30,527.15","47,108","5,22,022","34.62"
"TECHM","EQ","19-Feb-2020","838.80","839.00","844.85","836.05","842.00","840.90","840.39","8,81,874","74,11,16,722.35","46,482","2,66,928","30.27"
"TECHM","EQ","20-Feb-2020","840.90","840.15","845.90","826.95","827.45","829.60","836.04","10,66,232","89,14,13,811.30","52,260","6,79,688","63.75"
"TECHM","EQ","24-Feb-2020","829.60","828.95","843.90","815.75","822.00","820.10","832.88","29,17,544","2,42,99,60,042.40","70,947","12,78,624","43.83"
"TECHM","EQ","25-Feb-2020","820.10","822.00","826.80","809.05","824.95","822.10","817.14","24,79,975","2,02,64,88,864.70","67,477","13,83,377","55.78"
"TECHM","EQ","26-Feb-2020","822.10","820.00","825.50","808.20","811.00","811.45","817.38","22,12,784","1,80,86,86,905.90","73,034","10,00,060","45.19"
"TECHM","EQ","27-Feb-2020","811.45","807.00","819.70","800.20","808.35","809.15","807.52","19,07,768","1,54,05,58,959.05","68,391","10,06,626","52.76"
"TECHM","EQ","28-Feb-2020","809.15","789.80","808.00","732.05","746.25","744.40","754.08","59,59,364","4,49,38,39,991.10","1,29,459","32,74,668","54.95"
"TECHM","EQ","02-Mar-2020","744.40","742.00","754.45","734.40","744.40","744.55","745.05","37,84,522","2,81,96,52,716.45","99,512","20,09,190","53.09"
"TECHM","EQ","03-Mar-2020","744.55","750.00","757.65","742.10","755.20","752.30","749.25","21,68,900","1,62,50,39,056.60","53,848","10,50,811","48.45"
"TECHM","EQ","04-Mar-2020","752.30","754.00","774.85","748.00","770.00","771.30","760.28","26,85,540","2,04,17,52,643.30","87,743","12,21,656","45.49"
"TECHM","EQ","05-Mar-2020","771.30","769.95","784.00","752.35","758.15","756.10","770.61","21,26,955","1,63,90,63,056.30","94,840","9,22,198","43.36"
"TECHM","EQ","06-Mar-2020","756.10","746.10","749.75","731.40","741.20","740.40","742.60","20,04,893","1,48,88,33,609.75","65,797","11,44,174","57.07"
"TECHM","EQ","09-Mar-2020","740.40","715.00","730.00","696.55","703.75","704.80","708.12","34,29,034","2,42,81,57,421.05","1,22,068","20,06,302","58.51"
"TECHM","EQ","11-Mar-2020","704.80","681.00","713.90","666.00","710.80","708.55","700.07","46,26,235","3,23,86,94,414.15","1,04,365","23,44,817","50.69"
"TECHM","EQ","12-Mar-2020","708.55","676.00","690.00","637.10","650.00","649.85","657.02","37,96,969","2,49,46,93,877.05","91,235","19,26,295","50.73"
"TECHM","EQ","13-Mar-2020","649.85","603.25","670.00","525.90","663.25","655.95","628.93","45,53,639","2,86,39,25,382.80","1,15,937","19,39,223","42.59"
"TECHM","EQ","16-Mar-2020","655.95","634.80","634.80","591.00","609.90","603.40","608.99","64,99,358","3,95,80,56,619.55","1,23,457","39,24,913","60.39"
"TECHM","EQ","17-Mar-2020","603.40","600.00","617.95","583.30","600.00","595.45","605.24","33,33,751","2,01,77,28,863.40","91,710","18,14,804","54.44"
"TECHM","EQ","18-Mar-2020","595.45","600.00","611.25","570.65","581.00","579.65","591.47","35,48,532","2,09,88,33,639.55","85,476","16,20,301","45.66"
"TECHM","EQ","19-Mar-2020","579.65","549.65","577.65","523.00","538.80","530.00","546.39","49,32,164","2,69,48,61,622.75","1,08,237","24,56,525","49.81"
"TECHM","EQ","20-Mar-2020","530.00","525.10","595.45","525.10","567.00","576.35","568.65","63,16,078","3,59,16,14,181.90","1,17,417","31,79,016","50.33"
"TECHM","EQ","23-Mar-2020","576.35","540.00","542.00","471.40","494.90","487.20","516.26","29,12,769","1,50,37,32,872.85","82,821","16,85,882","57.88"
"TECHM","EQ","24-Mar-2020","487.20","487.00","533.95","487.00","498.00","503.50","508.37","40,82,147","2,07,52,54,661.70","1,29,792","19,95,269","48.88"
"TECHM","EQ","25-Mar-2020","503.50","509.00","542.85","507.05","525.00","526.70","523.91","36,64,272","1,91,97,32,607.70","94,678","20,78,178","56.71"
"TECHM","EQ","26-Mar-2020","526.70","539.35","564.90","513.00","519.90","515.20","526.81","59,79,874","3,15,02,74,656.50","1,15,495","28,51,224","47.68"
"TECHM","EQ","27-Mar-2020","515.20","525.00","538.80","498.00","500.50","504.10","515.34","46,72,189","2,40,77,67,505.90","84,744","21,86,121","46.79"
"TECHM","EQ","30-Mar-2020","504.10","494.00","532.35","485.65","528.00","526.80","522.26","41,38,338","2,16,12,96,123.90","98,545","17,55,252","42.41"
"TECHM","EQ","31-Mar-2020","526.80","537.00","575.25","527.85","562.00","565.50","549.27","36,52,957","2,00,64,45,137.15","77,375","17,80,536","48.74"
"TECHM","EQ","01-Apr-2020","565.50","560.00","560.30","510.00","512.35","511.20","526.83","41,14,437","2,16,76,00,229.35","98,040","20,46,528","49.74"
"TECHM","EQ","03-Apr-2020","511.20","513.75","533.15","510.10","524.00","520.90","521.07","58,26,215","3,03,58,71,695.15","1,26,608","24,43,907","41.95"
"TECHM","EQ","07-Apr-2020","520.90","536.50","557.65","535.75","547.00","549.85","545.87","35,32,484","1,92,82,67,203.30","87,997","15,53,610","43.98"
"TECHM","EQ","08-Apr-2020","549.85","539.95","569.80","537.00","555.30","558.90","560.61","41,13,059","2,30,58,15,828.10","91,104","22,61,575","54.99"
"TECHM","EQ","09-Apr-2020","558.90","570.00","582.70","537.55","547.00","545.25","548.36","59,17,546","3,24,49,61,398.40","1,00,004","23,69,472","40.04"
"TECHM","EQ","13-Apr-2020","545.25","551.00","551.00","521.75","528.00","526.85","528.94","38,22,647","2,02,19,61,331.65","77,923","-","-"
"TECHM","EQ","15-Apr-2020","526.85","528.00","548.60","528.00","536.75","538.65","539.17","63,16,300","3,40,55,58,990.50","1,19,521","40,25,426","63.73"
"TECHM","EQ","16-Apr-2020","538.65","527.00","530.00","508.35","518.25","517.65","515.94","70,01,494","3,61,23,54,270.70","2,20,623","30,25,456","43.21"
"TECHM","EQ","17-Apr-2020","517.65","529.10","532.00","500.00","511.00","509.85","508.08","1,08,39,905","5,50,75,05,785.90","2,20,131","58,04,693","53.55"
"TECHM","EQ","20-Apr-2020","509.85","517.95","531.90","512.00","524.10","524.85","523.98","45,49,099","2,38,36,34,277.25","95,346","18,87,194","41.49"
"TECHM","EQ","21-Apr-2020","524.85","511.00","520.00","505.90","512.15","512.95","513.04","29,50,307","1,51,36,38,756.00","76,480","14,67,362","49.74"
"TECHM","EQ","22-Apr-2020","512.95","512.00","521.90","507.05","520.50","518.30","517.41","22,68,503","1,17,37,47,973.05","61,020","10,18,198","44.88"
"TECHM","EQ","23-Apr-2020","518.30","519.00","527.85","509.30","522.00","523.70","517.69","60,96,448","3,15,60,90,251.90","1,09,439","24,28,985","39.84"
"TECHM","EQ","24-Apr-2020","523.70","522.00","532.60","502.10","505.00","503.45","515.87","48,17,932","2,48,54,03,149.95","1,05,289","21,00,283","43.59"
"TECHM","EQ","27-Apr-2020","503.45","511.70","519.00","506.50","511.00","511.70","513.07","40,32,708","2,06,90,42,686.10","91,918","20,55,422","50.97"
"TECHM","EQ","28-Apr-2020","511.70","518.00","528.50","515.55","521.00","520.40","523.28","49,72,775","2,60,21,32,479.95","92,473","21,71,980","43.68"
"TECHM","EQ","29-Apr-2020","520.40","525.95","536.90","522.10","531.50","528.70","530.04","63,62,006","3,37,21,21,924.05","1,13,270","28,33,324","44.54"
"TECHM","EQ","30-Apr-2020","528.70","541.00","552.90","532.35","545.95","546.25","542.75","89,32,244","4,84,79,56,232.90","1,49,585","39,95,286","44.73"
"TECHM","EQ","04-May-2020","546.25","515.00","519.75","498.00","504.70","502.45","506.41","1,48,14,583","7,50,21,95,965.50","3,98,757","76,81,477","51.85"
"TECHM","EQ","05-May-2020","502.45","506.00","514.00","498.20","500.50","499.95","506.10","57,17,728","2,89,37,52,314.25","1,18,256","32,41,820","56.70"
"TECHM","EQ","06-May-2020","499.95","503.75","509.10","490.00","508.00","506.85","503.84","37,81,586","1,90,53,14,166.75","1,09,705","18,44,539","48.78"
"TECHM","EQ","07-May-2020","506.85","508.00","525.85","506.35","517.00","516.35","516.81","67,99,899","3,51,42,76,976.55","1,07,606","34,98,356","51.45"
"TECHM","EQ","08-May-2020","516.35","526.90","538.60","519.20","535.25","536.20","531.66","60,16,245","3,19,85,70,096.60","1,07,189","24,60,828","40.90"
"TECHM","EQ","11-May-2020","536.20","541.50","543.80","527.20","531.00","530.20","534.21","42,72,574","2,28,24,56,717.15","1,18,636","22,14,203","51.82"
"TECHM","EQ","12-May-2020","530.20","525.00","539.50","525.00","532.00","533.25","535.40","56,92,069","3,04,75,46,423.50","1,88,777","29,52,754","51.87"
"TECHM","EQ","13-May-2020","533.25","542.00","549.75","531.40","543.00","544.75","543.48","32,96,409","1,79,15,33,864.95","79,004","13,93,855","42.28"
"TECHM","EQ","14-May-2020","544.75","532.40","535.00","513.95","515.75","515.70","521.60","61,48,509","3,20,70,35,298.25","1,42,393","34,23,592","55.68"
"TECHM","EQ","15-May-2020","515.70","520.00","520.00","507.40","511.50","510.55","511.76","36,28,560","1,85,69,43,190.15","93,418","18,45,922","50.87"
"TECHM","EQ","18-May-2020","510.55","511.50","515.00","501.50","503.20","504.05","508.39","32,83,983","1,66,95,51,394.15","86,465","11,39,597","34.70"
"TECHM","EQ","19-May-2020","504.05","510.00","519.70","503.30","512.50","512.60","514.34","30,41,594","1,56,44,27,387.55","65,682","13,56,537","44.60"
"TECHM","EQ","20-May-2020","512.60","515.00","524.80","510.70","520.00","519.20","518.13","27,72,990","1,43,67,75,737.50","60,159","11,63,899","41.97"
"TECHM","EQ","21-May-2020","519.20","519.95","521.50","510.05","520.05","520.05","516.84","25,40,109","1,31,28,40,562.65","59,289","9,08,039","35.75"
"TECHM","EQ","22-May-2020","520.05","517.10","531.00","515.10","529.35","529.65","525.98","42,54,552","2,23,78,11,314.65","66,566","21,27,756","50.01"
"TECHM","EQ","26-May-2020","529.65","533.00","540.75","518.85","521.60","520.45","528.93","27,19,798","1,43,85,70,769.15","70,404","6,74,455","24.80"
"TECHM","EQ","27-May-2020","520.45","521.65","526.00","512.05","523.55","523.75","520.85","22,65,985","1,18,02,46,055.90","54,889","8,02,059","35.40"
"TECHM","EQ","28-May-2020","523.75","528.00","531.85","517.15","529.80","529.70","525.21","33,87,687","1,77,92,53,043.55","53,348","13,70,730","40.46"
"TECHM","EQ","29-May-2020","529.70","529.90","535.65","524.45","530.55","530.45","530.59","40,81,553","2,16,56,11,277.95","86,157","20,08,890","49.22"
