"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TITAN","EQ","01-Jan-2014","229.50","230.00","232.50","229.35","230.65","230.80","231.17","5,38,938","12,45,88,330.00","7,615","1,96,933","36.54"
"TITAN","EQ","02-Jan-2014","230.80","229.50","235.95","225.10","226.40","226.35","232.10","15,70,396","36,44,91,673.55","17,856","4,96,517","31.62"
"TITAN","EQ","03-Jan-2014","226.35","226.00","228.75","224.00","228.25","227.40","226.90","8,18,984","18,58,23,548.65","9,943","3,14,189","38.36"
"TITAN","EQ","06-Jan-2014","227.40","228.00","230.30","225.55","227.35","227.80","228.22","4,97,192","11,34,69,538.55","6,959","1,50,006","30.17"
"TITAN","EQ","07-Jan-2014","227.80","230.00","230.90","224.80","226.00","226.05","226.49","7,13,955","16,17,04,822.30","8,356","2,32,769","32.60"
"TITAN","EQ","08-Jan-2014","226.05","226.90","226.95","222.10","223.20","222.75","224.19","8,78,308","19,69,03,675.50","10,359","3,56,652","40.61"
"TITAN","EQ","09-Jan-2014","222.75","225.15","227.45","221.40","223.75","223.85","224.25","11,26,716","25,26,62,984.20","14,644","3,38,772","30.07"
"TITAN","EQ","10-Jan-2014","223.85","224.00","227.25","219.00","220.05","220.25","223.60","9,83,757","21,99,65,468.60","12,222","2,75,880","28.04"
"TITAN","EQ","13-Jan-2014","220.25","221.00","223.40","214.10","220.95","221.10","221.04","12,53,786","27,71,38,384.65","15,468","5,12,972","40.91"
"TITAN","EQ","14-Jan-2014","221.10","221.25","222.40","220.00","220.65","221.00","221.01","3,64,394","8,05,36,020.95","5,146","1,13,200","31.07"
"TITAN","EQ","15-Jan-2014","221.00","221.15","222.25","216.15","218.00","218.05","218.56","10,60,362","23,17,56,765.40","13,656","4,64,966","43.85"
"TITAN","EQ","16-Jan-2014","218.05","218.05","219.70","216.65","217.50","218.20","217.99","8,09,129","17,63,79,490.50","15,288","2,19,285","27.10"
"TITAN","EQ","17-Jan-2014","218.20","216.70","220.75","216.55","217.15","217.05","218.33","6,45,915","14,10,20,706.75","8,487","2,27,530","35.23"
"TITAN","EQ","20-Jan-2014","217.05","216.10","217.95","215.00","216.40","216.50","216.45","3,92,820","8,50,25,353.25","6,571","1,16,332","29.61"
