"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ULTRACEMCO","EQ","01-Jan-2024","10,503.05","10,503.05","10,520.00","10,414.60","10,459.50","10,464.00","10,466.40","97,677","1,02,23,26,313.25","21,414","31,571","32.32"
"ULTRACEMCO","EQ","02-Jan-2024","10,464.00","10,489.90","10,489.90","10,104.10","10,205.10","10,204.70","10,212.57","3,37,528","3,44,70,29,535.70","62,080","1,30,380","38.63"
"ULTRACEMCO","EQ","03-Jan-2024","10,204.70","10,204.75","10,245.00","10,089.60","10,113.50","10,111.55","10,155.84","1,79,575","1,82,37,35,749.70","43,667","98,873","55.06"
"ULTRACEMCO","EQ","04-Jan-2024","10,111.55","10,160.00","10,164.55","10,001.00","10,032.95","10,014.80","10,051.84","3,13,755","3,15,38,13,832.55","55,393","1,99,388","63.55"
"ULTRACEMCO","EQ","05-Jan-2024","10,014.80","10,100.00","10,100.00","9,995.00","10,025.90","10,016.05","10,031.09","1,63,191","1,63,69,84,263.10","49,130","84,325","51.67"
"ULTRACEMCO","EQ","08-Jan-2024","10,016.05","10,078.00","10,080.00","9,925.05","9,934.95","9,934.50","9,976.51","1,76,843","1,76,42,76,406.65","35,273","96,317","54.46"
"ULTRACEMCO","EQ","09-Jan-2024","9,934.50","9,989.60","10,016.95","9,870.20","9,899.60","9,899.10","9,936.08","2,42,925","2,41,37,23,054.60","44,724","1,56,969","64.62"
"ULTRACEMCO","EQ","10-Jan-2024","9,899.10","9,898.95","9,906.75","9,730.00","9,790.00","9,776.20","9,779.81","3,74,333","3,66,09,07,447.40","69,091","2,66,933","71.31"
"ULTRACEMCO","EQ","11-Jan-2024","9,776.20","9,839.90","9,944.95","9,719.15","9,890.00","9,920.45","9,845.40","3,75,210","3,69,40,92,834.50","76,758","2,39,007","63.70"
"ULTRACEMCO","EQ","12-Jan-2024","9,920.45","9,979.95","9,979.95","9,794.05","9,822.00","9,808.45","9,844.19","3,76,816","3,70,94,46,888.35","72,775","2,52,236","66.94"
"ULTRACEMCO","EQ","15-Jan-2024","9,808.45","9,879.00","9,996.80","9,820.00","9,965.00","9,954.55","9,931.17","2,73,931","2,72,04,54,905.50","65,364","1,77,201","64.69"
"ULTRACEMCO","EQ","16-Jan-2024","9,954.55","9,953.95","10,046.80","9,880.35","9,969.95","9,969.60","9,976.31","1,46,779","1,46,43,13,049.70","38,153","65,336","44.51"
