"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","01-Jan-2021","386.25","385.05","390.75","385.05","387.50","388.10","388.00","50,42,336","1,95,64,34,384.50","67,053","12,14,950","24.09"
"WIPRO","EQ","04-Jan-2021","388.10","390.00","397.95","387.80","396.70","396.40","393.91","97,55,721","3,84,28,41,411.10","94,914","33,56,855","34.41"
"WIPRO","EQ","05-Jan-2021","396.40","394.10","409.80","393.50","405.50","406.30","403.28","2,51,56,747","10,14,52,93,571.15","1,88,362","81,46,042","32.38"
"WIPRO","EQ","06-Jan-2021","406.30","405.00","417.40","403.30","405.90","406.40","410.04","2,24,86,300","9,22,01,84,899.15","1,93,337","54,85,151","24.39"
"WIPRO","EQ","07-Jan-2021","406.40","412.25","413.00","403.85","407.50","406.75","406.88","1,23,44,755","5,02,28,32,524.55","97,582","36,47,681","29.55"
"WIPRO","EQ","08-Jan-2021","406.75","407.50","432.65","407.25","428.00","430.20","423.56","4,09,93,230","17,36,30,08,226.95","2,77,996","1,00,74,049","24.57"
"WIPRO","EQ","11-Jan-2021","430.20","436.00","451.00","435.00","447.05","446.80","444.84","4,73,34,018","21,05,62,11,454.25","3,71,366","1,10,87,896","23.42"
"WIPRO","EQ","12-Jan-2021","446.80","447.95","460.75","442.40","460.70","457.70","451.30","2,21,34,465","9,98,92,60,323.40","2,23,110","37,22,545","16.82"
"WIPRO","EQ","13-Jan-2021","457.70","461.00","467.45","452.80","459.00","459.00","460.70","2,91,90,193","13,44,80,66,484.00","3,62,087","69,42,477","23.78"
"WIPRO","EQ","14-Jan-2021","459.00","452.00","466.00","430.00","453.00","454.35","450.54","7,15,51,807","32,23,70,59,994.65","5,29,191","1,20,75,899","16.88"
"WIPRO","EQ","15-Jan-2021","454.35","454.75","459.40","436.60","437.80","438.55","447.14","2,53,07,779","11,31,61,25,682.25","2,14,897","37,74,231","14.91"
"WIPRO","EQ","18-Jan-2021","438.55","441.00","445.00","429.10","429.10","431.55","438.58","2,15,10,587","9,43,42,08,905.95","2,08,931","30,06,002","13.97"
"WIPRO","EQ","19-Jan-2021","431.55","433.00","439.55","427.70","433.00","430.25","432.24","1,56,77,790","6,77,65,54,730.00","1,32,337","29,89,708","19.07"
"WIPRO","EQ","20-Jan-2021","430.25","434.00","447.85","433.00","444.90","444.95","443.71","2,44,19,679","10,83,51,53,345.55","2,07,154","46,23,935","18.94"
"WIPRO","EQ","21-Jan-2021","444.95","451.60","453.45","442.30","447.65","445.80","448.46","1,59,11,377","7,13,56,59,042.50","1,38,856","46,07,464","28.96"
"WIPRO","EQ","22-Jan-2021","445.80","447.45","452.00","440.45","443.50","444.75","445.22","1,13,98,812","5,07,49,68,624.85","1,20,324","32,59,580","28.60"
"WIPRO","EQ","25-Jan-2021","444.75","445.15","451.00","435.15","437.90","437.25","441.91","73,80,169","3,26,13,60,007.80","86,204","19,53,913","26.48"
"WIPRO","EQ","27-Jan-2021","437.25","438.00","454.75","437.25","446.00","446.45","449.19","2,95,90,210","13,29,15,61,394.70","2,24,446","65,22,228","22.04"
"WIPRO","EQ","28-Jan-2021","446.45","443.25","448.60","427.30","433.00","431.90","434.54","1,48,12,435","6,43,66,22,050.55","1,57,793","23,46,161","15.84"
"WIPRO","EQ","29-Jan-2021","431.90","437.40","437.70","415.55","420.00","417.90","425.79","1,56,32,421","6,65,61,58,339.40","1,43,912","51,20,354","32.75"
"WIPRO","EQ","01-Feb-2021","417.90","416.10","423.80","408.20","423.05","421.50","415.30","1,50,81,852","6,26,34,67,806.45","1,60,816","34,02,788","22.56"
"WIPRO","EQ","02-Feb-2021","421.50","428.00","435.55","423.65","427.90","428.35","427.93","1,33,10,498","5,69,60,08,265.30","1,11,916","28,13,870","21.14"
"WIPRO","EQ","03-Feb-2021","428.35","430.20","439.95","430.20","435.00","433.50","436.37","98,97,666","4,31,90,33,021.40","1,03,571","22,75,292","22.99"
"WIPRO","EQ","04-Feb-2021","433.50","433.50","436.90","428.25","430.40","429.90","430.85","71,93,299","3,09,92,48,262.30","74,478","19,06,324","26.50"
"WIPRO","EQ","05-Feb-2021","429.90","432.00","433.40","420.55","426.50","425.55","424.89","86,79,026","3,68,76,25,859.55","88,201","28,17,052","32.46"
"WIPRO","EQ","08-Feb-2021","425.55","430.35","437.70","426.30","436.30","435.30","431.95","1,25,16,340","5,40,63,78,731.25","1,14,768","33,23,421","26.55"
"WIPRO","EQ","09-Feb-2021","435.30","440.25","451.75","435.20","441.50","439.35","445.17","2,94,74,830","13,12,12,20,479.85","2,32,757","55,99,448","19.00"
"WIPRO","EQ","10-Feb-2021","439.35","442.00","444.15","435.00","439.70","439.00","438.83","1,06,07,735","4,65,50,01,302.00","86,594","29,99,030","28.27"
"WIPRO","EQ","11-Feb-2021","439.00","439.00","440.50","433.40","440.20","437.00","436.02","92,37,026","4,02,75,18,160.70","77,279","25,32,694","27.42"
