"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIPORTS","EQ","01-Jan-2014","155.40","154.55","157.75","154.55","156.50","156.30","156.56","8,51,727","13,33,47,248.00","5,166","5,00,357","58.75"
"ADANIPORTS","EQ","02-Jan-2014","156.30","155.70","159.40","151.10","151.75","152.65","156.21","28,62,278","44,71,07,915.80","20,462","17,26,403","60.32"
"ADANIPORTS","EQ","03-Jan-2014","152.65","151.50","153.85","147.50","149.65","149.90","150.35","16,36,752","24,60,85,304.35","16,311","7,10,903","43.43"
"ADANIPORTS","EQ","06-Jan-2014","149.90","150.50","152.50","149.00","151.00","150.85","150.93","7,50,034","11,32,04,338.60","8,146","2,85,694","38.09"
"ADANIPORTS","EQ","07-Jan-2014","150.85","150.85","152.20","145.30","145.50","145.95","148.08","10,69,056","15,83,07,484.65","9,638","6,25,606","58.52"
"ADANIPORTS","EQ","08-Jan-2014","145.95","147.10","152.20","144.40","150.55","150.75","149.21","11,95,550","17,83,84,348.55","22,012","4,90,710","41.04"
"ADANIPORTS","EQ","09-Jan-2014","150.75","149.45","153.20","148.55","150.35","149.55","150.08","13,77,312","20,67,08,053.55","17,929","7,82,943","56.85"
"ADANIPORTS","EQ","10-Jan-2014","149.55","150.30","152.00","147.70","147.75","148.30","149.69","8,20,545","12,28,26,561.20","11,919","3,31,011","40.34"
"ADANIPORTS","EQ","13-Jan-2014","148.30","148.50","149.95","142.20","145.10","143.75","144.47","14,44,514","20,86,87,499.40","15,664","7,08,379","49.04"
"ADANIPORTS","EQ","14-Jan-2014","143.75","143.00","149.70","142.00","147.40","147.05","146.58","20,65,518","30,27,58,117.90","26,431","8,60,007","41.64"
"ADANIPORTS","EQ","15-Jan-2014","147.05","147.10","150.90","147.10","150.40","150.10","149.14","10,73,586","16,01,18,151.05","13,541","6,06,368","56.48"
"ADANIPORTS","EQ","16-Jan-2014","150.10","149.10","152.45","149.10","150.20","150.80","150.91","11,93,550","18,01,18,034.35","15,444","7,20,201","60.34"
"ADANIPORTS","EQ","17-Jan-2014","150.80","150.20","151.60","145.10","148.95","148.65","148.24","11,22,874","16,64,49,511.50","15,328","6,66,006","59.31"
"ADANIPORTS","EQ","20-Jan-2014","148.65","149.10","152.50","148.75","150.60","150.95","151.27","12,23,239","18,50,33,961.25","13,074","8,03,454","65.68"
"ADANIPORTS","EQ","21-Jan-2014","150.95","151.00","151.45","146.15","147.10","147.65","147.85","11,12,972","16,45,51,455.00","13,165","7,27,922","65.40"
"ADANIPORTS","EQ","22-Jan-2014","147.65","147.65","149.60","146.65","147.95","147.90","148.04","7,32,908","10,84,96,740.30","7,239","2,50,160","34.13"
"ADANIPORTS","EQ","23-Jan-2014","147.90","147.20","149.60","147.20","148.50","148.30","148.34","15,18,047","22,51,91,548.55","8,977","10,53,136","69.37"
"ADANIPORTS","EQ","24-Jan-2014","148.30","147.50","149.20","143.15","144.40","145.00","145.60","41,92,128","61,03,55,550.55","8,882","37,29,605","88.97"
"ADANIPORTS","EQ","27-Jan-2014","145.00","143.55","147.40","141.25","144.40","143.95","144.27","24,67,215","35,59,44,506.30","32,326","8,13,670","32.98"
"ADANIPORTS","EQ","28-Jan-2014","143.95","143.60","146.40","141.05","142.40","142.00","143.74","14,53,706","20,89,62,731.90","25,671","8,54,243","58.76"
"ADANIPORTS","EQ","29-Jan-2014","142.00","144.00","147.80","143.35","147.35","146.65","146.25","15,03,702","21,99,21,492.30","19,935","7,35,607","48.92"
"ADANIPORTS","EQ","30-Jan-2014","146.65","144.70","146.35","141.00","142.80","141.65","142.34","15,30,051","21,77,87,850.85","14,734","8,74,790","57.17"
"ADANIPORTS","EQ","31-Jan-2014","141.65","143.00","147.55","142.30","146.00","146.95","145.29","7,65,126","11,11,61,992.80","10,890","4,06,331","53.11"
"ADANIPORTS","EQ","03-Feb-2014","146.95","146.40","146.65","143.40","144.00","143.95","144.47","5,20,680","7,52,21,580.10","15,378","2,87,451","55.21"
"ADANIPORTS","EQ","04-Feb-2014","143.95","142.50","148.50","141.95","148.00","146.90","145.35","7,87,885","11,45,17,074.70","13,103","4,21,777","53.53"
"ADANIPORTS","EQ","05-Feb-2014","146.90","146.90","148.50","144.50","146.00","145.70","147.33","24,46,824","36,04,82,898.20","7,110","21,39,587","87.44"
"ADANIPORTS","EQ","06-Feb-2014","145.70","148.00","148.85","145.70","146.00","146.40","147.15","7,20,689","10,60,50,932.45","10,724","4,24,348","58.88"
"ADANIPORTS","EQ","07-Feb-2014","146.40","147.50","152.50","146.70","147.20","147.50","147.85","63,66,201","94,12,60,676.15","23,181","47,82,840","75.13"
"ADANIPORTS","EQ","10-Feb-2014","147.50","147.25","149.10","146.70","147.50","148.05","147.55","19,81,260","29,23,34,165.30","8,064","17,45,515","88.10"
"ADANIPORTS","EQ","11-Feb-2014","148.05","149.90","150.00","147.55","148.30","148.25","148.47","21,14,388","31,39,15,308.65","9,885","17,46,268","82.59"
"ADANIPORTS","EQ","12-Feb-2014","148.25","149.00","149.20","144.35","146.00","146.05","146.66","8,35,543","12,25,38,696.90","20,550","4,54,538","54.40"
"ADANIPORTS","EQ","13-Feb-2014","146.05","146.10","147.25","143.50","144.00","144.15","144.74","7,34,478","10,63,05,299.15","26,586","5,07,380","69.08"
"ADANIPORTS","EQ","14-Feb-2014","144.15","143.35","148.40","143.35","147.40","147.05","146.71","9,19,174","13,48,53,780.50","14,430","5,09,477","55.43"
"ADANIPORTS","EQ","17-Feb-2014","147.05","148.40","152.00","146.20","152.00","151.20","149.22","6,47,048","9,65,54,886.85","11,253","2,70,663","41.83"
"ADANIPORTS","EQ","18-Feb-2014","151.20","152.00","160.40","151.45","160.40","159.65","155.99","33,06,662","51,58,07,894.90","69,262","15,52,033","46.94"
"ADANIPORTS","EQ","19-Feb-2014","159.65","160.00","165.00","158.50","163.50","164.10","162.68","26,24,162","42,68,98,146.15","33,562","14,05,333","53.55"
"ADANIPORTS","EQ","20-Feb-2014","164.10","161.05","167.50","160.15","165.20","164.80","164.44","23,44,760","38,55,75,362.90","41,406","11,43,919","48.79"
"ADANIPORTS","EQ","21-Feb-2014","164.80","166.40","168.40","162.55","166.65","167.25","165.70","22,88,323","37,91,67,552.50","34,414","11,95,596","52.25"
"ADANIPORTS","EQ","24-Feb-2014","167.25","167.00","170.70","163.35","163.50","164.50","167.07","21,24,447","35,49,24,412.65","22,595","10,40,096","48.96"
"ADANIPORTS","EQ","25-Feb-2014","164.50","164.85","166.60","158.05","159.45","159.00","161.86","16,82,365","27,23,01,868.70","20,500","8,87,716","52.77"
"ADANIPORTS","EQ","26-Feb-2014","159.00","160.00","161.70","154.85","160.60","160.75","158.17","17,78,597","28,13,22,779.30","17,492","9,98,747","56.15"
"ADANIPORTS","EQ","28-Feb-2014","160.75","160.60","169.80","160.15","168.85","167.25","164.78","24,64,976","40,61,82,024.15","41,558","16,37,516","66.43"
"ADANIPORTS","EQ","03-Mar-2014","167.25","168.00","173.80","167.40","171.50","171.65","171.75","19,37,906","33,28,37,993.50","24,225","4,68,192","24.16"
"ADANIPORTS","EQ","04-Mar-2014","171.65","172.30","176.80","171.10","175.00","175.45","174.04","27,92,682","48,60,32,443.35","34,960","13,52,379","48.43"
"ADANIPORTS","EQ","05-Mar-2014","175.45","176.20","178.65","175.05","176.50","176.90","177.21","24,23,656","42,94,97,843.20","18,600","14,06,558","58.03"
"ADANIPORTS","EQ","06-Mar-2014","176.90","177.25","179.70","175.75","178.30","179.15","178.10","16,18,425","28,82,42,105.15","21,939","7,22,867","44.66"
"ADANIPORTS","EQ","07-Mar-2014","179.15","179.70","189.70","176.55","184.70","186.90","184.02","45,17,490","83,12,88,506.75","45,069","20,63,218","45.67"
"ADANIPORTS","EQ","10-Mar-2014","186.90","185.95","190.75","182.30","187.80","187.85","187.00","25,22,084","47,16,25,541.95","24,292","9,59,469","38.04"
"ADANIPORTS","EQ","11-Mar-2014","187.85","188.10","188.50","183.65","183.85","184.60","186.34","17,41,685","32,45,48,551.65","23,247","7,22,125","41.46"
"ADANIPORTS","EQ","12-Mar-2014","184.60","183.25","186.35","182.05","183.85","183.65","183.93","10,67,157","19,62,85,149.05","29,377","4,97,485","46.62"
"ADANIPORTS","EQ","13-Mar-2014","183.65","183.65","185.70","177.90","178.30","179.20","182.69","9,23,751","16,87,61,477.95","12,224","2,36,657","25.62"
"ADANIPORTS","EQ","14-Mar-2014","179.20","177.00","185.35","175.20","184.10","183.20","181.24","17,15,374","31,08,96,761.30","17,544","9,01,012","52.53"
"ADANIPORTS","EQ","18-Mar-2014","183.20","183.50","189.80","183.50","188.50","188.75","188.29","30,61,068","57,63,79,429.25","45,596","18,35,866","59.97"
"ADANIPORTS","EQ","19-Mar-2014","188.75","189.95","189.95","184.30","185.05","185.20","187.15","13,85,598","25,93,17,321.55","23,132","7,34,906","53.04"
"ADANIPORTS","EQ","20-Mar-2014","185.20","184.05","186.90","180.75","181.90","181.60","183.90","12,30,749","22,63,30,466.05","20,013","4,41,152","35.84"
"ADANIPORTS","EQ","21-Mar-2014","181.60","183.00","184.40","179.80","181.20","181.70","182.15","14,92,705","27,18,97,691.70","15,951","8,17,258","54.75"
"ADANIPORTS","EQ","22-Mar-2014","181.70","182.95","182.95","181.00","181.80","181.60","181.73","84,234","1,53,07,666.45","1,296","35,119","41.69"
"ADANIPORTS","EQ","24-Mar-2014","181.60","182.00","182.90","174.60","178.10","178.50","178.05","13,89,494","24,73,98,490.95","20,823","7,27,113","52.33"
"ADANIPORTS","EQ","25-Mar-2014","178.50","179.00","182.20","177.00","179.90","179.90","180.36","14,68,660","26,48,94,116.70","18,208","8,46,438","57.63"
"ADANIPORTS","EQ","26-Mar-2014","179.90","180.55","183.00","177.80","179.15","178.80","179.87","18,36,011","33,02,48,484.70","15,887","12,03,608","65.56"
"ADANIPORTS","EQ","27-Mar-2014","178.80","178.50","180.55","177.80","179.35","179.75","179.80","15,95,618","28,68,99,126.55","13,226","10,43,530","65.40"
"ADANIPORTS","EQ","28-Mar-2014","179.75","179.35","188.10","179.35","186.05","186.15","184.57","52,68,789","97,24,82,934.60","44,275","27,03,875","51.32"
"ADANIPORTS","EQ","31-Mar-2014","186.15","187.40","192.80","185.75","186.55","187.45","188.78","38,89,451","73,42,65,933.60","30,110","24,61,235","63.28"
"ADANIPORTS","EQ","01-Apr-2014","187.45","188.70","189.40","184.30","187.00","186.30","186.74","11,43,086","21,34,64,101.35","38,978","5,65,034","49.43"
"ADANIPORTS","EQ","02-Apr-2014","186.30","187.90","189.70","175.15","186.40","186.00","184.85","20,72,685","38,31,33,295.80","32,674","7,16,355","34.56"
"ADANIPORTS","EQ","03-Apr-2014","186.00","186.05","187.80","179.10","180.55","181.30","182.31","20,74,961","37,82,89,767.75","35,625","11,94,403","57.56"
"ADANIPORTS","EQ","04-Apr-2014","181.30","182.00","183.40","178.35","179.50","179.85","180.55","29,28,018","52,86,63,242.10","35,710","16,23,250","55.44"
"ADANIPORTS","EQ","07-Apr-2014","179.85","180.25","182.80","175.50","176.55","177.00","178.08","22,30,925","39,72,83,808.30","53,245","12,21,108","54.74"
"ADANIPORTS","EQ","09-Apr-2014","177.00","178.80","184.20","176.90","183.25","183.45","181.77","38,13,131","69,31,28,266.35","43,076","25,09,517","65.81"
"ADANIPORTS","EQ","10-Apr-2014","183.45","183.35","204.40","183.35","193.00","193.00","196.07","1,53,36,233","3,00,70,38,494.40","1,20,503","44,57,864","29.07"
"ADANIPORTS","EQ","11-Apr-2014","193.00","193.50","200.60","188.15","194.00","193.65","194.23","87,68,812","1,70,31,25,061.20","89,145","27,24,043","31.07"
"ADANIPORTS","EQ","15-Apr-2014","193.65","195.00","195.30","185.30","186.50","187.00","189.09","45,79,077","86,58,53,808.10","48,996","21,86,594","47.75"
"ADANIPORTS","EQ","16-Apr-2014","187.00","187.60","198.35","187.05","194.75","194.10","195.03","78,78,787","1,53,66,30,721.10","86,192","29,48,791","37.43"
"ADANIPORTS","EQ","17-Apr-2014","194.10","195.35","203.40","195.30","198.00","198.40","199.35","61,92,143","1,23,43,81,640.35","59,499","16,20,543","26.17"
"ADANIPORTS","EQ","21-Apr-2014","198.40","199.90","209.50","198.90","203.75","204.00","205.56","72,84,821","1,49,74,73,350.65","63,682","19,24,085","26.41"
"ADANIPORTS","EQ","22-Apr-2014","204.00","205.60","208.90","202.15","205.35","204.80","205.63","38,48,936","79,14,58,643.45","34,050","10,13,352","26.33"
"ADANIPORTS","EQ","23-Apr-2014","204.80","208.00","213.05","203.35","205.70","204.45","207.84","77,02,502","1,60,08,94,678.35","60,289","25,53,239","33.15"
"ADANIPORTS","EQ","25-Apr-2014","204.45","205.00","206.70","197.25","198.65","198.70","201.09","58,08,334","1,16,79,75,623.80","69,804","30,21,865","52.03"
"ADANIPORTS","EQ","28-Apr-2014","198.70","199.40","199.65","189.40","192.30","192.15","192.96","61,11,039","1,17,91,60,789.00","68,675","30,00,872","49.11"
"ADANIPORTS","EQ","29-Apr-2014","192.15","193.70","196.50","190.55","191.10","191.55","193.71","49,73,177","96,33,59,503.65","47,345","20,94,915","42.12"
"ADANIPORTS","EQ","30-Apr-2014","191.55","192.05","194.45","174.60","189.75","188.20","186.56","58,84,524","1,09,77,94,561.55","54,633","20,73,176","35.23"
"ADANIPORTS","EQ","02-May-2014","188.20","190.00","192.40","184.00","185.85","185.85","186.80","53,28,258","99,53,26,552.35","49,031","25,75,744","48.34"
"ADANIPORTS","EQ","05-May-2014","185.85","187.00","190.40","182.50","186.00","186.05","186.69","34,62,920","64,64,94,799.85","35,453","9,86,606","28.49"
"ADANIPORTS","EQ","06-May-2014","186.05","187.30","193.90","186.60","193.75","192.50","190.05","30,79,280","58,52,02,127.45","29,340","12,83,807","41.69"
"ADANIPORTS","EQ","07-May-2014","192.50","193.50","196.15","187.35","189.70","189.50","193.23","43,98,923","85,00,18,767.40","41,358","15,24,172","34.65"
"ADANIPORTS","EQ","08-May-2014","189.50","190.05","191.60","185.05","190.80","190.20","188.48","49,55,646","93,40,62,844.00","65,717","26,62,108","53.72"
