"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AXISBANK","EQ","01-Jan-2019","619.90","621.90","630.20","621.90","628.00","627.30","624.79","1,21,79,223","7,60,94,60,130.10","61,276","13,64,047","11.20"
"AXISBANK","EQ","02-Jan-2019","627.30","623.00","628.50","617.50","619.45","620.05","623.31","1,23,86,281","7,72,05,45,780.25","1,70,903","77,83,918","62.84"
"AXISBANK","EQ","03-Jan-2019","620.05","621.40","622.00","603.65","609.00","607.95","611.77","1,32,28,602","8,09,28,34,256.45","2,12,633","81,98,959","61.98"
"AXISBANK","EQ","04-Jan-2019","607.95","612.00","624.75","609.50","620.00","619.60","617.88","83,81,367","5,17,86,78,150.75","1,26,230","29,80,044","35.56"
"AXISBANK","EQ","07-Jan-2019","619.60","626.00","640.70","624.20","637.40","637.45","635.95","1,17,35,286","7,46,30,59,201.60","1,51,307","47,99,071","40.89"
"AXISBANK","EQ","08-Jan-2019","637.45","636.00","653.75","630.60","652.15","650.90","641.05","1,18,79,875","7,61,56,19,639.70","1,21,549","52,48,930","44.18"
"AXISBANK","EQ","09-Jan-2019","650.90","652.35","672.05","652.35","671.20","670.10","663.81","1,80,03,387","11,95,07,94,758.85","2,26,139","73,04,764","40.57"
"AXISBANK","EQ","10-Jan-2019","670.10","668.90","668.90","654.60","665.20","663.25","661.18","1,27,51,327","8,43,09,13,484.55","1,28,303","52,84,830","41.45"
"AXISBANK","EQ","11-Jan-2019","663.25","665.00","668.50","658.20","666.00","666.50","663.36","83,30,315","5,52,60,28,013.90","1,12,565","32,13,759","38.58"
"AXISBANK","EQ","14-Jan-2019","666.50","663.00","663.00","652.55","658.35","659.20","657.41","68,56,244","4,50,73,35,979.65","1,16,097","24,90,029","36.32"
"AXISBANK","EQ","15-Jan-2019","659.20","661.30","664.25","655.05","660.50","660.60","660.44","54,67,484","3,61,09,56,493.65","90,847","20,58,889","37.66"
