"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJ-AUTO","EQ","01-Jan-2020","3,185.00","3,183.00","3,193.75","3,142.10","3,151.00","3,150.10","3,169.79","3,20,021","1,01,43,98,662.55","16,092","55,953","17.48"
"BAJAJ-AUTO","EQ","02-Jan-2020","3,150.10","3,154.95","3,172.50","3,112.05","3,121.75","3,121.00","3,129.60","4,52,413","1,41,58,70,093.50","25,354","1,45,229","32.10"
"BAJAJ-AUTO","EQ","03-Jan-2020","3,121.00","3,125.50","3,128.25","3,065.00","3,067.00","3,072.05","3,090.34","4,24,311","1,31,12,63,332.40","27,302","1,62,278","38.25"
"BAJAJ-AUTO","EQ","06-Jan-2020","3,072.05","3,070.00","3,071.60","3,028.05","3,033.00","3,037.65","3,039.65","3,55,754","1,08,13,66,111.95","23,989","1,55,173","43.62"
"BAJAJ-AUTO","EQ","07-Jan-2020","3,037.65","3,045.50","3,072.00","3,030.10","3,045.00","3,037.95","3,043.08","2,25,535","68,63,21,029.70","15,131","68,131","30.21"
"BAJAJ-AUTO","EQ","08-Jan-2020","3,037.95","3,000.00","3,073.40","3,000.00","3,057.00","3,059.25","3,048.93","3,93,614","1,20,01,00,081.70","26,250","1,15,005","29.22"
"BAJAJ-AUTO","EQ","09-Jan-2020","3,059.25","3,076.00","3,110.00","3,066.05","3,090.00","3,085.70","3,091.02","3,33,029","1,02,94,00,099.15","31,766","1,34,815","40.48"
"BAJAJ-AUTO","EQ","10-Jan-2020","3,085.70","3,098.00","3,117.00","3,085.75","3,102.00","3,101.20","3,099.26","4,55,081","1,41,04,12,420.50","28,270","2,31,586","50.89"
"BAJAJ-AUTO","EQ","13-Jan-2020","3,101.20","3,106.00","3,119.95","3,080.20","3,085.00","3,094.05","3,099.60","1,54,993","48,04,16,163.90","10,523","42,957","27.72"
"BAJAJ-AUTO","EQ","14-Jan-2020","3,094.05","3,091.10","3,118.00","3,074.00","3,107.00","3,101.60","3,100.60","2,78,534","86,36,21,833.75","19,552","1,34,847","48.41"
"BAJAJ-AUTO","EQ","15-Jan-2020","3,101.60","3,101.00","3,138.00","3,092.00","3,126.50","3,123.55","3,118.48","5,53,613","1,72,64,33,230.70","21,233","3,32,617","60.08"
"BAJAJ-AUTO","EQ","16-Jan-2020","3,123.55","3,129.80","3,150.00","3,101.50","3,104.55","3,112.10","3,121.91","2,87,553","89,77,14,573.40","15,600","1,44,677","50.31"
"BAJAJ-AUTO","EQ","17-Jan-2020","3,112.10","3,112.00","3,138.00","3,098.00","3,110.50","3,118.10","3,122.27","2,72,072","84,94,81,615.70","17,769","91,976","33.81"
"BAJAJ-AUTO","EQ","20-Jan-2020","3,118.10","3,130.00","3,144.65","3,083.15","3,103.55","3,103.70","3,109.00","3,65,554","1,13,65,06,389.40","21,352","1,95,882","53.58"
"BAJAJ-AUTO","EQ","21-Jan-2020","3,103.70","3,096.00","3,119.00","3,085.50","3,093.00","3,097.05","3,102.26","2,15,722","66,92,26,501.10","15,113","1,01,065","46.85"
"BAJAJ-AUTO","EQ","22-Jan-2020","3,097.05","3,105.00","3,110.00","3,070.10","3,074.85","3,076.40","3,082.74","2,69,339","83,03,02,989.60","18,843","1,53,323","56.93"
"BAJAJ-AUTO","EQ","23-Jan-2020","3,076.40","3,072.00","3,089.95","3,051.10","3,068.00","3,065.20","3,069.47","2,56,329","78,67,93,776.90","16,401","1,33,683","52.15"
"BAJAJ-AUTO","EQ","24-Jan-2020","3,065.20","3,068.00","3,092.95","3,064.00","3,082.40","3,074.15","3,078.46","2,09,961","64,63,56,383.80","16,960","1,05,882","50.43"
"BAJAJ-AUTO","EQ","27-Jan-2020","3,074.15","3,069.80","3,122.95","3,044.05","3,079.25","3,082.60","3,085.34","3,08,445","95,16,56,215.40","18,096","1,01,408","32.88"
"BAJAJ-AUTO","EQ","28-Jan-2020","3,082.60","3,089.80","3,109.60","3,048.00","3,050.40","3,060.90","3,075.44","2,39,986","73,80,63,476.25","26,462","1,20,743","50.31"
"BAJAJ-AUTO","EQ","29-Jan-2020","3,060.90","3,079.00","3,099.00","3,060.00","3,094.75","3,091.85","3,087.32","2,43,945","75,31,35,618.75","24,785","1,22,741","50.32"
"BAJAJ-AUTO","EQ","30-Jan-2020","3,091.85","3,108.50","3,185.00","3,041.10","3,142.00","3,145.50","3,128.47","24,00,831","7,51,09,31,523.40","1,19,163","2,61,288","10.88"
"BAJAJ-AUTO","EQ","31-Jan-2020","3,145.50","3,150.00","3,239.95","3,150.00","3,182.00","3,180.05","3,206.66","11,41,144","3,65,92,56,507.70","67,911","3,46,247","30.34"
"BAJAJ-AUTO","EQ","01-Feb-2020","3,180.05","3,173.60","3,215.60","3,124.80","3,145.00","3,143.30","3,176.48","4,77,309","1,51,61,60,585.35","22,609","1,61,896","33.92"
"BAJAJ-AUTO","EQ","03-Feb-2020","3,143.30","3,143.00","3,315.15","3,115.10","3,282.80","3,284.50","3,240.95","9,21,166","2,98,54,50,179.80","70,132","3,37,351","36.62"
"BAJAJ-AUTO","EQ","04-Feb-2020","3,284.50","3,270.00","3,313.00","3,151.00","3,160.90","3,162.80","3,221.67","15,46,450","4,98,21,58,384.00","86,685","3,89,230","25.17"
"BAJAJ-AUTO","EQ","05-Feb-2020","3,162.80","3,185.00","3,220.90","3,150.00","3,158.00","3,161.50","3,180.32","6,46,723","2,05,67,84,070.60","40,416","1,88,254","29.11"
"BAJAJ-AUTO","EQ","06-Feb-2020","3,161.50","3,170.00","3,211.00","3,141.40","3,148.00","3,149.80","3,174.12","5,14,236","1,63,22,48,061.25","31,289","1,76,470","34.32"
"BAJAJ-AUTO","EQ","07-Feb-2020","3,149.80","3,164.80","3,189.00","3,106.60","3,135.00","3,134.85","3,147.60","4,54,698","1,43,12,09,173.30","25,566","1,44,260","31.73"
"BAJAJ-AUTO","EQ","10-Feb-2020","3,134.85","3,138.00","3,150.85","3,091.70","3,100.00","3,103.30","3,118.05","3,86,072","1,20,37,90,721.15","19,938","1,26,810","32.85"
"BAJAJ-AUTO","EQ","11-Feb-2020","3,103.30","3,125.00","3,150.00","3,100.00","3,150.00","3,145.45","3,142.00","2,74,244","86,16,75,477.20","21,710","1,01,621","37.05"
"BAJAJ-AUTO","EQ","12-Feb-2020","3,145.45","3,164.70","3,184.65","3,136.85","3,158.90","3,146.30","3,161.63","3,45,354","1,09,18,80,218.45","23,469","1,53,819","44.54"
"BAJAJ-AUTO","EQ","13-Feb-2020","3,146.30","3,149.00","3,172.20","3,120.40","3,130.15","3,136.40","3,144.13","2,68,031","84,27,23,152.55","16,457","94,954","35.43"
"BAJAJ-AUTO","EQ","14-Feb-2020","3,136.40","3,145.00","3,205.00","3,136.80","3,152.60","3,146.40","3,171.77","3,81,580","1,21,02,82,359.60","30,267","1,14,100","29.90"
"BAJAJ-AUTO","EQ","17-Feb-2020","3,146.40","3,152.55","3,159.45","3,070.00","3,071.95","3,075.60","3,100.65","2,69,986","83,71,33,131.75","19,486","56,914","21.08"
"BAJAJ-AUTO","EQ","18-Feb-2020","3,075.60","3,064.70","3,090.55","3,033.50","3,086.00","3,082.50","3,064.56","3,37,054","1,03,29,20,635.15","20,730","94,666","28.09"
"BAJAJ-AUTO","EQ","19-Feb-2020","3,082.50","3,092.00","3,111.95","3,072.40","3,091.00","3,090.90","3,093.60","2,20,584","68,23,97,950.55","14,082","42,764","19.39"
"BAJAJ-AUTO","EQ","20-Feb-2020","3,090.90","3,091.00","3,100.05","3,057.65","3,059.00","3,065.50","3,077.45","2,56,115","78,81,80,569.60","25,529","1,12,002","43.73"
"BAJAJ-AUTO","EQ","24-Feb-2020","3,065.50","3,077.00","3,084.65","2,970.05","2,978.00","2,980.50","3,017.17","4,99,562","1,50,72,64,960.05","36,970","2,02,528","40.54"
"BAJAJ-AUTO","EQ","25-Feb-2020","2,980.50","2,992.00","3,007.00","2,931.00","2,955.00","2,947.40","2,958.41","5,27,499","1,56,05,55,785.45","41,447","1,90,397","36.09"
"BAJAJ-AUTO","EQ","26-Feb-2020","2,947.40","2,937.00","2,974.00","2,920.00","2,935.00","2,946.60","2,941.94","4,45,577","1,31,08,62,560.35","25,379","2,11,410","47.45"
"BAJAJ-AUTO","EQ","27-Feb-2020","2,946.60","2,944.80","2,969.95","2,913.50","2,935.15","2,936.60","2,945.41","4,16,726","1,22,74,30,952.85","32,846","1,77,075","42.49"
"BAJAJ-AUTO","EQ","28-Feb-2020","2,936.60","2,890.00","2,915.00","2,850.45","2,888.00","2,890.00","2,888.98","9,25,702","2,67,43,37,075.50","43,040","5,83,465","63.03"
"BAJAJ-AUTO","EQ","02-Mar-2020","2,890.00","2,920.00","2,944.50","2,772.00","2,797.00","2,792.20","2,825.10","12,81,846","3,62,13,38,140.00","69,748","4,63,495","36.16"
"BAJAJ-AUTO","EQ","03-Mar-2020","2,792.20","2,700.00","2,730.00","2,653.00","2,700.00","2,692.25","2,697.10","14,59,848","3,93,73,50,943.25","64,846","5,72,224","39.20"
"BAJAJ-AUTO","EQ","04-Mar-2020","2,692.25","2,720.00","2,764.50","2,653.50","2,706.00","2,711.50","2,716.91","9,54,038","2,59,20,37,175.45","71,202","2,58,277","27.07"
"BAJAJ-AUTO","EQ","05-Mar-2020","2,711.50","2,719.95","2,749.00","2,696.20","2,702.95","2,703.65","2,723.65","3,84,427","1,04,70,44,822.90","26,735","90,966","23.66"
"BAJAJ-AUTO","EQ","06-Mar-2020","2,703.65","2,640.00","2,758.00","2,620.00","2,745.00","2,735.05","2,683.90","6,58,891","1,76,83,94,560.75","49,017","2,40,097","36.44"
"BAJAJ-AUTO","EQ","09-Mar-2020","2,735.05","2,675.00","2,690.00","2,558.60","2,572.00","2,573.35","2,616.54","7,06,898","1,84,96,23,719.40","64,191","2,61,684","37.02"
"BAJAJ-AUTO","EQ","11-Mar-2020","2,573.35","2,580.00","2,630.00","2,562.70","2,598.60","2,591.55","2,600.37","6,41,982","1,66,93,92,473.70","51,929","2,39,069","37.24"
"BAJAJ-AUTO","EQ","12-Mar-2020","2,591.55","2,519.95","2,535.00","2,319.05","2,352.00","2,338.90","2,408.86","7,99,317","1,92,54,39,002.55","65,913","3,01,615","37.73"
"BAJAJ-AUTO","EQ","13-Mar-2020","2,338.90","2,249.00","2,432.45","2,040.00","2,408.90","2,357.10","2,271.44","8,83,265","2,00,62,82,188.40","63,177","3,31,960","37.58"
"BAJAJ-AUTO","EQ","16-Mar-2020","2,357.10","2,315.00","2,389.00","2,290.00","2,339.00","2,339.55","2,346.36","9,63,321","2,26,03,01,166.85","59,578","4,15,812","43.16"
"BAJAJ-AUTO","EQ","17-Mar-2020","2,339.55","2,345.20","2,372.70","2,250.05","2,270.50","2,270.45","2,304.70","6,59,035","1,51,88,76,584.60","39,660","1,62,511","24.66"
"BAJAJ-AUTO","EQ","18-Mar-2020","2,270.45","2,290.00","2,309.90","2,157.15","2,253.00","2,169.00","2,217.99","5,93,993","1,31,74,68,113.95","52,797","2,42,742","40.87"
"BAJAJ-AUTO","EQ","19-Mar-2020","2,169.00","2,119.75","2,377.40","2,032.35","2,186.70","2,166.60","2,198.01","10,10,352","2,22,07,68,499.45","88,650","3,46,594","34.30"
"BAJAJ-AUTO","EQ","20-Mar-2020","2,166.60","2,189.90","2,298.90","2,153.95","2,228.20","2,242.30","2,213.63","7,18,412","1,59,03,00,791.45","74,170","2,38,598","33.21"
"BAJAJ-AUTO","EQ","23-Mar-2020","2,242.30","2,052.00","2,389.00","1,900.00","1,919.00","1,935.55","1,965.84","7,97,174","1,56,71,17,505.10","69,743","3,90,201","48.95"
"BAJAJ-AUTO","EQ","24-Mar-2020","1,935.55","2,000.00","2,057.90","1,788.65","1,969.10","1,937.15","1,915.45","12,10,613","2,31,88,66,074.85","78,822","4,82,657","39.87"
"BAJAJ-AUTO","EQ","25-Mar-2020","1,937.15","1,917.00","1,989.00","1,866.60","1,925.00","1,946.75","1,928.14","6,06,235","1,16,89,05,884.80","57,859","2,32,086","38.28"
"BAJAJ-AUTO","EQ","26-Mar-2020","1,946.75","1,998.20","2,133.90","1,934.00","2,078.90","2,106.85","2,069.93","9,89,242","2,04,76,61,835.60","79,278","3,71,572","37.56"
"BAJAJ-AUTO","EQ","27-Mar-2020","2,106.85","2,149.00","2,167.00","2,007.15","2,058.65","2,053.45","2,059.82","9,38,567","1,93,32,81,333.00","88,966","3,26,577","34.80"
"BAJAJ-AUTO","EQ","30-Mar-2020","2,053.45","2,016.00","2,020.80","1,945.05","2,002.00","1,986.70","1,977.34","4,62,909","91,53,27,392.60","41,646","1,82,646","39.46"
"BAJAJ-AUTO","EQ","31-Mar-2020","1,986.70","2,037.35","2,048.40","1,930.30","2,010.00","2,022.35","2,007.87","7,62,791","1,53,15,86,507.60","61,303","3,06,453","40.18"
"BAJAJ-AUTO","EQ","01-Apr-2020","2,022.35","2,000.00","2,095.80","1,990.00","2,043.00","2,051.10","2,040.75","8,69,738","1,77,49,15,393.85","72,764","2,97,644","34.22"
"BAJAJ-AUTO","EQ","03-Apr-2020","2,051.10","2,051.10","2,056.30","1,957.55","2,020.00","2,033.75","2,011.09","6,92,220","1,39,21,15,954.60","82,281","2,53,473","36.62"
"BAJAJ-AUTO","EQ","07-Apr-2020","2,033.75","2,065.00","2,303.55","2,065.00","2,270.00","2,280.05","2,175.07","10,69,884","2,32,70,75,872.95","71,355","3,95,581","36.97"
"BAJAJ-AUTO","EQ","08-Apr-2020","2,280.05","2,180.00","2,383.45","2,168.55","2,260.00","2,241.70","2,299.11","8,40,875","1,93,32,66,167.40","59,866","2,45,664","29.22"
"BAJAJ-AUTO","EQ","09-Apr-2020","2,241.70","2,290.00","2,524.95","2,289.90","2,436.10","2,435.95","2,435.84","17,88,928","4,35,75,38,270.05","84,039","6,09,581","34.08"
"BAJAJ-AUTO","EQ","13-Apr-2020","2,435.95","2,430.15","2,430.15","2,321.75","2,400.05","2,397.55","2,366.13","6,54,478","1,54,85,80,923.10","35,598","-","-"
"BAJAJ-AUTO","EQ","15-Apr-2020","2,397.55","2,410.00","2,483.60","2,320.05","2,351.70","2,335.15","2,423.10","9,86,750","2,39,09,94,149.00","66,243","3,62,381","36.72"
"BAJAJ-AUTO","EQ","16-Apr-2020","2,335.15","2,330.00","2,365.00","2,264.50","2,330.05","2,333.55","2,319.71","9,44,581","2,19,11,52,923.15","59,083","2,91,630","30.87"
"BAJAJ-AUTO","EQ","17-Apr-2020","2,333.55","2,380.00","2,425.05","2,347.05","2,386.90","2,379.15","2,381.23","6,90,554","1,64,43,68,168.50","44,460","1,86,543","27.01"
"BAJAJ-AUTO","EQ","20-Apr-2020","2,379.15","2,410.00","2,415.00","2,351.70","2,377.00","2,378.30","2,377.57","4,27,669","1,01,68,12,480.70","32,400","1,28,968","30.16"
"BAJAJ-AUTO","EQ","21-Apr-2020","2,378.30","2,344.00","2,354.45","2,295.00","2,325.00","2,323.25","2,320.48","7,02,627","1,63,04,29,625.85","40,959","2,66,546","37.94"
"BAJAJ-AUTO","EQ","22-Apr-2020","2,323.25","2,323.25","2,412.10","2,296.10","2,372.10","2,379.70","2,372.42","7,12,534","1,69,04,31,076.50","47,759","2,09,642","29.42"
"BAJAJ-AUTO","EQ","23-Apr-2020","2,379.70","2,379.70","2,446.95","2,368.00","2,425.00","2,430.65","2,413.27","11,79,212","2,84,57,55,383.80","42,715","7,25,474","61.52"
"BAJAJ-AUTO","EQ","24-Apr-2020","2,430.65","2,410.00","2,472.00","2,381.00","2,450.00","2,445.35","2,445.05","6,69,287","1,63,64,42,215.55","48,857","1,97,580","29.52"
"BAJAJ-AUTO","EQ","27-Apr-2020","2,445.35","2,470.00","2,551.85","2,453.25","2,499.00","2,505.75","2,504.52","11,28,657","2,82,67,45,945.00","63,563","2,58,489","22.90"
"BAJAJ-AUTO","EQ","28-Apr-2020","2,505.75","2,510.85","2,546.40","2,431.35","2,464.80","2,463.70","2,469.42","6,46,908","1,59,74,90,042.15","40,098","1,65,768","25.62"
"BAJAJ-AUTO","EQ","29-Apr-2020","2,463.70","2,474.00","2,520.00","2,450.00","2,500.00","2,499.15","2,492.45","5,25,271","1,30,92,11,701.55","35,997","1,01,599","19.34"
"BAJAJ-AUTO","EQ","30-Apr-2020","2,499.15","2,525.10","2,654.00","2,510.15","2,623.80","2,623.30","2,600.82","11,18,713","2,90,95,70,323.65","69,201","2,82,136","25.22"
"BAJAJ-AUTO","EQ","04-May-2020","2,623.30","2,550.00","2,554.95","2,415.40","2,433.00","2,442.15","2,462.39","5,74,562","1,41,47,94,043.20","36,358","1,49,808","26.07"
"BAJAJ-AUTO","EQ","05-May-2020","2,442.15","2,475.00","2,488.90","2,400.80","2,416.95","2,422.80","2,435.61","6,63,761","1,61,66,65,322.20","36,042","1,46,266","22.04"
"BAJAJ-AUTO","EQ","06-May-2020","2,422.80","2,425.00","2,495.00","2,361.30","2,475.00","2,471.85","2,444.79","7,78,603","1,90,35,20,010.60","40,185","1,61,091","20.69"
