"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BEL","EQ","01-Jan-2016","1,371.10","1,377.00","1,379.85","1,361.70","1,379.85","1,375.75","1,372.21","2,31,288","31,73,74,808.55","7,342","1,05,030","45.41"
"BEL","EQ","04-Jan-2016","1,375.75","1,371.85","1,416.85","1,365.00","1,370.15","1,370.05","1,386.69","4,37,703","60,69,59,607.85","22,521","1,60,918","36.76"
"BEL","EQ","05-Jan-2016","1,370.05","1,379.00","1,392.00","1,359.00","1,362.00","1,366.15","1,372.84","2,64,812","36,35,44,030.35","14,536","93,843","35.44"
"BEL","EQ","06-Jan-2016","1,366.15","1,365.00","1,380.00","1,343.00","1,357.00","1,353.40","1,361.44","1,79,314","24,41,25,369.20","8,045","49,167","27.42"
"BEL","EQ","07-Jan-2016","1,353.40","1,353.00","1,353.00","1,284.85","1,302.30","1,293.80","1,310.71","4,25,241","55,73,69,354.35","29,930","2,16,392","50.89"
"BEL","EQ","08-Jan-2016","1,293.80","1,305.00","1,319.95","1,287.00","1,308.00","1,298.05","1,304.30","1,99,926","26,07,63,827.30","14,737","80,595","40.31"
"BEL","EQ","11-Jan-2016","1,298.05","1,292.00","1,336.90","1,271.10","1,336.90","1,330.60","1,315.26","3,04,483","40,04,75,737.35","16,251","90,632","29.77"
"BEL","EQ","12-Jan-2016","1,330.60","1,342.00","1,369.55","1,334.50","1,335.00","1,340.10","1,349.28","5,09,395","68,73,14,045.00","17,821","2,54,428","49.95"
"BEL","EQ","13-Jan-2016","1,340.10","1,350.00","1,360.00","1,294.50","1,338.00","1,339.75","1,334.14","5,21,051","69,51,56,882.70","32,904","2,34,277","44.96"
"BEL","EQ","14-Jan-2016","1,339.75","1,322.00","1,329.85","1,290.00","1,305.00","1,307.70","1,311.29","1,68,318","22,07,14,395.65","9,831","55,516","32.98"
"BEL","EQ","15-Jan-2016","1,307.70","1,313.50","1,325.00","1,243.00","1,269.00","1,259.55","1,290.29","1,84,941","23,86,27,841.95","10,920","56,331","30.46"
