"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BHARTIARTL","EQ","01-Jan-2024","1,032.20","1,031.95","1,031.95","1,007.00","1,012.00","1,013.05","1,014.62","38,04,406","3,86,00,29,871.00","1,51,146","21,88,481","57.52"
"BHARTIARTL","EQ","02-Jan-2024","1,013.05","1,017.40","1,025.45","1,016.00","1,022.75","1,021.70","1,020.81","68,65,791","7,00,86,56,979.50","1,46,374","52,37,800","76.29"
"BHARTIARTL","EQ","03-Jan-2024","1,021.70","1,031.95","1,037.00","1,021.35","1,034.65","1,035.20","1,031.21","36,04,276","3,71,67,65,576.80","1,30,745","25,22,095","69.98"
"BHARTIARTL","EQ","04-Jan-2024","1,035.20","1,035.25","1,058.80","1,027.55","1,058.65","1,047.90","1,040.16","46,64,043","4,85,13,74,068.60","1,15,646","31,96,614","68.54"
"BHARTIARTL","EQ","05-Jan-2024","1,047.90","1,053.80","1,063.65","1,038.95","1,045.00","1,046.60","1,048.15","40,08,221","4,20,12,27,600.80","2,06,826","23,55,346","58.76"
"BHARTIARTL","EQ","08-Jan-2024","1,046.60","1,050.00","1,059.00","1,045.25","1,046.75","1,049.05","1,052.62","44,89,695","4,72,59,25,719.30","1,24,451","29,68,833","66.13"
"BHARTIARTL","EQ","09-Jan-2024","1,049.05","1,057.00","1,067.90","1,048.05","1,064.15","1,064.50","1,059.42","33,71,125","3,57,14,38,585.85","98,744","19,40,662","57.57"
"BHARTIARTL","EQ","10-Jan-2024","1,064.50","1,066.95","1,073.30","1,055.30","1,064.00","1,062.70","1,062.44","31,11,573","3,30,58,53,664.10","1,22,378","18,76,928","60.32"
"BHARTIARTL","EQ","11-Jan-2024","1,062.70","1,065.75","1,073.90","1,057.35","1,060.00","1,062.85","1,065.35","26,04,325","2,77,45,12,302.45","1,22,741","13,71,437","52.66"
"BHARTIARTL","EQ","12-Jan-2024","1,062.85","1,058.10","1,078.55","1,051.60","1,076.60","1,076.35","1,068.68","33,94,013","3,62,71,01,303.60","1,33,364","17,20,204","50.68"
