"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BPCL","EQ","01-Jan-2016","892.30","893.00","902.40","891.00","895.00","896.05","897.84","2,76,225","24,80,04,576.10","6,954","64,196","23.24"
"BPCL","EQ","04-Jan-2016","896.05","888.90","896.50","875.00","885.50","891.45","885.39","6,01,013","53,21,31,297.55","22,683","2,51,152","41.79"
"BPCL","EQ","05-Jan-2016","891.45","892.90","907.80","880.30","903.50","902.65","892.89","9,93,712","88,72,77,380.15","40,106","4,77,649","48.07"
"BPCL","EQ","06-Jan-2016","902.65","907.40","919.50","896.00","911.20","912.30","910.88","15,14,454","1,37,94,89,391.00","65,716","8,07,726","53.33"
"BPCL","EQ","07-Jan-2016","912.30","915.85","919.50","879.85","881.90","884.25","897.68","8,38,875","75,30,40,297.60","27,240","2,83,072","33.74"
"BPCL","EQ","08-Jan-2016","884.25","892.00","907.50","890.40","905.95","903.55","899.35","6,75,096","60,71,47,083.25","19,442","2,50,955","37.17"
"BPCL","EQ","11-Jan-2016","903.55","902.50","902.50","885.40","888.50","888.05","890.53","7,66,982","68,30,21,693.20","30,710","3,63,664","47.41"
"BPCL","EQ","12-Jan-2016","888.05","888.05","899.30","882.35","888.65","890.15","892.20","12,52,522","1,11,75,02,326.45","33,990","8,56,001","68.34"
"BPCL","EQ","13-Jan-2016","890.15","896.90","902.50","868.00","893.00","895.90","892.63","15,52,774","1,38,60,53,012.80","34,384","8,59,386","55.35"
"BPCL","EQ","14-Jan-2016","895.90","881.00","919.80","878.50","910.00","909.40","900.36","10,79,219","97,16,85,009.00","45,673","6,00,545","55.65"
"BPCL","EQ","15-Jan-2016","909.40","910.80","947.00","909.65","930.60","932.55","930.97","29,91,327","2,78,48,43,644.55","57,331","17,22,308","57.58"
"BPCL","EQ","18-Jan-2016","932.55","930.55","939.25","889.55","894.60","896.60","913.57","13,66,546","1,24,84,33,304.30","58,068","5,53,358","40.49"
"BPCL","EQ","19-Jan-2016","896.60","898.00","906.25","882.00","897.45","895.80","893.72","9,59,105","85,71,67,073.80","30,276","4,25,669","44.38"
"BPCL","EQ","20-Jan-2016","895.80","893.00","901.80","875.50","889.00","885.50","889.52","21,07,478","1,87,46,50,617.15","49,755","13,30,330","63.12"
"BPCL","EQ","21-Jan-2016","885.50","892.00","898.70","865.50","873.05","875.55","883.13","10,83,154","95,65,68,832.40","42,647","4,69,492","43.34"
"BPCL","EQ","22-Jan-2016","875.55","879.00","888.30","871.70","883.00","883.25","882.34","7,87,393","69,47,47,630.60","26,461","4,13,656","52.53"
"BPCL","EQ","25-Jan-2016","883.25","883.55","886.65","868.05","881.80","877.90","877.03","9,57,259","83,95,46,629.10","59,268","5,21,082","54.43"
"BPCL","EQ","27-Jan-2016","877.90","878.80","888.50","868.85","871.15","870.60","877.14","17,38,762","1,52,51,29,759.10","72,827","11,98,273","68.92"
"BPCL","EQ","28-Jan-2016","870.60","871.50","877.50","861.00","867.10","868.90","869.40","22,70,407","1,97,38,94,463.95","60,101","14,25,266","62.78"
"BPCL","EQ","29-Jan-2016","868.90","868.90","906.50","865.70","890.00","893.15","890.33","15,65,676","1,39,39,69,370.15","54,307","8,72,011","55.70"
"BPCL","EQ","01-Feb-2016","893.15","891.00","893.25","871.70","879.00","880.15","882.83","9,24,818","81,64,61,010.85","44,321","5,34,859","57.83"
"BPCL","EQ","02-Feb-2016","880.15","873.00","874.30","845.60","850.00","850.30","861.97","9,46,475","81,58,30,177.95","30,126","4,67,772","49.42"
"BPCL","EQ","03-Feb-2016","850.30","845.65","857.40","825.50","834.00","829.55","842.38","14,18,124","1,19,45,94,786.60","40,685","6,75,676","47.65"
"BPCL","EQ","04-Feb-2016","829.55","835.00","852.00","824.20","832.80","831.75","835.46","16,88,095","1,41,03,42,167.80","47,814","7,50,630","44.47"
"BPCL","EQ","05-Feb-2016","831.75","836.80","846.50","826.60","845.00","843.00","838.01","8,05,778","67,52,51,730.20","44,886","3,06,176","38.00"
"BPCL","EQ","08-Feb-2016","843.00","843.00","853.10","823.40","826.00","825.20","833.74","6,04,332","50,38,52,911.00","21,858","1,88,384","31.17"
"BPCL","EQ","09-Feb-2016","825.20","821.90","839.50","816.70","830.00","824.90","831.88","18,22,411","1,51,60,31,457.85","45,032","5,23,469","28.72"
"BPCL","EQ","10-Feb-2016","824.90","828.75","841.90","812.95","838.00","837.55","826.63","7,90,024","65,30,55,227.10","22,760","3,20,948","40.63"
"BPCL","EQ","11-Feb-2016","837.55","834.80","837.55","812.05","819.00","817.75","825.44","10,88,585","89,85,61,145.90","35,939","5,47,413","50.29"
"BPCL","EQ","12-Feb-2016","817.75","821.70","822.70","762.30","773.10","772.80","779.77","23,34,830","1,82,06,35,289.40","65,657","12,77,431","54.71"
"BPCL","EQ","15-Feb-2016","772.80","799.70","808.60","776.65","783.30","779.75","792.42","15,27,098","1,21,01,04,662.15","53,999","6,04,928","39.61"
"BPCL","EQ","16-Feb-2016","779.75","783.70","783.70","731.85","751.00","751.00","755.56","20,04,801","1,51,47,47,275.95","64,254","9,28,064","46.29"
"BPCL","EQ","17-Feb-2016","751.00","759.00","785.50","755.00","782.00","780.95","773.64","20,18,268","1,56,14,20,940.00","50,198","10,10,846","50.08"
"BPCL","EQ","18-Feb-2016","780.95","791.05","799.75","780.90","796.00","789.75","790.47","20,87,265","1,64,99,24,846.10","48,312","13,47,293","64.55"
