"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CIPLA","EQ","01-Jan-2024","1,246.30","1,252.45","1,256.80","1,246.70","1,250.00","1,251.00","1,251.30","3,43,584","42,99,27,015.25","28,340","1,31,258","38.20"
"CIPLA","EQ","02-Jan-2024","1,251.00","1,255.10","1,285.00","1,252.10","1,282.85","1,281.55","1,274.44","25,89,484","3,30,01,33,753.25","1,20,479","12,18,527","47.06"
"CIPLA","EQ","03-Jan-2024","1,281.55","1,291.00","1,307.00","1,274.05","1,301.55","1,300.15","1,294.32","23,57,093","3,05,08,42,592.75","87,619","12,39,143","52.57"
"CIPLA","EQ","04-Jan-2024","1,300.15","1,304.00","1,308.00","1,286.65","1,299.50","1,296.65","1,298.63","12,48,143","1,62,08,73,637.55","75,334","5,93,240","47.53"
"CIPLA","EQ","05-Jan-2024","1,296.65","1,300.00","1,301.55","1,276.15","1,287.15","1,286.90","1,285.19","10,13,196","1,30,21,49,975.15","61,420","5,93,786","58.61"
"CIPLA","EQ","08-Jan-2024","1,286.90","1,296.65","1,297.00","1,266.20","1,271.00","1,271.75","1,275.81","7,40,848","94,51,81,291.95","64,071","4,17,217","56.32"
"CIPLA","EQ","09-Jan-2024","1,271.75","1,284.00","1,295.00","1,273.40","1,291.50","1,289.35","1,286.96","11,33,466","1,45,87,20,454.95","59,609","6,79,457","59.95"
"CIPLA","EQ","10-Jan-2024","1,289.35","1,296.00","1,331.50","1,294.30","1,328.70","1,329.20","1,317.03","36,25,567","4,77,49,68,018.20","1,62,840","15,45,366","42.62"
"CIPLA","EQ","11-Jan-2024","1,329.20","1,339.85","1,340.00","1,323.05","1,326.80","1,325.65","1,332.30","10,97,204","1,46,18,01,827.95","52,725","5,00,990","45.66"
"CIPLA","EQ","12-Jan-2024","1,325.65","1,324.20","1,325.65","1,300.40","1,309.70","1,308.00","1,308.79","20,51,301","2,68,47,28,251.90","1,27,646","14,16,824","69.07"
"CIPLA","EQ","15-Jan-2024","1,308.00","1,316.00","1,327.75","1,306.60","1,314.80","1,313.15","1,316.74","7,62,036","1,00,34,02,582.35","53,990","4,08,926","53.66"
"CIPLA","EQ","16-Jan-2024","1,313.15","1,313.15","1,314.40","1,298.25","1,301.45","1,302.35","1,306.24","10,30,845","1,34,65,28,368.60","46,638","7,23,557","70.19"
"CIPLA","EQ","17-Jan-2024","1,302.35","1,299.35","1,312.90","1,282.10","1,292.00","1,294.00","1,292.84","20,73,596","2,68,08,33,769.45","67,478","14,32,537","69.08"
"CIPLA","EQ","18-Jan-2024","1,294.00","1,285.05","1,327.20","1,267.90","1,320.00","1,322.95","1,306.90","17,23,297","2,25,21,83,372.65","1,01,400","8,41,379","48.82"
"CIPLA","EQ","19-Jan-2024","1,322.95","1,330.95","1,330.95","1,316.60","1,327.00","1,327.95","1,324.97","11,35,846","1,50,49,66,854.05","96,557","6,95,000","61.19"
"CIPLA","EQ","20-Jan-2024","1,327.95","1,335.65","1,337.95","1,307.05","1,313.00","1,316.25","1,322.97","3,53,704","46,79,40,814.90","28,901","1,70,081","48.09"
"CIPLA","EQ","23-Jan-2024","1,316.25","1,385.00","1,425.00","1,368.70","1,407.95","1,409.00","1,404.44","75,56,815","10,61,30,76,841.15","3,60,841","20,38,969","26.98"
"CIPLA","EQ","24-Jan-2024","1,409.00","1,409.00","1,423.05","1,394.85","1,413.60","1,417.35","1,411.00","18,08,713","2,55,20,89,769.20","1,48,473","7,67,025","42.41"
"CIPLA","EQ","25-Jan-2024","1,417.35","1,413.35","1,413.45","1,353.50","1,374.80","1,369.65","1,374.73","18,01,468","2,47,65,30,482.90","1,28,656","9,04,886","50.23"
"CIPLA","EQ","29-Jan-2024","1,369.65","1,365.00","1,365.00","1,325.30","1,341.55","1,336.85","1,336.72","24,80,508","3,31,57,47,531.80","1,02,961","12,52,099","50.48"
"CIPLA","EQ","30-Jan-2024","1,336.85","1,345.00","1,352.00","1,314.15","1,318.00","1,317.10","1,332.59","19,08,926","2,54,38,07,908.10","1,43,698","11,77,693","61.69"
"CIPLA","EQ","31-Jan-2024","1,317.10","1,317.10","1,352.90","1,312.00","1,352.00","1,351.00","1,344.29","17,23,379","2,31,67,12,691.55","80,556","11,44,838","66.43"
"CIPLA","EQ","01-Feb-2024","1,351.00","1,359.70","1,394.85","1,352.05","1,383.90","1,387.65","1,378.15","27,84,507","3,83,74,78,689.50","1,64,672","10,82,582","38.88"
"CIPLA","EQ","02-Feb-2024","1,387.65","1,387.00","1,404.70","1,385.00","1,391.00","1,392.65","1,394.15","11,61,705","1,61,95,88,366.55","67,440","6,32,238","54.42"
"CIPLA","EQ","05-Feb-2024","1,392.65","1,400.65","1,447.00","1,394.30","1,432.40","1,433.90","1,430.17","23,69,316","3,38,85,30,215.65","89,771","13,62,377","57.50"
"CIPLA","EQ","06-Feb-2024","1,433.90","1,444.85","1,445.90","1,412.55","1,424.00","1,425.45","1,426.40","9,79,752","1,39,75,21,907.55","58,246","4,80,448","49.04"
"CIPLA","EQ","07-Feb-2024","1,425.45","1,436.00","1,444.50","1,420.85","1,438.00","1,438.75","1,432.95","8,90,299","1,27,57,57,476.90","62,133","4,97,127","55.84"
"CIPLA","EQ","08-Feb-2024","1,438.75","1,448.00","1,457.70","1,417.65","1,424.30","1,420.20","1,431.21","14,47,767","2,07,20,60,500.55","95,838","5,50,310","38.01"
"CIPLA","EQ","09-Feb-2024","1,420.20","1,428.10","1,447.55","1,417.05","1,442.00","1,439.75","1,434.94","12,15,784","1,74,45,72,711.35","60,109","5,92,257","48.71"
