"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","01-Jan-2024","376.00","377.80","386.80","377.45","382.00","381.80","383.70","1,11,24,690","4,26,85,45,026.75","1,29,587","34,15,755","30.70"
"COALINDIA","EQ","02-Jan-2024","381.80","387.40","395.85","384.25","391.75","392.65","390.97","2,83,63,847","11,08,95,13,725.95","2,72,097","1,01,61,529","35.83"
"COALINDIA","EQ","03-Jan-2024","392.65","394.80","394.80","383.85","385.60","384.55","386.93","1,29,03,439","4,99,27,00,055.40","1,46,495","58,09,804","45.03"
"COALINDIA","EQ","04-Jan-2024","384.55","387.80","389.80","383.90","384.95","384.75","386.72","1,10,39,940","4,26,93,82,941.95","1,30,403","59,14,333","53.57"
"COALINDIA","EQ","05-Jan-2024","384.75","386.80","388.50","382.50","384.50","384.25","385.71","83,69,460","3,22,82,08,273.55","96,769","35,03,371","41.86"
"COALINDIA","EQ","08-Jan-2024","384.25","386.45","388.65","379.25","381.80","380.40","382.32","94,24,716","3,60,32,45,685.00","1,04,985","42,52,228","45.12"
"COALINDIA","EQ","09-Jan-2024","380.40","383.65","387.95","382.10","385.50","385.35","385.25","94,73,743","3,64,97,22,684.55","1,23,121","55,02,559","58.08"
"COALINDIA","EQ","10-Jan-2024","385.35","385.85","385.85","375.85","383.00","382.05","379.70","96,70,366","3,67,18,19,509.55","1,23,299","37,58,513","38.87"
"COALINDIA","EQ","11-Jan-2024","382.05","385.50","388.90","383.30","384.35","384.35","385.49","91,63,771","3,53,25,56,169.85","1,19,917","40,72,839","44.45"
"COALINDIA","EQ","12-Jan-2024","384.35","385.80","385.80","379.55","381.80","381.10","381.46","74,71,050","2,84,99,05,081.15","79,662","31,21,182","41.78"
