"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DRREDDY","EQ","01-Jan-2018","2,414.20","2,410.00","2,436.00","2,394.05","2,408.00","2,404.15","2,412.28","2,42,081","58,39,66,342.60","10,416","1,05,967","43.77"
"DRREDDY","EQ","02-Jan-2018","2,404.15","2,427.00","2,439.00","2,395.60","2,405.00","2,409.20","2,416.68","2,51,537","60,78,83,952.00","15,019","56,802","22.58"
"DRREDDY","EQ","03-Jan-2018","2,409.20","2,386.50","2,386.50","2,292.10","2,340.55","2,339.00","2,340.86","8,86,002","2,07,40,06,998.00","42,505","2,14,792","24.24"
"DRREDDY","EQ","04-Jan-2018","2,339.00","2,343.00","2,420.00","2,343.00","2,414.80","2,410.80","2,387.12","5,58,617","1,33,34,84,925.65","23,669","1,32,193","23.66"
"DRREDDY","EQ","05-Jan-2018","2,410.80","2,429.00","2,479.00","2,394.90","2,470.00","2,473.40","2,444.89","6,39,900","1,56,44,85,339.70","26,189","1,85,576","29.00"
"DRREDDY","EQ","08-Jan-2018","2,473.40","2,470.00","2,512.00","2,470.00","2,479.00","2,476.60","2,491.68","5,85,871","1,45,98,01,666.15","33,251","2,04,070","34.83"
"DRREDDY","EQ","09-Jan-2018","2,476.60","2,474.50","2,475.75","2,450.00","2,455.00","2,457.80","2,461.96","2,43,824","60,02,85,672.75","14,709","83,856","34.39"
"DRREDDY","EQ","10-Jan-2018","2,457.80","2,459.95","2,472.00","2,420.00","2,427.10","2,425.80","2,436.94","3,44,328","83,91,04,989.10","20,822","94,640","27.49"
"DRREDDY","EQ","11-Jan-2018","2,425.80","2,427.00","2,451.00","2,418.00","2,424.80","2,425.35","2,432.89","1,85,159","45,04,71,546.10","15,411","58,215","31.44"
"DRREDDY","EQ","12-Jan-2018","2,425.35","2,433.00","2,453.85","2,413.65","2,449.00","2,447.65","2,435.83","3,55,780","86,66,19,682.15","21,392","1,29,447","36.38"
"DRREDDY","EQ","15-Jan-2018","2,447.65","2,447.00","2,461.25","2,425.05","2,435.00","2,431.75","2,443.25","1,56,821","38,31,52,622.55","11,089","45,207","28.83"
"DRREDDY","EQ","16-Jan-2018","2,431.75","2,436.00","2,484.00","2,431.75","2,468.05","2,468.70","2,465.98","3,72,133","91,76,72,478.85","25,621","1,40,135","37.66"
"DRREDDY","EQ","17-Jan-2018","2,468.70","2,467.00","2,506.00","2,462.85","2,491.95","2,491.85","2,491.37","3,81,788","95,11,76,554.70","24,482","1,17,700","30.83"
"DRREDDY","EQ","18-Jan-2018","2,491.85","2,500.00","2,534.00","2,450.15","2,452.00","2,461.50","2,493.17","5,84,198","1,45,65,06,204.75","24,761","2,25,263","38.56"
"DRREDDY","EQ","19-Jan-2018","2,461.50","2,467.00","2,505.00","2,452.00","2,486.10","2,490.35","2,482.65","2,40,896","59,80,60,841.50","16,316","75,250","31.24"
"DRREDDY","EQ","22-Jan-2018","2,490.35","2,440.00","2,519.00","2,440.00","2,506.30","2,496.55","2,483.83","6,92,415","1,71,98,40,605.95","41,966","3,08,756","44.59"
"DRREDDY","EQ","23-Jan-2018","2,496.55","2,510.00","2,549.95","2,501.00","2,520.15","2,520.40","2,528.57","7,30,091","1,84,60,88,385.20","44,706","3,17,122","43.44"
"DRREDDY","EQ","24-Jan-2018","2,520.40","2,523.00","2,615.00","2,523.00","2,561.50","2,559.40","2,575.26","11,26,277","2,90,04,54,809.25","54,410","3,27,930","29.12"
"DRREDDY","EQ","25-Jan-2018","2,559.40","2,554.00","2,597.10","2,453.20","2,501.05","2,507.75","2,518.96","26,52,030","6,68,03,52,004.85","1,10,207","6,01,911","22.70"
"DRREDDY","EQ","29-Jan-2018","2,507.75","2,448.95","2,452.00","2,342.00","2,360.00","2,357.10","2,391.38","11,54,567","2,76,10,06,086.90","59,113","4,00,001","34.65"
"DRREDDY","EQ","30-Jan-2018","2,357.10","2,356.00","2,356.00","2,285.20","2,307.00","2,306.15","2,311.29","8,58,002","1,98,30,93,953.70","46,421","3,15,697","36.79"
"DRREDDY","EQ","31-Jan-2018","2,306.15","2,293.00","2,306.15","2,203.55","2,224.00","2,225.35","2,238.27","11,43,907","2,56,03,76,805.50","71,094","3,55,459","31.07"
"DRREDDY","EQ","01-Feb-2018","2,225.35","2,225.00","2,225.00","2,153.10","2,160.00","2,157.95","2,180.80","9,68,321","2,11,17,11,948.05","56,522","2,65,179","27.39"
"DRREDDY","EQ","02-Feb-2018","2,157.95","2,150.00","2,211.05","2,110.05","2,112.05","2,123.55","2,157.60","9,59,646","2,07,05,35,029.75","59,003","1,74,971","18.23"
"DRREDDY","EQ","05-Feb-2018","2,123.55","2,110.20","2,139.00","2,088.65","2,128.00","2,116.50","2,117.94","6,03,638","1,27,84,70,664.85","41,671","1,81,248","30.03"
"DRREDDY","EQ","06-Feb-2018","2,116.50","2,050.00","2,124.00","2,005.55","2,084.00","2,095.70","2,082.71","7,63,234","1,58,95,92,159.60","45,557","2,41,719","31.67"
"DRREDDY","EQ","07-Feb-2018","2,095.70","2,125.15","2,147.00","2,096.25","2,103.00","2,111.40","2,125.32","3,98,161","84,62,19,387.15","28,809","99,209","24.92"
"DRREDDY","EQ","08-Feb-2018","2,111.40","2,125.00","2,196.00","2,125.00","2,180.00","2,180.45","2,170.10","8,89,623","1,93,05,74,998.50","48,617","2,12,414","23.88"
"DRREDDY","EQ","09-Feb-2018","2,180.45","2,150.00","2,208.00","2,133.60","2,193.80","2,193.80","2,179.71","4,79,123","1,04,43,49,639.15","32,142","93,594","19.53"
"DRREDDY","EQ","12-Feb-2018","2,193.80","2,194.70","2,229.75","2,179.00","2,199.85","2,204.25","2,212.34","4,82,626","1,06,77,34,473.00","23,467","1,00,881","20.90"
"DRREDDY","EQ","14-Feb-2018","2,204.25","2,210.00","2,226.00","2,175.60","2,179.00","2,183.30","2,198.63","3,09,833","68,12,08,758.30","18,223","62,464","20.16"
"DRREDDY","EQ","15-Feb-2018","2,183.30","2,204.00","2,219.00","2,177.30","2,198.00","2,195.80","2,198.22","3,45,185","75,87,92,420.85","15,786","57,761","16.73"
"DRREDDY","EQ","16-Feb-2018","2,195.80","2,207.00","2,240.00","2,207.00","2,212.00","2,213.55","2,225.27","4,58,897","1,02,11,68,369.05","20,712","57,383","12.50"
"DRREDDY","EQ","19-Feb-2018","2,213.55","2,223.00","2,233.95","2,105.05","2,155.00","2,152.00","2,168.08","5,62,310","1,21,91,33,973.80","37,182","1,55,289","27.62"
"DRREDDY","EQ","20-Feb-2018","2,152.00","2,155.00","2,196.50","2,144.20","2,169.00","2,163.65","2,166.14","6,69,025","1,44,92,00,348.95","27,568","3,54,706","53.02"
"DRREDDY","EQ","21-Feb-2018","2,163.65","2,180.20","2,202.00","2,140.75","2,174.95","2,165.90","2,176.66","4,98,005","1,08,39,89,059.15","23,149","1,77,206","35.58"
"DRREDDY","EQ","22-Feb-2018","2,165.90","2,167.00","2,172.60","2,086.55","2,124.10","2,123.45","2,119.08","16,65,309","3,52,89,16,142.95","68,634","5,64,062","33.87"
"DRREDDY","EQ","23-Feb-2018","2,123.45","2,142.40","2,185.00","2,135.05","2,159.00","2,167.05","2,167.07","7,43,506","1,61,12,31,856.85","31,045","3,66,751","49.33"
"DRREDDY","EQ","26-Feb-2018","2,167.05","2,120.00","2,207.20","2,090.00","2,193.00","2,193.80","2,152.57","11,84,749","2,55,02,52,299.90","59,634","2,21,596","18.70"
"DRREDDY","EQ","27-Feb-2018","2,193.80","2,200.20","2,241.55","2,198.30","2,236.00","2,236.00","2,225.23","6,76,152","1,50,45,94,554.45","45,019","1,75,521","25.96"
"DRREDDY","EQ","28-Feb-2018","2,236.00","2,223.05","2,266.95","2,218.20","2,234.00","2,237.25","2,251.21","9,92,777","2,23,49,53,233.15","53,878","4,19,501","42.26"
"DRREDDY","EQ","01-Mar-2018","2,237.25","2,200.05","2,239.75","2,193.55","2,229.00","2,231.50","2,227.72","4,30,777","95,96,52,250.65","29,121","1,30,370","30.26"
"DRREDDY","EQ","05-Mar-2018","2,231.50","2,229.80","2,239.90","2,175.80","2,182.15","2,180.80","2,196.78","5,98,344","1,31,44,30,749.65","23,294","2,58,587","43.22"
"DRREDDY","EQ","06-Mar-2018","2,180.80","2,201.45","2,223.80","2,166.85","2,176.50","2,176.45","2,204.49","4,15,000","91,48,63,770.05","23,272","1,57,135","37.86"
"DRREDDY","EQ","07-Mar-2018","2,176.45","2,176.50","2,204.30","2,143.00","2,150.10","2,149.60","2,168.91","4,92,494","1,06,81,75,248.80","29,114","1,83,987","37.36"
"DRREDDY","EQ","08-Mar-2018","2,149.60","2,172.90","2,182.00","2,128.10","2,156.00","2,143.40","2,147.66","4,76,763","1,02,39,27,018.50","27,116","1,72,361","36.15"
"DRREDDY","EQ","09-Mar-2018","2,143.40","2,164.00","2,182.80","2,095.00","2,122.15","2,129.90","2,148.92","4,70,814","1,01,17,42,521.55","26,347","1,22,779","26.08"
"DRREDDY","EQ","12-Mar-2018","2,129.90","2,160.00","2,163.70","2,122.00","2,155.55","2,148.40","2,140.21","5,30,428","1,13,52,28,307.00","18,319","2,08,912","39.39"
"DRREDDY","EQ","13-Mar-2018","2,148.40","2,142.00","2,194.15","2,141.25","2,185.00","2,181.50","2,172.92","5,19,269","1,12,83,27,592.55","20,817","1,20,498","23.21"
"DRREDDY","EQ","14-Mar-2018","2,181.50","2,185.00","2,196.00","2,166.80","2,184.55","2,181.45","2,181.32","2,66,769","58,19,07,660.55","12,420","80,475","30.17"
"DRREDDY","EQ","15-Mar-2018","2,181.45","2,182.45","2,218.40","2,177.00","2,178.65","2,182.75","2,198.24","3,35,767","73,80,94,838.55","14,644","72,309","21.54"
"DRREDDY","EQ","16-Mar-2018","2,182.75","2,180.00","2,209.00","2,118.30","2,154.00","2,142.15","2,159.07","5,94,361","1,28,32,66,698.75","34,130","2,06,227","34.70"
"DRREDDY","EQ","19-Mar-2018","2,142.15","2,155.00","2,170.00","2,112.15","2,120.20","2,119.85","2,134.60","2,92,149","62,36,21,025.85","12,919","61,882","21.18"
"DRREDDY","EQ","20-Mar-2018","2,119.85","2,114.95","2,162.90","2,101.95","2,156.60","2,157.15","2,135.88","3,87,372","82,73,81,244.45","17,437","87,586","22.61"
"DRREDDY","EQ","21-Mar-2018","2,157.15","2,168.80","2,179.85","2,130.40","2,145.00","2,141.70","2,152.19","3,69,060","79,42,88,712.30","23,129","1,04,212","28.24"
"DRREDDY","EQ","22-Mar-2018","2,141.70","2,139.00","2,150.75","2,097.10","2,110.00","2,108.30","2,124.65","4,10,402","87,19,60,953.05","28,329","1,42,575","34.74"
"DRREDDY","EQ","23-Mar-2018","2,108.30","2,091.00","2,101.90","2,060.20","2,068.15","2,072.30","2,079.26","4,74,396","98,63,94,182.60","22,313","1,84,040","38.79"
