"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"GRASIM","EQ","01-Jan-2016","3,754.85","3,743.20","3,790.10","3,735.00","3,769.95","3,767.75","3,765.01","23,045","8,67,64,768.45","3,157","6,782","29.43"
"GRASIM","EQ","04-Jan-2016","3,767.75","3,760.05","3,783.00","3,633.10","3,665.00","3,657.25","3,697.69","66,212","24,48,31,501.20","5,124","39,182","59.18"
"GRASIM","EQ","05-Jan-2016","3,657.25","3,662.50","3,691.70","3,626.50","3,657.45","3,659.10","3,663.54","33,048","12,10,72,823.05","5,033","11,700","35.40"
"GRASIM","EQ","06-Jan-2016","3,659.10","3,659.00","3,687.00","3,602.65","3,650.10","3,652.40","3,646.49","51,689","18,84,83,571.95","4,016","25,498","49.33"
"GRASIM","EQ","07-Jan-2016","3,652.40","3,631.00","3,649.95","3,540.00","3,560.00","3,557.20","3,578.33","83,869","30,01,11,329.40","6,557","60,746","72.43"
"GRASIM","EQ","08-Jan-2016","3,557.20","3,570.10","3,596.80","3,514.85","3,570.00","3,575.70","3,568.33","26,761","9,54,92,026.00","2,789","9,352","34.95"
"GRASIM","EQ","11-Jan-2016","3,575.70","3,557.00","3,642.55","3,530.85","3,641.80","3,622.10","3,570.77","51,634","18,43,72,884.10","4,374","17,727","34.33"
"GRASIM","EQ","12-Jan-2016","3,622.10","3,624.00","3,650.70","3,502.35","3,550.00","3,549.65","3,551.93","90,923","32,29,51,734.35","7,128","54,460","59.90"
"GRASIM","EQ","13-Jan-2016","3,549.65","3,570.00","3,594.95","3,496.00","3,523.10","3,527.00","3,527.01","58,396","20,59,63,422.50","6,614","25,666","43.95"
"GRASIM","EQ","14-Jan-2016","3,527.00","3,518.00","3,523.85","3,475.00","3,504.85","3,499.20","3,491.92","83,465","29,14,52,943.15","7,549","51,661","61.90"
"GRASIM","EQ","15-Jan-2016","3,499.20","3,502.00","3,522.00","3,439.00","3,514.85","3,503.70","3,500.49","57,726","20,20,69,363.10","5,373","34,761","60.22"
"GRASIM","EQ","18-Jan-2016","3,503.70","3,510.00","3,544.45","3,480.70","3,500.00","3,501.00","3,505.19","63,221","22,16,01,734.25","4,649","40,865","64.64"
"GRASIM","EQ","19-Jan-2016","3,501.00","3,490.20","3,533.15","3,485.65","3,505.10","3,522.70","3,518.87","55,695","19,59,83,487.95","6,752","34,333","61.64"
