"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","01-Jan-2015","1,596.90","1,599.00","1,611.65","1,585.60","1,605.50","1,606.80","1,604.76","3,34,123","53,61,86,206.65","14,239","1,80,691","54.08"
"HCLTECH","EQ","02-Jan-2015","1,606.80","1,602.05","1,618.95","1,600.05","1,607.00","1,605.25","1,608.73","2,33,343","37,53,86,382.70","12,194","1,27,793","54.77"
"HCLTECH","EQ","05-Jan-2015","1,605.25","1,615.00","1,615.00","1,568.70","1,581.00","1,578.25","1,586.98","5,03,156","79,85,00,371.85","28,045","2,81,694","55.99"
"HCLTECH","EQ","06-Jan-2015","1,578.25","1,574.00","1,574.40","1,522.65","1,543.05","1,536.10","1,553.35","8,67,602","1,34,76,87,528.25","53,920","5,75,044","66.28"
"HCLTECH","EQ","07-Jan-2015","1,536.10","1,539.50","1,548.00","1,492.70","1,500.00","1,499.60","1,517.47","8,85,140","1,34,31,75,418.95","39,157","5,34,338","60.37"
"HCLTECH","EQ","08-Jan-2015","1,499.60","1,517.00","1,540.00","1,495.00","1,536.50","1,534.30","1,510.48","9,76,509","1,47,49,96,113.40","57,004","6,33,995","64.92"
"HCLTECH","EQ","09-Jan-2015","1,534.30","1,536.65","1,583.65","1,522.90","1,546.30","1,545.55","1,545.74","15,41,112","2,38,21,53,542.45","65,701","9,67,732","62.79"
"HCLTECH","EQ","12-Jan-2015","1,545.55","1,555.10","1,579.00","1,540.70","1,575.00","1,575.55","1,562.35","6,65,421","1,03,96,22,988.00","42,335","3,64,295","54.75"
"HCLTECH","EQ","13-Jan-2015","1,575.55","1,575.55","1,594.95","1,563.35","1,580.70","1,583.60","1,583.22","7,29,018","1,15,41,93,805.30","54,305","4,88,134","66.96"
"HCLTECH","EQ","14-Jan-2015","1,583.60","1,595.90","1,598.80","1,550.30","1,575.20","1,578.80","1,571.96","10,33,319","1,62,43,31,465.30","67,925","6,52,258","63.12"
