"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDALCO","EQ","01-Jan-2016","84.75","84.70","85.25","84.00","84.80","84.90","84.70","28,06,421","23,77,16,374.10","10,405","3,44,255","12.27"
"HINDALCO","EQ","04-Jan-2016","84.90","84.20","85.90","80.40","81.00","80.75","83.13","87,06,224","72,37,61,947.30","32,465","19,80,981","22.75"
"HINDALCO","EQ","05-Jan-2016","80.75","82.00","83.95","80.60","82.60","82.60","82.30","98,19,068","80,81,06,471.25","39,784","22,70,867","23.13"
"HINDALCO","EQ","06-Jan-2016","82.60","82.40","82.85","79.70","80.45","80.55","81.18","64,94,446","52,72,05,272.90","29,936","26,87,763","41.39"
"HINDALCO","EQ","07-Jan-2016","80.55","79.00","79.40","76.10","76.55","76.65","77.52","80,98,318","62,77,84,098.10","31,693","26,16,658","32.31"
"HINDALCO","EQ","08-Jan-2016","76.65","77.45","78.15","75.20","77.05","76.90","76.91","68,00,939","52,30,88,540.05","24,739","13,48,915","19.83"
"HINDALCO","EQ","11-Jan-2016","76.90","75.80","78.65","74.30","77.70","77.90","76.34","97,06,674","74,10,19,490.80","33,741","21,35,047","22.00"
"HINDALCO","EQ","12-Jan-2016","77.90","78.40","78.65","75.00","75.55","75.60","76.38","66,96,133","51,14,73,934.40","23,990","21,30,502","31.82"
"HINDALCO","EQ","13-Jan-2016","75.60","76.40","77.50","74.30","76.75","76.70","76.11","82,75,596","62,98,96,254.65","23,712","17,93,274","21.67"
"HINDALCO","EQ","14-Jan-2016","76.70","75.00","76.00","73.40","74.80","74.70","74.79","78,64,816","58,81,77,197.40","27,728","25,62,340","32.58"
"HINDALCO","EQ","15-Jan-2016","74.70","75.35","75.40","71.15","71.25","71.80","73.57","52,06,900","38,30,84,213.20","18,525","16,03,140","30.79"
"HINDALCO","EQ","18-Jan-2016","71.80","71.05","73.50","70.05","70.95","71.20","71.65","68,14,262","48,82,40,178.10","28,559","14,62,390","21.46"
"HINDALCO","EQ","19-Jan-2016","71.20","72.10","73.90","71.10","71.85","71.85","72.44","43,96,738","31,84,88,285.85","21,605","8,27,083","18.81"
"HINDALCO","EQ","20-Jan-2016","71.85","71.00","71.05","66.35","67.65","67.60","68.31","83,12,143","56,78,14,773.55","28,979","29,19,094","35.12"
"HINDALCO","EQ","21-Jan-2016","67.60","69.00","69.35","66.80","68.50","68.30","68.27","58,83,512","40,16,58,091.05","21,258","11,03,758","18.76"
"HINDALCO","EQ","22-Jan-2016","68.30","69.60","72.90","69.10","71.90","72.35","71.45","69,88,053","49,92,69,419.70","30,803","19,24,015","27.53"
"HINDALCO","EQ","25-Jan-2016","72.35","72.90","73.45","71.80","72.15","72.00","72.44","39,30,042","28,46,94,937.65","21,044","8,86,041","22.55"
"HINDALCO","EQ","27-Jan-2016","72.00","72.50","72.85","70.80","70.95","71.05","71.54","59,60,177","42,63,97,579.45","24,857","27,57,768","46.27"
"HINDALCO","EQ","28-Jan-2016","71.05","71.05","71.40","69.25","69.85","69.70","70.25","1,20,38,432","84,57,58,793.55","31,248","71,76,309","59.61"
"HINDALCO","EQ","29-Jan-2016","69.70","70.00","71.15","68.75","70.15","70.50","70.28","92,03,028","64,67,43,721.85","37,316","34,50,320","37.49"
"HINDALCO","EQ","01-Feb-2016","70.50","70.85","71.55","70.20","71.20","71.10","71.04","55,82,032","39,65,32,104.25","34,933","21,53,962","38.59"
"HINDALCO","EQ","02-Feb-2016","71.10","71.75","71.80","68.20","68.35","68.55","70.21","61,92,773","43,48,09,443.15","26,613","18,81,793","30.39"
"HINDALCO","EQ","03-Feb-2016","68.55","68.00","68.00","66.30","66.70","66.65","67.15","67,80,055","45,52,59,136.05","40,539","23,99,447","35.39"
"HINDALCO","EQ","04-Feb-2016","66.65","67.80","70.45","67.20","69.05","68.70","68.99","1,20,83,591","83,36,52,566.20","46,551","47,72,638","39.50"
"HINDALCO","EQ","05-Feb-2016","68.70","69.30","72.20","68.80","71.10","71.25","70.84","1,59,32,693","1,12,87,00,007.40","59,283","55,85,364","35.06"
"HINDALCO","EQ","08-Feb-2016","71.25","72.00","72.00","69.45","69.60","69.80","70.73","1,04,00,835","73,56,09,237.00","34,361","42,34,921","40.72"
"HINDALCO","EQ","09-Feb-2016","69.80","68.50","70.80","67.60","70.05","70.00","69.33","1,69,69,989","1,17,64,98,622.25","45,535","60,01,854","35.37"
"HINDALCO","EQ","10-Feb-2016","70.00","70.20","70.50","65.00","67.15","66.90","66.89","1,69,37,036","1,13,28,92,426.30","55,045","42,87,124","25.31"
"HINDALCO","EQ","11-Feb-2016","66.90","67.50","67.75","62.95","63.25","63.70","64.88","79,15,911","51,35,51,718.75","28,741","24,91,553","31.48"
"HINDALCO","EQ","12-Feb-2016","63.70","64.80","64.85","58.80","60.85","60.90","60.84","1,11,71,816","67,97,44,172.50","38,296","21,93,371","19.63"
"HINDALCO","EQ","15-Feb-2016","60.90","62.45","68.45","62.30","66.55","67.00","66.43","1,73,33,390","1,15,14,50,289.00","64,940","64,99,137","37.49"
"HINDALCO","EQ","16-Feb-2016","67.00","68.50","68.50","64.55","64.55","64.85","66.49","95,30,757","63,36,56,479.45","31,676","17,18,263","18.03"
"HINDALCO","EQ","17-Feb-2016","64.85","65.20","66.30","61.60","66.15","65.80","64.07","1,21,13,622","77,60,96,077.15","36,382","29,70,794","24.52"
"HINDALCO","EQ","18-Feb-2016","65.80","67.65","70.10","67.20","68.55","68.90","68.83","1,46,63,310","1,00,92,80,437.60","51,933","36,84,588","25.13"
"HINDALCO","EQ","19-Feb-2016","68.90","68.30","70.00","67.45","68.90","69.05","68.88","60,48,480","41,66,17,348.25","23,826","9,74,425","16.11"
"HINDALCO","EQ","22-Feb-2016","69.05","69.15","70.60","68.80","69.70","69.50","69.60","51,32,711","35,72,29,969.65","16,962","10,35,114","20.17"
"HINDALCO","EQ","23-Feb-2016","69.50","69.90","71.85","67.80","68.30","68.50","69.85","1,03,66,393","72,40,52,604.85","31,890","21,56,175","20.80"
"HINDALCO","EQ","24-Feb-2016","68.50","67.60","68.45","66.00","66.10","66.40","67.27","61,36,935","41,28,36,976.20","21,596","13,62,210","22.20"
"HINDALCO","EQ","25-Feb-2016","66.40","67.35","68.00","66.45","67.60","67.15","67.31","61,97,874","41,71,89,159.05","19,230","19,04,319","30.73"
"HINDALCO","EQ","26-Feb-2016","67.15","68.20","69.95","66.20","69.55","69.45","68.56","98,06,363","67,23,52,499.30","31,018","25,67,803","26.19"
"HINDALCO","EQ","29-Feb-2016","69.45","70.15","70.80","66.70","68.25","68.75","69.29","1,55,50,728","1,07,75,46,601.60","39,794","46,85,617","30.13"
"HINDALCO","EQ","01-Mar-2016","68.75","69.00","70.50","68.60","70.40","70.25","69.71","82,73,262","57,66,90,955.80","24,740","24,68,324","29.83"
"HINDALCO","EQ","02-Mar-2016","70.25","71.90","77.00","71.30","75.40","74.95","75.02","2,16,43,529","1,62,37,19,678.25","46,546","1,11,57,836","51.55"
"HINDALCO","EQ","03-Mar-2016","74.95","76.50","79.80","75.50","79.05","79.25","78.22","2,29,49,555","1,79,50,76,485.45","65,563","85,29,052","37.16"
"HINDALCO","EQ","04-Mar-2016","79.25","79.85","81.90","77.60","80.00","79.40","79.87","1,58,40,406","1,26,52,34,209.90","42,226","55,20,166","34.85"
"HINDALCO","EQ","08-Mar-2016","79.40","80.30","84.20","80.05","82.90","83.15","82.91","1,90,55,239","1,57,98,31,188.95","77,370","75,24,413","39.49"
"HINDALCO","EQ","09-Mar-2016","83.15","80.40","81.40","79.05","81.15","81.10","80.21","1,15,65,488","92,76,43,202.80","43,563","36,62,673","31.67"
"HINDALCO","EQ","10-Mar-2016","81.10","81.90","85.55","81.55","83.50","83.80","84.10","1,88,38,685","1,58,43,87,560.60","64,709","53,03,685","28.15"
"HINDALCO","EQ","11-Mar-2016","83.80","83.90","84.75","81.60","83.55","83.50","83.48","1,03,01,155","85,99,46,294.80","31,434","20,10,311","19.52"
"HINDALCO","EQ","14-Mar-2016","83.50","84.50","86.00","84.20","84.80","84.90","84.87","66,42,436","56,37,15,075.45","24,022","22,21,361","33.44"
"HINDALCO","EQ","15-Mar-2016","84.90","85.00","86.00","83.60","83.75","83.90","84.68","1,17,00,066","99,07,71,655.85","46,339","41,54,454","35.51"
"HINDALCO","EQ","16-Mar-2016","83.90","84.00","84.25","79.35","81.60","81.50","81.03","1,38,90,592","1,12,55,77,638.10","48,528","39,64,959","28.54"
"HINDALCO","EQ","17-Mar-2016","81.50","82.50","83.80","80.70","80.85","81.00","82.16","84,76,015","69,63,51,763.05","45,713","24,94,384","29.43"
"HINDALCO","EQ","18-Mar-2016","81.00","82.40","85.50","82.00","85.45","85.20","84.19","1,43,66,152","1,20,95,27,670.55","57,753","57,49,739","40.02"
