"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDUNILVR","EQ","01-Jan-2016","862.75","860.00","862.00","853.50","856.60","856.55","857.90","2,30,366","19,76,30,437.60","7,022","86,336","37.48"
"HINDUNILVR","EQ","04-Jan-2016","856.55","856.55","868.70","851.15","856.35","859.00","859.24","8,28,876","71,22,01,953.55","28,348","3,49,180","42.13"
"HINDUNILVR","EQ","05-Jan-2016","859.00","857.30","859.05","845.50","846.55","847.95","848.83","11,18,709","94,95,91,550.30","25,952","8,98,729","80.34"
"HINDUNILVR","EQ","06-Jan-2016","847.95","850.00","850.00","840.95","840.95","843.05","844.58","21,35,092","1,80,32,52,781.05","56,100","17,98,670","84.24"
"HINDUNILVR","EQ","07-Jan-2016","843.05","840.00","840.95","817.50","818.40","820.25","823.28","13,53,969","1,11,46,98,168.70","69,663","9,69,999","71.64"
"HINDUNILVR","EQ","08-Jan-2016","820.25","819.00","831.50","807.70","810.30","809.85","818.00","13,24,046","1,08,30,74,376.85","73,348","8,36,909","63.21"
"HINDUNILVR","EQ","11-Jan-2016","809.85","806.00","819.70","801.35","811.75","811.75","811.91","15,14,504","1,22,96,41,903.40","68,865","10,51,864","69.45"
"HINDUNILVR","EQ","12-Jan-2016","811.75","808.50","822.15","804.55","818.00","819.70","813.12","11,10,037","90,25,94,838.45","60,120","6,44,445","58.06"
"HINDUNILVR","EQ","13-Jan-2016","819.70","821.80","836.20","813.75","833.00","832.75","825.46","13,38,356","1,10,47,57,772.20","75,552","8,11,033","60.60"
"HINDUNILVR","EQ","14-Jan-2016","832.75","829.50","837.90","818.55","830.95","827.25","829.50","15,31,002","1,26,99,72,996.75","47,862","10,65,784","69.61"
"HINDUNILVR","EQ","15-Jan-2016","827.25","827.25","828.95","776.65","803.30","804.25","806.53","32,49,884","2,62,11,17,771.25","63,354","11,85,204","36.47"
"HINDUNILVR","EQ","18-Jan-2016","804.25","796.30","816.65","795.00","809.25","809.95","808.52","15,25,578","1,23,34,53,990.80","39,728","7,49,435","49.12"
"HINDUNILVR","EQ","19-Jan-2016","809.95","813.00","821.75","807.65","810.00","810.45","815.00","8,67,289","70,68,36,819.15","25,277","3,61,102","41.64"
"HINDUNILVR","EQ","20-Jan-2016","810.45","805.00","815.00","785.00","801.35","795.05","792.65","15,43,575","1,22,35,14,126.05","38,260","9,04,066","58.57"
"HINDUNILVR","EQ","21-Jan-2016","795.05","797.20","799.00","774.20","776.95","775.60","780.17","16,79,165","1,31,00,29,609.40","66,678","10,25,268","61.06"
"HINDUNILVR","EQ","22-Jan-2016","775.60","780.50","783.50","770.00","773.00","771.50","774.43","14,65,143","1,13,46,48,222.65","57,693","10,03,596","68.50"
"HINDUNILVR","EQ","25-Jan-2016","771.50","772.00","784.75","769.70","782.20","783.30","780.32","10,36,869","80,90,86,171.15","47,298","6,87,122","66.27"
"HINDUNILVR","EQ","27-Jan-2016","783.30","781.00","783.85","766.40","768.00","767.90","771.07","12,91,178","99,55,94,264.70","32,044","8,22,316","63.69"
"HINDUNILVR","EQ","28-Jan-2016","767.90","769.80","797.00","766.50","791.00","791.75","787.21","19,67,418","1,54,87,63,117.45","47,627","12,31,315","62.59"
"HINDUNILVR","EQ","29-Jan-2016","791.75","791.10","820.00","791.10","817.75","816.90","811.06","17,33,695","1,40,61,26,205.20","44,990","12,15,181","70.09"
