"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","01-Jan-2019","658.95","660.95","666.30","654.15","665.95","665.05","660.66","29,43,390","1,94,45,79,422.55","45,422","12,82,161","43.56"
"INFY","EQ","02-Jan-2019","665.05","666.00","674.00","662.05","668.00","669.05","669.97","74,16,655","4,96,89,62,632.60","1,08,094","38,80,800","52.33"
"INFY","EQ","03-Jan-2019","669.05","672.00","677.00","663.10","668.00","669.15","669.66","68,27,249","4,57,19,29,258.25","1,25,781","36,76,359","53.85"
"INFY","EQ","04-Jan-2019","669.15","671.75","673.90","651.00","660.25","661.05","660.17","78,89,310","5,20,83,04,588.70","1,87,590","37,47,741","47.50"
"INFY","EQ","07-Jan-2019","661.05","665.00","673.60","661.50","671.70","671.70","667.51","80,46,340","5,37,09,73,786.60","1,32,736","47,11,672","58.56"
"INFY","EQ","08-Jan-2019","671.70","674.95","677.45","668.55","670.00","670.05","672.86","86,21,545","5,80,11,22,719.75","1,34,369","56,52,959","65.57"
"INFY","EQ","09-Jan-2019","670.05","686.20","689.80","664.00","675.60","676.10","678.41","1,81,30,292","12,29,97,38,074.80","3,14,702","80,29,281","44.29"
"INFY","EQ","10-Jan-2019","676.10","681.60","682.00","672.55","680.80","679.70","677.63","95,72,493","6,48,66,10,275.85","1,41,449","60,64,060","63.35"
"INFY","EQ","11-Jan-2019","679.70","680.20","685.50","672.50","684.35","683.50","679.18","1,22,81,903","8,34,16,03,861.10","1,59,694","64,09,592","52.19"
"INFY","EQ","14-Jan-2019","683.50","707.00","710.20","695.95","701.30","701.90","701.27","1,93,12,937","13,54,36,20,376.15","2,89,248","73,16,609","37.88"
"INFY","EQ","15-Jan-2019","701.90","707.20","730.00","707.20","728.30","726.60","721.52","1,96,71,304","14,19,32,22,353.15","2,85,205","87,70,235","44.58"
"INFY","EQ","16-Jan-2019","726.60","729.90","737.80","728.50","735.95","736.80","734.12","96,58,944","7,09,08,38,080.10","1,75,301","37,69,918","39.03"
"INFY","EQ","17-Jan-2019","736.80","735.80","739.00","729.10","733.20","733.35","733.06","69,03,771","5,06,08,65,130.15","1,55,361","36,62,842","53.06"
"INFY","EQ","18-Jan-2019","733.35","730.00","736.20","726.30","734.00","730.95","730.43","59,02,151","4,31,11,01,798.25","1,17,506","35,55,997","60.25"
"INFY","EQ","21-Jan-2019","730.95","738.20","751.00","734.00","743.25","745.00","744.87","81,29,422","6,05,53,27,086.30","2,07,759","42,05,100","51.73"
"INFY","EQ","22-Jan-2019","745.00","741.25","749.00","734.00","747.00","745.35","739.94","67,23,375","4,97,49,04,338.90","1,84,880","43,48,471","64.68"
"INFY","EQ","23-Jan-2019","745.35","742.35","742.60","729.20","731.65","731.65","735.70","72,12,099","5,30,59,10,421.70","1,14,457","42,65,475","59.14"
"INFY","EQ","24-Jan-2019","731.65","728.10","736.10","721.00","734.00","732.00","727.66","74,29,783","5,40,63,65,017.90","1,38,534","37,21,327","50.09"
"INFY","EQ","25-Jan-2019","732.00","728.00","737.90","724.25","730.30","730.35","731.70","55,43,112","4,05,59,12,046.45","86,157","30,56,302","55.14"
"INFY","EQ","28-Jan-2019","730.35","731.00","732.60","719.00","731.00","727.95","725.12","79,44,693","5,76,08,82,919.00","1,28,705","-","-"
"INFY","EQ","29-Jan-2019","727.95","725.50","732.85","716.50","730.05","727.90","721.76","67,60,819","4,87,97,14,902.60","1,37,242","41,00,300","60.65"
"INFY","EQ","30-Jan-2019","727.90","727.90","734.80","721.10","724.30","725.90","726.45","57,63,026","4,18,65,56,191.95","1,25,751","32,67,862","56.70"
"INFY","EQ","31-Jan-2019","725.90","726.00","751.30","726.00","750.00","749.55","744.47","1,38,25,233","10,29,24,23,934.85","2,65,809","81,45,259","58.92"
"INFY","EQ","01-Feb-2019","749.55","751.35","762.50","744.50","756.70","757.05","753.37","62,76,585","4,72,86,08,322.00","1,19,145","22,74,954","36.25"
"INFY","EQ","04-Feb-2019","757.05","757.00","762.50","749.20","755.90","755.90","754.39","39,45,391","2,97,63,61,896.65","1,10,537","18,94,178","48.01"
"INFY","EQ","05-Feb-2019","755.90","747.00","759.95","747.00","755.00","754.85","753.48","46,94,366","3,53,70,94,842.65","98,651","26,10,466","55.61"
"INFY","EQ","06-Feb-2019","754.85","755.55","766.95","754.35","763.75","763.30","762.75","58,80,482","4,48,53,60,735.15","1,50,791","31,88,901","54.23"
"INFY","EQ","07-Feb-2019","763.30","763.05","769.45","761.00","763.00","764.00","766.20","39,61,797","3,03,55,22,378.45","1,02,039","21,54,773","54.39"
"INFY","EQ","08-Feb-2019","764.00","760.00","772.25","754.90","760.90","760.90","763.40","59,15,169","4,51,56,25,944.30","92,824","27,22,938","46.03"
"INFY","EQ","11-Feb-2019","760.90","766.90","768.75","759.00","760.45","762.80","764.82","55,00,216","4,20,66,53,296.00","1,01,154","31,49,841","57.27"
