"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","01-Jan-2024","462.10","463.50","469.95","462.65","465.80","468.05","467.15","93,46,277","4,36,61,27,498.30","1,67,073","54,65,510","58.48"
"ITC","EQ","02-Jan-2024","468.05","470.00","471.35","463.60","470.15","470.35","468.26","1,05,19,771","4,92,60,02,186.85","1,59,124","57,45,283","54.61"
"ITC","EQ","03-Jan-2024","470.35","470.25","480.70","469.35","477.45","477.25","477.40","2,40,36,012","11,47,47,09,723.90","2,70,703","1,47,21,255","61.25"
"ITC","EQ","04-Jan-2024","477.25","480.00","481.45","474.20","475.50","476.40","478.62","1,17,86,959","5,64,14,69,823.90","1,45,887","76,96,185","65.29"
"ITC","EQ","05-Jan-2024","476.40","479.40","479.40","472.00","473.80","473.95","474.98","92,09,405","4,37,42,80,743.70","1,91,991","44,40,737","48.22"
"ITC","EQ","08-Jan-2024","473.95","475.00","475.50","464.55","465.35","465.50","467.76","80,03,177","3,74,35,77,082.00","1,62,793","48,12,551","60.13"
"ITC","EQ","09-Jan-2024","465.50","467.50","469.95","463.65","464.20","464.55","466.06","56,96,780","2,65,50,47,091.60","1,33,889","40,27,680","70.70"
"ITC","EQ","10-Jan-2024","464.55","464.55","466.75","460.05","463.50","463.30","462.07","58,96,123","2,72,44,12,894.15","1,13,576","37,40,583","63.44"
"ITC","EQ","11-Jan-2024","463.30","464.10","466.55","461.10","463.25","462.65","463.35","65,34,775","3,02,78,85,522.20","1,28,488","42,15,285","64.51"
"ITC","EQ","12-Jan-2024","462.65","463.25","467.70","460.35","467.40","466.70","464.54","93,54,326","4,34,54,96,069.90","1,51,600","48,22,834","51.56"
