"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JSWSTEEL","EQ","01-Jan-2020","270.05","270.70","273.50","265.85","268.30","268.10","269.49","69,52,048","1,87,35,12,329.60","44,999","10,52,112","15.13"
"JSWSTEEL","EQ","02-Jan-2020","268.10","272.00","277.00","271.55","276.90","276.45","274.93","1,07,80,926","2,96,40,44,701.00","73,900","11,39,113","10.57"
"JSWSTEEL","EQ","03-Jan-2020","276.45","276.45","276.45","270.75","272.20","272.45","273.17","59,43,349","1,62,35,33,319.55","38,332","10,42,941","17.55"
"JSWSTEEL","EQ","06-Jan-2020","272.45","270.50","270.75","262.30","264.30","264.25","265.68","45,29,599","1,20,34,41,301.55","30,673","6,83,423","15.09"
"JSWSTEEL","EQ","07-Jan-2020","264.25","266.15","270.15","263.10","265.50","265.25","266.60","44,65,297","1,19,04,58,239.05","31,857","4,54,146","10.17"
"JSWSTEEL","EQ","08-Jan-2020","265.25","261.40","264.50","257.00","262.70","262.50","260.90","80,88,132","2,11,01,82,398.00","44,788","6,36,169","7.87"
"JSWSTEEL","EQ","09-Jan-2020","262.50","267.70","279.20","267.70","278.00","278.10","274.36","1,33,17,832","3,65,38,50,840.75","82,455","12,24,673","9.20"
"JSWSTEEL","EQ","10-Jan-2020","278.10","278.00","280.00","275.00","277.65","277.90","277.77","76,25,227","2,11,80,87,374.60","51,942","5,93,373","7.78"
"JSWSTEEL","EQ","13-Jan-2020","277.90","278.05","279.90","275.40","278.40","278.60","277.70","45,40,953","1,26,10,20,095.30","33,966","4,35,391","9.59"
"JSWSTEEL","EQ","14-Jan-2020","278.60","278.00","284.00","278.00","281.00","280.90","281.61","74,28,691","2,09,20,21,875.90","53,528","7,39,888","9.96"
"JSWSTEEL","EQ","15-Jan-2020","280.90","279.85","283.40","276.25","282.60","282.50","280.41","55,38,475","1,55,30,58,622.15","39,954","7,71,724","13.93"
"JSWSTEEL","EQ","16-Jan-2020","282.50","282.50","282.85","276.15","276.75","277.45","277.91","47,91,447","1,33,15,86,188.20","40,151","11,13,614","23.24"
"JSWSTEEL","EQ","17-Jan-2020","277.45","276.80","279.55","272.85","273.70","273.35","275.90","47,33,742","1,30,60,39,271.65","29,633","10,23,258","21.62"
"JSWSTEEL","EQ","20-Jan-2020","273.35","273.50","275.00","268.65","271.55","271.35","271.25","38,23,115","1,03,70,14,278.90","25,024","2,37,263","6.21"
"JSWSTEEL","EQ","21-Jan-2020","271.35","270.00","270.90","264.35","266.80","267.25","267.53","47,99,667","1,28,40,50,622.90","36,482","5,18,723","10.81"
"JSWSTEEL","EQ","22-Jan-2020","267.25","268.30","269.30","264.75","265.95","265.85","266.96","33,34,351","89,01,47,876.35","25,919","4,42,728","13.28"
"JSWSTEEL","EQ","23-Jan-2020","265.85","266.00","268.95","264.10","266.20","266.65","266.77","35,29,142","94,14,52,105.60","24,104","4,58,827","13.00"
"JSWSTEEL","EQ","24-Jan-2020","266.65","266.70","273.90","265.30","271.25","271.90","270.87","59,91,335","1,62,28,52,644.60","46,243","7,39,228","12.34"
"JSWSTEEL","EQ","27-Jan-2020","271.90","265.45","265.90","258.30","260.35","262.80","261.97","1,71,51,836","4,49,31,83,376.40","91,461","33,07,188","19.28"
"JSWSTEEL","EQ","28-Jan-2020","262.80","260.80","261.75","251.60","255.30","255.25","256.69","1,11,68,567","2,86,68,23,248.75","69,713","34,18,650","30.61"
"JSWSTEEL","EQ","29-Jan-2020","255.25","259.00","264.60","258.30","261.25","261.25","262.06","78,32,991","2,05,27,37,700.90","50,428","10,50,979","13.42"
"JSWSTEEL","EQ","30-Jan-2020","261.25","261.30","262.10","255.25","257.30","256.95","258.63","55,11,254","1,42,53,70,158.70","43,330","5,74,297","10.42"
"JSWSTEEL","EQ","31-Jan-2020","256.95","258.15","259.00","249.10","250.50","250.70","254.04","63,29,214","1,60,78,95,887.60","48,505","18,86,390","29.80"
"JSWSTEEL","EQ","01-Feb-2020","250.70","249.00","257.30","242.60","245.25","244.75","250.54","74,85,230","1,87,53,66,831.45","46,957","16,33,355","21.82"
"JSWSTEEL","EQ","03-Feb-2020","244.75","245.50","253.00","243.75","252.30","251.50","248.60","70,21,154","1,74,54,24,950.70","45,678","11,08,432","15.79"
"JSWSTEEL","EQ","04-Feb-2020","251.50","253.25","259.70","248.70","257.85","258.35","256.07","58,39,343","1,49,52,80,385.60","41,556","7,25,178","12.42"
"JSWSTEEL","EQ","05-Feb-2020","258.35","259.50","271.65","256.35","271.15","269.25","262.69","72,18,905","1,89,63,12,134.10","45,905","9,87,086","13.67"
"JSWSTEEL","EQ","06-Feb-2020","269.25","271.10","277.50","267.75","275.35","276.45","274.21","85,67,243","2,34,92,60,666.75","54,010","14,51,742","16.95"
"JSWSTEEL","EQ","07-Feb-2020","276.45","275.40","280.00","272.75","279.00","279.30","277.76","52,58,442","1,46,05,94,758.90","31,277","4,95,180","9.42"
"JSWSTEEL","EQ","10-Feb-2020","279.30","276.00","279.80","273.20","277.95","277.90","276.69","49,72,983","1,37,59,54,725.70","32,384","4,57,404","9.20"
"JSWSTEEL","EQ","11-Feb-2020","277.90","280.05","293.50","278.60","288.65","288.75","288.32","1,09,58,494","3,15,95,06,652.20","72,217","14,64,850","13.37"
"JSWSTEEL","EQ","12-Feb-2020","288.75","288.65","295.40","288.50","293.70","293.70","292.87","91,19,052","2,67,06,57,508.60","55,371","16,53,313","18.13"
"JSWSTEEL","EQ","13-Feb-2020","293.70","292.20","294.60","288.40","291.60","293.35","292.09","62,20,243","1,81,68,90,898.95","40,577","12,97,539","20.86"
"JSWSTEEL","EQ","14-Feb-2020","293.35","291.60","296.75","288.30","288.50","289.15","292.79","60,86,218","1,78,20,11,376.00","39,261","8,45,511","13.89"
"JSWSTEEL","EQ","17-Feb-2020","289.15","289.15","290.90","285.30","288.00","288.15","288.29","60,84,235","1,75,40,50,013.90","36,285","7,34,415","12.07"
