"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","03-Jan-2022","1,796.10","1,797.00","1,828.10","1,791.60","1,824.00","1,824.45","1,810.09","19,85,109","3,59,32,21,283.05","71,728","11,74,553","59.17"
"KOTAKBANK","EQ","04-Jan-2022","1,824.45","1,830.00","1,857.00","1,815.30","1,852.60","1,852.60","1,842.73","26,35,575","4,85,66,54,878.80","84,854","16,44,402","62.39"
"KOTAKBANK","EQ","05-Jan-2022","1,852.60","1,857.00","1,928.35","1,840.10","1,916.65","1,922.15","1,902.22","42,08,167","8,00,48,65,784.95","1,35,295","22,94,489","54.52"
"KOTAKBANK","EQ","06-Jan-2022","1,922.15","1,907.10","1,915.00","1,875.00","1,887.80","1,891.90","1,892.48","22,58,030","4,27,32,65,551.00","1,04,702","11,45,808","50.74"
"KOTAKBANK","EQ","07-Jan-2022","1,891.90","1,891.90","1,925.40","1,883.60","1,905.90","1,904.25","1,907.91","23,03,351","4,39,45,81,777.30","79,091","11,00,043","47.76"
"KOTAKBANK","EQ","10-Jan-2022","1,904.25","1,904.25","1,955.30","1,901.35","1,948.00","1,947.95","1,938.70","28,62,087","5,54,87,32,478.55","96,782","18,42,041","64.36"
"KOTAKBANK","EQ","11-Jan-2022","1,947.95","1,948.00","1,954.25","1,920.20","1,940.15","1,936.80","1,937.88","27,14,019","5,25,94,30,319.30","1,32,031","15,75,019","58.03"
"KOTAKBANK","EQ","12-Jan-2022","1,936.80","1,954.80","1,976.15","1,947.15","1,957.40","1,956.60","1,963.17","21,49,396","4,21,96,23,278.05","1,01,902","12,90,444","60.04"
"KOTAKBANK","EQ","13-Jan-2022","1,956.60","1,960.00","1,966.90","1,922.55","1,930.25","1,926.35","1,936.61","14,87,152","2,88,00,29,747.90","70,299","8,19,399","55.10"
"KOTAKBANK","EQ","14-Jan-2022","1,926.35","1,909.00","1,945.00","1,898.00","1,931.00","1,938.20","1,920.79","18,28,762","3,51,26,67,500.50","54,543","7,45,658","40.77"
"KOTAKBANK","EQ","17-Jan-2022","1,938.20","1,922.00","1,952.95","1,918.60","1,940.35","1,937.45","1,933.02","16,76,473","3,24,06,63,461.95","64,746","8,44,247","50.36"
"KOTAKBANK","EQ","18-Jan-2022","1,937.45","1,930.00","1,975.00","1,930.00","1,940.05","1,942.15","1,954.43","20,81,456","4,06,80,58,052.75","96,489","8,74,439","42.01"
"KOTAKBANK","EQ","19-Jan-2022","1,942.15","1,945.00","1,945.00","1,900.10","1,908.40","1,905.65","1,915.33","15,21,702","2,91,45,63,836.30","71,692","5,82,322","38.27"
"KOTAKBANK","EQ","20-Jan-2022","1,905.65","1,925.00","1,925.00","1,877.00","1,893.90","1,892.60","1,896.83","14,89,821","2,82,59,42,097.90","78,944","6,23,391","41.84"
"KOTAKBANK","EQ","21-Jan-2022","1,892.60","1,868.25","1,901.00","1,849.55","1,897.00","1,893.75","1,876.37","17,53,896","3,29,09,55,030.70","94,543","8,23,777","46.97"
"KOTAKBANK","EQ","24-Jan-2022","1,893.75","1,884.10","1,887.90","1,810.00","1,824.50","1,830.90","1,842.79","25,47,434","4,69,43,91,500.80","1,06,050","16,52,053","64.85"
"KOTAKBANK","EQ","25-Jan-2022","1,830.90","1,814.70","1,873.90","1,782.20","1,867.00","1,854.65","1,826.27","25,69,065","4,69,18,15,215.05","1,38,984","11,82,197","46.02"
"KOTAKBANK","EQ","27-Jan-2022","1,854.65","1,840.00","1,898.55","1,821.15","1,895.00","1,889.25","1,860.37","37,18,619","6,91,79,95,647.95","1,54,794","19,00,941","51.12"
"KOTAKBANK","EQ","28-Jan-2022","1,889.25","1,895.00","1,956.90","1,888.65","1,891.30","1,898.30","1,914.23","49,71,964","9,51,74,69,274.65","1,68,963","20,18,168","40.59"
"KOTAKBANK","EQ","31-Jan-2022","1,898.30","1,920.00","1,938.90","1,841.00","1,857.50","1,857.25","1,865.07","45,16,625","8,42,38,38,754.65","1,84,120","22,94,391","50.80"
