"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","01-Jan-2024","3,526.00","3,538.00","3,538.00","3,496.05","3,509.10","3,525.45","3,518.05","7,77,080","2,73,38,04,517.85","99,652","4,28,707","55.17"
"LT","EQ","02-Jan-2024","3,525.45","3,525.05","3,525.45","3,432.00","3,440.90","3,438.10","3,455.21","15,11,464","5,22,24,23,704.45","1,99,417","9,69,027","64.11"
"LT","EQ","03-Jan-2024","3,438.10","3,433.00","3,465.85","3,411.60","3,440.00","3,440.35","3,438.35","12,83,859","4,41,43,62,339.55","1,47,403","8,14,620","63.45"
"LT","EQ","04-Jan-2024","3,440.35","3,441.05","3,480.10","3,423.00","3,459.95","3,458.70","3,457.46","16,51,616","5,71,04,00,919.60","1,55,242","9,74,234","58.99"
"LT","EQ","05-Jan-2024","3,458.70","3,464.95","3,555.00","3,460.00","3,548.60","3,521.90","3,497.02","20,69,018","7,23,53,90,724.65","2,11,563","11,23,090","54.28"
"LT","EQ","08-Jan-2024","3,521.90","3,540.00","3,559.95","3,490.00","3,510.00","3,501.10","3,519.92","19,93,855","7,01,82,15,617.00","2,44,999","13,19,026","66.15"
"LT","EQ","09-Jan-2024","3,501.10","3,527.45","3,593.75","3,520.10","3,560.00","3,555.95","3,564.35","18,07,271","6,44,17,43,425.35","1,36,843","9,58,324","53.03"
"LT","EQ","10-Jan-2024","3,555.95","3,549.95","3,558.95","3,520.00","3,548.00","3,545.50","3,537.36","15,34,821","5,42,92,21,814.50","1,01,151","9,56,420","62.31"
"LT","EQ","11-Jan-2024","3,545.50","3,545.50","3,559.55","3,500.55","3,507.00","3,504.85","3,523.56","11,05,348","3,89,47,55,496.85","1,13,992","6,64,576","60.12"
"LT","EQ","12-Jan-2024","3,504.85","3,505.05","3,578.65","3,494.05","3,568.00","3,568.80","3,540.61","17,82,631","6,31,15,96,272.35","1,40,965","9,87,229","55.38"
"LT","EQ","15-Jan-2024","3,568.80","3,576.10","3,605.70","3,538.05","3,546.90","3,543.05","3,565.61","17,83,518","6,35,93,26,466.35","1,38,184","10,86,370","60.91"
"LT","EQ","16-Jan-2024","3,543.05","3,548.00","3,589.00","3,538.00","3,578.00","3,573.50","3,568.44","17,91,818","6,39,39,98,654.80","1,66,759","11,85,193","66.14"
"LT","EQ","17-Jan-2024","3,573.50","3,555.00","3,614.45","3,547.70","3,575.05","3,570.95","3,576.80","26,99,076","9,65,40,42,587.35","1,64,051","16,61,113","61.54"
"LT","EQ","18-Jan-2024","3,570.95","3,570.80","3,616.95","3,525.00","3,603.00","3,596.00","3,592.24","21,48,898","7,71,93,57,081.85","1,83,094","12,69,966","59.10"
"LT","EQ","19-Jan-2024","3,596.00","3,603.00","3,655.85","3,603.00","3,646.00","3,646.00","3,636.43","19,13,923","6,95,98,43,129.05","1,96,916","11,14,564","58.23"
"LT","EQ","20-Jan-2024","3,646.00","3,667.00","3,670.00","3,621.05","3,637.40","3,634.50","3,644.77","4,68,514","1,70,76,27,966.30","52,470","2,22,049","47.39"
"LT","EQ","23-Jan-2024","3,634.50","3,637.60","3,661.35","3,536.20","3,547.00","3,551.00","3,602.16","17,42,142","6,27,54,72,696.80","1,66,563","11,64,704","66.85"
"LT","EQ","24-Jan-2024","3,551.00","3,570.00","3,617.95","3,521.70","3,600.00","3,589.20","3,586.69","37,11,521","13,31,20,62,950.35","1,92,912","27,31,075","73.58"
"LT","EQ","25-Jan-2024","3,589.20","3,599.90","3,618.25","3,564.80","3,584.00","3,593.45","3,594.44","22,06,540","7,93,12,67,641.20","1,64,879","13,68,503","62.02"
"LT","EQ","29-Jan-2024","3,593.45","3,604.00","3,733.85","3,600.10","3,710.00","3,708.00","3,687.07","20,72,982","7,64,32,38,960.10","1,66,432","12,71,712","61.35"
"LT","EQ","30-Jan-2024","3,708.00","3,715.95","3,737.90","3,624.90","3,639.85","3,633.30","3,675.49","14,54,989","5,34,77,91,328.15","1,33,031","7,47,324","51.36"
"LT","EQ","31-Jan-2024","3,633.30","3,520.00","3,538.00","3,387.05","3,480.00","3,479.75","3,459.48","96,37,606","33,34,11,19,439.35","5,45,802","54,05,947","56.09"
"LT","EQ","01-Feb-2024","3,479.75","3,480.00","3,493.75","3,371.00","3,398.00","3,398.00","3,414.16","61,49,780","20,99,63,47,650.90","3,50,563","39,76,225","64.66"
"LT","EQ","02-Feb-2024","3,398.00","3,402.70","3,436.35","3,361.00","3,380.60","3,376.05","3,399.28","75,79,802","25,76,58,55,679.15","3,60,278","47,74,809","62.99"
"LT","EQ","05-Feb-2024","3,376.05","3,375.50","3,407.95","3,318.45","3,340.95","3,341.75","3,362.80","29,54,238","9,93,45,01,679.35","4,15,549","20,36,923","68.95"
"LT","EQ","06-Feb-2024","3,341.75","3,346.00","3,427.75","3,337.55","3,419.00","3,424.25","3,398.53","25,45,192","8,64,99,19,158.85","1,87,126","16,82,140","66.09"
"LT","EQ","07-Feb-2024","3,424.25","3,445.00","3,447.00","3,389.00","3,396.00","3,394.70","3,413.73","20,99,940","7,16,86,31,397.95","1,88,731","12,98,307","61.83"
"LT","EQ","08-Feb-2024","3,394.70","3,413.00","3,417.80","3,293.85","3,356.00","3,335.50","3,350.08","34,71,727","11,63,05,63,825.40","3,10,823","20,63,516","59.44"
"LT","EQ","09-Feb-2024","3,335.50","3,336.25","3,390.00","3,308.95","3,324.00","3,324.55","3,327.86","31,21,873","10,38,91,52,101.40","1,81,824","16,98,995","54.42"
"LT","EQ","12-Feb-2024","3,324.55","3,330.00","3,339.15","3,287.00","3,301.55","3,299.55","3,308.84","19,22,273","6,36,04,97,577.70","1,86,795","12,68,822","66.01"
"LT","EQ","13-Feb-2024","3,299.55","3,312.00","3,338.55","3,284.10","3,316.25","3,321.50","3,319.88","21,51,493","7,14,27,03,813.40","1,69,600","14,80,228","68.80"
"LT","EQ","14-Feb-2024","3,321.50","3,290.05","3,316.95","3,263.05","3,312.95","3,309.00","3,287.26","25,02,138","8,22,51,69,971.75","2,16,456","17,03,191","68.07"
"LT","EQ","15-Feb-2024","3,309.00","3,309.00","3,321.95","3,290.20","3,303.95","3,300.30","3,302.95","19,99,189","6,60,32,20,230.75","1,66,096","12,39,531","62.00"
"LT","EQ","16-Feb-2024","3,300.30","3,304.95","3,398.00","3,304.05","3,382.80","3,386.75","3,369.15","27,68,329","9,32,69,27,305.10","1,83,986","15,95,267","57.63"
"LT","EQ","19-Feb-2024","3,386.75","3,400.55","3,408.00","3,335.50","3,341.15","3,339.85","3,352.09","12,16,447","4,07,76,37,549.30","97,105","6,28,180","51.64"
"LT","EQ","20-Feb-2024","3,339.85","3,339.85","3,367.75","3,328.45","3,362.50","3,356.75","3,347.47","15,78,162","5,28,28,54,808.30","1,19,394","10,22,526","64.79"
"LT","EQ","21-Feb-2024","3,356.75","3,356.90","3,356.90","3,290.05","3,299.00","3,296.40","3,323.77","24,30,672","8,07,90,05,922.80","1,47,651","16,62,420","68.39"
"LT","EQ","22-Feb-2024","3,296.40","3,310.00","3,369.00","3,276.95","3,363.00","3,363.75","3,323.23","25,21,388","8,37,91,47,529.45","1,88,283","12,07,847","47.90"
"LT","EQ","23-Feb-2024","3,363.75","3,363.75","3,399.90","3,340.75","3,375.00","3,387.95","3,376.68","21,07,176","7,11,52,52,255.55","1,50,790","11,81,507","56.07"
"LT","EQ","26-Feb-2024","3,387.95","3,400.00","3,491.65","3,393.00","3,470.35","3,470.15","3,464.62","41,22,419","14,28,26,18,156.15","1,98,475","23,16,176","56.18"
"LT","EQ","27-Feb-2024","3,470.15","3,475.00","3,512.00","3,451.90","3,496.50","3,506.45","3,492.62","21,22,286","7,41,23,32,300.70","1,37,026","14,11,733","66.52"
"LT","EQ","28-Feb-2024","3,506.45","3,505.00","3,513.00","3,446.15","3,463.05","3,470.20","3,474.86","16,66,903","5,79,22,54,903.90","1,44,188","10,18,370","61.09"
"LT","EQ","29-Feb-2024","3,470.20","3,485.00","3,496.00","3,436.45","3,481.00","3,477.55","3,469.20","21,19,512","7,35,30,04,193.20","1,32,525","12,79,016","60.34"
"LT","EQ","01-Mar-2024","3,477.55","3,501.65","3,658.35","3,500.00","3,628.85","3,633.50","3,594.50","44,07,803","15,84,38,45,019.95","2,74,913","20,11,254","45.63"
"LT","EQ","02-Mar-2024","3,633.50","3,647.90","3,690.00","3,646.20","3,652.90","3,655.25","3,665.31","2,46,957","90,51,74,073.40","18,973","1,39,581","56.52"
"LT","EQ","04-Mar-2024","3,655.25","3,670.00","3,679.80","3,622.05","3,639.00","3,644.45","3,642.69","13,07,501","4,76,28,19,651.20","1,20,856","7,78,458","59.54"
"LT","EQ","05-Mar-2024","3,644.45","3,631.20","3,644.45","3,590.30","3,618.00","3,612.60","3,616.74","19,81,370","7,16,61,08,372.95","1,20,484","14,26,257","71.98"
