"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NESTLEIND","EQ","01-Jan-2019","11,084.85","11,150.00","11,170.40","10,989.95","10,995.00","11,015.05","11,053.29","31,709","35,04,88,882.35","4,013","19,840","62.57"
"NESTLEIND","EQ","02-Jan-2019","11,015.05","10,980.50","11,160.00","10,907.05","11,111.00","11,035.40","11,042.49","28,167","31,10,33,685.35","6,393","11,712","41.58"
"NESTLEIND","EQ","03-Jan-2019","11,035.40","11,111.00","11,499.00","10,999.90","11,239.90","11,207.15","11,291.19","1,69,291","1,91,14,96,388.30","41,354","57,480","33.95"
"NESTLEIND","EQ","04-Jan-2019","11,207.15","11,139.00","11,198.90","10,655.55","10,825.40","10,851.20","10,947.17","2,06,163","2,25,69,02,031.60","40,860","88,873","43.11"
"NESTLEIND","EQ","07-Jan-2019","10,851.20","10,875.00","10,939.65","10,700.00","10,790.00","10,786.10","10,789.27","85,959","92,74,34,539.05","15,094","53,818","62.61"
"NESTLEIND","EQ","08-Jan-2019","10,786.10","10,800.00","11,240.00","10,690.00","10,994.00","11,005.40","10,947.28","1,34,341","1,47,06,68,643.05","24,540","62,502","46.52"
"NESTLEIND","EQ","09-Jan-2019","11,005.40","11,099.85","11,298.40","11,058.40","11,250.00","11,252.25","11,222.57","98,483","1,10,52,32,706.20","24,934","59,478","60.39"
"NESTLEIND","EQ","10-Jan-2019","11,252.25","11,320.00","11,447.80","11,139.60","11,430.00","11,416.60","11,318.35","76,915","87,05,50,916.50","19,848","43,752","56.88"
"NESTLEIND","EQ","11-Jan-2019","11,416.60","11,400.15","11,458.00","11,151.00","11,300.00","11,273.00","11,260.69","57,253","64,47,08,332.90","17,171","31,152","54.41"
"NESTLEIND","EQ","14-Jan-2019","11,273.00","11,300.00","11,385.70","11,189.95","11,225.00","11,228.65","11,247.34","51,811","58,27,36,185.10","12,365","31,566","60.93"
"NESTLEIND","EQ","15-Jan-2019","11,228.65","11,296.00","11,340.00","11,200.00","11,300.00","11,282.65","11,271.84","49,470","55,76,17,750.50","9,468","34,591","69.92"
"NESTLEIND","EQ","16-Jan-2019","11,282.65","11,261.05","11,291.75","10,980.00","11,070.00","11,055.90","11,082.13","1,36,679","1,51,46,94,383.05","31,054","97,759","71.52"
"NESTLEIND","EQ","17-Jan-2019","11,055.90","11,200.00","11,232.95","11,122.00","11,181.00","11,165.70","11,182.52","72,737","81,33,82,739.60","22,761","51,502","70.81"
"NESTLEIND","EQ","18-Jan-2019","11,165.70","11,200.00","11,326.45","11,181.00","11,270.00","11,248.40","11,254.36","76,762","86,39,07,564.15","17,702","51,978","67.71"
"NESTLEIND","EQ","21-Jan-2019","11,248.40","11,296.00","11,308.95","11,150.10","11,259.00","11,255.25","11,255.05","19,108","21,50,61,498.60","4,200","9,440","49.40"
"NESTLEIND","EQ","22-Jan-2019","11,255.25","11,290.00","11,350.00","11,200.00","11,280.00","11,236.55","11,260.29","39,958","44,99,38,559.45","9,130","21,523","53.86"
"NESTLEIND","EQ","23-Jan-2019","11,236.55","11,255.00","11,348.00","11,240.00","11,320.00","11,315.90","11,310.59","51,210","57,92,15,323.45","10,719","33,574","65.56"
"NESTLEIND","EQ","24-Jan-2019","11,315.90","11,315.90","11,460.00","11,306.05","11,452.65","11,433.40","11,416.56","1,04,618","1,19,43,77,201.85","15,363","74,917","71.61"
"NESTLEIND","EQ","25-Jan-2019","11,433.40","11,460.00","11,517.00","11,300.00","11,350.10","11,365.60","11,420.34","59,928","68,43,98,014.15","11,979","41,066","68.53"
"NESTLEIND","EQ","28-Jan-2019","11,365.60","11,365.60","11,420.00","11,155.00","11,380.00","11,360.60","11,368.59","1,03,963","1,18,19,13,021.95","13,073","-","-"
"NESTLEIND","EQ","29-Jan-2019","11,360.60","11,380.00","11,440.00","11,293.90","11,420.00","11,399.10","11,393.49","70,632","80,47,44,901.15","19,973","50,649","71.71"
"NESTLEIND","EQ","30-Jan-2019","11,399.10","11,420.00","11,439.75","11,280.00","11,405.85","11,396.65","11,373.49","39,290","44,68,64,540.15","10,815","22,664","57.68"
"NESTLEIND","EQ","31-Jan-2019","11,396.65","11,420.00","11,538.95","11,373.05","11,481.00","11,497.85","11,440.63","95,373","1,09,11,26,755.80","21,170","72,392","75.90"
"NESTLEIND","EQ","01-Feb-2019","11,497.85","11,498.05","11,622.00","11,430.15","11,560.00","11,556.55","11,517.86","61,906","71,30,24,487.40","12,921","34,160","55.18"
"NESTLEIND","EQ","04-Feb-2019","11,556.55","11,515.00","11,642.15","11,500.00","11,573.05","11,533.75","11,558.50","34,434","39,80,05,472.90","9,515","17,855","51.85"
