"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NTPC","EQ","01-Jan-2021","99.35","99.95","100.20","98.80","99.10","99.05","99.19","1,34,93,039","1,33,84,17,584.90","47,342","45,06,952","33.40"
"NTPC","EQ","04-Jan-2021","99.05","99.75","100.00","98.50","98.95","99.05","99.08","2,23,25,584","2,21,20,64,327.85","66,229","94,85,747","42.49"
"NTPC","EQ","05-Jan-2021","99.05","98.40","98.40","97.00","97.65","97.60","97.42","2,35,10,160","2,29,04,37,714.60","69,994","94,61,371","40.24"
"NTPC","EQ","06-Jan-2021","97.60","98.00","99.00","97.25","97.80","97.85","98.13","2,19,52,878","2,15,41,44,906.45","52,230","78,14,189","35.60"
"NTPC","EQ","07-Jan-2021","97.85","98.10","98.50","96.85","97.05","97.00","97.45","2,49,99,580","2,43,61,31,918.50","59,103","1,13,54,822","45.42"
"NTPC","EQ","08-Jan-2021","97.00","97.60","100.50","97.35","100.25","100.15","99.35","4,32,40,591","4,29,61,37,619.65","80,118","1,83,67,517","42.48"
"NTPC","EQ","11-Jan-2021","100.15","100.75","101.25","98.70","99.00","99.00","99.63","2,20,36,573","2,19,55,13,294.50","60,999","83,47,803","37.88"
"NTPC","EQ","12-Jan-2021","99.00","99.00","101.00","98.30","100.15","100.15","99.85","2,42,62,426","2,42,26,93,614.85","70,048","1,03,64,831","42.72"
"NTPC","EQ","13-Jan-2021","100.15","100.25","104.35","100.15","102.50","102.55","102.65","4,92,36,964","5,05,41,43,451.40","1,14,360","1,30,18,977","26.44"
"NTPC","EQ","14-Jan-2021","102.55","103.70","103.85","101.70","102.05","102.20","102.47","2,93,01,114","3,00,23,40,017.00","1,06,331","1,10,05,678","37.56"
"NTPC","EQ","15-Jan-2021","102.20","102.50","103.60","99.90","100.50","100.45","101.79","2,40,67,229","2,44,98,05,181.15","68,669","55,81,502","23.19"
"NTPC","EQ","18-Jan-2021","100.45","100.45","100.90","96.80","97.25","97.55","98.01","2,36,13,664","2,31,43,71,702.85","56,082","63,96,984","27.09"
"NTPC","EQ","19-Jan-2021","97.55","98.00","100.85","97.55","99.70","99.65","99.25","2,29,34,496","2,27,62,66,762.80","53,693","60,37,010","26.32"
"NTPC","EQ","20-Jan-2021","99.65","99.60","99.70","98.00","98.10","98.30","98.50","2,55,99,184","2,52,15,71,828.80","64,211","1,14,85,749","44.87"
"NTPC","EQ","21-Jan-2021","98.30","98.70","99.15","95.60","96.30","96.10","97.86","2,26,67,011","2,21,81,95,128.60","77,530","97,59,107","43.05"
"NTPC","EQ","22-Jan-2021","96.10","96.30","96.50","92.90","94.60","94.05","94.44","2,60,29,669","2,45,81,12,372.10","90,196","85,35,914","32.79"
"NTPC","EQ","25-Jan-2021","94.05","95.05","95.30","92.70","93.25","93.20","93.77","1,85,99,824","1,74,40,27,154.85","58,083","65,64,629","35.29"
"NTPC","EQ","27-Jan-2021","93.20","93.00","93.10","90.80","91.40","91.30","91.79","2,28,12,859","2,09,39,20,926.05","65,826","82,29,259","36.07"
"NTPC","EQ","28-Jan-2021","91.30","90.80","92.65","90.35","91.75","91.60","91.26","3,22,27,832","2,94,12,47,566.95","97,420","1,15,34,238","35.79"
"NTPC","EQ","29-Jan-2021","91.60","92.00","92.60","88.15","88.75","88.95","90.26","3,69,62,884","3,33,61,49,544.20","96,079","1,93,40,797","52.32"
"NTPC","EQ","01-Feb-2021","88.95","89.35","92.40","88.40","92.15","92.00","90.48","2,90,33,297","2,62,69,94,018.45","95,006","1,20,43,714","41.48"
"NTPC","EQ","02-Feb-2021","92.00","92.90","95.35","92.90","94.70","94.15","94.35","2,92,79,584","2,76,26,62,627.65","73,537","1,12,76,700","38.51"
"NTPC","EQ","03-Feb-2021","94.15","95.10","98.10","94.30","97.15","96.95","96.34","3,14,20,256","3,02,70,59,579.35","99,152","1,16,16,331","36.97"
"NTPC","EQ","04-Feb-2021","96.95","97.30","100.20","97.00","99.15","99.05","98.91","3,92,64,443","3,88,34,50,417.75","1,18,151","1,38,36,394","35.24"
"NTPC","EQ","05-Feb-2021","99.05","100.40","102.00","98.15","99.65","99.50","100.11","5,49,11,202","5,49,73,32,394.70","1,51,164","1,96,13,194","35.72"
"NTPC","EQ","08-Feb-2021","99.50","96.20","100.95","96.10","100.40","100.30","99.42","5,37,37,961","5,34,27,24,199.95","1,41,267","1,77,28,706","32.99"
