"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ONGC","EQ","02-Jan-2023","146.75","147.30","150.80","147.25","150.65","150.45","149.52","96,31,496","1,44,00,55,190.45","61,270","37,59,412","39.03"
"ONGC","EQ","03-Jan-2023","150.45","149.70","150.60","148.00","149.60","149.55","149.24","1,49,91,139","2,23,72,42,158.25","88,539","73,14,324","48.79"
"ONGC","EQ","04-Jan-2023","149.55","148.80","148.85","145.00","146.40","146.25","146.39","1,35,35,874","1,98,15,57,181.95","61,856","76,31,425","56.38"
"ONGC","EQ","05-Jan-2023","146.25","145.85","147.00","144.15","146.45","146.50","146.03","1,63,20,559","2,38,32,14,307.70","63,651","91,61,480","56.13"
"ONGC","EQ","06-Jan-2023","146.50","146.70","148.10","146.30","147.50","147.35","147.21","1,68,04,116","2,47,36,72,958.50","55,582","1,12,78,894","67.12"
"ONGC","EQ","09-Jan-2023","147.35","149.30","150.20","147.80","148.60","148.15","148.87","1,86,60,445","2,77,79,96,611.10","55,884","1,09,32,058","58.58"
"ONGC","EQ","10-Jan-2023","148.15","148.60","150.30","148.60","149.10","149.35","149.35","1,84,90,715","2,76,15,27,128.15","56,948","1,30,81,714","70.75"
"ONGC","EQ","11-Jan-2023","149.35","149.50","150.00","146.25","146.70","146.80","147.52","1,25,38,238","1,84,96,95,176.30","64,614","77,01,712","61.43"
"ONGC","EQ","12-Jan-2023","146.80","147.70","148.25","145.75","146.35","146.15","146.68","1,32,70,422","1,94,64,90,436.80","54,953","79,53,138","59.93"
"ONGC","EQ","13-Jan-2023","146.15","146.40","147.50","145.90","147.00","146.95","146.99","88,54,484","1,30,14,93,351.30","37,727","54,99,641","62.11"
"ONGC","EQ","16-Jan-2023","146.95","147.70","147.80","146.00","147.50","147.60","147.15","96,96,320","1,42,68,34,847.30","51,370","59,94,905","61.83"
"ONGC","EQ","17-Jan-2023","147.60","148.30","149.00","146.65","147.45","147.85","147.63","1,84,84,595","2,72,88,28,194.40","57,338","1,02,82,248","55.63"
"ONGC","EQ","18-Jan-2023","147.85","148.25","149.75","148.20","149.20","149.25","149.27","1,21,39,643","1,81,20,50,382.60","56,615","66,25,723","54.58"
"ONGC","EQ","19-Jan-2023","149.25","148.05","152.10","148.05","151.40","151.75","151.04","1,84,37,610","2,78,47,26,290.75","76,474","1,12,69,323","61.12"
"ONGC","EQ","20-Jan-2023","151.75","152.00","152.50","150.55","151.85","151.60","151.69","1,75,12,691","2,65,64,38,650.75","69,050","1,14,31,377","65.27"
"ONGC","EQ","23-Jan-2023","151.60","152.55","153.10","151.35","152.20","152.35","152.24","1,67,42,252","2,54,88,23,894.50","56,925","1,17,04,962","69.91"
