"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERGRID","EQ","02-Jan-2017","183.50","183.50","185.20","182.60","183.80","183.65","183.88","10,19,089","18,73,88,893.10","11,755","4,29,096","42.11"
"POWERGRID","EQ","03-Jan-2017","183.65","184.90","188.50","184.50","188.30","188.05","187.44","43,98,598","82,44,53,352.45","28,439","26,85,097","61.04"
"POWERGRID","EQ","04-Jan-2017","188.05","188.05","188.85","186.05","186.90","186.75","187.45","44,04,097","82,55,69,635.40","67,007","30,90,129","70.16"
"POWERGRID","EQ","05-Jan-2017","186.75","187.05","191.25","186.10","190.10","190.85","188.94","35,78,806","67,61,89,933.70","39,293","24,90,658","69.59"
"POWERGRID","EQ","06-Jan-2017","190.85","191.15","192.85","188.25","189.00","188.80","191.06","35,42,844","67,69,09,151.70","60,527","24,29,413","68.57"
"POWERGRID","EQ","09-Jan-2017","188.80","189.20","189.20","185.10","186.30","186.55","186.51","16,63,023","31,01,63,866.10","30,573","9,97,156","59.96"
"POWERGRID","EQ","10-Jan-2017","186.55","186.60","188.30","185.05","186.50","186.55","186.39","26,02,687","48,51,03,878.35","38,098","14,24,560","54.73"
"POWERGRID","EQ","11-Jan-2017","186.55","187.30","191.40","185.90","189.80","189.80","186.87","1,22,82,587","2,29,53,05,842.55","50,473","1,05,18,012","85.63"
"POWERGRID","EQ","12-Jan-2017","189.80","190.00","199.75","190.00","198.35","198.00","197.47","1,51,07,520","2,98,32,16,397.05","98,717","82,02,888","54.30"
"POWERGRID","EQ","13-Jan-2017","198.00","199.90","199.90","196.05","198.80","197.15","196.85","1,34,62,319","2,65,01,18,540.00","57,244","1,17,00,213","86.91"
"POWERGRID","EQ","16-Jan-2017","197.15","197.00","201.05","196.75","199.85","199.40","199.28","47,66,336","94,98,13,932.60","71,396","33,68,609","70.68"
"POWERGRID","EQ","17-Jan-2017","199.40","199.40","200.65","195.10","197.70","197.75","198.49","57,33,905","1,13,81,47,420.55","48,111","40,96,953","71.45"
"POWERGRID","EQ","18-Jan-2017","197.75","198.00","199.65","197.05","198.25","198.45","198.43","1,19,41,771","2,36,95,53,228.15","61,735","1,05,09,977","88.01"
"POWERGRID","EQ","19-Jan-2017","198.45","198.90","203.70","197.25","202.55","201.80","199.79","49,25,804","98,41,28,179.20","51,182","31,11,087","63.16"
"POWERGRID","EQ","20-Jan-2017","201.80","202.60","202.60","197.45","200.05","199.40","199.26","73,05,265","1,45,56,55,468.80","97,707","47,71,260","65.31"
"POWERGRID","EQ","23-Jan-2017","199.40","199.85","202.20","199.05","200.50","200.20","200.33","41,25,463","82,64,71,276.80","90,919","28,51,235","69.11"
"POWERGRID","EQ","24-Jan-2017","200.20","201.00","204.70","200.60","203.10","203.35","203.43","40,06,563","81,50,45,206.10","81,276","23,77,386","59.34"
"POWERGRID","EQ","25-Jan-2017","203.35","203.65","204.05","201.90","202.95","203.10","202.96","58,14,207","1,18,00,35,023.90","48,191","45,11,377","77.59"
"POWERGRID","EQ","27-Jan-2017","203.10","203.50","206.95","202.55","205.00","204.55","204.69","62,41,125","1,27,75,16,992.05","90,588","44,12,296","70.70"
"POWERGRID","EQ","30-Jan-2017","204.55","204.30","206.45","202.50","205.50","205.70","205.54","32,81,017","67,43,71,920.20","74,823","22,23,686","67.77"
"POWERGRID","EQ","31-Jan-2017","205.70","205.50","209.25","204.45","207.15","207.20","207.49","42,71,478","88,62,97,715.10","61,506","27,65,244","64.74"
"POWERGRID","EQ","01-Feb-2017","207.20","208.60","208.60","204.75","205.90","205.80","205.95","41,20,570","84,86,16,884.40","78,416","27,74,378","67.33"
"POWERGRID","EQ","02-Feb-2017","205.80","205.90","206.00","203.25","204.20","203.95","204.13","43,72,767","89,26,33,091.20","64,366","32,60,367","74.56"
"POWERGRID","EQ","03-Feb-2017","203.95","203.20","205.80","201.10","201.25","201.70","202.46","25,19,680","51,01,43,635.05","43,544","18,97,390","75.30"
"POWERGRID","EQ","06-Feb-2017","201.70","202.25","204.20","199.75","201.65","201.10","201.44","35,64,676","71,80,58,379.65","43,218","24,62,930","69.09"
"POWERGRID","EQ","07-Feb-2017","201.10","201.65","203.60","199.20","199.85","199.90","201.06","36,91,648","74,22,26,198.70","44,652","24,73,394","67.00"
"POWERGRID","EQ","08-Feb-2017","199.90","201.00","202.70","198.30","201.80","201.10","200.35","50,76,196","1,01,70,15,394.30","68,189","37,39,590","73.67"
"POWERGRID","EQ","09-Feb-2017","201.10","202.40","205.60","200.80","202.25","202.15","203.31","71,94,785","1,46,27,81,017.30","94,237","44,39,686","61.71"
"POWERGRID","EQ","10-Feb-2017","202.15","205.20","205.80","199.25","199.75","199.90","201.51","94,59,699","1,90,62,01,471.55","90,984","65,57,082","69.32"
"POWERGRID","EQ","13-Feb-2017","199.90","201.70","203.95","199.50","203.00","203.05","202.40","53,48,680","1,08,25,67,466.30","45,098","36,78,193","68.77"
"POWERGRID","EQ","14-Feb-2017","203.05","203.90","203.95","200.10","200.75","200.85","201.14","52,89,337","1,06,39,21,909.85","68,844","38,00,208","71.85"
"POWERGRID","EQ","15-Feb-2017","200.85","201.40","202.60","199.75","201.35","201.45","201.09","41,07,574","82,59,93,115.20","47,399","28,26,709","68.82"
"POWERGRID","EQ","16-Feb-2017","201.45","200.00","202.45","199.10","202.00","201.15","200.73","35,28,300","70,82,49,393.70","42,766","23,51,012","66.63"
"POWERGRID","EQ","17-Feb-2017","201.15","202.00","203.25","199.55","202.35","202.55","201.89","27,93,812","56,40,40,947.20","36,285","19,16,820","68.61"
"POWERGRID","EQ","20-Feb-2017","202.55","203.90","207.40","201.80","206.25","206.45","205.22","55,78,603","1,14,48,45,932.90","52,965","37,40,744","67.06"
"POWERGRID","EQ","21-Feb-2017","206.45","206.45","207.80","204.55","206.05","206.15","205.92","41,78,721","86,04,72,755.95","33,555","31,88,794","76.31"
"POWERGRID","EQ","22-Feb-2017","206.15","208.65","208.90","200.90","201.30","201.60","203.93","1,48,19,384","3,02,21,64,341.00","66,874","1,20,74,195","81.48"
"POWERGRID","EQ","23-Feb-2017","201.60","202.00","202.00","198.55","199.40","199.15","200.00","75,39,925","1,50,79,82,485.20","69,894","58,43,595","77.50"
"POWERGRID","EQ","27-Feb-2017","199.15","200.00","200.00","191.90","192.25","192.75","194.40","83,24,234","1,61,82,72,555.35","85,982","62,19,660","74.72"
"POWERGRID","EQ","28-Feb-2017","192.75","191.90","194.85","191.55","192.45","192.15","192.98","56,53,926","1,09,11,12,683.50","62,599","38,12,996","67.44"
"POWERGRID","EQ","01-Mar-2017","192.15","193.50","194.70","191.85","193.00","192.65","193.03","58,20,935","1,12,36,20,082.05","47,703","43,03,242","73.93"
"POWERGRID","EQ","02-Mar-2017","192.65","194.00","194.00","189.00","190.00","189.75","190.82","59,79,012","1,14,09,07,792.95","91,982","44,50,868","74.44"
"POWERGRID","EQ","03-Mar-2017","189.75","189.00","191.25","188.00","190.85","190.85","190.02","47,55,417","90,36,00,956.75","75,791","35,45,535","74.56"
"POWERGRID","EQ","06-Mar-2017","190.85","191.85","196.20","191.10","194.25","193.85","194.09","83,57,674","1,62,21,21,544.70","1,16,895","58,06,765","69.48"
"POWERGRID","EQ","07-Mar-2017","193.85","194.55","195.95","193.55","194.30","194.55","194.49","66,07,578","1,28,50,84,252.50","33,975","38,72,433","58.61"
"POWERGRID","EQ","08-Mar-2017","194.55","195.30","197.60","194.15","195.25","195.60","195.65","44,65,285","87,36,16,140.75","37,976","21,10,873","47.27"
"POWERGRID","EQ","09-Mar-2017","195.60","195.80","195.80","192.50","194.40","194.45","194.08","54,99,997","1,06,74,35,037.90","49,293","42,48,168","77.24"
"POWERGRID","EQ","10-Mar-2017","194.45","195.00","195.70","190.05","192.60","192.55","192.03","92,18,511","1,77,02,57,721.20","1,13,468","65,38,901","70.93"
"POWERGRID","EQ","14-Mar-2017","192.55","198.45","198.70","192.60","193.35","193.65","193.84","66,86,042","1,29,60,00,137.25","58,342","48,69,483","72.83"
"POWERGRID","EQ","15-Mar-2017","193.65","194.00","194.05","192.50","192.85","192.95","193.05","43,72,081","84,40,16,218.45","65,443","33,60,218","76.86"
"POWERGRID","EQ","16-Mar-2017","192.95","194.15","195.45","192.75","194.70","195.10","194.56","29,03,622","56,49,20,487.85","28,208","18,77,550","64.66"
"POWERGRID","EQ","17-Mar-2017","195.10","196.80","197.00","193.10","193.25","194.00","194.47","53,56,239","1,04,16,17,863.70","78,329","37,48,706","69.99"
"POWERGRID","EQ","20-Mar-2017","194.00","194.00","194.45","192.75","193.90","193.60","193.29","52,75,418","1,01,96,94,464.65","73,090","41,54,835","78.76"
"POWERGRID","EQ","21-Mar-2017","193.60","194.00","194.55","192.90","193.30","193.25","193.34","45,71,337","88,38,43,524.50","39,881","37,96,508","83.05"
"POWERGRID","EQ","22-Mar-2017","193.25","191.55","195.60","191.45","192.00","192.10","193.38","46,14,314","89,23,29,200.40","83,596","32,01,088","69.37"
"POWERGRID","EQ","23-Mar-2017","192.10","193.00","193.50","191.60","193.05","193.05","192.81","33,04,889","63,72,25,770.45","58,421","25,09,987","75.95"
"POWERGRID","EQ","24-Mar-2017","193.05","193.85","195.15","193.25","193.80","193.75","194.21","34,67,436","67,34,23,739.95","67,174","26,18,254","75.51"
"POWERGRID","EQ","27-Mar-2017","193.75","194.00","196.10","193.65","195.80","194.85","194.96","39,96,112","77,90,87,933.20","55,540","26,78,637","67.03"
"POWERGRID","EQ","28-Mar-2017","194.85","194.65","197.00","194.65","197.00","196.70","196.28","33,86,576","66,47,04,773.80","27,110","26,49,326","78.23"
"POWERGRID","EQ","29-Mar-2017","196.70","197.30","197.45","195.75","196.70","196.85","196.74","36,28,726","71,39,17,699.85","22,572","23,58,979","65.01"
"POWERGRID","EQ","30-Mar-2017","196.85","197.30","197.75","194.25","194.65","195.45","195.70","73,21,526","1,43,28,42,169.80","31,588","49,90,061","68.16"
"POWERGRID","EQ","31-Mar-2017","195.45","195.65","199.90","195.65","197.25","197.30","197.48","47,94,118","94,67,36,068.75","33,895","30,42,939","63.47"
"POWERGRID","EQ","03-Apr-2017","197.30","199.40","199.40","196.00","196.75","196.20","196.81","55,94,352","1,10,10,20,935.70","23,829","47,83,067","85.50"
"POWERGRID","EQ","05-Apr-2017","196.20","196.85","197.90","194.20","195.10","195.00","196.03","39,72,362","77,87,12,745.10","30,698","31,58,727","79.52"
