"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","02-Jan-2017","1,082.40","1,084.00","1,090.00","1,072.35","1,086.70","1,085.10","1,086.63","16,22,458","1,76,30,16,191.20","38,903","8,81,915","54.36"
"RELIANCE","EQ","03-Jan-2017","1,085.10","1,089.85","1,097.00","1,081.10","1,089.00","1,089.40","1,091.74","14,70,751","1,60,56,82,134.95","31,291","7,76,985","52.83"
"RELIANCE","EQ","04-Jan-2017","1,089.40","1,092.90","1,093.00","1,064.30","1,067.15","1,067.15","1,072.39","23,75,547","2,54,75,13,624.10","70,540","15,16,724","63.85"
"RELIANCE","EQ","05-Jan-2017","1,067.15","1,071.00","1,079.90","1,068.75","1,077.00","1,077.40","1,077.12","19,96,483","2,15,04,51,749.20","84,058","12,72,212","63.72"
"RELIANCE","EQ","06-Jan-2017","1,077.40","1,074.20","1,085.00","1,073.10","1,073.95","1,074.95","1,078.77","17,93,427","1,93,47,04,004.60","66,643","11,21,595","62.54"
"RELIANCE","EQ","09-Jan-2017","1,074.95","1,077.00","1,086.00","1,071.00","1,078.00","1,077.70","1,079.41","11,95,257","1,29,01,70,893.10","37,309","7,17,860","60.06"
"RELIANCE","EQ","10-Jan-2017","1,077.70","1,080.00","1,094.40","1,080.00","1,088.00","1,089.85","1,089.83","25,94,400","2,82,74,64,833.90","76,596","18,54,059","71.46"
"RELIANCE","EQ","11-Jan-2017","1,089.85","1,095.00","1,095.70","1,084.00","1,084.80","1,086.05","1,087.58","26,23,211","2,85,29,42,523.80","58,033","20,28,194","77.32"
"RELIANCE","EQ","12-Jan-2017","1,086.05","1,087.00","1,090.35","1,079.80","1,080.45","1,083.30","1,084.63","9,99,364","1,08,39,37,776.15","29,486","4,99,595","49.99"
"RELIANCE","EQ","13-Jan-2017","1,083.30","1,084.55","1,097.50","1,084.55","1,089.95","1,090.40","1,091.91","16,53,669","1,80,56,54,452.75","52,984","8,81,588","53.31"
"RELIANCE","EQ","16-Jan-2017","1,090.40","1,089.95","1,093.95","1,073.95","1,076.70","1,076.25","1,078.39","27,46,005","2,96,12,50,762.40","59,289","18,98,030","69.12"
"RELIANCE","EQ","17-Jan-2017","1,076.25","1,065.00","1,068.00","1,038.50","1,040.00","1,041.25","1,049.23","89,68,290","9,40,98,27,087.05","1,72,984","54,07,424","60.29"
"RELIANCE","EQ","18-Jan-2017","1,041.25","1,042.60","1,048.00","1,028.75","1,031.95","1,032.55","1,036.48","36,27,071","3,75,93,69,531.25","1,55,581","23,21,652","64.01"
"RELIANCE","EQ","19-Jan-2017","1,032.55","1,035.15","1,045.30","1,031.00","1,032.45","1,033.70","1,037.12","34,93,728","3,62,34,11,807.50","1,17,616","24,67,726","70.63"
"RELIANCE","EQ","20-Jan-2017","1,033.70","1,033.95","1,037.45","1,023.90","1,025.70","1,025.80","1,029.42","20,08,082","2,06,71,68,053.90","75,554","11,94,058","59.46"
"RELIANCE","EQ","23-Jan-2017","1,025.80","1,021.80","1,031.00","1,012.80","1,018.40","1,015.90","1,019.37","31,33,533","3,19,42,44,708.70","98,745","20,89,020","66.67"
"RELIANCE","EQ","24-Jan-2017","1,015.90","1,017.00","1,028.80","1,017.00","1,027.90","1,027.30","1,024.12","21,53,091","2,20,50,27,803.65","67,115","14,31,871","66.50"
"RELIANCE","EQ","25-Jan-2017","1,027.30","1,032.00","1,032.70","1,016.15","1,018.05","1,017.30","1,020.11","54,53,230","5,56,28,84,613.90","1,61,600","39,23,084","71.94"
"RELIANCE","EQ","27-Jan-2017","1,017.30","1,020.25","1,028.90","1,019.00","1,028.15","1,025.10","1,024.42","49,97,239","5,11,92,64,081.75","1,09,980","35,44,461","70.93"
"RELIANCE","EQ","30-Jan-2017","1,025.10","1,024.95","1,046.45","1,024.80","1,044.95","1,044.80","1,038.36","35,83,756","3,72,12,27,069.35","88,109","26,67,553","74.43"
"RELIANCE","EQ","31-Jan-2017","1,044.80","1,046.85","1,053.80","1,040.30","1,045.00","1,045.20","1,046.18","34,57,365","3,61,70,29,514.40","95,062","26,34,632","76.20"
"RELIANCE","EQ","01-Feb-2017","1,045.20","1,046.10","1,050.90","1,035.20","1,050.00","1,049.65","1,044.86","25,85,798","2,70,18,05,550.70","83,931","17,55,572","67.89"
"RELIANCE","EQ","02-Feb-2017","1,049.65","1,050.00","1,050.80","1,038.25","1,045.55","1,043.50","1,042.22","20,79,908","2,16,77,29,582.00","64,859","14,69,840","70.67"
"RELIANCE","EQ","03-Feb-2017","1,043.50","1,046.00","1,050.45","1,030.10","1,033.45","1,033.65","1,038.23","30,21,751","3,13,72,86,043.85","48,459","24,77,077","81.97"
"RELIANCE","EQ","06-Feb-2017","1,033.65","1,037.00","1,044.90","1,032.05","1,040.70","1,041.65","1,038.21","22,83,982","2,37,12,55,826.45","60,273","15,12,364","66.22"
"RELIANCE","EQ","07-Feb-2017","1,041.65","1,042.00","1,042.35","1,027.20","1,031.95","1,030.90","1,031.93","22,64,245","2,33,65,37,922.00","67,846","13,51,517","59.69"
"RELIANCE","EQ","08-Feb-2017","1,030.90","1,030.90","1,038.25","1,022.00","1,022.70","1,025.15","1,027.70","37,10,094","3,81,28,74,885.40","96,353","27,86,342","75.10"
"RELIANCE","EQ","09-Feb-2017","1,025.15","1,028.00","1,034.00","1,026.80","1,032.45","1,032.75","1,030.58","22,54,216","2,32,31,59,365.45","97,836","16,37,861","72.66"
"RELIANCE","EQ","10-Feb-2017","1,032.75","1,035.00","1,035.55","1,025.55","1,030.00","1,030.15","1,030.89","28,61,531","2,94,99,22,515.35","81,923","23,66,578","82.70"
"RELIANCE","EQ","13-Feb-2017","1,030.15","1,033.00","1,034.00","1,022.00","1,030.00","1,029.85","1,026.56","19,57,988","2,00,99,83,985.20","53,352","13,15,916","67.21"
"RELIANCE","EQ","14-Feb-2017","1,029.85","1,035.00","1,052.90","1,029.90","1,048.10","1,049.80","1,047.40","41,70,414","4,36,81,08,266.70","1,08,276","28,78,955","69.03"
"RELIANCE","EQ","15-Feb-2017","1,049.80","1,052.90","1,057.50","1,045.25","1,050.35","1,051.30","1,052.94","34,82,845","3,66,72,20,075.70","73,263","24,00,194","68.91"
"RELIANCE","EQ","16-Feb-2017","1,051.30","1,052.55","1,069.45","1,052.55","1,065.95","1,067.50","1,062.56","44,92,847","4,77,39,23,841.15","54,707","29,36,392","65.36"
"RELIANCE","EQ","17-Feb-2017","1,067.50","1,066.50","1,078.20","1,058.45","1,070.70","1,075.50","1,070.57","33,93,856","3,63,33,67,038.25","72,587","23,70,822","69.86"
