"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SHRIRAMFIN","EQ","02-Jan-2023","1,376.90","1,381.00","1,390.00","1,362.00","1,387.05","1,385.80","1,379.17","4,36,989","60,26,80,309.60","18,891","1,63,348","37.38"
"SHRIRAMFIN","EQ","03-Jan-2023","1,385.80","1,368.80","1,376.95","1,335.60","1,340.00","1,349.65","1,358.48","5,35,645","72,76,65,217.25","26,822","1,96,315","36.65"
"SHRIRAMFIN","EQ","04-Jan-2023","1,349.65","1,348.00","1,352.90","1,317.85","1,325.10","1,328.35","1,334.91","5,41,935","72,34,32,720.60","24,534","2,28,646","42.19"
"SHRIRAMFIN","EQ","05-Jan-2023","1,328.35","1,335.95","1,340.00","1,311.25","1,318.55","1,319.90","1,324.07","4,61,987","61,17,02,348.25","20,972","2,25,597","48.83"
"SHRIRAMFIN","EQ","06-Jan-2023","1,319.90","1,324.90","1,325.75","1,287.00","1,293.70","1,294.65","1,304.07","3,19,983","41,72,80,708.85","18,463","1,31,530","41.11"
"SHRIRAMFIN","EQ","09-Jan-2023","1,294.65","1,300.00","1,324.70","1,299.50","1,323.50","1,318.60","1,315.92","4,69,651","61,80,21,536.40","41,318","2,68,008","57.07"
"SHRIRAMFIN","EQ","10-Jan-2023","1,318.60","1,322.65","1,337.60","1,318.60","1,335.00","1,333.90","1,328.34","5,69,860","75,69,67,490.05","34,667","3,67,818","64.55"
"SHRIRAMFIN","EQ","11-Jan-2023","1,333.90","1,334.00","1,343.85","1,319.10","1,331.50","1,334.50","1,334.37","2,89,049","38,56,97,640.25","17,242","1,55,670","53.86"
"SHRIRAMFIN","EQ","12-Jan-2023","1,334.50","1,341.50","1,342.25","1,305.20","1,313.00","1,312.65","1,321.86","4,51,870","59,73,09,047.40","19,840","2,20,808","48.87"
"SHRIRAMFIN","EQ","13-Jan-2023","1,312.65","1,310.00","1,313.00","1,267.60","1,284.90","1,283.20","1,287.11","9,19,496","1,18,34,90,880.20","37,236","2,85,279","31.03"
"SHRIRAMFIN","EQ","16-Jan-2023","1,283.20","1,289.00","1,301.55","1,269.00","1,272.90","1,272.70","1,283.35","5,09,856","65,43,25,251.70","22,729","2,46,405","48.33"
"SHRIRAMFIN","EQ","17-Jan-2023","1,272.70","1,277.75","1,280.65","1,262.90","1,275.10","1,271.65","1,271.53","6,33,527","80,55,48,259.80","45,297","3,99,636","63.08"
