"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SUNPHARMA","EQ","01-Jan-2014","567.45","568.25","574.00","568.10","572.05","572.35","571.25","4,25,464","24,30,47,268.15","8,679","1,89,185","44.47"
"SUNPHARMA","EQ","02-Jan-2014","572.35","572.10","585.00","570.00","574.50","573.85","578.79","13,11,399","75,90,18,758.10","35,941","7,73,728","59.00"
"SUNPHARMA","EQ","03-Jan-2014","573.85","575.00","581.40","570.00","580.30","579.70","574.99","14,43,488","82,99,92,683.30","38,741","8,58,412","59.47"
"SUNPHARMA","EQ","06-Jan-2014","579.70","583.00","590.85","579.45","588.30","588.25","587.20","18,32,494","1,07,60,34,456.35","50,059","11,08,984","60.52"
"SUNPHARMA","EQ","07-Jan-2014","588.25","593.00","599.00","589.20","594.20","594.20","595.31","29,86,634","1,77,79,59,940.85","1,25,083","21,27,696","71.24"
"SUNPHARMA","EQ","08-Jan-2014","594.20","600.00","610.00","598.35","600.50","600.90","604.49","24,27,891","1,46,76,38,496.30","88,762","14,43,306","59.45"
"SUNPHARMA","EQ","09-Jan-2014","600.90","600.90","609.40","599.20","606.65","607.00","604.06","18,67,544","1,12,81,06,353.45","73,470","13,02,623","69.75"
"SUNPHARMA","EQ","10-Jan-2014","607.00","607.00","617.70","605.10","610.00","609.40","611.33","25,48,423","1,55,79,27,997.60","1,17,686","18,41,436","72.26"
"SUNPHARMA","EQ","13-Jan-2014","609.40","610.00","615.25","596.35","602.25","602.35","604.74","15,70,396","94,96,75,741.50","50,198","9,93,432","63.26"
"SUNPHARMA","EQ","14-Jan-2014","602.35","600.00","606.75","597.80","604.75","603.55","600.47","26,26,299","1,57,70,22,334.60","48,020","22,15,762","84.37"
"SUNPHARMA","EQ","15-Jan-2014","603.55","604.00","610.95","601.15","601.95","603.50","605.68","15,82,614","95,85,53,160.60","72,409","11,23,764","71.01"
"SUNPHARMA","EQ","16-Jan-2014","603.50","604.00","606.25","590.35","594.50","592.75","596.37","9,05,324","53,99,09,155.50","31,433","5,60,243","61.88"
"SUNPHARMA","EQ","17-Jan-2014","592.75","591.75","600.50","590.00","595.00","594.00","597.39","12,76,748","76,27,11,938.30","46,674","8,91,726","69.84"
"SUNPHARMA","EQ","20-Jan-2014","594.00","595.00","600.00","586.00","589.00","589.40","590.16","10,22,330","60,33,39,439.30","41,469","6,23,524","60.99"
"SUNPHARMA","EQ","21-Jan-2014","589.40","594.00","594.00","577.60","581.40","580.35","582.84","14,35,394","83,66,03,555.70","55,357","9,66,236","67.32"
"SUNPHARMA","EQ","22-Jan-2014","580.35","580.35","599.90","576.65","598.75","597.45","589.07","34,19,248","2,01,41,85,655.35","76,705","23,02,919","67.35"
"SUNPHARMA","EQ","23-Jan-2014","597.45","598.55","612.50","598.55","610.00","609.35","607.80","29,54,935","1,79,60,21,854.30","79,788","20,63,313","69.83"
"SUNPHARMA","EQ","24-Jan-2014","609.35","607.95","614.70","599.00","603.30","603.60","605.39","14,67,628","88,84,87,563.45","28,791","8,73,581","59.52"
"SUNPHARMA","EQ","27-Jan-2014","603.60","597.95","613.80","594.15","596.95","597.80","603.76","29,91,060","1,80,58,70,632.95","1,01,662","18,73,816","62.65"
"SUNPHARMA","EQ","28-Jan-2014","597.80","597.50","604.25","580.05","583.80","581.90","587.12","19,35,622","1,13,64,36,555.90","45,051","13,23,687","68.39"
"SUNPHARMA","EQ","29-Jan-2014","581.90","588.00","604.90","585.90","593.90","591.45","597.10","24,12,064","1,44,02,54,428.60","78,094","15,34,396","63.61"
"SUNPHARMA","EQ","30-Jan-2014","591.45","592.95","599.00","580.25","593.45","593.60","589.38","14,43,395","85,07,04,152.30","38,793","7,36,659","51.04"
"SUNPHARMA","EQ","31-Jan-2014","593.60","595.90","598.55","584.00","588.65","588.70","588.29","15,85,472","93,27,21,399.25","45,954","10,29,167","64.91"
"SUNPHARMA","EQ","03-Feb-2014","588.70","588.20","600.90","588.20","592.00","594.30","595.05","16,40,565","97,62,16,321.95","40,409","11,05,841","67.41"
"SUNPHARMA","EQ","04-Feb-2014","594.30","594.35","594.35","584.20","587.90","587.75","589.66","18,73,420","1,10,46,86,322.40","59,924","13,66,823","72.96"
"SUNPHARMA","EQ","05-Feb-2014","587.75","587.85","596.50","583.00","583.45","583.60","587.32","23,00,454","1,35,10,91,702.90","60,059","15,81,200","68.73"
"SUNPHARMA","EQ","06-Feb-2014","583.60","587.85","592.90","581.50","586.60","584.90","585.82","17,73,116","1,03,87,32,940.05","69,297","12,07,506","68.10"
"SUNPHARMA","EQ","07-Feb-2014","584.90","590.95","603.80","586.10","602.70","601.65","600.00","32,01,995","1,92,12,00,957.75","69,667","22,94,787","71.67"
"SUNPHARMA","EQ","10-Feb-2014","601.65","605.50","614.70","604.00","611.15","611.65","611.19","14,72,255","89,98,27,949.30","45,955","8,82,160","59.92"
"SUNPHARMA","EQ","11-Feb-2014","611.65","616.95","624.40","607.00","609.95","608.30","614.82","24,83,629","1,52,69,76,523.05","67,263","16,13,225","64.95"
"SUNPHARMA","EQ","12-Feb-2014","608.30","614.00","619.65","610.00","611.50","611.05","614.18","18,15,098","1,11,47,90,110.65","44,487","11,09,135","61.11"
"SUNPHARMA","EQ","13-Feb-2014","611.05","615.00","623.20","610.30","614.00","615.30","616.93","31,35,266","1,93,42,32,018.80","80,914","13,54,426","43.20"
"SUNPHARMA","EQ","14-Feb-2014","615.30","622.50","626.50","605.20","610.80","609.05","616.41","30,27,378","1,86,61,15,257.15","75,365","14,51,406","47.94"
"SUNPHARMA","EQ","17-Feb-2014","609.05","610.00","614.20","601.10","605.00","605.10","605.10","9,98,680","60,43,01,107.95","27,125","5,08,439","50.91"
"SUNPHARMA","EQ","18-Feb-2014","605.10","605.00","611.90","604.00","608.55","609.75","609.03","8,73,040","53,17,04,764.95","40,451","5,08,905","58.29"
"SUNPHARMA","EQ","19-Feb-2014","609.75","613.00","625.70","611.20","623.00","623.30","620.99","21,57,227","1,33,96,15,858.90","59,018","12,43,622","57.65"
