"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAGLOBAL","EQ","01-Jan-2019","219.40","219.95","221.05","218.05","218.95","219.10","219.42","7,16,275","15,71,62,530.45","4,948","1,84,696","25.79"
"TATAGLOBAL","EQ","02-Jan-2019","219.10","219.00","220.35","213.60","214.20","214.60","216.34","10,81,778","23,40,31,031.15","11,081","3,17,094","29.31"
"TATAGLOBAL","EQ","03-Jan-2019","214.60","214.95","215.35","209.90","210.55","210.05","211.47","20,96,553","44,33,50,164.55","16,491","12,61,728","60.18"
"TATAGLOBAL","EQ","04-Jan-2019","210.05","210.60","214.90","210.00","213.50","213.80","212.92","12,13,181","25,83,05,381.70","9,867","2,08,999","17.23"
"TATAGLOBAL","EQ","07-Jan-2019","213.80","214.60","216.95","214.00","214.75","214.95","215.52","8,71,903","18,79,16,643.20","7,134","2,35,829","27.05"
"TATAGLOBAL","EQ","08-Jan-2019","214.95","214.60","216.15","212.70","215.35","215.15","214.73","5,90,293","12,67,53,163.05","5,725","1,52,838","25.89"
"TATAGLOBAL","EQ","09-Jan-2019","215.15","216.00","216.70","210.65","212.55","212.60","213.24","9,08,322","19,36,88,285.85","8,623","3,13,930","34.56"
"TATAGLOBAL","EQ","10-Jan-2019","212.60","212.05","215.20","212.05","213.20","214.15","213.95","7,15,378","15,30,56,065.95","9,031","2,62,717","36.72"
"TATAGLOBAL","EQ","11-Jan-2019","214.15","214.00","215.25","211.30","211.85","211.90","212.53","6,98,106","14,83,71,101.85","5,641","2,52,255","36.13"
"TATAGLOBAL","EQ","14-Jan-2019","211.90","211.75","214.25","209.65","212.55","213.50","212.05","10,36,107","21,97,01,849.10","10,354","3,87,495","37.40"
"TATAGLOBAL","EQ","15-Jan-2019","213.50","213.10","215.25","212.60","214.50","214.30","214.16","6,49,313","13,90,58,164.40","6,189","1,80,107","27.74"
"TATAGLOBAL","EQ","16-Jan-2019","214.30","214.40","219.20","213.85","216.80","216.45","217.36","10,88,457","23,65,84,916.30","16,518","2,72,297","25.02"
"TATAGLOBAL","EQ","17-Jan-2019","216.45","216.50","218.75","215.05","218.00","218.15","217.00","12,67,904","27,51,39,301.80","10,325","4,71,679","37.20"
"TATAGLOBAL","EQ","18-Jan-2019","218.15","218.40","218.50","213.70","215.85","216.25","215.61","7,71,653","16,63,79,289.10","5,577","2,62,486","34.02"
"TATAGLOBAL","EQ","21-Jan-2019","216.25","216.20","216.95","210.00","210.10","210.50","212.05","10,05,521","21,32,24,722.15","9,111","4,71,698","46.91"
"TATAGLOBAL","EQ","22-Jan-2019","210.50","209.70","212.55","209.20","212.20","212.10","211.00","6,82,384","14,39,82,729.95","6,289","2,01,629","29.55"
"TATAGLOBAL","EQ","23-Jan-2019","212.10","211.50","214.80","210.00","211.00","210.60","212.01","9,37,183","19,86,96,050.45","14,354","4,08,750","43.61"
"TATAGLOBAL","EQ","24-Jan-2019","210.60","212.10","212.65","209.45","210.80","210.80","210.77","10,59,068","22,32,24,492.45","20,156","5,06,202","47.80"
"TATAGLOBAL","EQ","25-Jan-2019","210.80","211.00","212.05","206.05","207.50","207.05","209.01","17,23,705","36,02,78,864.80","11,711","9,76,896","56.67"
"TATAGLOBAL","EQ","28-Jan-2019","207.05","207.00","210.30","201.35","209.00","209.25","207.09","16,29,992","33,75,61,467.00","19,233","-","-"
"TATAGLOBAL","EQ","29-Jan-2019","209.25","210.00","210.40","202.20","206.00","204.85","205.24","13,25,502","27,20,51,687.55","17,003","5,01,515","37.84"
"TATAGLOBAL","EQ","30-Jan-2019","204.85","203.75","206.55","201.90","205.80","204.50","204.01","14,07,845","28,72,17,722.90","38,370","4,99,298","35.47"
"TATAGLOBAL","EQ","31-Jan-2019","204.50","205.80","206.00","200.80","202.85","203.80","203.51","25,84,783","52,60,19,285.80","16,717","15,08,372","58.36"
"TATAGLOBAL","EQ","01-Feb-2019","203.80","203.80","207.80","201.65","205.20","204.10","204.86","9,48,332","19,42,75,344.55","7,381","2,40,938","25.41"
"TATAGLOBAL","EQ","04-Feb-2019","204.10","203.50","204.45","198.00","199.00","199.85","200.59","11,15,503","22,37,62,899.15","8,042","4,48,144","40.17"
"TATAGLOBAL","EQ","05-Feb-2019","199.85","198.50","200.05","179.30","185.65","185.95","188.79","83,31,711","1,57,29,61,824.30","58,326","22,65,261","27.19"
"TATAGLOBAL","EQ","06-Feb-2019","185.95","184.00","189.75","178.10","188.20","188.45","184.15","34,59,646","63,70,79,803.95","27,032","8,56,387","24.75"
"TATAGLOBAL","EQ","07-Feb-2019","188.45","188.30","192.45","186.65","191.15","191.10","190.20","19,68,302","37,43,80,069.75","17,903","5,38,019","27.33"
"TATAGLOBAL","EQ","08-Feb-2019","191.10","190.00","191.50","184.40","185.10","185.70","186.77","12,80,248","23,91,09,314.55","11,843","2,85,578","22.31"
"TATAGLOBAL","EQ","11-Feb-2019","185.70","185.90","186.00","177.05","179.95","179.75","179.52","34,60,117","62,11,55,980.70","20,903","21,37,033","61.76"
"TATAGLOBAL","EQ","12-Feb-2019","179.75","179.05","189.00","178.60","187.30","186.55","186.03","28,05,228","52,18,55,954.05","20,899","10,46,158","37.29"
"TATAGLOBAL","EQ","13-Feb-2019","186.55","187.00","187.70","182.85","185.25","185.00","185.37","16,18,836","30,00,84,215.00","15,276","6,13,711","37.91"
"TATAGLOBAL","EQ","14-Feb-2019","185.00","183.15","190.40","182.95","190.00","188.90","187.26","9,97,833","18,68,55,145.40","11,371","2,76,771","27.74"
"TATAGLOBAL","EQ","15-Feb-2019","188.90","191.00","191.00","184.20","185.40","186.15","186.81","16,24,523","30,34,82,603.30","15,443","5,65,007","34.78"
