"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","01-Jan-2016","391.30","392.50","403.00","373.00","401.80","401.90","398.24","43,77,363","1,74,32,45,783.55","44,132","8,08,972","18.48"
"TATAMOTORS","EQ","04-Jan-2016","401.90","400.00","400.10","375.05","376.15","377.05","383.74","78,22,660","3,00,18,99,664.45","98,407","29,84,181","38.15"
"TATAMOTORS","EQ","05-Jan-2016","377.05","381.05","382.45","372.10","373.00","374.45","377.36","69,01,068","2,60,41,67,529.10","85,155","31,12,289","45.10"
"TATAMOTORS","EQ","06-Jan-2016","374.45","374.25","375.50","364.60","365.00","365.90","370.04","72,11,230","2,66,84,09,641.05","94,107","32,95,244","45.70"
"TATAMOTORS","EQ","07-Jan-2016","365.90","356.25","358.00","338.10","344.80","343.55","347.83","1,17,82,307","4,09,81,90,192.85","1,51,305","51,76,531","43.93"
"TATAMOTORS","EQ","08-Jan-2016","343.55","345.60","355.85","345.60","353.90","353.35","351.97","87,70,370","3,08,69,09,728.70","94,306","37,73,447","43.02"
"TATAMOTORS","EQ","11-Jan-2016","353.35","343.90","364.75","341.65","360.45","360.20","357.29","1,05,76,721","3,77,89,27,411.95","1,02,634","32,59,763","30.82"
"TATAMOTORS","EQ","12-Jan-2016","360.20","362.70","363.95","351.60","355.40","355.00","356.36","83,63,062","2,98,02,40,755.55","93,086","35,26,752","42.17"
"TATAMOTORS","EQ","13-Jan-2016","355.00","360.45","369.80","356.30","363.00","364.60","362.64","1,41,91,511","5,14,64,17,256.60","1,43,638","54,37,338","38.31"
"TATAMOTORS","EQ","14-Jan-2016","364.60","356.10","359.40","346.80","353.80","354.30","353.04","1,06,73,343","3,76,80,66,472.70","1,24,785","44,91,368","42.08"
"TATAMOTORS","EQ","15-Jan-2016","354.30","353.90","353.90","339.35","340.70","341.30","347.35","65,57,584","2,27,77,85,214.85","63,497","28,23,439","43.06"
