"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","02-Jan-2017","391.25","393.45","408.35","388.90","406.20","406.75","400.54","55,78,129","2,23,42,85,879.55","60,588","9,78,184","17.54"
"TATASTEEL","EQ","03-Jan-2017","406.75","407.05","408.90","401.25","402.35","403.30","404.44","33,38,806","1,35,03,33,812.30","33,408","4,67,641","14.01"
"TATASTEEL","EQ","04-Jan-2017","403.30","404.10","409.00","401.40","405.20","405.45","405.42","33,44,043","1,35,57,42,992.10","39,997","7,58,486","22.68"
"TATASTEEL","EQ","05-Jan-2017","405.45","409.10","422.50","407.30","419.05","419.30","416.74","71,96,279","2,99,89,72,632.25","79,299","21,22,808","29.50"
"TATASTEEL","EQ","06-Jan-2017","419.30","420.50","425.40","415.60","420.00","419.55","420.60","41,38,078","1,74,04,84,151.10","53,562","6,71,238","16.22"
"TATASTEEL","EQ","09-Jan-2017","419.55","423.70","424.20","419.35","421.15","422.00","422.21","31,22,769","1,31,84,62,615.45","40,260","7,54,692","24.17"
"TATASTEEL","EQ","10-Jan-2017","422.00","422.70","432.50","422.60","431.90","431.90","429.15","51,18,565","2,19,66,42,517.30","68,912","12,71,508","24.84"
"TATASTEEL","EQ","11-Jan-2017","431.90","435.30","450.95","434.65","448.25","448.25","446.56","1,14,31,250","5,10,47,66,908.25","1,18,080","29,04,707","25.41"
"TATASTEEL","EQ","12-Jan-2017","448.25","449.00","451.15","443.25","447.65","447.55","447.50","53,61,474","2,39,92,49,489.75","72,753","10,85,874","20.25"
"TATASTEEL","EQ","13-Jan-2017","447.55","450.00","450.40","441.20","446.30","446.35","445.84","42,32,151","1,88,68,67,481.10","47,694","5,30,051","12.52"
"TATASTEEL","EQ","16-Jan-2017","446.35","444.25","459.50","443.25","459.50","458.45","455.88","66,75,950","3,04,34,05,575.10","80,835","17,19,670","25.76"
"TATASTEEL","EQ","17-Jan-2017","458.45","459.05","459.60","450.90","454.70","454.25","454.44","33,42,717","1,51,90,72,548.05","41,386","5,39,077","16.13"
"TATASTEEL","EQ","18-Jan-2017","454.25","454.75","470.00","454.25","468.95","468.35","466.30","91,16,932","4,25,12,50,439.00","1,23,399","30,03,292","32.94"
"TATASTEEL","EQ","19-Jan-2017","468.35","468.70","468.80","462.35","466.85","467.15","465.87","34,45,069","1,60,49,40,560.20","44,134","7,05,597","20.48"
"TATASTEEL","EQ","20-Jan-2017","467.15","466.00","467.80","452.60","455.50","454.50","459.96","49,27,321","2,26,63,46,399.05","60,610","14,96,746","30.38"
"TATASTEEL","EQ","23-Jan-2017","454.50","450.90","464.00","450.60","462.00","461.80","460.61","43,49,975","2,00,36,46,984.60","50,319","7,57,193","17.41"
"TATASTEEL","EQ","24-Jan-2017","461.80","462.00","466.50","458.55","464.15","464.25","462.74","37,31,789","1,72,68,51,807.45","45,726","6,63,782","17.79"
"TATASTEEL","EQ","25-Jan-2017","464.25","467.00","476.75","466.10","468.50","469.50","471.59","63,07,571","2,97,46,10,473.15","71,151","14,62,397","23.18"
"TATASTEEL","EQ","27-Jan-2017","469.50","469.85","473.80","463.35","468.55","469.30","469.44","49,77,414","2,33,65,84,638.20","65,351","11,83,325","23.77"
"TATASTEEL","EQ","30-Jan-2017","469.30","468.50","468.50","460.15","462.20","462.05","463.46","33,22,749","1,53,99,49,063.30","36,688","8,63,286","25.98"
"TATASTEEL","EQ","31-Jan-2017","462.05","460.20","471.40","460.10","463.50","463.05","465.44","45,43,771","2,11,48,48,786.40","47,212","7,14,052","15.71"
"TATASTEEL","EQ","01-Feb-2017","463.05","464.05","475.90","457.15","474.00","474.60","467.97","55,72,616","2,60,78,30,759.35","48,320","17,29,879","31.04"
"TATASTEEL","EQ","02-Feb-2017","474.60","473.50","480.90","466.25","477.20","476.95","472.73","59,88,117","2,83,07,79,681.35","61,800","22,43,138","37.46"
"TATASTEEL","EQ","03-Feb-2017","476.95","476.90","480.00","468.15","472.15","472.80","473.80","52,84,757","2,50,39,24,410.80","66,969","18,49,686","35.00"
"TATASTEEL","EQ","06-Feb-2017","472.80","474.40","477.60","469.15","472.55","473.40","473.32","48,06,869","2,27,51,78,580.25","97,801","15,57,747","32.41"
"TATASTEEL","EQ","07-Feb-2017","473.40","475.10","479.80","470.05","473.50","472.80","474.09","48,36,631","2,29,29,87,546.80","46,580","14,06,266","29.08"
"TATASTEEL","EQ","08-Feb-2017","472.80","485.00","485.40","467.45","468.00","470.65","476.65","1,12,87,445","5,38,01,35,217.25","96,196","24,95,233","22.11"
"TATASTEEL","EQ","09-Feb-2017","470.65","469.65","473.40","456.50","460.30","459.85","462.13","64,85,765","2,99,72,50,781.25","74,807","14,92,976","23.02"
"TATASTEEL","EQ","10-Feb-2017","459.85","467.00","471.80","460.55","467.05","468.20","466.12","79,12,091","3,68,79,65,391.50","79,606","25,59,913","32.35"
"TATASTEEL","EQ","13-Feb-2017","468.20","473.15","477.00","470.10","472.35","472.60","473.51","48,98,780","2,31,96,00,113.85","52,944","13,74,425","28.06"
"TATASTEEL","EQ","14-Feb-2017","472.60","473.90","474.85","466.10","472.95","472.40","470.24","32,51,700","1,52,90,75,152.55","38,405","9,09,099","27.96"
"TATASTEEL","EQ","15-Feb-2017","472.40","472.70","474.75","457.25","461.55","460.10","464.41","42,28,709","1,96,38,42,505.00","47,857","7,60,329","17.98"
"TATASTEEL","EQ","16-Feb-2017","460.10","464.70","471.50","455.65","471.45","469.95","464.63","48,20,369","2,23,96,85,546.10","54,147","12,95,069","26.87"
"TATASTEEL","EQ","17-Feb-2017","469.95","472.30","474.85","466.65","468.20","468.20","469.29","39,22,122","1,84,06,07,795.65","40,993","12,39,809","31.61"
"TATASTEEL","EQ","20-Feb-2017","468.20","468.00","489.00","464.75","486.40","487.05","481.20","84,41,156","4,06,18,93,683.65","90,478","19,99,031","23.68"
"TATASTEEL","EQ","21-Feb-2017","487.05","488.95","495.90","485.00","490.50","490.95","491.31","80,63,716","3,96,17,59,598.80","75,051","21,89,287","27.15"
"TATASTEEL","EQ","22-Feb-2017","490.95","490.45","491.45","480.60","484.05","484.05","485.02","50,10,536","2,43,02,06,311.95","60,404","20,17,812","40.27"
"TATASTEEL","EQ","23-Feb-2017","484.05","485.10","487.90","478.15","485.00","485.75","484.32","48,10,464","2,32,97,84,791.65","48,964","14,12,204","29.36"
"TATASTEEL","EQ","27-Feb-2017","485.75","485.20","488.15","479.50","480.45","480.60","482.47","27,30,887","1,31,75,68,274.65","33,406","8,06,210","29.52"
"TATASTEEL","EQ","28-Feb-2017","480.60","481.50","485.75","480.45","483.00","482.70","483.23","34,02,886","1,64,43,66,838.10","41,417","7,90,403","23.23"
"TATASTEEL","EQ","01-Mar-2017","482.70","485.00","502.50","483.40","500.05","500.35","494.62","77,16,571","3,81,67,45,818.70","85,102","17,56,042","22.76"
"TATASTEEL","EQ","02-Mar-2017","500.35","502.00","505.60","492.25","494.55","494.65","499.63","57,22,550","2,85,91,55,333.10","63,873","7,43,090","12.99"
"TATASTEEL","EQ","03-Mar-2017","494.65","494.55","497.75","489.55","494.35","495.10","493.62","33,57,902","1,65,75,20,964.20","59,546","8,63,810","25.72"
"TATASTEEL","EQ","06-Mar-2017","495.10","495.10","501.00","490.25","492.15","492.70","494.57","41,53,429","2,05,41,64,456.00","47,232","7,10,704","17.11"
"TATASTEEL","EQ","07-Mar-2017","492.70","493.50","494.00","480.65","482.40","482.00","484.16","51,23,193","2,48,04,42,363.65","61,331","21,51,949","42.00"
"TATASTEEL","EQ","08-Mar-2017","482.00","484.90","486.40","470.10","471.90","472.45","475.62","59,35,312","2,82,29,60,661.85","72,344","19,75,687","33.29"
"TATASTEEL","EQ","09-Mar-2017","472.45","471.90","475.35","467.70","468.50","469.45","470.44","44,95,787","2,11,50,06,926.45","51,127","13,02,355","28.97"
"TATASTEEL","EQ","10-Mar-2017","469.45","468.50","474.40","462.20","467.05","467.75","468.75","45,23,612","2,12,04,43,765.45","56,519","11,43,295","25.27"
"TATASTEEL","EQ","14-Mar-2017","467.75","479.00","479.00","470.45","472.00","472.55","474.29","55,65,574","2,63,96,92,371.70","74,417","26,34,847","47.34"
"TATASTEEL","EQ","15-Mar-2017","472.55","473.95","480.00","470.40","478.00","479.05","475.65","55,61,866","2,64,54,85,443.10","59,964","25,36,015","45.60"
"TATASTEEL","EQ","16-Mar-2017","479.05","484.85","501.00","481.95","500.70","499.65","494.25","1,03,91,757","5,13,61,74,590.40","1,25,001","36,00,764","34.65"
"TATASTEEL","EQ","17-Mar-2017","499.65","503.85","508.75","498.10","501.50","502.20","502.97","68,00,312","3,42,03,41,827.30","82,904","17,93,675","26.38"
"TATASTEEL","EQ","20-Mar-2017","502.20","502.50","502.70","492.00","496.60","496.65","495.59","39,95,540","1,98,01,51,292.10","56,969","14,93,047","37.37"
"TATASTEEL","EQ","21-Mar-2017","496.65","496.90","501.30","492.35","497.00","496.40","497.13","49,67,685","2,46,95,78,975.90","1,20,923","16,58,576","33.39"
"TATASTEEL","EQ","22-Mar-2017","496.40","490.00","493.80","486.40","487.10","488.10","490.38","46,52,350","2,28,14,40,302.70","74,181","17,80,074","38.26"
"TATASTEEL","EQ","23-Mar-2017","488.10","487.50","496.60","487.50","495.90","495.50","492.83","41,26,938","2,03,38,98,077.85","62,477","17,62,299","42.70"
"TATASTEEL","EQ","24-Mar-2017","495.50","496.05","499.90","491.10","491.20","493.20","495.98","30,82,110","1,52,86,49,598.90","47,327","9,81,057","31.83"
"TATASTEEL","EQ","27-Mar-2017","493.20","492.75","492.75","474.65","475.90","476.50","479.18","61,89,956","2,96,60,89,682.90","73,328","25,03,692","40.45"
"TATASTEEL","EQ","28-Mar-2017","476.50","477.55","482.65","477.00","479.85","480.20","480.47","43,96,544","2,11,24,04,354.90","56,964","19,73,290","44.88"
"TATASTEEL","EQ","29-Mar-2017","480.20","482.00","484.90","480.25","484.90","484.40","482.98","32,64,312","1,57,65,89,228.55","49,310","9,25,888","28.36"
"TATASTEEL","EQ","30-Mar-2017","484.40","484.40","486.35","475.80","477.50","477.50","479.79","46,42,454","2,22,73,93,897.65","47,993","26,15,269","56.33"
"TATASTEEL","EQ","31-Mar-2017","477.50","480.65","485.90","479.05","481.75","482.70","483.36","32,15,307","1,55,41,60,192.10","43,213","8,91,055","27.71"
"TATASTEEL","EQ","03-Apr-2017","482.70","486.00","489.90","482.80","486.00","485.85","487.03","31,40,253","1,52,93,95,155.55","37,792","8,79,325","28.00"
"TATASTEEL","EQ","05-Apr-2017","485.85","488.00","498.20","486.65","493.60","493.30","494.24","49,19,654","2,43,14,82,669.60","61,772","15,89,610","32.31"
"TATASTEEL","EQ","06-Apr-2017","493.30","493.70","504.40","483.95","503.40","501.65","494.56","50,58,885","2,50,19,08,246.70","63,715","13,54,258","26.77"
"TATASTEEL","EQ","07-Apr-2017","501.65","500.90","506.35","490.65","492.15","493.20","501.02","53,79,967","2,69,54,71,045.15","63,086","13,32,244","24.76"
"TATASTEEL","EQ","10-Apr-2017","493.20","497.00","498.80","490.40","495.30","495.35","495.11","29,92,630","1,48,16,73,194.95","38,314","5,30,914","17.74"
"TATASTEEL","EQ","11-Apr-2017","495.35","495.50","496.00","486.30","487.90","488.10","489.33","40,84,688","1,99,87,47,262.55","50,080","12,58,012","30.80"
"TATASTEEL","EQ","12-Apr-2017","488.10","490.40","492.55","476.00","477.55","477.40","481.35","50,07,724","2,41,04,92,483.95","48,529","15,63,876","31.23"
"TATASTEEL","EQ","13-Apr-2017","477.40","474.40","479.20","462.20","462.85","463.55","467.55","59,07,485","2,76,20,40,113.10","71,302","21,44,794","36.31"
"TATASTEEL","EQ","17-Apr-2017","463.55","460.10","467.90","459.75","461.95","462.40","463.68","37,87,898","1,75,63,66,118.20","46,819","5,91,680","15.62"
"TATASTEEL","EQ","18-Apr-2017","462.40","467.10","474.00","448.00","448.50","449.90","461.34","73,07,227","3,37,11,28,985.70","79,953","13,97,459","19.12"
"TATASTEEL","EQ","19-Apr-2017","449.90","448.00","455.50","442.05","452.50","450.75","448.92","94,27,124","4,23,20,32,587.15","1,23,974","35,50,708","37.66"
"TATASTEEL","EQ","20-Apr-2017","450.75","450.75","455.80","448.25","455.00","454.40","452.25","40,22,665","1,81,92,61,348.90","50,021","10,49,449","26.09"
"TATASTEEL","EQ","21-Apr-2017","454.40","460.00","460.70","449.10","450.25","450.85","454.26","46,43,978","2,10,95,62,553.55","55,108","8,40,695","18.10"
"TATASTEEL","EQ","24-Apr-2017","450.85","452.00","454.60","447.10","451.10","450.70","451.00","49,56,153","2,23,52,07,346.95","51,953","16,24,344","32.77"
"TATASTEEL","EQ","25-Apr-2017","450.70","453.40","457.90","451.30","454.70","454.65","454.92","42,50,166","1,93,34,86,424.30","48,350","14,74,939","34.70"
"TATASTEEL","EQ","26-Apr-2017","454.65","456.90","463.30","450.80","453.05","453.80","457.98","46,74,438","2,14,08,16,410.70","77,758","11,43,340","24.46"
"TATASTEEL","EQ","27-Apr-2017","453.80","454.00","454.85","444.00","447.00","445.85","447.82","61,89,923","2,77,19,76,071.65","68,618","25,96,365","41.95"
"TATASTEEL","EQ","28-Apr-2017","445.85","448.00","458.70","445.85","448.40","449.25","452.86","62,56,122","2,83,31,18,629.40","85,736","15,14,399","24.21"
"TATASTEEL","EQ","02-May-2017","449.25","451.00","454.00","443.40","444.50","445.05","447.28","46,89,154","2,09,73,58,215.05","47,293","11,78,157","25.13"
"TATASTEEL","EQ","03-May-2017","445.05","447.30","449.95","437.55","440.60","440.80","441.97","50,08,822","2,21,37,59,679.95","68,250","13,67,964","27.31"
"TATASTEEL","EQ","04-May-2017","440.80","447.00","448.00","436.10","441.90","442.45","441.53","65,35,720","2,88,56,97,108.80","73,479","15,40,372","23.57"
"TATASTEEL","EQ","05-May-2017","442.45","441.50","441.50","428.00","432.85","433.60","434.90","57,01,881","2,47,97,40,643.80","65,426","12,76,745","22.39"
"TATASTEEL","EQ","08-May-2017","433.60","434.00","436.40","428.10","431.20","431.90","431.68","55,15,622","2,38,10,04,832.45","89,498","26,07,674","47.28"
"TATASTEEL","EQ","09-May-2017","431.90","432.00","440.00","431.25","433.15","433.50","436.17","47,38,911","2,06,69,64,085.20","59,330","14,57,569","30.76"
"TATASTEEL","EQ","10-May-2017","433.50","435.25","438.55","433.10","438.00","437.45","436.38","35,39,929","1,54,47,56,330.75","58,927","11,12,881","31.44"
"TATASTEEL","EQ","11-May-2017","437.45","440.70","445.40","439.70","440.00","441.15","442.39","55,33,078","2,44,77,92,332.15","52,954","13,18,256","23.83"
"TATASTEEL","EQ","12-May-2017","441.15","442.40","443.90","432.60","436.90","436.70","438.50","57,96,510","2,54,17,75,306.80","59,134","12,63,251","21.79"
"TATASTEEL","EQ","15-May-2017","436.70","438.00","456.90","437.80","456.45","456.05","450.95","97,54,791","4,39,89,71,560.40","96,225","21,53,822","22.08"
"TATASTEEL","EQ","16-May-2017","456.05","463.05","464.00","455.35","456.70","456.55","458.68","1,02,98,954","4,72,39,43,817.05","96,730","28,28,872","27.47"
