"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","01-Jan-2014","2,172.05","2,180.10","2,184.50","2,151.10","2,153.70","2,153.30","2,159.55","2,64,976","57,22,28,100.10","15,040","1,05,354","39.76"
"TCS","EQ","02-Jan-2014","2,153.30","2,166.00","2,189.00","2,156.15","2,167.95","2,167.00","2,170.96","8,63,474","1,87,45,65,230.40","60,050","5,50,431","63.75"
"TCS","EQ","03-Jan-2014","2,167.00","2,164.70","2,229.10","2,147.25","2,224.10","2,222.20","2,206.70","13,09,087","2,88,87,56,659.20","84,697","6,60,519","50.46"
"TCS","EQ","06-Jan-2014","2,222.20","2,229.00","2,244.00","2,197.00","2,234.80","2,239.60","2,224.18","11,55,905","2,57,09,40,803.45","75,432","6,85,611","59.31"
"TCS","EQ","07-Jan-2014","2,239.60","2,240.00","2,256.45","2,199.00","2,207.90","2,206.15","2,227.87","14,48,743","3,22,76,13,039.35","62,312","8,91,246","61.52"
"TCS","EQ","08-Jan-2014","2,206.15","2,212.00","2,244.00","2,210.00","2,229.95","2,232.65","2,230.54","12,75,010","2,84,39,54,798.30","98,989","8,85,134","69.42"
"TCS","EQ","09-Jan-2014","2,232.65","2,228.75","2,255.50","2,222.10","2,239.00","2,241.95","2,239.21","12,91,103","2,89,10,57,118.30","65,056","9,51,806","73.72"
"TCS","EQ","10-Jan-2014","2,241.95","2,260.00","2,309.80","2,235.00","2,290.00","2,280.90","2,277.05","16,84,667","3,83,60,71,888.90","1,14,749","9,19,520","54.58"
"TCS","EQ","13-Jan-2014","2,280.90","2,285.00","2,384.00","2,285.00","2,380.00","2,368.75","2,345.06","19,07,158","4,47,24,03,152.65","98,245","12,05,443","63.21"
"TCS","EQ","14-Jan-2014","2,368.75","2,372.00","2,384.80","2,320.00","2,330.00","2,326.75","2,339.00","14,87,482","3,47,92,22,656.95","80,128","9,23,510","62.09"
"TCS","EQ","15-Jan-2014","2,326.75","2,342.45","2,378.20","2,327.00","2,361.00","2,353.60","2,353.56","15,24,427","3,58,78,31,226.70","96,472","9,46,527","62.09"
"TCS","EQ","16-Jan-2014","2,353.60","2,380.00","2,380.10","2,325.00","2,359.00","2,350.30","2,348.09","14,98,981","3,51,97,43,197.80","71,105","7,80,159","52.05"
"TCS","EQ","17-Jan-2014","2,350.30","2,298.00","2,298.00","2,206.05","2,219.85","2,213.05","2,243.52","37,82,378","8,48,58,41,479.05","1,75,551","17,95,473","47.47"
"TCS","EQ","20-Jan-2014","2,213.05","2,218.95","2,350.00","2,215.50","2,334.90","2,338.20","2,297.80","30,05,279","6,90,55,29,095.90","1,17,743","14,66,375","48.79"
"TCS","EQ","21-Jan-2014","2,338.20","2,334.00","2,339.25","2,275.10","2,285.25","2,280.30","2,296.99","15,66,141","3,59,74,17,846.30","80,762","6,48,210","41.39"
"TCS","EQ","22-Jan-2014","2,280.30","2,287.10","2,296.85","2,264.10","2,270.35","2,274.05","2,278.77","11,92,015","2,71,63,33,487.25","46,033","6,78,030","56.88"
"TCS","EQ","23-Jan-2014","2,274.05","2,268.10","2,276.70","2,237.30","2,254.15","2,252.45","2,255.27","11,45,381","2,58,31,39,546.30","76,521","6,30,085","55.01"
"TCS","EQ","24-Jan-2014","2,252.45","2,244.00","2,283.25","2,235.00","2,249.00","2,248.70","2,265.00","9,25,133","2,09,54,26,383.45","47,071","4,39,013","47.45"
"TCS","EQ","27-Jan-2014","2,248.70","2,226.00","2,259.50","2,220.10","2,237.00","2,229.60","2,238.52","12,66,474","2,83,50,21,950.15","66,877","7,46,905","58.98"
"TCS","EQ","28-Jan-2014","2,229.60","2,232.00","2,247.85","2,196.10","2,215.00","2,212.35","2,218.54","14,26,083","3,16,38,27,430.70","86,501","10,07,345","70.64"
"TCS","EQ","29-Jan-2014","2,212.35","2,240.00","2,240.00","2,205.00","2,213.05","2,209.80","2,218.34","8,49,038","1,88,34,55,043.45","71,191","5,37,879","63.35"
"TCS","EQ","30-Jan-2014","2,209.80","2,198.05","2,227.00","2,190.00","2,222.25","2,217.60","2,203.42","11,12,625","2,45,15,82,604.00","55,368","7,11,029","63.91"
"TCS","EQ","31-Jan-2014","2,217.60","2,225.10","2,269.80","2,221.00","2,230.95","2,241.05","2,252.12","10,87,123","2,44,83,26,371.30","50,891","6,30,268","57.98"
"TCS","EQ","03-Feb-2014","2,241.05","2,222.00","2,244.25","2,190.80","2,192.70","2,194.45","2,205.35","6,81,240","1,50,23,75,512.80","42,400","4,73,787","69.55"
