"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TECHM","EQ","01-Jan-2021","973.20","976.00","981.20","971.20","975.95","977.95","977.58","12,68,291","1,23,98,55,419.60","32,808","2,26,140","17.83"
"TECHM","EQ","04-Jan-2021","977.95","980.60","1,005.00","975.00","1,003.00","1,001.95","992.57","35,15,825","3,48,97,16,504.55","60,632","8,45,506","24.05"
"TECHM","EQ","05-Jan-2021","1,001.95","1,002.50","1,007.95","991.30","1,002.55","1,003.85","1,001.04","40,40,321","4,04,45,12,482.80","93,354","16,62,330","41.14"
"TECHM","EQ","06-Jan-2021","1,003.85","1,004.00","1,026.00","983.35","996.00","997.15","1,007.08","46,77,359","4,71,04,74,327.25","96,635","12,01,314","25.68"
"TECHM","EQ","07-Jan-2021","997.15","1,005.50","1,010.00","988.60","996.80","994.75","998.95","33,54,950","3,35,14,43,446.35","75,721","11,44,537","34.11"
"TECHM","EQ","08-Jan-2021","994.75","1,007.75","1,060.00","1,005.45","1,048.00","1,051.10","1,038.55","92,79,370","9,63,70,82,636.30","1,39,872","27,12,542","29.23"
"TECHM","EQ","11-Jan-2021","1,051.10","1,062.10","1,081.55","1,040.50","1,076.80","1,077.60","1,060.93","64,88,791","6,88,41,69,694.90","1,28,412","16,03,188","24.71"
"TECHM","EQ","12-Jan-2021","1,077.60","1,077.60","1,077.65","1,053.00","1,063.00","1,064.20","1,063.87","42,57,926","4,52,98,92,909.05","1,12,238","18,35,466","43.11"
"TECHM","EQ","13-Jan-2021","1,064.20","1,074.00","1,078.75","1,050.05","1,065.40","1,069.65","1,066.41","46,71,772","4,98,20,36,276.85","1,22,820","19,44,627","41.63"
"TECHM","EQ","14-Jan-2021","1,069.65","1,064.00","1,064.00","1,030.00","1,054.95","1,052.60","1,049.54","47,65,344","5,00,14,06,054.40","1,39,984","15,98,973","33.55"
"TECHM","EQ","15-Jan-2021","1,052.60","1,049.50","1,062.80","1,002.65","1,011.00","1,007.30","1,022.59","60,63,896","6,20,08,81,972.45","1,39,371","23,44,734","38.67"
"TECHM","EQ","18-Jan-2021","1,007.30","998.00","1,013.80","991.95","994.15","998.25","1,002.63","46,59,705","4,67,19,67,456.60","1,36,456","18,74,327","40.22"
"TECHM","EQ","19-Jan-2021","998.25","1,006.60","1,008.45","987.20","995.50","992.50","995.88","44,16,027","4,39,78,39,370.45","1,10,734","16,77,710","37.99"
"TECHM","EQ","20-Jan-2021","992.50","997.00","1,023.40","997.00","1,019.45","1,019.45","1,016.24","46,87,853","4,76,39,83,175.15","93,591","11,94,845","25.49"
"TECHM","EQ","21-Jan-2021","1,019.45","1,026.00","1,033.35","994.50","1,008.00","1,004.70","1,013.27","39,11,527","3,96,34,42,465.30","1,05,731","13,68,077","34.98"
"TECHM","EQ","22-Jan-2021","1,004.70","1,004.70","1,005.00","975.00","982.00","980.85","985.26","39,22,421","3,86,45,89,494.05","1,21,187","18,35,085","46.78"
"TECHM","EQ","25-Jan-2021","980.85","985.85","997.90","962.20","977.00","972.05","980.72","27,51,784","2,69,87,19,126.80","69,731","12,31,644","44.76"
"TECHM","EQ","27-Jan-2021","972.05","978.00","1,004.90","973.65","997.55","997.10","991.82","69,75,618","6,91,85,84,885.80","1,23,094","32,88,822","47.15"
"TECHM","EQ","28-Jan-2021","997.10","990.00","990.00","965.00","982.00","981.60","974.94","42,74,190","4,16,70,99,444.90","1,07,154","11,04,071","25.83"
"TECHM","EQ","29-Jan-2021","981.60","990.10","995.90","956.00","961.05","961.40","974.13","44,25,911","4,31,14,11,799.45","1,00,507","18,40,066","41.57"
"TECHM","EQ","01-Feb-2021","961.40","961.90","961.90","921.15","947.95","941.75","938.77","63,21,189","5,93,41,23,442.80","2,05,929","22,46,276","35.54"
"TECHM","EQ","02-Feb-2021","941.75","955.00","972.90","937.50","957.00","957.20","952.03","49,71,530","4,73,30,35,432.85","1,51,720","19,04,487","38.31"
"TECHM","EQ","03-Feb-2021","957.20","965.00","1,000.00","960.10","983.90","981.45","984.43","56,40,121","5,55,23,15,235.15","1,23,433","19,43,481","34.46"
"TECHM","EQ","04-Feb-2021","981.45","987.95","988.00","964.30","968.60","969.20","970.87","42,32,910","4,10,95,94,826.30","1,12,818","22,11,113","52.24"
"TECHM","EQ","05-Feb-2021","969.20","972.35","980.85","950.05","960.00","959.40","962.01","30,77,720","2,96,08,03,877.80","66,606","12,66,254","41.14"
"TECHM","EQ","08-Feb-2021","959.40","969.80","993.00","960.55","984.00","982.55","979.64","37,13,579","3,63,79,81,430.95","1,02,104","12,21,486","32.89"
"TECHM","EQ","09-Feb-2021","982.55","978.60","999.80","967.25","975.95","975.10","985.09","30,86,774","3,04,07,39,956.50","85,972","10,49,101","33.99"
"TECHM","EQ","10-Feb-2021","975.10","975.50","980.25","957.60","977.00","974.90","969.06","27,76,301","2,69,04,06,933.80","1,01,957","12,69,223","45.72"
