"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TITAN","EQ","01-Jan-2018","858.15","857.70","862.05","851.05","853.80","852.45","856.81","4,72,607","40,49,34,218.15","12,561","1,97,178","41.72"
"TITAN","EQ","02-Jan-2018","852.45","854.10","858.45","840.60","846.75","845.15","848.54","11,81,949","1,00,29,28,084.70","26,802","2,20,327","18.64"
"TITAN","EQ","03-Jan-2018","845.15","863.90","869.40","853.00","854.90","856.30","860.41","26,06,556","2,24,27,00,649.35","43,601","7,88,778","30.26"
"TITAN","EQ","04-Jan-2018","856.30","864.40","897.45","853.10","894.55","892.90","879.34","30,28,931","2,66,34,61,973.80","58,681","9,51,867","31.43"
"TITAN","EQ","05-Jan-2018","892.90","895.00","913.95","893.50","909.00","909.70","906.89","40,36,882","3,66,09,95,474.45","64,752","15,67,220","38.82"
"TITAN","EQ","08-Jan-2018","909.70","911.00","930.00","906.75","924.70","926.10","920.35","21,12,170","1,94,39,33,529.70","52,466","5,13,875","24.33"
"TITAN","EQ","09-Jan-2018","926.10","925.00","938.50","917.25","932.00","932.95","930.73","24,19,079","2,25,15,16,745.50","57,878","6,42,598","26.56"
"TITAN","EQ","10-Jan-2018","932.95","932.50","935.40","911.90","915.00","917.60","924.34","16,05,433","1,48,39,61,337.40","48,586","5,73,629","35.73"
"TITAN","EQ","11-Jan-2018","917.60","916.90","917.70","903.30","905.40","906.90","911.05","15,97,329","1,45,52,44,070.20","50,180","7,49,225","46.90"
"TITAN","EQ","12-Jan-2018","906.90","906.00","917.40","892.45","901.95","903.80","906.66","18,74,518","1,69,95,41,909.00","54,136","7,77,739","41.49"
"TITAN","EQ","15-Jan-2018","903.80","909.00","921.90","897.70","918.75","918.25","911.98","21,95,562","2,00,22,98,165.40","46,395","10,29,601","46.89"
"TITAN","EQ","16-Jan-2018","918.25","927.00","927.50","882.60","893.00","889.40","907.52","23,83,484","2,16,30,60,073.65","55,920","6,73,191","28.24"
"TITAN","EQ","17-Jan-2018","889.40","892.80","895.55","862.50","895.00","893.10","885.24","25,53,841","2,26,07,60,386.45","65,828","13,02,918","51.02"
"TITAN","EQ","18-Jan-2018","893.10","897.75","903.60","875.00","884.70","885.85","893.84","12,85,534","1,14,90,57,843.70","34,051","3,75,083","29.18"
"TITAN","EQ","19-Jan-2018","885.85","879.10","897.55","879.10","893.50","891.45","887.44","14,83,177","1,31,62,28,091.15","37,487","6,08,895","41.05"
"TITAN","EQ","22-Jan-2018","891.45","890.00","912.00","887.10","910.00","909.75","904.59","14,95,629","1,35,29,32,737.60","39,313","5,06,066","33.84"
"TITAN","EQ","23-Jan-2018","909.75","910.70","914.70","898.30","905.00","905.70","906.63","17,47,166","1,58,40,32,845.85","63,888","8,23,162","47.11"
"TITAN","EQ","24-Jan-2018","905.70","905.70","909.25","881.00","883.00","886.90","892.01","11,09,233","98,94,47,351.15","27,024","2,77,228","24.99"
"TITAN","EQ","25-Jan-2018","886.90","882.00","905.30","876.75","887.20","884.10","890.74","31,04,669","2,76,54,42,586.85","55,452","12,37,263","39.85"
"TITAN","EQ","29-Jan-2018","884.10","887.40","901.50","880.50","896.20","896.20","893.86","11,51,570","1,02,93,47,710.15","38,193","3,43,660","29.84"
"TITAN","EQ","30-Jan-2018","896.20","899.25","911.60","878.35","881.50","884.15","898.87","21,01,888","1,88,93,23,149.25","43,925","5,11,397","24.33"
"TITAN","EQ","31-Jan-2018","884.15","883.00","884.95","859.40","867.65","869.55","872.90","14,31,670","1,24,97,08,945.45","65,955","4,31,917","30.17"
"TITAN","EQ","01-Feb-2018","869.55","877.50","879.10","812.75","827.00","831.00","837.98","60,97,492","5,10,96,01,495.00","1,21,411","14,46,380","23.72"
"TITAN","EQ","02-Feb-2018","831.00","810.00","849.75","784.15","825.00","822.20","818.10","80,88,986","6,61,76,37,722.00","1,37,993","10,13,559","12.53"
"TITAN","EQ","05-Feb-2018","822.20","810.00","816.75","795.20","806.00","802.30","806.28","30,79,541","2,48,29,86,278.95","70,102","14,36,235","46.64"
"TITAN","EQ","06-Feb-2018","802.30","765.00","788.40","752.70","781.45","782.65","770.10","31,88,895","2,45,57,54,204.95","1,06,398","11,69,821","36.68"
"TITAN","EQ","07-Feb-2018","782.65","785.00","801.00","780.00","784.00","783.65","791.39","26,86,877","2,12,63,63,479.40","79,600","10,55,836","39.30"
"TITAN","EQ","08-Feb-2018","783.65","785.10","808.90","780.80","800.80","800.75","795.94","22,19,546","1,76,66,26,655.70","70,462","7,64,950","34.46"
"TITAN","EQ","09-Feb-2018","800.75","790.10","804.00","783.05","796.05","796.80","796.06","15,64,899","1,24,57,47,232.90","43,947","3,77,287","24.11"
"TITAN","EQ","12-Feb-2018","796.80","803.00","812.80","796.55","808.00","809.05","806.38","20,67,452","1,66,71,56,976.85","41,891","7,86,906","38.06"
"TITAN","EQ","14-Feb-2018","809.05","814.00","825.90","809.10","810.00","813.70","819.83","21,54,852","1,76,66,12,683.45","56,150","7,35,157","34.12"
"TITAN","EQ","15-Feb-2018","813.70","822.70","823.30","800.00","817.00","814.85","815.28","22,25,089","1,81,40,66,761.15","42,374","8,22,205","36.95"
"TITAN","EQ","16-Feb-2018","814.85","820.00","826.90","798.65","803.20","803.20","813.97","16,98,333","1,38,23,85,113.70","25,906","6,43,010","37.86"
"TITAN","EQ","19-Feb-2018","803.20","805.00","809.00","790.00","801.80","803.95","798.56","16,99,508","1,35,71,56,042.40","35,264","5,13,359","30.21"
"TITAN","EQ","20-Feb-2018","803.95","803.95","837.90","797.65","832.50","832.25","825.28","38,81,439","3,20,32,55,155.40","72,467","11,20,061","28.86"
"TITAN","EQ","21-Feb-2018","832.25","837.95","841.50","818.75","822.95","822.90","829.51","20,67,029","1,71,46,12,209.25","49,102","5,04,513","24.41"
"TITAN","EQ","22-Feb-2018","822.90","825.00","836.00","814.05","816.95","817.50","825.68","32,44,314","2,67,87,69,477.00","81,461","12,62,558","38.92"
"TITAN","EQ","23-Feb-2018","817.50","822.20","823.60","810.25","814.65","814.20","815.68","24,46,637","1,99,56,64,781.45","64,735","13,42,653","54.88"
"TITAN","EQ","26-Feb-2018","814.20","819.95","823.35","805.00","823.00","819.70","814.57","24,38,241","1,98,61,17,834.35","68,229","12,80,052","52.50"
"TITAN","EQ","27-Feb-2018","819.70","825.00","835.70","819.25","822.40","822.60","828.94","20,89,446","1,73,20,22,771.25","49,963","4,97,570","23.81"
"TITAN","EQ","28-Feb-2018","822.60","819.80","825.90","810.40","816.15","816.15","818.52","15,83,674","1,29,62,75,717.50","45,413","8,48,921","53.60"
"TITAN","EQ","01-Mar-2018","816.15","814.00","822.30","808.00","810.20","810.20","815.05","9,75,986","79,54,77,288.80","32,719","4,15,486","42.57"
"TITAN","EQ","05-Mar-2018","810.20","810.00","814.85","801.00","810.00","808.90","808.24","12,62,568","1,02,04,53,045.90","56,177","4,44,787","35.23"
"TITAN","EQ","06-Mar-2018","808.90","812.50","823.20","799.05","800.50","807.65","814.91","13,58,775","1,10,72,73,272.00","42,695","4,09,351","30.13"
"TITAN","EQ","07-Mar-2018","807.65","806.00","820.10","800.20","816.95","814.85","810.75","18,26,249","1,48,06,27,438.25","41,483","5,82,384","31.89"
"TITAN","EQ","08-Mar-2018","814.85","820.00","822.30","808.05","816.90","817.70","814.81","11,09,489","90,40,18,901.80","39,084","4,15,992","37.49"
"TITAN","EQ","09-Mar-2018","817.70","820.00","827.60","815.50","818.60","819.10","822.27","10,61,685","87,29,95,061.50","31,118","2,95,816","27.86"
"TITAN","EQ","12-Mar-2018","819.10","824.00","831.60","822.40","829.90","829.10","827.31","10,33,715","85,52,06,755.25","27,347","2,61,205","25.27"
"TITAN","EQ","13-Mar-2018","829.10","836.00","860.00","830.00","852.10","851.95","846.83","27,54,435","2,33,25,42,030.75","65,269","9,25,200","33.59"
"TITAN","EQ","14-Mar-2018","851.95","851.00","867.85","849.95","867.00","865.00","859.08","18,89,040","1,62,28,30,162.15","37,637","6,12,004","32.40"
"TITAN","EQ","15-Mar-2018","865.00","864.90","875.75","860.00","874.00","872.50","869.74","24,86,538","2,16,26,38,967.50","60,021","11,92,408","47.95"
"TITAN","EQ","16-Mar-2018","872.50","879.00","883.40","862.10","878.10","879.25","873.97","25,38,310","2,21,84,08,791.80","56,152","14,96,478","58.96"
"TITAN","EQ","19-Mar-2018","879.25","879.70","891.85","864.00","864.70","869.00","878.98","25,36,517","2,22,95,48,391.80","65,804","6,68,670","26.36"
"TITAN","EQ","20-Mar-2018","869.00","867.00","880.00","860.10","871.20","871.75","873.47","19,85,478","1,73,42,45,732.75","42,418","7,75,701","39.07"
"TITAN","EQ","21-Mar-2018","871.75","875.00","884.70","869.60","870.15","872.25","877.55","18,59,947","1,63,21,99,510.15","54,887","7,67,967","41.29"
