"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TRENT","EQ","03-Jan-2022","1,065.00","1,065.00","1,065.00","1,041.00","1,052.65","1,054.60","1,054.57","3,63,953","38,38,14,413.40","17,143","1,33,870","36.78"
"TRENT","EQ","04-Jan-2022","1,054.60","1,050.00","1,067.00","1,046.00","1,057.00","1,055.95","1,056.38","2,58,035","27,25,84,260.45","12,163","90,271","34.98"
"TRENT","EQ","05-Jan-2022","1,055.95","1,055.00","1,081.15","1,049.80","1,069.00","1,070.85","1,067.94","7,41,560","79,19,42,567.45","30,008","1,54,088","20.78"
"TRENT","EQ","06-Jan-2022","1,070.85","1,067.00","1,088.95","1,054.70","1,080.00","1,080.35","1,074.76","4,08,431","43,89,63,561.20","18,291","93,245","22.83"
"TRENT","EQ","07-Jan-2022","1,080.35","1,072.00","1,095.00","1,068.90","1,083.00","1,085.20","1,083.11","4,82,099","52,21,66,513.00","21,470","1,68,265","34.90"
"TRENT","EQ","10-Jan-2022","1,085.20","1,090.00","1,094.75","1,062.00","1,074.00","1,072.00","1,077.56","6,04,941","65,18,62,282.00","25,740","2,34,198","38.71"
"TRENT","EQ","11-Jan-2022","1,072.00","1,075.00","1,124.00","1,072.15","1,119.00","1,119.15","1,102.00","8,61,357","94,92,14,389.30","40,877","2,64,712","30.73"
"TRENT","EQ","12-Jan-2022","1,119.15","1,129.00","1,150.50","1,110.00","1,143.05","1,145.25","1,137.33","7,41,670","84,35,26,482.55","33,758","2,65,770","35.83"
"TRENT","EQ","13-Jan-2022","1,145.25","1,145.25","1,187.70","1,130.00","1,182.05","1,182.90","1,167.20","6,82,225","79,62,91,064.80","33,610","2,00,635","29.41"
"TRENT","EQ","14-Jan-2022","1,182.90","1,165.10","1,199.95","1,159.40","1,163.95","1,164.85","1,177.82","7,44,286","87,66,36,721.90","28,380","1,75,258","23.55"
"TRENT","EQ","17-Jan-2022","1,164.85","1,167.00","1,187.90","1,154.95","1,158.00","1,158.25","1,165.63","5,01,455","58,45,10,722.50","18,274","1,96,190","39.12"
"TRENT","EQ","18-Jan-2022","1,158.25","1,177.00","1,177.00","1,135.80","1,144.40","1,144.30","1,155.43","5,43,636","62,81,32,224.35","21,272","2,85,106","52.44"
"TRENT","EQ","19-Jan-2022","1,144.30","1,145.00","1,212.00","1,136.40","1,165.00","1,167.55","1,177.45","16,71,916","1,96,85,95,239.30","85,554","5,60,948","33.55"
"TRENT","EQ","20-Jan-2022","1,167.55","1,165.00","1,194.20","1,160.00","1,168.95","1,170.00","1,183.47","9,68,296","1,14,59,50,985.15","28,494","5,56,191","57.44"
"TRENT","EQ","21-Jan-2022","1,170.00","1,169.00","1,206.55","1,142.00","1,185.00","1,181.85","1,176.51","9,61,910","1,13,16,96,217.35","45,037","2,81,533","29.27"
