"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ULTRACEMCO","EQ","03-Jan-2022","7,591.05","7,600.00","7,750.00","7,570.05","7,712.00","7,723.90","7,652.56","2,50,533","1,91,72,19,754.90","25,449","79,221","31.62"
"ULTRACEMCO","EQ","04-Jan-2022","7,723.90","7,749.00","7,772.85","7,611.70","7,653.00","7,650.35","7,664.76","3,15,188","2,41,58,40,501.50","39,784","1,96,346","62.29"
"ULTRACEMCO","EQ","05-Jan-2022","7,650.35","7,650.50","7,769.00","7,595.00","7,649.25","7,659.55","7,658.14","4,00,874","3,06,99,47,506.25","48,598","2,12,065","52.90"
"ULTRACEMCO","EQ","06-Jan-2022","7,659.55","7,639.55","7,699.95","7,425.05","7,455.00","7,458.55","7,521.42","4,03,448","3,03,45,03,448.70","61,501","1,90,441","47.20"
"ULTRACEMCO","EQ","07-Jan-2022","7,458.55","7,465.10","7,580.00","7,439.05","7,546.15","7,557.95","7,515.17","5,43,512","4,08,45,82,972.55","53,218","2,69,909","49.66"
"ULTRACEMCO","EQ","10-Jan-2022","7,557.95","7,590.00","7,617.60","7,522.30","7,580.45","7,585.15","7,566.06","2,13,126","1,61,25,24,473.45","28,702","1,06,410","49.93"
"ULTRACEMCO","EQ","11-Jan-2022","7,585.15","7,609.70","7,679.40","7,561.20","7,608.75","7,606.30","7,615.03","2,34,296","1,78,41,72,174.20","36,514","1,04,905","44.77"
"ULTRACEMCO","EQ","12-Jan-2022","7,606.30","7,663.80","7,729.00","7,609.90","7,649.15","7,658.70","7,665.27","2,97,378","2,27,94,81,183.10","36,939","1,36,317","45.84"
"ULTRACEMCO","EQ","13-Jan-2022","7,658.70","7,681.00","7,719.60","7,553.85","7,609.95","7,606.80","7,635.09","2,74,893","2,09,88,31,907.50","39,641","1,36,548","49.67"
"ULTRACEMCO","EQ","14-Jan-2022","7,606.80","7,634.00","7,700.00","7,566.90","7,640.00","7,660.55","7,643.07","2,50,253","1,91,27,00,308.30","37,985","1,00,827","40.29"
