"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIENT","EQ","01-Jan-2024","2,848.95","2,852.30","2,947.00","2,842.05","2,902.85","2,917.20","2,914.54","28,98,619","8,44,81,46,788.55","1,16,403","6,43,451","22.20"
"ADANIENT","EQ","02-Jan-2024","2,917.20","2,922.00","2,948.20","2,841.00","2,931.00","2,932.40","2,903.97","26,71,368","7,75,75,72,526.85","1,16,025","5,86,095","21.94"
"ADANIENT","EQ","03-Jan-2024","2,932.40","3,047.00","3,199.00","2,955.60","3,005.00","3,003.00","3,060.56","1,97,25,411","60,37,08,40,646.55","7,62,896","21,30,806","10.80"
"ADANIENT","EQ","04-Jan-2024","3,003.00","3,039.40","3,044.45","2,990.00","2,996.00","2,998.30","3,011.56","29,75,620","8,96,12,46,158.70","1,22,929","4,86,208","16.34"
"ADANIENT","EQ","05-Jan-2024","2,998.30","3,009.95","3,066.90","2,981.10","3,009.00","3,006.60","3,026.08","32,19,949","9,74,38,25,898.60","1,25,926","5,74,645","17.85"
"ADANIENT","EQ","08-Jan-2024","3,006.60","3,020.00","3,027.00","2,952.95","2,965.00","2,963.50","2,990.76","18,49,061","5,53,01,00,075.95","77,114","3,28,283","17.75"
"ADANIENT","EQ","09-Jan-2024","2,963.50","2,990.70","3,068.80","2,980.00","3,024.95","3,014.60","3,029.63","28,85,706","8,74,26,14,470.70","1,24,090","5,36,686","18.60"
"ADANIENT","EQ","10-Jan-2024","3,014.60","3,024.00","3,112.00","3,020.05","3,107.80","3,098.20","3,077.75","35,90,297","11,05,00,48,556.25","1,46,816","9,14,665","25.48"
"ADANIENT","EQ","11-Jan-2024","3,098.20","3,120.00","3,129.00","3,065.00","3,084.00","3,080.90","3,089.22","20,08,103","6,20,34,81,301.70","82,014","7,45,122","37.11"
"ADANIENT","EQ","12-Jan-2024","3,080.90","3,096.35","3,125.00","3,068.20","3,105.40","3,104.10","3,100.07","17,95,933","5,56,75,09,144.40","81,003","4,30,206","23.95"
