"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIPORTS","EQ","03-Jan-2022","730.30","732.00","738.65","730.50","736.10","736.60","734.71","23,77,227","1,74,65,69,419.60","35,951","8,58,021","36.09"
"ADANIPORTS","EQ","04-Jan-2022","736.60","743.00","747.00","732.65","739.00","739.25","739.81","40,68,551","3,00,99,63,453.00","53,338","7,53,275","18.51"
"ADANIPORTS","EQ","05-Jan-2022","739.25","739.00","758.80","734.05","754.00","754.90","749.01","54,09,002","4,05,13,69,956.15","66,305","15,28,262","28.25"
"ADANIPORTS","EQ","06-Jan-2022","754.90","748.90","748.90","730.10","739.00","739.80","737.24","54,40,633","4,01,10,33,478.85","79,602","14,94,295","27.47"
"ADANIPORTS","EQ","07-Jan-2022","739.80","744.70","747.70","730.50","736.00","736.10","738.20","25,90,751","1,91,24,98,842.85","43,599","6,43,885","24.85"
"ADANIPORTS","EQ","10-Jan-2022","736.10","737.10","743.00","734.10","738.40","738.85","738.65","21,73,107","1,60,51,58,509.20","35,078","5,98,586","27.55"
"ADANIPORTS","EQ","11-Jan-2022","738.85","738.65","768.90","728.50","764.95","765.10","751.82","89,59,781","6,73,61,40,626.70","1,49,571","25,96,114","28.98"
"ADANIPORTS","EQ","12-Jan-2022","765.10","769.50","774.90","754.00","762.00","763.55","766.10","57,75,798","4,42,48,13,401.40","1,05,045","13,48,719","23.35"
"ADANIPORTS","EQ","13-Jan-2022","763.55","763.00","776.00","760.00","771.00","772.20","769.65","40,49,411","3,11,66,39,340.35","88,732","7,16,784","17.70"
"ADANIPORTS","EQ","14-Jan-2022","772.20","769.00","795.00","763.65","783.50","780.10","783.88","96,27,761","7,54,70,29,585.60","1,47,081","19,22,522","19.97"
