"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ASIANPAINT","EQ","03-Jan-2022","3,382.95","3,383.00","3,440.90","3,383.00","3,425.55","3,422.40","3,425.26","6,96,276","2,38,49,25,665.70","67,249","3,96,157","56.90"
"ASIANPAINT","EQ","04-Jan-2022","3,422.40","3,434.00","3,472.45","3,415.05","3,454.25","3,459.30","3,440.90","7,90,886","2,72,13,61,205.35","72,589","4,49,243","56.80"
"ASIANPAINT","EQ","05-Jan-2022","3,459.30","3,470.00","3,540.00","3,452.05","3,526.00","3,526.80","3,511.78","10,24,506","3,59,78,40,737.85","92,812","4,77,485","46.61"
"ASIANPAINT","EQ","06-Jan-2022","3,526.80","3,491.15","3,537.55","3,452.15","3,511.00","3,514.65","3,499.81","13,12,743","4,59,43,53,905.20","80,773","8,95,621","68.23"
"ASIANPAINT","EQ","07-Jan-2022","3,514.65","3,514.65","3,582.00","3,496.55","3,573.90","3,576.30","3,562.94","9,64,364","3,43,59,68,391.35","61,822","4,90,383","50.85"
"ASIANPAINT","EQ","10-Jan-2022","3,576.30","3,580.00","3,590.00","3,527.00","3,550.00","3,553.50","3,547.94","6,57,511","2,33,28,12,509.50","67,243","3,73,552","56.81"
"ASIANPAINT","EQ","11-Jan-2022","3,553.50","3,550.60","3,564.00","3,495.05","3,535.05","3,538.75","3,530.40","7,34,344","2,59,25,30,395.55","70,402","3,87,221","52.73"
"ASIANPAINT","EQ","12-Jan-2022","3,538.75","3,556.90","3,582.45","3,534.00","3,547.00","3,543.80","3,550.21","5,94,543","2,11,07,49,555.25","78,042","3,35,465","56.42"
"ASIANPAINT","EQ","13-Jan-2022","3,543.80","3,560.00","3,560.00","3,450.00","3,458.15","3,456.25","3,496.82","11,53,984","4,03,52,73,931.75","97,385","5,42,999","47.05"
"ASIANPAINT","EQ","14-Jan-2022","3,456.25","3,462.00","3,462.00","3,346.00","3,364.00","3,364.40","3,365.95","15,58,978","5,24,74,44,521.90","1,46,062","8,86,336","56.85"
"ASIANPAINT","EQ","17-Jan-2022","3,364.40","3,364.40","3,399.00","3,321.00","3,371.00","3,378.65","3,348.16","11,03,159","3,69,35,55,745.30","84,053","6,16,811","55.91"
"ASIANPAINT","EQ","18-Jan-2022","3,378.65","3,379.05","3,396.45","3,351.00","3,374.50","3,373.70","3,374.37","5,58,543","1,88,47,28,112.20","65,228","2,34,021","41.90"
"ASIANPAINT","EQ","19-Jan-2022","3,373.70","3,370.00","3,370.00","3,267.75","3,282.95","3,280.40","3,292.09","14,95,218","4,92,23,97,653.95","1,23,892","8,19,270","54.79"
"ASIANPAINT","EQ","20-Jan-2022","3,280.40","3,282.00","3,364.90","3,222.00","3,303.00","3,306.40","3,282.29","30,75,678","10,09,52,63,934.75","2,38,580","9,25,250","30.08"
"ASIANPAINT","EQ","21-Jan-2022","3,306.40","3,300.05","3,324.95","3,241.75","3,278.00","3,274.85","3,289.45","14,41,694","4,74,23,74,270.10","1,11,967","6,30,641","43.74"
