"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AXISBANK","EQ","01-Jan-2020","754.10","754.90","759.95","747.20","748.75","748.70","751.81","49,17,748","3,69,72,21,320.00","80,824","9,88,375","20.10"
"AXISBANK","EQ","02-Jan-2020","748.70","750.00","759.00","747.60","756.00","756.95","753.82","51,56,046","3,88,67,39,008.45","88,337","15,72,942","30.51"
"AXISBANK","EQ","03-Jan-2020","756.95","753.15","756.25","740.50","742.40","742.95","746.33","84,89,729","6,33,61,65,102.45","1,39,161","38,34,757","45.17"
"AXISBANK","EQ","06-Jan-2020","742.95","739.45","739.60","721.70","722.00","723.25","728.66","63,56,198","4,63,15,02,050.60","1,17,943","21,57,855","33.95"
"AXISBANK","EQ","07-Jan-2020","723.25","728.00","738.00","721.05","726.95","725.75","728.40","91,03,360","6,63,09,06,924.00","1,23,724","25,95,354","28.51"
"AXISBANK","EQ","08-Jan-2020","725.75","715.25","725.75","709.10","723.50","724.50","719.43","89,73,215","6,45,56,43,808.55","1,39,364","22,28,579","24.84"
"AXISBANK","EQ","09-Jan-2020","724.50","733.55","745.00","731.00","740.80","742.85","740.73","75,59,853","5,59,98,31,301.40","92,453","30,69,651","40.60"
"AXISBANK","EQ","10-Jan-2020","742.85","743.00","751.80","734.80","739.50","740.05","742.36","85,50,490","6,34,75,53,264.65","1,08,489","32,81,100","38.37"
"AXISBANK","EQ","13-Jan-2020","740.05","740.00","746.75","735.35","737.80","737.40","740.28","64,23,758","4,75,53,49,709.00","91,988","26,93,541","41.93"
"AXISBANK","EQ","14-Jan-2020","737.40","740.00","751.40","734.20","746.05","747.90","742.83","72,37,665","5,37,63,79,490.10","1,40,321","30,10,798","41.60"
"AXISBANK","EQ","15-Jan-2020","747.90","747.05","749.00","738.00","745.25","746.30","742.81","79,11,661","5,87,68,64,173.40","1,21,234","38,13,166","48.20"
"AXISBANK","EQ","16-Jan-2020","746.30","746.50","750.40","735.10","737.40","737.30","741.20","64,87,613","4,80,86,40,439.55","83,509","21,81,756","33.63"
"AXISBANK","EQ","17-Jan-2020","737.30","734.85","742.45","730.85","737.70","739.90","738.36","76,78,864","5,66,97,34,244.95","1,17,330","32,70,942","42.60"
"AXISBANK","EQ","20-Jan-2020","739.90","742.95","746.20","725.00","727.10","727.20","732.55","1,06,77,371","7,82,16,98,419.45","1,15,171","54,83,317","51.35"
