"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJ-AUTO","EQ","02-Jan-2023","3,616.05","3,617.00","3,620.00","3,520.45","3,574.90","3,573.95","3,553.75","4,71,328","1,67,49,80,256.85","35,625","1,96,019","41.59"
"BAJAJ-AUTO","EQ","03-Jan-2023","3,573.95","3,562.50","3,620.00","3,562.50","3,595.10","3,601.70","3,598.04","2,18,996","78,79,57,423.30","23,188","86,658","39.57"
"BAJAJ-AUTO","EQ","04-Jan-2023","3,601.70","3,588.00","3,602.55","3,543.50","3,556.00","3,552.85","3,569.49","2,50,071","89,26,26,000.40","22,765","1,61,550","64.60"
"BAJAJ-AUTO","EQ","05-Jan-2023","3,552.85","3,568.00","3,632.50","3,558.35","3,628.00","3,621.15","3,610.44","2,94,998","1,06,50,73,663.95","30,239","1,53,560","52.05"
"BAJAJ-AUTO","EQ","06-Jan-2023","3,621.15","3,618.00","3,648.00","3,598.00","3,640.00","3,642.25","3,621.68","1,73,591","62,86,90,433.15","23,793","76,234","43.92"
"BAJAJ-AUTO","EQ","09-Jan-2023","3,642.25","3,660.50","3,669.00","3,606.00","3,619.00","3,620.75","3,630.08","2,00,031","72,61,28,071.50","23,809","75,918","37.95"
"BAJAJ-AUTO","EQ","10-Jan-2023","3,620.75","3,630.60","3,636.00","3,563.30","3,585.00","3,574.20","3,587.69","2,47,609","88,83,44,178.05","29,614","1,35,329","54.65"
"BAJAJ-AUTO","EQ","11-Jan-2023","3,574.20","3,585.00","3,589.95","3,531.05","3,547.20","3,538.05","3,550.65","3,08,958","1,09,70,02,510.55","26,793","1,78,760","57.86"
"BAJAJ-AUTO","EQ","12-Jan-2023","3,538.05","3,538.05","3,580.00","3,520.05","3,578.00","3,570.30","3,549.24","1,82,941","64,93,02,124.50","24,898","85,859","46.93"
"BAJAJ-AUTO","EQ","13-Jan-2023","3,570.30","3,580.00","3,617.85","3,555.15","3,602.45","3,605.30","3,598.44","1,80,876","65,08,71,979.15","16,719","83,124","45.96"
"BAJAJ-AUTO","EQ","16-Jan-2023","3,605.30","3,609.95","3,620.95","3,560.00","3,578.80","3,583.15","3,580.84","2,26,147","80,97,95,986.80","19,954","85,868","37.97"
"BAJAJ-AUTO","EQ","17-Jan-2023","3,583.15","3,590.00","3,612.70","3,568.15","3,609.90","3,606.95","3,592.39","1,06,465","38,24,64,048.60","13,023","48,986","46.01"
"BAJAJ-AUTO","EQ","18-Jan-2023","3,606.95","3,625.00","3,638.75","3,579.00","3,606.85","3,609.90","3,614.71","3,06,275","1,10,70,95,947.35","26,210","1,65,502","54.04"
"BAJAJ-AUTO","EQ","19-Jan-2023","3,609.90","3,599.95","3,628.95","3,572.00","3,574.55","3,575.95","3,594.90","2,26,186","81,31,16,485.05","20,364","1,52,823","67.57"
"BAJAJ-AUTO","EQ","20-Jan-2023","3,575.95","3,583.05","3,586.60","3,551.25","3,576.40","3,572.75","3,569.34","1,91,361","68,30,31,622.05","20,374","1,28,568","67.19"
"BAJAJ-AUTO","EQ","23-Jan-2023","3,572.75","3,583.50","3,627.00","3,571.00","3,626.95","3,623.55","3,608.03","1,73,482","62,59,28,254.40","15,826","91,430","52.70"
"BAJAJ-AUTO","EQ","24-Jan-2023","3,623.55","3,626.00","3,696.10","3,611.45","3,684.05","3,686.50","3,660.27","2,12,778","77,88,24,421.65","22,458","78,841","37.05"
"BAJAJ-AUTO","EQ","25-Jan-2023","3,686.50","3,689.00","3,740.00","3,673.70","3,740.00","3,717.40","3,710.69","3,75,571","1,39,36,26,921.65","35,975","1,01,354","26.99"
"BAJAJ-AUTO","EQ","27-Jan-2023","3,717.40","3,850.00","3,995.00","3,830.00","3,941.00","3,936.75","3,940.69","23,75,899","9,36,26,84,815.95","1,65,025","11,21,482","47.20"
"BAJAJ-AUTO","EQ","30-Jan-2023","3,936.75","3,940.00","3,948.95","3,818.85","3,842.00","3,841.15","3,862.46","6,54,472","2,52,78,74,473.70","71,793","3,46,205","52.90"
"BAJAJ-AUTO","EQ","31-Jan-2023","3,841.15","3,878.00","3,878.00","3,801.00","3,828.00","3,818.25","3,825.64","3,59,118","1,37,38,55,281.00","35,313","1,64,294","45.75"
"BAJAJ-AUTO","EQ","01-Feb-2023","3,818.25","3,829.45","3,886.40","3,760.10","3,795.05","3,811.30","3,826.66","3,28,212","1,25,59,57,226.90","34,647","1,29,174","39.36"
"BAJAJ-AUTO","EQ","02-Feb-2023","3,811.30","3,799.00","3,859.10","3,740.00","3,799.55","3,790.70","3,774.90","3,09,024","1,16,65,34,839.45","39,768","1,38,982","44.97"
"BAJAJ-AUTO","EQ","03-Feb-2023","3,790.70","3,785.00","3,858.00","3,769.20","3,852.85","3,852.55","3,815.71","2,42,350","92,47,38,364.75","31,556","1,01,903","42.05"
"BAJAJ-AUTO","EQ","06-Feb-2023","3,852.55","3,846.55","3,869.70","3,804.10","3,844.15","3,849.10","3,842.93","2,05,412","78,93,83,611.65","26,462","81,479","39.67"
"BAJAJ-AUTO","EQ","07-Feb-2023","3,849.10","3,873.00","3,895.00","3,818.20","3,880.00","3,879.45","3,867.08","2,46,673","95,39,05,313.00","25,867","1,28,499","52.09"
"BAJAJ-AUTO","EQ","08-Feb-2023","3,879.45","3,898.85","3,898.85","3,835.50","3,880.00","3,880.30","3,874.32","3,09,039","1,19,73,15,672.55","29,261","1,81,232","58.64"
"BAJAJ-AUTO","EQ","09-Feb-2023","3,880.30","3,879.90","3,890.50","3,832.25","3,840.00","3,845.75","3,853.54","2,49,061","95,97,65,834.15","28,645","1,35,632","54.46"
"BAJAJ-AUTO","EQ","10-Feb-2023","3,845.75","3,845.00","3,848.95","3,800.10","3,827.90","3,831.65","3,827.74","1,70,034","65,08,45,198.50","21,346","80,139","47.13"
"BAJAJ-AUTO","EQ","13-Feb-2023","3,831.65","3,850.85","3,912.60","3,824.00","3,881.30","3,883.50","3,884.22","3,72,862","1,44,82,77,804.30","34,955","1,35,927","36.46"
