"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJFINSV","EQ","01-Jan-2018","5,230.40","5,208.00","5,308.75","5,151.60","5,167.00","5,171.85","5,224.56","44,899","23,45,77,505.35","6,275","18,364","40.90"
"BAJAJFINSV","EQ","02-Jan-2018","5,171.85","5,199.90","5,229.00","5,047.75","5,080.00","5,101.10","5,134.71","79,123","40,62,73,658.85","10,498","26,895","33.99"
"BAJAJFINSV","EQ","03-Jan-2018","5,101.10","5,139.35","5,179.80","5,088.80","5,100.00","5,099.45","5,143.02","1,19,413","61,41,43,603.40","9,240","71,015","59.47"
"BAJAJFINSV","EQ","04-Jan-2018","5,099.45","5,120.00","5,135.00","5,051.00","5,064.00","5,062.55","5,078.79","79,205","40,22,65,228.20","7,742","38,475","48.58"
"BAJAJFINSV","EQ","05-Jan-2018","5,062.55","5,098.80","5,144.95","5,076.10","5,125.00","5,127.20","5,114.04","1,51,818","77,64,03,937.00","11,402","93,922","61.86"
"BAJAJFINSV","EQ","08-Jan-2018","5,127.20","5,170.00","5,253.00","5,146.15","5,220.00","5,221.25","5,211.50","1,81,068","94,36,36,503.10","18,617","1,17,693","65.00"
"BAJAJFINSV","EQ","09-Jan-2018","5,221.25","5,230.00","5,242.40","5,105.00","5,151.25","5,156.40","5,154.20","2,33,510","1,20,35,57,648.05","20,669","1,20,424","51.57"
"BAJAJFINSV","EQ","10-Jan-2018","5,156.40","5,160.00","5,272.60","5,130.00","5,199.60","5,199.55","5,201.53","2,60,021","1,35,25,07,140.70","21,563","1,16,004","44.61"
"BAJAJFINSV","EQ","11-Jan-2018","5,199.55","5,198.00","5,198.00","5,135.00","5,138.50","5,146.40","5,168.33","71,160","36,77,78,309.15","8,869","38,081","53.51"
"BAJAJFINSV","EQ","12-Jan-2018","5,146.40","5,146.40","5,170.00","5,032.00","5,050.00","5,057.30","5,089.10","2,24,758","1,14,38,16,010.40","22,405","1,47,256","65.52"
"BAJAJFINSV","EQ","15-Jan-2018","5,057.30","5,052.00","5,105.20","5,001.10","5,007.20","5,010.35","5,050.14","1,73,185","87,46,08,632.45","19,652","1,12,197","64.78"
"BAJAJFINSV","EQ","16-Jan-2018","5,010.35","5,039.00","5,060.00","4,935.00","4,939.00","4,956.80","4,989.73","1,24,186","61,96,54,074.45","16,304","69,338","55.83"
"BAJAJFINSV","EQ","17-Jan-2018","4,956.80","4,950.00","5,012.00","4,890.40","5,000.10","4,964.90","4,963.56","1,40,637","69,80,60,651.55","16,203","75,233","53.49"
"BAJAJFINSV","EQ","18-Jan-2018","4,964.90","5,007.00","5,045.00","4,884.50","4,901.00","4,922.60","4,979.82","2,11,086","1,05,11,70,130.90","23,578","1,34,241","63.60"
"BAJAJFINSV","EQ","19-Jan-2018","4,922.60","4,920.00","5,021.00","4,842.35","5,000.00","4,973.05","4,910.77","1,10,406","54,21,78,544.90","12,284","43,309","39.23"
"BAJAJFINSV","EQ","22-Jan-2018","4,973.05","5,000.00","5,064.95","4,951.00","5,042.00","5,051.45","5,012.62","1,04,891","52,57,78,637.60","15,591","46,035","43.89"
"BAJAJFINSV","EQ","23-Jan-2018","5,051.45","5,042.00","5,089.00","4,987.60","5,010.00","5,014.60","5,029.11","1,78,301","89,66,96,038.70","20,146","1,25,470","70.37"
"BAJAJFINSV","EQ","24-Jan-2018","5,014.60","5,015.00","5,072.80","4,949.00","5,040.00","5,014.45","5,009.95","88,003","44,08,90,299.40","11,711","35,315","40.13"
"BAJAJFINSV","EQ","25-Jan-2018","5,014.45","5,025.00","5,070.00","4,900.00","4,903.10","4,933.05","4,994.40","1,49,077","74,45,50,495.30","16,221","68,755","46.12"
"BAJAJFINSV","EQ","29-Jan-2018","4,933.05","4,949.50","5,010.00","4,899.00","4,902.50","4,912.40","4,945.65","1,00,404","49,65,62,625.90","10,109","50,151","49.95"
"BAJAJFINSV","EQ","30-Jan-2018","4,912.40","4,925.00","4,939.00","4,860.00","4,865.75","4,875.65","4,897.23","1,04,332","51,09,38,084.65","10,857","51,161","49.04"
