"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJFINANCE","EQ","01-Jan-2024","7,327.75","7,336.95","7,336.95","7,273.00","7,286.95","7,299.05","7,304.06","3,31,489","2,42,12,14,793.15","41,730","1,12,857","34.05"
"BAJFINANCE","EQ","02-Jan-2024","7,299.05","7,324.00","7,445.10","7,280.05","7,432.30","7,430.05","7,372.68","11,12,990","8,20,57,23,494.75","1,09,675","5,23,094","47.00"
"BAJFINANCE","EQ","03-Jan-2024","7,430.05","7,444.95","7,485.85","7,368.20","7,381.20","7,384.80","7,414.09","5,53,405","4,10,29,93,970.10","70,437","2,48,271","44.86"
"BAJFINANCE","EQ","04-Jan-2024","7,384.80","7,560.00","7,733.95","7,560.00","7,698.60","7,705.55","7,667.97","29,11,879","22,32,82,14,375.30","2,80,733","13,43,457","46.14"
"BAJFINANCE","EQ","05-Jan-2024","7,705.55","7,734.95","7,789.00","7,673.10","7,708.05","7,711.15","7,722.15","10,52,601","8,12,83,38,046.60","1,25,482","5,07,025","48.17"
"BAJFINANCE","EQ","08-Jan-2024","7,711.15","7,677.00","7,830.00","7,631.30","7,740.00","7,736.00","7,737.07","11,21,209","8,67,48,73,898.10","1,16,211","5,23,807","46.72"
"BAJFINANCE","EQ","09-Jan-2024","7,736.00","7,774.00","7,810.00","7,698.00","7,715.75","7,725.45","7,758.94","12,47,083","9,67,60,43,195.75","1,35,198","7,21,265","57.84"
"BAJFINANCE","EQ","10-Jan-2024","7,725.45","7,716.00","7,735.25","7,660.00","7,675.00","7,680.55","7,688.85","5,59,072","4,29,86,20,963.05","80,362","3,31,687","59.33"
"BAJFINANCE","EQ","11-Jan-2024","7,680.55","7,680.00","7,793.30","7,651.05","7,684.00","7,669.75","7,720.83","6,51,741","5,03,19,81,679.15","1,04,639","3,80,445","58.37"
"BAJFINANCE","EQ","12-Jan-2024","7,669.75","7,684.00","7,718.95","7,617.00","7,639.00","7,661.05","7,660.78","8,08,638","6,19,47,98,776.75","99,544","4,83,560","59.80"
"BAJFINANCE","EQ","15-Jan-2024","7,661.05","7,697.95","7,697.95","7,454.00","7,477.00","7,478.00","7,524.95","9,97,220","7,50,40,34,264.75","1,07,746","5,49,164","55.07"
"BAJFINANCE","EQ","16-Jan-2024","7,478.00","7,475.00","7,614.50","7,427.90","7,445.00","7,456.65","7,518.19","11,94,723","8,98,21,58,409.95","1,38,334","4,71,935","39.50"
"BAJFINANCE","EQ","17-Jan-2024","7,456.65","7,303.30","7,478.20","7,302.20","7,367.75","7,358.85","7,388.41","13,80,271","10,19,80,08,011.15","1,14,581","8,97,635","65.03"
"BAJFINANCE","EQ","18-Jan-2024","7,358.85","7,296.00","7,351.75","7,234.00","7,274.20","7,265.55","7,281.49","16,86,996","12,28,38,50,683.60","1,75,621","11,88,092","70.43"
"BAJFINANCE","EQ","19-Jan-2024","7,265.55","7,360.00","7,388.80","7,261.25","7,325.90","7,319.10","7,313.97","8,30,810","6,07,65,20,804.75","92,936","4,35,534","52.42"
"BAJFINANCE","EQ","20-Jan-2024","7,319.10","7,327.75","7,386.30","7,291.00","7,313.00","7,301.30","7,332.58","2,19,358","1,60,84,60,744.25","27,055","90,623","41.31"
"BAJFINANCE","EQ","23-Jan-2024","7,301.30","7,352.90","7,355.00","7,042.60","7,083.00","7,070.70","7,180.32","25,33,297","18,18,98,71,066.15","2,04,647","15,81,334","62.42"
"BAJFINANCE","EQ","24-Jan-2024","7,070.70","7,104.00","7,104.00","6,996.80","7,080.00","7,055.30","7,049.02","20,63,675","14,54,68,93,452.55","1,22,779","14,87,622","72.09"
"BAJFINANCE","EQ","25-Jan-2024","7,055.30","7,055.30","7,125.80","7,036.00","7,091.00","7,085.50","7,075.30","11,68,349","8,26,64,15,862.50","1,02,634","7,85,053","67.19"
"BAJFINANCE","EQ","29-Jan-2024","7,085.50","7,085.50","7,224.95","7,085.10","7,200.00","7,191.65","7,163.15","18,60,361","13,32,60,42,623.25","1,14,690","13,45,702","72.34"
"BAJFINANCE","EQ","30-Jan-2024","7,191.65","6,988.50","6,988.50","6,805.00","6,825.00","6,817.20","6,869.72","41,53,147","28,53,09,52,745.75","3,96,405","20,03,189","48.23"
"BAJFINANCE","EQ","31-Jan-2024","6,817.20","6,820.00","6,921.00","6,812.00","6,865.90","6,862.90","6,877.07","18,10,512","12,45,10,15,692.60","1,72,859","11,40,832","63.01"
"BAJFINANCE","EQ","01-Feb-2024","6,862.90","6,865.90","6,879.95","6,733.00","6,746.00","6,743.30","6,784.09","19,11,137","12,96,53,21,707.70","2,31,144","11,31,102","59.18"
"BAJFINANCE","EQ","02-Feb-2024","6,743.30","6,755.00","6,910.00","6,753.00","6,877.90","6,848.30","6,844.03","13,67,508","9,35,92,69,260.15","2,06,629","7,71,972","56.45"
"BAJFINANCE","EQ","05-Feb-2024","6,848.30","6,894.00","6,895.00","6,600.00","6,626.75","6,608.20","6,723.86","17,71,222","11,90,94,45,509.05","1,97,786","10,59,976","59.84"
"BAJFINANCE","EQ","06-Feb-2024","6,608.20","6,648.00","6,699.00","6,535.00","6,599.00","6,598.15","6,604.06","24,39,533","16,11,08,20,931.50","2,32,133","14,88,112","61.00"
"BAJFINANCE","EQ","07-Feb-2024","6,598.15","6,641.00","6,737.60","6,625.25","6,720.00","6,709.20","6,682.88","15,38,237","10,27,98,56,230.40","1,52,771","9,25,326","60.15"
"BAJFINANCE","EQ","08-Feb-2024","6,709.20","6,731.85","6,737.50","6,536.70","6,585.00","6,575.65","6,606.32","21,93,209","14,48,90,39,760.25","2,13,093","11,29,204","51.49"
"BAJFINANCE","EQ","09-Feb-2024","6,575.65","6,580.00","6,677.70","6,572.00","6,654.00","6,654.50","6,644.98","12,09,874","8,03,95,94,330.35","1,24,188","6,74,667","55.76"
"BAJFINANCE","EQ","12-Feb-2024","6,654.50","6,669.45","6,671.85","6,551.50","6,576.35","6,569.15","6,585.14","5,44,784","3,58,74,77,652.55","64,051","2,63,691","48.40"
"BAJFINANCE","EQ","13-Feb-2024","6,569.15","6,600.00","6,639.00","6,553.10","6,600.05","6,603.65","6,608.10","9,48,014","6,26,45,70,312.95","1,08,021","3,16,123","33.35"
"BAJFINANCE","EQ","14-Feb-2024","6,603.65","6,563.85","6,656.00","6,550.00","6,649.00","6,646.50","6,609.19","6,36,126","4,20,42,76,744.15","82,851","3,03,434","47.70"
"BAJFINANCE","EQ","15-Feb-2024","6,646.50","6,646.00","6,677.40","6,585.65","6,619.95","6,619.40","6,614.91","8,80,859","5,82,68,00,672.45","1,09,034","4,50,599","51.15"
"BAJFINANCE","EQ","16-Feb-2024","6,619.40","6,650.05","6,660.00","6,602.00","6,614.00","6,619.20","6,621.07","10,29,431","6,81,59,39,061.65","1,29,947","7,46,120","72.48"
"BAJFINANCE","EQ","19-Feb-2024","6,619.20","6,648.90","6,806.90","6,625.30","6,718.25","6,712.80","6,735.88","13,15,881","8,86,36,20,192.10","1,10,193","6,40,732","48.69"
"BAJFINANCE","EQ","20-Feb-2024","6,712.80","6,711.90","6,792.00","6,681.25","6,771.00","6,763.60","6,753.48","11,06,709","7,47,41,31,813.05","1,22,472","5,94,711","53.74"
"BAJFINANCE","EQ","21-Feb-2024","6,763.60","6,790.00","6,790.00","6,665.05","6,672.00","6,688.80","6,724.05","8,54,944","5,74,86,86,331.40","76,709","5,00,192","58.51"
"BAJFINANCE","EQ","22-Feb-2024","6,688.80","6,691.05","6,706.85","6,561.00","6,698.00","6,674.95","6,619.54","10,22,374","6,76,76,50,264.45","1,37,951","3,36,230","32.89"
"BAJFINANCE","EQ","23-Feb-2024","6,674.95","6,674.00","6,719.00","6,632.60","6,690.00","6,697.85","6,680.58","12,80,311","8,55,32,15,685.20","1,17,458","8,75,455","68.38"
"BAJFINANCE","EQ","26-Feb-2024","6,697.85","6,690.00","6,708.00","6,624.20","6,639.00","6,643.25","6,653.85","8,92,056","5,93,56,04,795.45","95,130","6,33,202","70.98"
"BAJFINANCE","EQ","27-Feb-2024","6,643.25","6,631.00","6,642.00","6,491.10","6,555.40","6,556.25","6,574.54","11,50,306","7,56,27,28,773.45","1,39,511","6,21,178","54.00"
"BAJFINANCE","EQ","28-Feb-2024","6,556.25","6,572.00","6,596.75","6,475.00","6,488.00","6,498.70","6,545.06","5,35,321","3,50,37,06,439.45","74,851","2,40,432","44.91"
"BAJFINANCE","EQ","29-Feb-2024","6,498.70","6,499.00","6,539.00","6,366.20","6,511.75","6,495.35","6,491.14","16,99,098","11,02,90,83,444.10","1,28,058","10,62,737","62.55"
"BAJFINANCE","EQ","01-Mar-2024","6,495.35","6,511.75","6,608.70","6,502.10","6,576.00","6,571.45","6,565.52","9,19,080","6,03,42,36,495.65","1,39,301","5,32,252","57.91"
"BAJFINANCE","EQ","02-Mar-2024","6,571.45","6,565.00","6,605.00","6,565.00","6,588.00","6,584.35","6,589.41","49,760","32,78,89,288.80","6,277","25,079","50.40"
"BAJFINANCE","EQ","04-Mar-2024","6,584.35","6,588.00","6,639.95","6,557.45","6,604.00","6,602.45","6,603.54","3,97,118","2,62,23,86,545.55","55,312","2,01,810","50.82"
"BAJFINANCE","EQ","05-Mar-2024","6,602.45","6,602.45","6,636.25","6,272.00","6,333.00","6,324.25","6,410.17","17,17,558","11,00,98,34,235.60","1,88,901","8,16,803","47.56"
"BAJFINANCE","EQ","06-Mar-2024","6,324.25","6,332.50","6,345.90","6,187.80","6,307.95","6,311.25","6,259.12","21,04,792","13,17,41,51,475.10","2,14,796","11,69,952","55.59"
"BAJFINANCE","EQ","07-Mar-2024","6,311.25","6,350.00","6,468.60","6,325.40","6,428.00","6,421.05","6,420.39","14,69,421","9,43,42,50,491.00","1,25,772","7,47,947","50.90"
"BAJFINANCE","EQ","11-Mar-2024","6,421.05","6,550.00","6,552.00","6,404.00","6,430.10","6,433.75","6,453.74","12,03,971","7,77,01,19,488.40","1,17,410","6,89,520","57.27"
"BAJFINANCE","EQ","12-Mar-2024","6,433.75","6,405.00","6,485.00","6,341.35","6,449.00","6,436.05","6,431.10","10,94,677","7,03,99,81,336.20","1,24,823","4,38,231","40.03"
"BAJFINANCE","EQ","13-Mar-2024","6,436.05","6,439.25","6,514.95","6,391.55","6,450.00","6,456.15","6,460.81","11,32,183","7,31,48,19,135.60","1,17,966","5,19,024","45.84"
"BAJFINANCE","EQ","14-Mar-2024","6,456.15","6,456.15","6,470.00","6,297.80","6,380.10","6,397.45","6,402.89","12,19,865","7,81,06,55,558.50","1,67,464","6,10,248","50.03"
"BAJFINANCE","EQ","15-Mar-2024","6,397.45","6,375.05","6,578.00","6,360.00","6,485.05","6,514.35","6,494.75","19,70,500","12,79,79,05,664.35","1,45,174","9,56,669","48.55"
"BAJFINANCE","EQ","18-Mar-2024","6,514.35","6,514.35","6,555.00","6,456.10","6,500.00","6,504.65","6,512.90","6,76,425","4,40,54,85,502.15","56,478","3,56,022","52.63"
"BAJFINANCE","EQ","19-Mar-2024","6,504.65","6,509.70","6,667.20","6,505.00","6,586.00","6,596.25","6,595.57","14,08,087","9,28,71,31,126.55","1,44,924","4,77,626","33.92"
"BAJFINANCE","EQ","20-Mar-2024","6,596.25","6,610.00","6,731.00","6,606.00","6,653.00","6,649.50","6,674.65","14,90,831","9,95,07,82,490.00","1,42,973","8,48,600","56.92"
"BAJFINANCE","EQ","21-Mar-2024","6,649.50","6,707.50","6,771.65","6,657.15","6,710.00","6,715.75","6,711.96","18,06,092","12,12,24,11,866.90","1,72,301","11,60,001","64.23"
"BAJFINANCE","EQ","22-Mar-2024","6,715.75","6,705.00","6,803.00","6,686.30","6,763.00","6,760.90","6,759.84","11,25,238","7,60,64,28,261.65","1,21,585","5,44,129","48.36"
"BAJFINANCE","EQ","26-Mar-2024","6,760.90","6,754.50","6,945.00","6,745.00","6,925.00","6,910.10","6,902.09","18,50,321","12,77,10,90,831.20","1,59,954","10,50,130","56.75"
"BAJFINANCE","EQ","27-Mar-2024","6,910.10","6,945.75","7,049.00","6,905.00","7,029.00","7,022.75","6,987.02","15,51,275","10,83,87,88,558.90","1,22,654","10,12,362","65.26"
"BAJFINANCE","EQ","28-Mar-2024","7,022.75","7,032.10","7,349.30","7,032.10","7,235.05","7,245.25","7,247.76","35,74,518","25,90,72,57,217.55","3,28,451","15,47,951","43.31"
"BAJFINANCE","EQ","01-Apr-2024","7,245.25","7,261.25","7,343.45","7,220.05","7,243.95","7,250.95","7,286.11","11,25,238","8,19,86,04,277.35","82,651","6,07,545","53.99"
"BAJFINANCE","EQ","02-Apr-2024","7,250.95","7,250.95","7,255.00","7,135.00","7,223.00","7,207.40","7,194.48","9,67,615","6,96,14,83,440.25","1,07,512","4,17,144","43.11"
"BAJFINANCE","EQ","03-Apr-2024","7,207.40","7,197.00","7,323.35","7,186.15","7,314.00","7,309.25","7,269.95","9,58,943","6,97,14,67,716.80","80,725","5,08,495","53.03"
"BAJFINANCE","EQ","04-Apr-2024","7,309.25","7,345.00","7,350.00","7,255.00","7,291.95","7,283.40","7,308.48","10,40,589","7,60,51,20,211.00","1,38,082","3,52,132","33.84"
"BAJFINANCE","EQ","05-Apr-2024","7,283.40","7,234.75","7,259.00","7,156.00","7,189.65","7,175.65","7,195.21","12,00,494","8,63,78,07,717.85","1,05,538","4,86,289","40.51"
"BAJFINANCE","EQ","08-Apr-2024","7,175.65","7,215.00","7,226.95","7,142.80","7,180.00","7,178.55","7,175.43","5,18,210","3,71,83,81,437.30","51,026","2,82,795","54.57"
"BAJFINANCE","EQ","09-Apr-2024","7,178.55","7,220.00","7,235.35","7,124.50","7,189.00","7,193.60","7,184.53","7,10,281","5,10,30,32,470.10","79,057","2,99,578","42.18"
"BAJFINANCE","EQ","10-Apr-2024","7,193.60","7,235.90","7,254.00","7,160.00","7,219.85","7,230.25","7,210.99","5,67,986","4,09,57,43,503.75","58,478","2,71,200","47.75"
"BAJFINANCE","EQ","12-Apr-2024","7,230.25","7,224.00","7,264.00","7,156.30","7,210.00","7,229.55","7,218.76","10,92,588","7,88,71,26,736.50","1,20,592","5,74,018","52.54"
"BAJFINANCE","EQ","15-Apr-2024","7,229.55","7,145.05","7,198.80","7,063.45","7,065.00","7,076.25","7,125.80","7,58,448","5,40,45,48,928.15","68,913","3,85,739","50.86"
"BAJFINANCE","EQ","16-Apr-2024","7,076.25","7,009.95","7,034.30","6,931.00","6,956.55","6,954.25","6,969.10","9,63,293","6,71,32,85,527.00","93,098","4,02,366","41.77"
"BAJFINANCE","EQ","18-Apr-2024","6,954.25","6,928.10","6,995.00","6,866.00","6,895.00","6,893.20","6,914.00","13,85,133","9,57,68,14,620.95","1,37,063","7,37,348","53.23"
"BAJFINANCE","EQ","19-Apr-2024","6,893.20","6,840.05","7,150.00","6,810.05","7,110.00","7,119.50","6,993.40","12,18,375","8,52,05,84,081.50","1,30,411","4,82,523","39.60"
"BAJFINANCE","EQ","22-Apr-2024","7,119.50","7,167.30","7,306.00","7,167.30","7,300.00","7,292.20","7,259.62","11,65,272","8,45,94,36,651.10","83,119","6,39,431","54.87"
"BAJFINANCE","EQ","23-Apr-2024","7,292.20","7,309.00","7,339.90","7,236.80","7,241.00","7,259.90","7,281.84","10,81,567","7,87,57,96,849.70","83,420","6,41,112","59.28"
"BAJFINANCE","EQ","24-Apr-2024","7,259.90","7,283.00","7,419.45","7,250.00","7,317.15","7,329.15","7,330.78","8,86,929","6,50,18,81,232.00","68,112","3,90,379","44.01"
