"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BEL","EQ","01-Jan-2018","182.15","183.00","183.90","181.20","181.50","181.45","182.38","27,22,272","49,64,97,191.05","17,897","18,20,748","66.88"
"BEL","EQ","02-Jan-2018","181.45","182.50","183.65","180.75","181.60","181.65","182.16","39,29,814","71,58,40,169.00","25,294","23,77,888","60.51"
"BEL","EQ","03-Jan-2018","181.65","182.00","183.60","180.80","181.10","181.00","181.86","27,95,736","50,84,19,459.50","46,836","17,60,987","62.99"
"BEL","EQ","04-Jan-2018","181.00","181.10","181.90","179.70","180.15","180.05","180.29","46,31,211","83,49,50,494.05","41,368","34,96,739","75.50"
"BEL","EQ","05-Jan-2018","180.05","181.00","183.50","180.80","182.35","182.30","182.48","34,65,350","63,23,55,807.70","37,636","22,80,313","65.80"
"BEL","EQ","08-Jan-2018","182.30","183.55","185.20","182.70","184.40","184.05","184.14","40,68,580","74,92,01,100.75","35,485","25,49,254","62.66"
"BEL","EQ","09-Jan-2018","184.05","185.00","185.00","182.35","182.50","182.55","183.24","23,43,717","42,94,56,025.10","32,117","13,83,285","59.02"
"BEL","EQ","10-Jan-2018","182.55","182.65","183.75","179.20","179.95","179.95","180.80","39,56,767","71,53,76,227.55","52,410","26,11,217","65.99"
"BEL","EQ","11-Jan-2018","179.95","180.10","181.00","178.50","179.45","179.00","179.53","39,53,533","70,97,62,374.50","56,952","28,05,560","70.96"
"BEL","EQ","12-Jan-2018","179.00","179.80","180.10","176.05","178.50","178.00","178.36","33,33,097","59,44,92,815.55","59,530","19,38,856","58.17"
"BEL","EQ","15-Jan-2018","178.00","178.50","180.00","177.80","178.50","178.60","178.56","29,95,380","53,48,59,533.65","30,372","20,16,196","67.31"
"BEL","EQ","16-Jan-2018","178.60","178.50","178.80","172.60","173.40","173.20","175.51","45,34,786","79,59,01,966.75","85,403","23,15,674","51.06"
"BEL","EQ","17-Jan-2018","173.20","173.00","176.80","167.00","175.95","176.05","173.31","49,31,756","85,47,16,879.65","49,136","23,10,148","46.84"
"BEL","EQ","18-Jan-2018","176.05","176.20","177.90","169.05","171.20","171.10","173.34","31,78,455","55,09,39,487.30","41,163","16,35,138","51.44"
"BEL","EQ","19-Jan-2018","171.10","171.75","173.40","170.10","173.10","172.75","171.80","18,48,347","31,75,43,311.75","18,498","7,71,494","41.74"
"BEL","EQ","22-Jan-2018","172.75","173.40","175.90","172.35","175.15","175.40","174.47","26,28,379","45,85,79,244.70","38,423","13,21,941","50.29"
"BEL","EQ","23-Jan-2018","175.40","176.00","177.15","173.80","173.85","174.70","175.65","46,16,826","81,09,50,452.05","38,679","30,82,718","66.77"
"BEL","EQ","24-Jan-2018","174.70","174.80","174.90","172.35","173.90","173.55","173.66","34,83,048","60,48,65,256.70","32,942","19,48,792","55.95"
"BEL","EQ","25-Jan-2018","173.55","178.30","179.50","175.40","178.15","176.90","177.35","1,52,42,684","2,70,33,19,503.80","68,457","90,23,592","59.20"
"BEL","EQ","29-Jan-2018","176.90","178.50","178.70","174.50","176.00","175.65","176.82","36,23,490","64,07,02,959.95","45,353","23,03,032","63.56"
"BEL","EQ","30-Jan-2018","175.65","176.95","177.95","175.00","177.50","177.00","176.50","33,97,580","59,96,85,965.45","22,128","13,81,919","40.67"
"BEL","EQ","31-Jan-2018","177.00","171.25","172.00","167.50","169.05","169.35","170.09","1,44,11,761","2,45,12,40,241.40","1,05,630","78,64,761","54.57"
"BEL","EQ","01-Feb-2018","169.35","170.00","171.20","161.10","161.45","161.55","165.61","1,37,87,038","2,28,32,63,201.50","1,25,275","82,97,720","60.18"
"BEL","EQ","02-Feb-2018","161.55","161.45","161.50","150.20","151.85","151.85","155.51","1,32,47,909","2,06,01,28,537.90","98,896","75,51,203","57.00"
"BEL","EQ","05-Feb-2018","151.85","150.00","151.80","146.40","150.65","150.00","149.33","1,92,18,194","2,86,97,68,937.70","1,21,501","1,16,81,583","60.78"
"BEL","EQ","06-Feb-2018","150.00","140.00","150.30","140.00","150.20","149.20","146.76","1,39,77,977","2,05,13,94,508.10","92,339","80,99,197","57.94"
"BEL","EQ","07-Feb-2018","149.20","153.25","159.60","152.60","157.90","157.85","157.30","1,78,59,861","2,80,94,41,226.10","1,13,682","99,00,628","55.44"
"BEL","EQ","08-Feb-2018","157.85","158.75","158.75","154.50","157.10","156.95","156.18","70,25,928","1,09,73,26,174.35","49,750","34,16,997","48.63"
"BEL","EQ","09-Feb-2018","156.95","153.00","157.80","153.00","156.00","156.30","155.81","29,79,529","46,42,39,087.20","29,886","12,01,194","40.31"
"BEL","EQ","12-Feb-2018","156.30","158.00","158.10","155.75","158.05","157.75","157.21","21,43,830","33,70,21,687.30","15,398","9,24,677","43.13"
"BEL","EQ","14-Feb-2018","157.75","159.90","162.65","158.80","159.95","160.60","161.17","50,21,012","80,92,51,301.00","44,737","23,88,081","47.56"
"BEL","EQ","15-Feb-2018","160.60","161.25","162.15","156.20","157.25","156.95","158.97","36,53,340","58,07,60,445.15","41,754","19,53,322","53.47"
"BEL","EQ","16-Feb-2018","156.95","158.30","158.30","153.65","155.75","155.70","155.41","25,15,803","39,09,77,959.65","20,890","10,30,013","40.94"
"BEL","EQ","19-Feb-2018","155.70","156.00","156.00","151.25","153.00","153.20","153.28","33,66,700","51,60,52,901.05","32,029","14,46,307","42.96"
"BEL","EQ","20-Feb-2018","153.20","153.10","154.20","152.00","153.85","153.75","153.03","28,47,915","43,58,27,181.40","32,087","16,25,887","57.09"
"BEL","EQ","21-Feb-2018","153.75","153.85","154.75","150.05","150.70","150.85","151.54","39,70,545","60,16,79,727.05","48,534","22,51,738","56.71"
"BEL","EQ","22-Feb-2018","150.85","150.25","151.25","145.35","150.25","146.55","147.43","81,69,168","1,20,44,18,044.35","71,703","50,04,414","61.26"
"BEL","EQ","23-Feb-2018","146.55","148.85","151.70","146.40","151.25","150.95","148.24","1,13,44,848","1,68,18,13,264.80","54,121","84,60,127","74.57"
"BEL","EQ","26-Feb-2018","150.95","152.95","156.75","152.30","155.45","155.20","155.39","64,92,464","1,00,88,51,922.00","58,258","36,41,047","56.08"
"BEL","EQ","27-Feb-2018","155.20","156.50","156.80","152.20","152.90","152.85","153.81","34,65,893","53,30,83,197.85","24,794","16,67,016","48.10"
"BEL","EQ","28-Feb-2018","152.85","152.50","155.20","151.15","154.40","154.35","153.32","21,44,271","32,87,61,485.15","20,474","7,46,741","34.82"
"BEL","EQ","01-Mar-2018","154.35","154.85","154.95","153.10","153.40","153.30","153.84","15,31,733","23,56,44,415.20","14,270","7,62,517","49.78"
"BEL","EQ","05-Mar-2018","153.30","152.90","157.20","151.40","154.40","155.55","153.81","30,62,570","47,10,55,983.10","29,068","12,14,411","39.65"
"BEL","EQ","06-Mar-2018","155.55","157.45","157.95","151.15","152.00","152.00","154.85","34,81,768","53,91,62,163.55","34,447","14,24,723","40.92"
"BEL","EQ","07-Mar-2018","152.00","151.50","151.60","147.15","148.40","148.35","148.83","26,45,463","39,37,32,517.65","33,503","10,82,533","40.92"
"BEL","EQ","08-Mar-2018","148.35","150.80","150.80","145.00","147.30","147.25","146.91","33,05,420","48,56,01,999.20","52,496","14,85,953","44.96"
"BEL","EQ","09-Mar-2018","147.25","148.75","151.35","147.35","148.90","148.45","149.47","30,78,047","46,00,89,431.55","30,307","15,89,542","51.64"
"BEL","EQ","12-Mar-2018","148.45","149.75","150.85","147.65","150.60","150.15","149.62","47,18,909","70,60,56,448.85","38,800","28,57,878","60.56"
"BEL","EQ","13-Mar-2018","150.15","150.00","152.20","149.60","151.50","151.55","150.89","41,55,454","62,70,30,825.60","22,085","23,26,945","56.00"
"BEL","EQ","14-Mar-2018","151.55","150.20","151.75","149.20","151.10","151.15","150.57","22,62,885","34,07,29,308.25","15,550","11,71,777","51.78"
"BEL","EQ","15-Mar-2018","151.15","151.05","154.30","150.00","151.45","151.30","152.36","30,31,888","46,19,52,983.35","18,426","15,67,240","51.69"
"BEL","EQ","16-Mar-2018","151.30","151.50","153.40","148.60","149.20","149.20","150.22","35,98,901","54,06,09,329.00","29,991","22,99,431","63.89"
"BEL","EQ","19-Mar-2018","149.20","149.30","149.70","146.50","148.70","148.55","147.83","21,00,655","31,05,34,409.45","21,740","9,85,413","46.91"
"BEL","EQ","20-Mar-2018","148.55","147.50","150.15","147.20","149.00","149.50","148.90","22,31,710","33,22,97,614.45","17,894","10,31,047","46.20"
"BEL","EQ","21-Mar-2018","149.50","150.00","152.00","148.00","148.20","148.35","150.20","26,20,187","39,35,53,376.45","17,749","14,81,452","56.54"
"BEL","EQ","22-Mar-2018","148.35","148.80","149.15","142.50","143.10","143.40","144.82","64,54,803","93,47,88,671.40","31,861","34,02,011","52.71"
"BEL","EQ","23-Mar-2018","143.40","140.90","141.15","138.05","140.50","139.95","139.70","82,05,730","1,14,63,11,265.75","64,391","50,77,897","61.88"
"BEL","EQ","26-Mar-2018","139.95","139.95","145.00","139.70","143.00","142.95","141.26","47,16,875","66,63,17,288.40","54,525","29,10,410","61.70"
