"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BPCL","EQ","01-Jan-2021","381.10","381.10","384.00","380.40","382.50","381.95","382.47","28,61,749","1,09,45,41,652.55","34,802","9,00,779","31.48"
"BPCL","EQ","04-Jan-2021","381.95","384.90","396.90","384.50","396.20","395.35","391.22","82,38,892","3,22,32,50,548.20","80,559","26,70,683","32.42"
"BPCL","EQ","05-Jan-2021","395.35","394.70","394.75","389.00","391.45","392.00","391.52","45,32,068","1,77,44,11,878.85","53,860","14,77,348","32.60"
"BPCL","EQ","06-Jan-2021","392.00","392.60","396.95","382.55","388.00","387.30","389.43","80,72,360","3,14,36,50,049.65","89,945","32,81,060","40.65"
"BPCL","EQ","07-Jan-2021","387.30","391.00","395.00","387.60","392.85","392.20","391.94","65,60,803","2,57,14,20,952.80","70,430","22,61,261","34.47"
"BPCL","EQ","08-Jan-2021","392.20","395.00","406.00","394.25","400.50","400.15","401.76","1,23,77,956","4,97,29,75,119.75","1,64,601","41,07,980","33.19"
"BPCL","EQ","11-Jan-2021","400.15","404.00","404.75","395.35","401.10","401.75","400.54","68,34,003","2,73,72,69,021.15","72,808","20,41,176","29.87"
"BPCL","EQ","12-Jan-2021","401.75","401.50","409.00","397.45","404.00","402.55","404.45","83,31,071","3,36,95,40,086.45","95,068","22,76,475","27.33"
"BPCL","EQ","13-Jan-2021","402.55","406.00","425.00","404.65","411.50","411.90","415.56","2,11,81,147","8,80,20,40,296.25","2,37,313","50,44,890","23.82"
"BPCL","EQ","14-Jan-2021","411.90","412.00","430.00","411.00","425.00","426.70","420.55","1,26,00,096","5,29,89,74,198.90","1,46,168","35,59,872","28.25"
"BPCL","EQ","15-Jan-2021","426.70","429.40","429.50","411.30","414.40","414.60","418.90","88,27,951","3,69,80,01,738.90","1,30,808","24,37,109","27.61"
"BPCL","EQ","18-Jan-2021","414.60","414.00","416.90","402.00","406.25","409.55","408.33","83,93,582","3,42,73,81,747.70","1,00,333","18,91,082","22.53"
"BPCL","EQ","19-Jan-2021","409.55","413.00","418.00","408.25","413.60","413.45","413.57","55,47,107","2,29,41,18,067.55","76,560","15,03,705","27.11"
"BPCL","EQ","20-Jan-2021","413.45","415.00","416.90","409.25","412.20","413.85","413.29","49,37,393","2,04,05,54,306.55","58,108","13,40,850","27.16"
"BPCL","EQ","21-Jan-2021","413.85","415.00","423.00","405.10","409.60","408.30","416.02","87,68,238","3,64,77,32,771.90","97,968","17,38,785","19.83"
"BPCL","EQ","22-Jan-2021","408.30","409.00","412.95","394.95","396.90","396.05","403.11","77,02,419","3,10,49,59,269.00","93,338","22,26,442","28.91"
"BPCL","EQ","25-Jan-2021","396.05","400.00","402.85","384.70","385.50","387.30","390.34","60,30,213","2,35,38,62,897.25","94,430","17,88,388","29.66"
"BPCL","EQ","27-Jan-2021","387.30","385.55","390.25","379.75","381.45","380.60","384.57","60,33,438","2,32,02,79,034.25","1,02,742","25,61,992","42.46"
"BPCL","EQ","28-Jan-2021","380.60","377.00","389.70","376.25","386.50","384.30","385.54","81,55,883","3,14,44,12,206.05","90,373","31,49,896","38.62"
"BPCL","EQ","29-Jan-2021","384.30","389.90","396.55","381.35","385.75","383.60","389.32","82,58,955","3,21,54,10,866.80","95,570","29,66,732","35.92"
"BPCL","EQ","01-Feb-2021","383.60","388.00","397.90","380.60","393.60","393.00","389.88","1,39,38,368","5,43,42,43,999.05","1,33,560","44,05,316","31.61"
"BPCL","EQ","02-Feb-2021","393.00","396.75","411.00","393.25","409.50","408.00","403.89","88,76,838","3,58,52,58,118.15","97,195","32,29,175","36.38"
"BPCL","EQ","03-Feb-2021","408.00","405.00","417.00","402.35","414.75","414.90","411.95","85,09,253","3,50,53,73,889.45","88,136","37,57,484","44.16"
"BPCL","EQ","04-Feb-2021","414.90","413.60","422.50","410.55","418.05","418.55","418.49","75,99,341","3,18,02,18,711.15","94,469","26,01,051","34.23"
"BPCL","EQ","05-Feb-2021","418.55","420.50","422.30","413.10","415.40","415.00","416.79","38,61,284","1,60,93,30,622.40","45,703","12,98,742","33.63"
"BPCL","EQ","08-Feb-2021","415.00","420.00","424.40","416.00","420.00","420.05","420.16","63,22,827","2,65,66,01,374.80","79,568","22,12,815","35.00"
"BPCL","EQ","09-Feb-2021","420.05","431.00","438.05","416.65","419.35","419.35","426.80","2,25,77,022","9,63,58,00,824.30","2,00,533","69,11,993","30.62"
"BPCL","EQ","10-Feb-2021","419.35","422.20","424.95","409.05","416.00","415.80","416.15","95,80,296","3,98,68,17,192.95","93,016","39,46,779","41.20"
"BPCL","EQ","11-Feb-2021","415.80","415.00","422.85","414.30","421.90","421.95","418.65","57,29,659","2,39,87,30,491.90","85,125","19,99,311","34.89"
"BPCL","EQ","12-Feb-2021","421.95","423.00","425.85","414.60","418.20","418.10","420.10","54,70,945","2,29,83,26,728.70","53,873","20,11,669","36.77"
"BPCL","EQ","15-Feb-2021","418.10","422.80","424.90","417.00","419.45","419.00","421.09","55,18,776","2,32,38,93,010.80","55,954","18,46,270","33.45"
"BPCL","EQ","16-Feb-2021","419.00","417.80","422.60","416.20","418.30","417.95","418.35","53,97,662","2,25,81,17,274.70","51,091","26,60,501","49.29"
"BPCL","EQ","17-Feb-2021","417.95","404.50","413.90","401.55","413.60","411.70","407.79","85,89,431","3,50,27,02,431.95","87,482","23,12,652","26.92"
"BPCL","EQ","18-Feb-2021","411.70","415.35","434.35","410.70","431.00","432.20","424.20","2,07,55,494","8,80,44,56,622.45","2,34,653","70,58,773","34.01"
"BPCL","EQ","19-Feb-2021","432.20","437.00","444.80","423.50","429.30","430.00","434.07","2,44,46,305","10,61,15,02,300.75","2,52,409","70,28,072","28.75"
"BPCL","EQ","22-Feb-2021","430.00","429.30","435.25","418.00","418.80","422.55","429.08","96,90,341","4,15,78,97,053.25","1,20,772","32,98,665","34.04"
"BPCL","EQ","23-Feb-2021","422.55","428.00","442.70","425.80","437.35","435.25","436.76","1,43,97,828","6,28,84,26,931.35","1,58,597","39,77,334","27.62"
"BPCL","EQ","24-Feb-2021","435.25","440.00","445.00","436.10","438.50","438.70","441.15","59,90,683","2,64,27,60,610.10","74,754","19,27,098","32.17"
"BPCL","EQ","25-Feb-2021","438.70","441.95","467.80","441.85","461.30","461.55","457.51","1,88,10,829","8,60,61,39,869.55","1,82,077","61,10,985","32.49"
"BPCL","EQ","26-Feb-2021","461.55","454.95","466.35","440.25","449.90","449.85","454.09","1,84,41,539","8,37,40,50,751.05","1,97,233","63,88,872","34.64"
"BPCL","EQ","01-Mar-2021","449.85","456.00","463.85","450.10","455.90","455.25","457.00","60,92,750","2,78,44,02,695.65","64,196","15,48,562","25.42"
"BPCL","EQ","02-Mar-2021","455.25","474.50","482.40","462.00","470.00","469.00","472.96","2,66,00,333","12,58,07,82,893.10","3,06,906","38,28,672","14.39"
"BPCL","EQ","03-Mar-2021","469.00","480.00","480.00","462.30","466.35","466.35","467.96","88,37,642","4,13,56,33,564.95","1,01,677","19,30,875","21.85"
"BPCL","EQ","04-Mar-2021","466.35","462.00","472.65","459.25","464.50","463.90","466.34","62,78,311","2,92,78,16,409.50","72,087","15,37,295","24.49"
"BPCL","EQ","05-Mar-2021","463.90","463.00","474.45","458.10","463.50","461.80","467.48","88,96,513","4,15,89,21,704.85","1,13,603","17,35,818","19.51"
"BPCL","EQ","08-Mar-2021","461.80","462.00","472.95","461.80","467.20","466.70","468.28","56,74,769","2,65,73,85,096.00","63,190","13,57,302","23.92"
"BPCL","EQ","09-Mar-2021","466.70","446.20","454.00","437.35","445.45","445.90","440.96","19,97,90,953","88,10,05,30,104.70","4,32,637","13,55,72,090","67.86"
