"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJ-AUTO","EQ","02-Jan-2017","2,632.20","2,642.70","2,654.30","2,552.00","2,602.00","2,598.50","2,588.33","3,23,342","83,69,16,066.90","17,703","84,661","26.18"
"BAJAJ-AUTO","EQ","03-Jan-2017","2,598.50","2,594.00","2,632.20","2,561.45","2,618.90","2,619.20","2,601.61","4,20,196","1,09,31,86,539.45","21,361","2,48,097","59.04"
"BAJAJ-AUTO","EQ","04-Jan-2017","2,619.20","2,625.20","2,698.55","2,615.95","2,694.00","2,684.10","2,660.36","3,43,922","91,49,56,772.25","20,563","1,94,416","56.53"
"BAJAJ-AUTO","EQ","05-Jan-2017","2,684.10","2,694.00","2,730.00","2,685.00","2,724.00","2,723.35","2,708.73","1,88,686","51,10,99,723.35","19,194","58,594","31.05"
"BAJAJ-AUTO","EQ","06-Jan-2017","2,723.35","2,721.00","2,739.90","2,696.70","2,710.10","2,707.35","2,719.32","1,59,484","43,36,88,755.55","15,957","69,778","43.75"
"BAJAJ-AUTO","EQ","09-Jan-2017","2,707.35","2,717.00","2,746.00","2,708.00","2,722.30","2,723.15","2,725.27","1,16,789","31,82,81,590.95","12,168","37,946","32.49"
"BAJAJ-AUTO","EQ","10-Jan-2017","2,723.15","2,728.25","2,747.30","2,712.00","2,728.95","2,740.75","2,730.73","1,54,097","42,07,96,727.45","14,472","88,440","57.39"
"BAJAJ-AUTO","EQ","11-Jan-2017","2,740.75","2,746.50","2,748.50","2,703.55","2,710.25","2,718.55","2,721.28","2,25,842","61,45,80,170.70","26,783","1,41,703","62.74"
"BAJAJ-AUTO","EQ","12-Jan-2017","2,718.55","2,715.00","2,743.45","2,707.65","2,734.90","2,737.15","2,722.58","2,43,299","66,24,00,711.50","11,053","1,59,149","65.41"
"BAJAJ-AUTO","EQ","13-Jan-2017","2,737.15","2,732.00","2,753.75","2,691.20","2,700.00","2,708.55","2,723.46","2,47,719","67,46,52,806.80","14,366","1,55,787","62.89"
"BAJAJ-AUTO","EQ","16-Jan-2017","2,708.55","2,703.00","2,730.00","2,686.65","2,720.00","2,721.65","2,711.18","1,16,324","31,53,75,472.90","8,783","49,307","42.39"
"BAJAJ-AUTO","EQ","17-Jan-2017","2,721.65","2,711.00","2,742.00","2,700.00","2,733.85","2,728.90","2,722.78","1,39,584","38,00,56,471.35","13,598","62,260","44.60"
"BAJAJ-AUTO","EQ","18-Jan-2017","2,728.90","2,743.00","2,743.00","2,687.35","2,701.00","2,699.70","2,710.35","1,61,391","43,74,25,985.20","12,949","67,056","41.55"
"BAJAJ-AUTO","EQ","19-Jan-2017","2,699.70","2,698.90","2,712.00","2,681.50","2,693.00","2,695.30","2,696.90","2,35,309","63,46,05,500.60","17,450","1,47,579","62.72"
"BAJAJ-AUTO","EQ","20-Jan-2017","2,695.30","2,689.00","2,720.00","2,682.00","2,706.00","2,701.05","2,706.08","2,04,961","55,46,41,148.60","10,716","1,03,470","50.48"
"BAJAJ-AUTO","EQ","23-Jan-2017","2,701.05","2,695.50","2,715.00","2,685.00","2,708.95","2,706.50","2,703.53","1,47,551","39,89,08,286.90","10,036","62,652","42.46"
"BAJAJ-AUTO","EQ","24-Jan-2017","2,706.50","2,712.00","2,810.00","2,701.65","2,800.05","2,798.95","2,761.28","2,70,474","74,68,54,737.25","21,451","1,10,739","40.94"
"BAJAJ-AUTO","EQ","25-Jan-2017","2,798.95","2,815.00","2,866.00","2,772.75","2,834.00","2,849.65","2,825.01","4,51,576","1,27,57,07,714.50","27,157","1,93,892","42.94"
"BAJAJ-AUTO","EQ","27-Jan-2017","2,849.65","2,840.00","2,885.20","2,830.00","2,859.00","2,854.10","2,849.14","1,94,917","55,53,45,738.75","22,244","1,08,610","55.72"
"BAJAJ-AUTO","EQ","30-Jan-2017","2,854.10","2,850.05","2,852.00","2,808.70","2,827.60","2,825.05","2,826.12","2,80,860","79,37,43,159.35","13,003","1,90,971","68.00"
"BAJAJ-AUTO","EQ","31-Jan-2017","2,825.05","2,821.10","2,919.00","2,789.30","2,838.30","2,833.45","2,857.72","9,02,056","2,57,78,22,778.70","47,280","2,36,935","26.27"
"BAJAJ-AUTO","EQ","01-Feb-2017","2,833.45","2,838.30","2,872.00","2,812.00","2,845.00","2,854.15","2,845.55","3,69,867","1,05,24,75,661.30","35,022","1,91,773","51.85"
"BAJAJ-AUTO","EQ","02-Feb-2017","2,854.15","2,852.00","2,858.90","2,801.10","2,805.00","2,807.45","2,822.11","2,53,057","71,41,55,586.40","18,653","1,08,038","42.69"
"BAJAJ-AUTO","EQ","03-Feb-2017","2,807.45","2,792.15","2,815.40","2,789.00","2,802.30","2,808.10","2,805.86","2,36,258","66,29,06,838.45","12,782","1,28,186","54.26"
