"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CIPLA","EQ","01-Jan-2019","519.50","520.00","524.00","518.65","522.75","523.05","522.02","13,61,809","71,08,97,917.95","19,012","4,89,802","35.97"
"CIPLA","EQ","02-Jan-2019","523.05","521.90","522.50","513.15","514.30","514.55","516.42","12,43,067","64,19,39,610.45","32,228","4,76,466","38.33"
"CIPLA","EQ","03-Jan-2019","514.55","516.50","520.50","511.20","512.20","512.40","514.47","20,86,150","1,07,32,57,313.75","82,151","9,19,808","44.09"
"CIPLA","EQ","04-Jan-2019","512.40","513.00","514.90","508.05","512.25","512.80","511.82","16,51,456","84,52,46,260.40","39,560","6,41,675","38.86"
"CIPLA","EQ","07-Jan-2019","512.80","516.00","517.75","510.30","513.80","514.05","514.77","11,68,002","60,12,48,667.90","21,091","5,55,841","47.59"
"CIPLA","EQ","08-Jan-2019","514.05","516.00","517.20","511.25","514.00","513.65","513.49","17,65,015","90,63,13,070.95","44,095","8,57,748","48.60"
"CIPLA","EQ","09-Jan-2019","513.65","515.55","516.75","507.50","510.40","510.10","510.39","19,29,305","98,46,97,636.10","33,696","9,51,986","49.34"
"CIPLA","EQ","10-Jan-2019","510.10","509.00","514.90","509.00","514.50","513.25","512.68","12,52,439","64,21,02,129.75","29,306","5,89,123","47.04"
"CIPLA","EQ","11-Jan-2019","513.25","513.40","519.00","508.25","510.95","510.20","512.81","20,51,418","1,05,19,88,870.20","32,322","9,02,214","43.98"
"CIPLA","EQ","14-Jan-2019","510.20","510.20","514.00","505.60","513.25","511.95","508.60","14,72,415","74,88,76,394.75","26,968","6,65,732","45.21"
"CIPLA","EQ","15-Jan-2019","511.95","514.50","515.35","509.50","515.00","514.95","513.38","11,77,377","60,44,36,661.50","20,168","4,45,685","37.85"
"CIPLA","EQ","16-Jan-2019","514.95","515.00","515.95","509.00","511.30","511.50","511.68","14,46,921","74,03,53,906.60","31,996","7,03,671","48.63"
"CIPLA","EQ","17-Jan-2019","511.50","512.50","514.95","507.60","509.25","509.60","510.86","15,98,184","81,64,44,144.75","38,581","7,83,155","49.00"
"CIPLA","EQ","18-Jan-2019","509.60","510.20","513.00","507.30","509.20","509.40","510.17","15,02,360","76,64,54,916.15","53,768","7,13,689","47.50"
"CIPLA","EQ","21-Jan-2019","509.40","510.00","514.20","508.20","509.05","509.25","510.71","11,50,380","58,75,13,166.60","20,035","2,71,161","23.57"
"CIPLA","EQ","22-Jan-2019","509.25","510.00","511.40","502.45","506.85","507.10","506.38","14,55,953","73,72,65,270.60","35,308","5,60,765","38.52"
"CIPLA","EQ","23-Jan-2019","507.10","510.00","511.70","507.10","509.05","509.30","509.37","13,58,623","69,20,38,421.90","29,151","6,71,167","49.40"
"CIPLA","EQ","24-Jan-2019","509.30","510.00","510.70","496.10","501.35","500.70","504.02","16,20,195","81,66,11,408.60","40,058","7,92,169","48.89"
"CIPLA","EQ","25-Jan-2019","500.70","502.10","508.60","501.35","508.40","507.65","505.26","11,93,442","60,29,92,984.80","26,499","4,85,363","40.67"
"CIPLA","EQ","28-Jan-2019","507.65","509.00","509.00","489.10","491.90","492.15","493.37","32,15,535","1,58,64,41,907.10","63,859","-","-"
"CIPLA","EQ","29-Jan-2019","492.15","489.10","507.55","483.75","501.00","505.05","499.76","26,75,481","1,33,70,86,291.60","48,348","10,32,626","38.60"
"CIPLA","EQ","30-Jan-2019","505.05","504.95","507.10","497.70","504.25","505.80","503.62","15,24,621","76,78,31,113.35","36,388","8,10,594","53.17"
