"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"EICHERMOT","EQ","03-Jan-2022","2,591.90","2,620.10","2,733.60","2,620.10","2,712.50","2,718.80","2,704.01","24,57,647","6,64,55,14,155.00","1,33,846","7,24,178","29.47"
"EICHERMOT","EQ","04-Jan-2022","2,718.80","2,715.00","2,724.90","2,685.50","2,702.20","2,705.00","2,706.58","7,36,616","1,99,37,08,294.00","46,337","2,92,008","39.64"
"EICHERMOT","EQ","05-Jan-2022","2,705.00","2,691.00","2,790.00","2,691.00","2,773.65","2,778.60","2,755.14","10,40,082","2,86,55,71,417.15","60,948","4,64,153","44.63"
"EICHERMOT","EQ","06-Jan-2022","2,778.60","2,748.00","2,828.45","2,720.00","2,812.60","2,817.15","2,782.70","10,56,323","2,93,94,30,095.50","53,261","3,86,671","36.61"
"EICHERMOT","EQ","07-Jan-2022","2,817.15","2,825.00","2,833.60","2,784.75","2,818.75","2,824.40","2,812.99","5,72,036","1,60,91,31,851.35","41,131","2,26,844","39.66"
"EICHERMOT","EQ","10-Jan-2022","2,824.40","2,820.05","2,851.00","2,798.75","2,812.80","2,815.50","2,826.40","4,93,242","1,39,40,97,040.25","35,766","2,04,238","41.41"
"EICHERMOT","EQ","11-Jan-2022","2,815.50","2,814.00","2,829.00","2,781.40","2,791.15","2,794.35","2,803.01","3,34,700","93,81,68,695.05","34,425","1,42,690","42.63"
"EICHERMOT","EQ","12-Jan-2022","2,794.35","2,802.00","2,828.90","2,790.05","2,809.95","2,815.90","2,812.77","4,40,995","1,24,04,17,603.15","40,343","1,62,114","36.76"
"EICHERMOT","EQ","13-Jan-2022","2,815.90","2,810.15","2,838.00","2,794.50","2,831.25","2,832.70","2,818.63","2,66,122","75,00,98,311.00","34,989","1,03,212","38.78"
"EICHERMOT","EQ","14-Jan-2022","2,832.70","2,838.00","2,845.00","2,798.75","2,814.70","2,819.70","2,818.69","3,24,014","91,32,94,133.95","20,981","1,37,628","42.48"
"EICHERMOT","EQ","17-Jan-2022","2,819.70","2,804.00","2,880.00","2,804.00","2,840.00","2,844.30","2,851.09","6,80,219","1,93,93,62,834.75","42,793","2,74,867","40.41"
"EICHERMOT","EQ","18-Jan-2022","2,844.30","2,859.30","2,859.30","2,725.00","2,740.00","2,736.25","2,755.51","12,21,493","3,36,58,32,200.35","94,064","4,85,408","39.74"
"EICHERMOT","EQ","19-Jan-2022","2,736.25","2,736.25","2,746.80","2,685.45","2,722.95","2,718.70","2,721.94","7,69,880","2,09,55,70,358.60","45,945","2,94,164","38.21"
"EICHERMOT","EQ","20-Jan-2022","2,718.70","2,725.00","2,756.00","2,712.10","2,735.00","2,733.80","2,735.31","5,21,734","1,42,71,04,488.75","42,150","1,95,915","37.55"
"EICHERMOT","EQ","21-Jan-2022","2,733.80","2,723.50","2,754.00","2,668.20","2,710.00","2,711.10","2,720.51","4,59,191","1,24,92,32,517.75","32,207","1,28,185","27.92"
"EICHERMOT","EQ","24-Jan-2022","2,711.10","2,695.20","2,729.15","2,621.50","2,653.00","2,656.40","2,666.40","4,65,912","1,24,23,09,892.25","37,339","1,50,733","32.35"
"EICHERMOT","EQ","25-Jan-2022","2,656.40","2,622.10","2,708.95","2,593.65","2,687.70","2,692.00","2,677.89","6,87,092","1,83,99,53,823.45","42,181","3,25,783","47.41"
"EICHERMOT","EQ","27-Jan-2022","2,692.00","2,690.00","2,690.00","2,570.25","2,660.00","2,643.85","2,612.25","9,85,827","2,57,52,26,290.30","54,669","4,63,082","46.97"
"EICHERMOT","EQ","28-Jan-2022","2,643.85","2,655.20","2,747.00","2,598.90","2,618.00","2,610.95","2,669.26","8,71,638","2,32,66,25,658.50","56,178","2,94,997","33.84"
"EICHERMOT","EQ","31-Jan-2022","2,610.95","2,644.90","2,681.00","2,632.90","2,639.00","2,645.50","2,655.35","4,16,447","1,10,58,11,847.95","37,240","1,70,471","40.93"
"EICHERMOT","EQ","01-Feb-2022","2,645.50","2,658.70","2,684.50","2,596.65","2,615.10","2,622.20","2,645.59","6,71,852","1,77,74,45,663.25","40,161","2,03,554","30.30"
"EICHERMOT","EQ","02-Feb-2022","2,622.20","2,622.20","2,722.55","2,622.20","2,670.00","2,669.75","2,679.12","10,42,951","2,79,41,89,574.30","58,726","3,54,592","34.00"
"EICHERMOT","EQ","03-Feb-2022","2,669.75","2,675.10","2,709.85","2,640.00","2,668.65","2,670.85","2,677.69","6,64,625","1,77,96,59,897.00","32,203","2,67,206","40.20"
"EICHERMOT","EQ","04-Feb-2022","2,670.85","2,676.15","2,677.90","2,616.00","2,629.00","2,631.40","2,634.03","3,80,540","1,00,23,53,280.40","30,010","1,17,279","30.82"
