"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"EICHERMOT","EQ","01-Jan-2021","2,530.90","2,531.00","2,555.00","2,515.80","2,551.90","2,542.70","2,534.15","9,14,818","2,31,82,86,407.90","37,867","1,32,246","14.46"
"EICHERMOT","EQ","04-Jan-2021","2,542.70","2,591.00","2,670.00","2,580.00","2,653.00","2,655.70","2,621.18","32,87,511","8,61,71,72,122.10","1,20,708","5,79,572","17.63"
"EICHERMOT","EQ","05-Jan-2021","2,655.70","2,630.00","2,685.00","2,616.00","2,668.05","2,674.90","2,650.61","14,94,362","3,96,09,77,341.75","76,947","3,12,603","20.92"
"EICHERMOT","EQ","06-Jan-2021","2,674.90","2,668.00","2,672.00","2,610.00","2,639.55","2,645.35","2,649.70","9,49,386","2,51,55,89,993.50","44,789","1,39,572","14.70"
"EICHERMOT","EQ","07-Jan-2021","2,645.35","2,660.00","2,715.65","2,640.75","2,651.00","2,649.80","2,674.57","12,50,528","3,34,46,21,776.20","53,630","2,27,510","18.19"
"EICHERMOT","EQ","08-Jan-2021","2,649.80","2,661.00","2,771.30","2,661.00","2,751.35","2,760.85","2,736.98","25,85,123","7,07,54,19,751.60","1,09,691","4,75,304","18.39"
"EICHERMOT","EQ","11-Jan-2021","2,760.85","2,767.00","2,808.65","2,726.70","2,776.05","2,777.15","2,770.70","16,16,318","4,47,83,30,296.90","89,595","2,43,168","15.04"
"EICHERMOT","EQ","12-Jan-2021","2,777.15","2,777.20","2,949.00","2,777.20","2,860.05","2,881.65","2,891.74","48,29,997","13,96,70,82,385.40","2,58,925","5,02,628","10.41"
"EICHERMOT","EQ","13-Jan-2021","2,881.65","2,869.50","2,910.40","2,836.65","2,877.00","2,868.65","2,875.43","18,78,124","5,40,04,04,759.80","1,00,336","2,54,558","13.55"
"EICHERMOT","EQ","14-Jan-2021","2,868.65","2,880.00","2,906.95","2,841.00","2,890.10","2,886.60","2,872.14","11,59,961","3,33,15,66,367.35","69,514","2,66,929","23.01"
"EICHERMOT","EQ","15-Jan-2021","2,886.60","2,880.00","2,902.00","2,840.00","2,848.00","2,857.30","2,871.40","8,82,692","2,53,45,59,023.25","60,408","86,097","9.75"
"EICHERMOT","EQ","18-Jan-2021","2,857.30","2,853.15","2,912.70","2,815.00","2,860.00","2,873.00","2,862.38","20,69,601","5,92,39,87,321.10","1,23,342","4,81,998","23.29"
"EICHERMOT","EQ","19-Jan-2021","2,873.00","2,888.00","2,929.00","2,852.15","2,880.00","2,883.50","2,894.98","14,47,495","4,19,04,73,668.75","89,866","2,47,685","17.11"
"EICHERMOT","EQ","20-Jan-2021","2,883.50","2,887.20","2,964.00","2,865.65","2,875.00","2,881.55","2,918.09","17,60,329","5,13,67,94,449.40","1,06,226","3,00,734","17.08"
"EICHERMOT","EQ","21-Jan-2021","2,881.55","2,896.00","2,955.00","2,895.05","2,931.00","2,926.60","2,933.37","14,51,173","4,25,68,21,085.40","79,321","3,54,181","24.41"
"EICHERMOT","EQ","22-Jan-2021","2,926.60","2,900.00","3,037.00","2,900.00","2,978.75","2,972.60","2,995.62","30,91,826","9,26,19,33,767.10","1,76,276","3,74,735","12.12"
"EICHERMOT","EQ","25-Jan-2021","2,972.60","3,029.95","3,029.95","2,851.25","2,883.30","2,869.55","2,903.82","20,24,082","5,87,75,64,110.10","1,14,899","7,65,934","37.84"
"EICHERMOT","EQ","27-Jan-2021","2,869.55","2,899.95","2,932.40","2,769.50","2,784.50","2,789.90","2,827.64","25,74,644","7,28,01,59,264.75","1,52,884","6,97,245","27.08"
"EICHERMOT","EQ","28-Jan-2021","2,789.90","2,780.00","2,830.00","2,738.35","2,786.70","2,798.45","2,793.49","14,30,646","3,99,64,90,064.70","96,332","1,90,840","13.34"
"EICHERMOT","EQ","29-Jan-2021","2,798.45","2,812.40","2,870.45","2,726.95","2,758.30","2,744.30","2,800.07","20,67,268","5,78,85,00,548.50","1,12,364","3,92,433","18.98"
"EICHERMOT","EQ","01-Feb-2021","2,744.30","2,777.00","2,868.05","2,698.55","2,853.00","2,842.85","2,781.99","18,47,361","5,13,93,35,844.60","84,346","2,59,898","14.07"
"EICHERMOT","EQ","02-Feb-2021","2,842.85","2,920.00","2,920.00","2,825.95","2,906.00","2,904.85","2,874.14","21,25,895","6,11,01,19,751.15","88,608","2,54,870","11.99"
"EICHERMOT","EQ","03-Feb-2021","2,904.85","2,904.85","2,948.00","2,871.50","2,919.00","2,916.90","2,918.26","13,49,528","3,93,82,70,527.90","50,470","1,39,144","10.31"
"EICHERMOT","EQ","04-Feb-2021","2,916.90","2,900.90","2,978.00","2,881.00","2,965.00","2,963.45","2,943.54","12,59,327","3,70,68,73,175.50","69,432","3,41,482","27.12"
"EICHERMOT","EQ","05-Feb-2021","2,963.45","2,973.20","2,990.00","2,905.20","2,930.00","2,932.15","2,939.82","9,15,838","2,69,24,00,529.05","47,243","2,18,871","23.90"
"EICHERMOT","EQ","08-Feb-2021","2,932.15","2,934.00","2,986.00","2,930.10","2,973.90","2,970.40","2,964.00","6,54,484","1,93,98,88,941.35","38,932","82,366","12.58"
"EICHERMOT","EQ","09-Feb-2021","2,970.40","2,993.30","3,018.00","2,936.05","2,948.00","2,947.65","2,974.39","11,27,584","3,35,38,78,764.50","52,872","2,05,207","18.20"
"EICHERMOT","EQ","10-Feb-2021","2,947.65","2,968.00","2,998.90","2,876.75","2,893.00","2,901.30","2,941.99","21,60,932","6,35,74,47,864.40","1,16,131","3,17,173","14.68"
"EICHERMOT","EQ","11-Feb-2021","2,901.30","2,750.00","2,840.80","2,701.30","2,827.00","2,818.15","2,793.35","44,81,414","12,51,81,41,364.90","2,05,410","5,34,913","11.94"
"EICHERMOT","EQ","12-Feb-2021","2,818.15","2,840.00","2,844.95","2,765.05","2,774.00","2,781.25","2,799.23","19,07,486","5,33,94,89,508.65","78,061","2,53,443","13.29"
"EICHERMOT","EQ","15-Feb-2021","2,781.25","2,796.00","2,809.00","2,758.00","2,767.00","2,770.05","2,779.36","9,30,514","2,58,62,36,593.05","58,166","1,34,293","14.43"
"EICHERMOT","EQ","16-Feb-2021","2,770.05","2,770.05","2,778.15","2,692.45","2,725.00","2,726.95","2,735.66","15,25,475","4,17,31,73,375.90","88,810","5,71,906","37.49"
"EICHERMOT","EQ","17-Feb-2021","2,726.95","2,720.00","2,745.00","2,685.00","2,688.90","2,695.50","2,711.81","14,91,311","4,04,41,55,489.10","78,348","4,78,747","32.10"
"EICHERMOT","EQ","18-Feb-2021","2,695.50","2,701.10","2,712.85","2,625.00","2,647.95","2,650.20","2,662.74","19,24,724","5,12,50,41,608.50","1,04,699","6,92,883","36.00"
"EICHERMOT","EQ","19-Feb-2021","2,650.20","2,646.00","2,647.90","2,570.00","2,582.00","2,584.65","2,597.21","15,88,781","4,12,63,99,694.60","85,618","5,74,705","36.17"
"EICHERMOT","EQ","22-Feb-2021","2,584.65","2,586.10","2,590.00","2,450.00","2,450.75","2,482.35","2,515.65","21,89,183","5,50,72,26,289.55","1,42,388","9,98,672","45.62"
"EICHERMOT","EQ","23-Feb-2021","2,482.35","2,476.20","2,549.80","2,456.85","2,525.00","2,514.70","2,508.47","18,21,712","4,56,97,07,898.10","1,14,617","4,51,490","24.78"
"EICHERMOT","EQ","24-Feb-2021","2,514.70","2,530.05","2,562.85","2,500.00","2,530.00","2,535.80","2,531.62","8,07,585","2,04,45,02,265.90","47,898","2,01,264","24.92"
"EICHERMOT","EQ","25-Feb-2021","2,535.80","2,555.00","2,558.95","2,517.00","2,554.00","2,551.95","2,539.68","13,51,820","3,43,31,90,696.35","72,691","4,79,735","35.49"
"EICHERMOT","EQ","26-Feb-2021","2,551.95","2,529.70","2,546.95","2,463.65","2,480.00","2,498.60","2,504.83","16,95,786","4,24,76,59,322.95","1,00,346","6,03,225","35.57"
"EICHERMOT","EQ","01-Mar-2021","2,498.60","2,523.00","2,568.90","2,497.15","2,559.75","2,556.15","2,542.87","12,83,153","3,26,28,97,040.00","92,458","3,76,529","29.34"
"EICHERMOT","EQ","02-Mar-2021","2,556.15","2,584.00","2,611.00","2,530.00","2,605.00","2,602.30","2,569.61","14,91,743","3,83,31,94,915.45","88,521","4,06,566","27.25"
"EICHERMOT","EQ","03-Mar-2021","2,602.30","2,605.80","2,626.85","2,571.10","2,601.00","2,599.05","2,591.21","12,89,447","3,34,12,24,476.15","76,360","5,34,486","41.45"
"EICHERMOT","EQ","04-Mar-2021","2,599.05","2,570.00","2,633.00","2,545.35","2,590.00","2,593.20","2,597.88","13,53,079","3,51,51,38,644.75","66,407","4,92,007","36.36"
"EICHERMOT","EQ","05-Mar-2021","2,593.20","2,584.80","2,634.20","2,560.00","2,586.00","2,587.75","2,604.09","11,53,319","3,00,33,43,030.85","68,344","3,22,451","27.96"
