"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"GRASIM","EQ","03-Jan-2022","1,622.25","1,629.75","1,666.85","1,617.00","1,666.00","1,661.60","1,642.42","6,26,473","1,02,89,30,702.35","26,503","1,95,916","31.27"
"GRASIM","EQ","04-Jan-2022","1,661.60","1,671.00","1,696.50","1,658.00","1,692.00","1,692.00","1,678.54","8,91,638","1,49,66,50,439.60","31,882","3,24,943","36.44"
"GRASIM","EQ","05-Jan-2022","1,692.00","1,685.00","1,753.10","1,684.00","1,743.80","1,747.05","1,725.84","17,64,235","3,04,47,93,214.40","44,197","8,50,686","48.22"
"GRASIM","EQ","06-Jan-2022","1,747.05","1,746.10","1,746.10","1,710.60","1,720.00","1,720.55","1,724.84","11,54,118","1,99,06,66,838.15","35,448","6,95,364","60.25"
"GRASIM","EQ","07-Jan-2022","1,720.55","1,722.00","1,807.00","1,722.00","1,799.95","1,797.65","1,783.58","28,94,295","5,16,22,15,224.05","89,878","6,61,287","22.85"
"GRASIM","EQ","10-Jan-2022","1,797.65","1,810.00","1,845.00","1,793.60","1,834.15","1,838.85","1,823.18","14,62,664","2,66,67,01,986.40","47,721","6,42,544","43.93"
"GRASIM","EQ","11-Jan-2022","1,838.85","1,834.15","1,871.00","1,821.00","1,850.20","1,846.90","1,849.49","14,10,909","2,60,94,59,561.30","66,732","4,87,874","34.58"
"GRASIM","EQ","12-Jan-2022","1,846.90","1,857.95","1,877.45","1,845.00","1,871.90","1,874.00","1,864.69","6,98,473","1,30,24,38,262.15","34,685","2,24,492","32.14"
"GRASIM","EQ","13-Jan-2022","1,874.00","1,880.00","1,883.00","1,850.00","1,852.35","1,856.85","1,863.23","8,41,198","1,56,73,45,514.40","50,908","4,27,719","50.85"
"GRASIM","EQ","14-Jan-2022","1,856.85","1,859.90","1,867.75","1,832.35","1,855.00","1,857.30","1,851.39","12,34,583","2,28,56,96,262.85","65,544","6,52,012","52.81"
